Epoch 000	LOSS: 220.19	MAE: 253.77	RMSE: 296.84
Epoch 001	LOSS: 218.34	MAE: 252.81	RMSE: 296.02
Epoch 002	LOSS: 219.34	MAE: 251.78	RMSE: 295.13
Epoch 003	LOSS: 219.89	MAE: 250.68	RMSE: 294.19
Epoch 004	LOSS: 218.34	MAE: 249.51	RMSE: 293.17
Epoch 005	LOSS: 216.03	MAE: 248.27	RMSE: 292.10
Epoch 006	LOSS: 213.50	MAE: 246.98	RMSE: 290.99
Epoch 007	LOSS: 215.01	MAE: 245.64	RMSE: 289.82
Epoch 008	LOSS: 211.53	MAE: 244.27	RMSE: 288.62
Epoch 009	LOSS: 210.13	MAE: 242.85	RMSE: 287.38
Epoch 010	LOSS: 210.15	MAE: 241.39	RMSE: 286.11
Epoch 011	LOSS: 207.43	MAE: 239.94	RMSE: 284.83
Epoch 012	LOSS: 207.81	MAE: 238.46	RMSE: 283.53
Epoch 013	LOSS: 200.71	MAE: 236.93	RMSE: 282.18
Epoch 014	LOSS: 205.94	MAE: 235.40	RMSE: 280.83
Epoch 015	LOSS: 202.82	MAE: 233.81	RMSE: 279.42
Epoch 016	LOSS: 203.31	MAE: 232.24	RMSE: 278.02
Epoch 017	LOSS: 202.62	MAE: 230.66	RMSE: 276.62
Epoch 018	LOSS: 194.01	MAE: 229.04	RMSE: 275.16
Epoch 019	LOSS: 193.84	MAE: 227.38	RMSE: 273.67
Epoch 020	LOSS: 191.76	MAE: 225.73	RMSE: 272.18
Epoch 021	LOSS: 193.98	MAE: 224.11	RMSE: 270.71
Epoch 022	LOSS: 194.07	MAE: 222.48	RMSE: 269.24
Epoch 023	LOSS: 193.56	MAE: 220.86	RMSE: 267.76
Epoch 024	LOSS: 187.26	MAE: 219.25	RMSE: 266.29
Epoch 025	LOSS: 185.12	MAE: 217.56	RMSE: 264.74
Epoch 026	LOSS: 184.46	MAE: 215.87	RMSE: 263.18
Epoch 027	LOSS: 186.23	MAE: 214.19	RMSE: 261.62
Epoch 028	LOSS: 183.42	MAE: 212.56	RMSE: 260.10
Epoch 029	LOSS: 178.74	MAE: 210.96	RMSE: 258.61
Epoch 030	LOSS: 175.11	MAE: 209.39	RMSE: 257.13
Epoch 031	LOSS: 178.21	MAE: 207.83	RMSE: 255.66
Epoch 032	LOSS: 177.98	MAE: 206.27	RMSE: 254.17
Epoch 033	LOSS: 180.66	MAE: 204.68	RMSE: 252.66
Epoch 034	LOSS: 172.99	MAE: 203.09	RMSE: 251.14
Epoch 035	LOSS: 175.04	MAE: 201.52	RMSE: 249.62
Epoch 036	LOSS: 166.44	MAE: 199.95	RMSE: 248.10
Epoch 037	LOSS: 171.26	MAE: 198.36	RMSE: 246.56
Epoch 038	LOSS: 168.07	MAE: 196.80	RMSE: 245.03
Epoch 039	LOSS: 168.46	MAE: 195.26	RMSE: 243.52
Epoch 040	LOSS: 163.36	MAE: 193.74	RMSE: 242.02
Epoch 041	LOSS: 166.03	MAE: 192.21	RMSE: 240.50
Epoch 042	LOSS: 159.93	MAE: 190.69	RMSE: 238.98
Epoch 043	LOSS: 158.61	MAE: 189.19	RMSE: 237.47
Epoch 044	LOSS: 161.42	MAE: 187.71	RMSE: 235.97
Epoch 045	LOSS: 158.63	MAE: 186.25	RMSE: 234.48
Epoch 046	LOSS: 157.84	MAE: 184.80	RMSE: 233.00
