Epoch 000	LOSS: 222.39	MAE: 253.84	RMSE: 296.91
Epoch 001	LOSS: 219.87	MAE: 253.04	RMSE: 296.22
Epoch 002	LOSS: 222.81	MAE: 252.17	RMSE: 295.47
Epoch 003	LOSS: 219.83	MAE: 251.22	RMSE: 294.65
Epoch 004	LOSS: 219.15	MAE: 250.20	RMSE: 293.77
Epoch 005	LOSS: 216.71	MAE: 249.11	RMSE: 292.82
Epoch 006	LOSS: 216.21	MAE: 247.95	RMSE: 291.81
Epoch 007	LOSS: 214.36	MAE: 246.73	RMSE: 290.75
Epoch 008	LOSS: 211.52	MAE: 245.47	RMSE: 289.66
Epoch 009	LOSS: 208.79	MAE: 244.17	RMSE: 288.53
Epoch 010	LOSS: 212.50	MAE: 242.85	RMSE: 287.37
Epoch 011	LOSS: 206.73	MAE: 241.51	RMSE: 286.21
Epoch 012	LOSS: 207.73	MAE: 240.14	RMSE: 285.02
Epoch 013	LOSS: 206.26	MAE: 238.75	RMSE: 283.79
Epoch 014	LOSS: 204.94	MAE: 237.33	RMSE: 282.55
Epoch 015	LOSS: 200.44	MAE: 235.89	RMSE: 281.29
Epoch 016	LOSS: 203.08	MAE: 234.46	RMSE: 280.03
Epoch 017	LOSS: 196.83	MAE: 233.04	RMSE: 278.77
Epoch 018	LOSS: 199.26	MAE: 231.61	RMSE: 277.51
Epoch 019	LOSS: 195.88	MAE: 230.19	RMSE: 276.26
Epoch 020	LOSS: 193.07	MAE: 228.78	RMSE: 275.01
Epoch 021	LOSS: 196.64	MAE: 227.36	RMSE: 273.74
Epoch 022	LOSS: 192.27	MAE: 225.90	RMSE: 272.45
Epoch 023	LOSS: 191.07	MAE: 224.43	RMSE: 271.14
Epoch 024	LOSS: 189.89	MAE: 222.94	RMSE: 269.81
Epoch 025	LOSS: 186.74	MAE: 221.46	RMSE: 268.48
Epoch 026	LOSS: 189.62	MAE: 220.01	RMSE: 267.18
Epoch 027	LOSS: 185.21	MAE: 218.58	RMSE: 265.89
Epoch 028	LOSS: 184.06	MAE: 217.17	RMSE: 264.61
Epoch 029	LOSS: 183.05	MAE: 215.77	RMSE: 263.34
Epoch 030	LOSS: 177.47	MAE: 214.40	RMSE: 262.09
Epoch 031	LOSS: 178.32	MAE: 213.05	RMSE: 260.85
Epoch 032	LOSS: 178.54	MAE: 211.71	RMSE: 259.62
Epoch 033	LOSS: 175.68	MAE: 210.42	RMSE: 258.43
Epoch 034	LOSS: 174.64	MAE: 209.13	RMSE: 257.23
Epoch 035	LOSS: 170.47	MAE: 207.88	RMSE: 256.07
Epoch 036	LOSS: 176.75	MAE: 206.66	RMSE: 254.94
Epoch 037	LOSS: 168.90	MAE: 205.45	RMSE: 253.81
Epoch 038	LOSS: 171.06	MAE: 204.26	RMSE: 252.71
