Epoch 000	LOSS: 223.54	MAE: 253.81	RMSE: 296.88
Epoch 001	LOSS: 222.84	MAE: 252.89	RMSE: 296.09
Epoch 002	LOSS: 220.10	MAE: 251.91	RMSE: 295.24
Epoch 003	LOSS: 216.28	MAE: 250.85	RMSE: 294.33
Epoch 004	LOSS: 219.05	MAE: 249.71	RMSE: 293.34
Epoch 005	LOSS: 217.98	MAE: 248.50	RMSE: 292.29
Epoch 006	LOSS: 214.01	MAE: 247.22	RMSE: 291.18
Epoch 007	LOSS: 211.66	MAE: 245.87	RMSE: 290.01
Epoch 008	LOSS: 213.55	MAE: 244.48	RMSE: 288.79
Epoch 009	LOSS: 211.69	MAE: 243.06	RMSE: 287.55
Epoch 010	LOSS: 208.68	MAE: 241.61	RMSE: 286.28
Epoch 011	LOSS: 205.93	MAE: 240.14	RMSE: 284.99
Epoch 012	LOSS: 204.36	MAE: 238.65	RMSE: 283.68
Epoch 013	LOSS: 202.78	MAE: 237.14	RMSE: 282.35
Epoch 014	LOSS: 203.42	MAE: 235.61	RMSE: 281.01
Epoch 015	LOSS: 201.81	MAE: 234.08	RMSE: 279.66
Epoch 016	LOSS: 203.66	MAE: 232.54	RMSE: 278.28
Epoch 017	LOSS: 201.43	MAE: 230.98	RMSE: 276.90
Epoch 018	LOSS: 199.10	MAE: 229.42	RMSE: 275.50
Epoch 019	LOSS: 194.63	MAE: 227.86	RMSE: 274.11
Epoch 020	LOSS: 194.22	MAE: 226.29	RMSE: 272.70
Epoch 021	LOSS: 196.28	MAE: 224.73	RMSE: 271.29
Epoch 022	LOSS: 192.35	MAE: 223.17	RMSE: 269.88
Epoch 023	LOSS: 188.72	MAE: 221.60	RMSE: 268.46
Epoch 024	LOSS: 187.28	MAE: 220.03	RMSE: 267.02
Epoch 025	LOSS: 184.90	MAE: 218.44	RMSE: 265.57
Epoch 026	LOSS: 184.61	MAE: 216.85	RMSE: 264.11
Epoch 027	LOSS: 183.95	MAE: 215.24	RMSE: 262.62
Epoch 028	LOSS: 182.43	MAE: 213.62	RMSE: 261.11
Epoch 029	LOSS: 179.73	MAE: 211.99	RMSE: 259.60
Epoch 030	LOSS: 179.74	MAE: 210.37	RMSE: 258.08
Epoch 031	LOSS: 175.72	MAE: 208.75	RMSE: 256.54
Epoch 032	LOSS: 173.60	MAE: 207.13	RMSE: 255.01
Epoch 033	LOSS: 174.86	MAE: 205.53	RMSE: 253.48
Epoch 034	LOSS: 177.88	MAE: 203.92	RMSE: 251.95
Epoch 035	LOSS: 173.04	MAE: 202.34	RMSE: 250.43
Epoch 036	LOSS: 168.87	MAE: 200.77	RMSE: 248.91
Epoch 037	LOSS: 172.86	MAE: 199.23	RMSE: 247.42
Epoch 038	LOSS: 164.60	MAE: 197.71	RMSE: 245.94
Epoch 039	LOSS: 167.47	MAE: 196.22	RMSE: 244.48
Epoch 040	LOSS: 163.71	MAE: 194.76	RMSE: 243.04
Epoch 041	LOSS: 164.75	MAE: 193.31	RMSE: 241.61
Epoch 042	LOSS: 162.43	MAE: 191.89	RMSE: 240.21
Epoch 043	LOSS: 159.95	MAE: 190.52	RMSE: 238.84
Epoch 044	LOSS: 162.15	MAE: 189.18	RMSE: 237.50
Epoch 045	LOSS: 162.47	MAE: 187.88	RMSE: 236.19
Epoch 046	LOSS: 158.63	MAE: 186.63	RMSE: 234.92
Epoch 047	LOSS: 155.37	MAE: 185.43	RMSE: 233.71
Epoch 048	LOSS: 152.19	MAE: 184.27	RMSE: 232.52
Epoch 049	LOSS: 151.67	MAE: 183.17	RMSE: 231.40
Epoch 050	LOSS: 153.61	MAE: 182.12	RMSE: 230.32
Epoch 051	LOSS: 152.44	MAE: 181.16	RMSE: 229.35
Epoch 052	LOSS: 148.54	MAE: 180.31	RMSE: 228.47
Epoch 053	LOSS: 148.57	MAE: 179.57	RMSE: 227.71
Epoch 054	LOSS: 149.62	MAE: 178.88	RMSE: 227.02
Epoch 055	LOSS: 145.66	MAE: 178.30	RMSE: 226.46
Epoch 056	LOSS: 145.64	MAE: 177.84	RMSE: 226.00
Epoch 057	LOSS: 142.96	MAE: 177.49	RMSE: 225.63
Epoch 058	LOSS: 143.32	MAE: 177.15	RMSE: 225.32
Epoch 059	LOSS: 142.02	MAE: 177.02	RMSE: 225.19
Epoch 060	LOSS: 142.55	MAE: 177.10	RMSE: 225.34
Epoch 061	LOSS: 139.63	MAE: 177.31	RMSE: 225.64
Epoch 062	LOSS: 138.30	MAE: 177.50	RMSE: 225.87
Epoch 063	LOSS: 140.28	MAE: 177.81	RMSE: 226.27
Epoch 064	LOSS: 136.97	MAE: 178.15	RMSE: 226.65
Epoch 065	LOSS: 134.35	MAE: 178.74	RMSE: 227.38
Epoch 066	LOSS: 133.02	MAE: 179.29	RMSE: 228.05
Epoch 067	LOSS: 131.06	MAE: 179.73	RMSE: 228.56
Epoch 068	LOSS: 129.91	MAE: 180.18	RMSE: 229.08
Epoch 069	LOSS: 129.30	MAE: 180.26	RMSE: 229.29
Epoch 070	LOSS: 128.01	MAE: 180.57	RMSE: 229.69
Epoch 071	LOSS: 128.63	MAE: 180.45	RMSE: 229.52
Epoch 072	LOSS: 126.43	MAE: 180.70	RMSE: 230.01
Epoch 073	LOSS: 123.82	MAE: 181.11	RMSE: 230.53
Epoch 074	LOSS: 120.03	MAE: 181.15	RMSE: 230.75
Epoch 075	LOSS: 119.51	MAE: 181.22	RMSE: 231.06
Epoch 076	LOSS: 119.12	MAE: 181.05	RMSE: 230.92
Epoch 077	LOSS: 116.29	MAE: 180.54	RMSE: 230.49
Epoch 078	LOSS: 115.42	MAE: 179.94	RMSE: 230.01
Epoch 079	LOSS: 116.05	MAE: 179.30	RMSE: 229.51
Epoch 080	LOSS: 116.52	MAE: 179.18	RMSE: 229.34
Epoch 081	LOSS: 111.99	MAE: 178.79	RMSE: 229.07
Epoch 082	LOSS: 114.59	MAE: 178.31	RMSE: 228.67
Epoch 083	LOSS: 112.92	MAE: 178.15	RMSE: 228.44
Epoch 084	LOSS: 111.18	MAE: 178.07	RMSE: 228.30
Epoch 085	LOSS: 110.18	MAE: 177.42	RMSE: 227.84
Epoch 086	LOSS: 111.45	MAE: 177.36	RMSE: 227.74
Epoch 087	LOSS: 109.43	MAE: 177.06	RMSE: 227.53
Epoch 088	LOSS: 111.51	MAE: 176.92	RMSE: 227.35
Epoch 089	LOSS: 110.43	MAE: 176.42	RMSE: 226.85
Epoch 090	LOSS: 109.44	MAE: 176.15	RMSE: 226.56
Epoch 091	LOSS: 108.42	MAE: 175.80	RMSE: 226.26
Epoch 092	LOSS: 109.04	MAE: 175.76	RMSE: 226.19
Epoch 093	LOSS: 106.08	MAE: 175.35	RMSE: 225.83
Epoch 094	LOSS: 108.03	MAE: 175.19	RMSE: 225.64
Epoch 095	LOSS: 106.84	MAE: 174.85	RMSE: 225.35
Epoch 096	LOSS: 108.00	MAE: 174.81	RMSE: 225.30
Epoch 097	LOSS: 106.15	MAE: 174.46	RMSE: 225.01
Epoch 098	LOSS: 103.50	MAE: 174.30	RMSE: 224.87
Epoch 099	LOSS: 105.42	MAE: 174.06	RMSE: 224.69
Epoch 100	LOSS: 105.16	MAE: 173.86	RMSE: 224.47
Epoch 101	LOSS: 104.95	MAE: 173.38	RMSE: 224.08
Epoch 102	LOSS: 101.83	MAE: 173.25	RMSE: 223.95
Epoch 103	LOSS: 102.62	MAE: 173.01	RMSE: 223.75
Epoch 104	LOSS: 101.04	MAE: 172.77	RMSE: 223.51
Epoch 105	LOSS: 100.33	MAE: 172.32	RMSE: 223.09
Epoch 106	LOSS: 100.17	MAE: 172.25	RMSE: 222.99
Epoch 107	LOSS: 101.89	MAE: 171.89	RMSE: 222.72
Epoch 108	LOSS: 99.81	MAE: 171.78	RMSE: 222.57
Epoch 109	LOSS: 98.89	MAE: 171.30	RMSE: 222.13
Epoch 110	LOSS: 99.93	MAE: 171.11	RMSE: 221.88
Epoch 111	LOSS: 99.77	MAE: 170.68	RMSE: 221.48
Epoch 112	LOSS: 98.87	MAE: 170.64	RMSE: 221.43
Epoch 113	LOSS: 97.05	MAE: 170.31	RMSE: 221.18
Epoch 114	LOSS: 97.11	MAE: 170.28	RMSE: 221.11
Epoch 115	LOSS: 97.30	MAE: 169.83	RMSE: 220.69
Epoch 116	LOSS: 97.22	MAE: 169.69	RMSE: 220.48
Epoch 117	LOSS: 96.75	MAE: 169.24	RMSE: 220.04
Epoch 118	LOSS: 96.99	MAE: 169.09	RMSE: 219.86
Epoch 119	LOSS: 92.79	MAE: 168.71	RMSE: 219.53
Epoch 120	LOSS: 95.69	MAE: 168.69	RMSE: 219.49
Epoch 121	LOSS: 93.93	MAE: 168.28	RMSE: 219.11
Epoch 122	LOSS: 94.27	MAE: 168.20	RMSE: 218.96
Epoch 123	LOSS: 94.22	MAE: 167.80	RMSE: 218.58
Epoch 124	LOSS: 92.55	MAE: 167.77	RMSE: 218.52
Epoch 125	LOSS: 93.86	MAE: 167.41	RMSE: 218.22
Epoch 126	LOSS: 94.11	MAE: 167.37	RMSE: 218.15
Epoch 127	LOSS: 90.60	MAE: 166.97	RMSE: 217.79
Epoch 128	LOSS: 90.57	MAE: 166.84	RMSE: 217.61
Epoch 129	LOSS: 91.37	MAE: 166.52	RMSE: 217.23
Epoch 130	LOSS: 91.30	MAE: 166.67	RMSE: 217.19
Epoch 131	LOSS: 89.60	MAE: 166.34	RMSE: 216.83
Epoch 132	LOSS: 90.44	MAE: 166.30	RMSE: 216.76
Epoch 133	LOSS: 90.09	MAE: 165.83	RMSE: 216.35
