Epoch 000	LOSS: 223.54	MAE: 253.75	RMSE: 296.84
Epoch 001	LOSS: 219.58	MAE: 252.73	RMSE: 295.95
Epoch 002	LOSS: 221.53	MAE: 251.63	RMSE: 295.00
Epoch 003	LOSS: 218.09	MAE: 250.45	RMSE: 293.99
Epoch 004	LOSS: 213.29	MAE: 249.19	RMSE: 292.90
Epoch 005	LOSS: 216.13	MAE: 247.86	RMSE: 291.75
Epoch 006	LOSS: 215.13	MAE: 246.47	RMSE: 290.54
Epoch 007	LOSS: 211.16	MAE: 245.02	RMSE: 289.28
Epoch 008	LOSS: 209.29	MAE: 243.54	RMSE: 287.99
Epoch 009	LOSS: 215.43	MAE: 242.03	RMSE: 286.67
Epoch 010	LOSS: 209.31	MAE: 240.49	RMSE: 285.32
Epoch 011	LOSS: 204.18	MAE: 238.93	RMSE: 283.95
Epoch 012	LOSS: 205.81	MAE: 237.35	RMSE: 282.56
Epoch 013	LOSS: 203.18	MAE: 235.76	RMSE: 281.16
Epoch 014	LOSS: 202.03	MAE: 234.16	RMSE: 279.75
Epoch 015	LOSS: 199.07	MAE: 232.55	RMSE: 278.32
Epoch 016	LOSS: 202.47	MAE: 230.93	RMSE: 276.87
Epoch 017	LOSS: 201.23	MAE: 229.30	RMSE: 275.42
Epoch 018	LOSS: 197.16	MAE: 227.68	RMSE: 273.97
Epoch 019	LOSS: 198.50	MAE: 226.07	RMSE: 272.52
Epoch 020	LOSS: 193.57	MAE: 224.48	RMSE: 271.08
Epoch 021	LOSS: 193.14	MAE: 222.88	RMSE: 269.63
Epoch 022	LOSS: 190.31	MAE: 221.27	RMSE: 268.17
Epoch 023	LOSS: 189.33	MAE: 219.66	RMSE: 266.69
Epoch 024	LOSS: 187.94	MAE: 218.05	RMSE: 265.21
Epoch 025	LOSS: 189.53	MAE: 216.43	RMSE: 263.72
Epoch 026	LOSS: 182.69	MAE: 214.82	RMSE: 262.23
Epoch 027	LOSS: 183.26	MAE: 213.22	RMSE: 260.74
Epoch 028	LOSS: 181.72	MAE: 211.62	RMSE: 259.24
Epoch 029	LOSS: 180.10	MAE: 210.04	RMSE: 257.76
Epoch 030	LOSS: 180.83	MAE: 208.46	RMSE: 256.27
Epoch 031	LOSS: 179.14	MAE: 206.89	RMSE: 254.78
Epoch 032	LOSS: 176.53	MAE: 205.33	RMSE: 253.29
Epoch 033	LOSS: 174.87	MAE: 203.78	RMSE: 251.81
Epoch 034	LOSS: 173.71	MAE: 202.23	RMSE: 250.32
Epoch 035	LOSS: 172.99	MAE: 200.70	RMSE: 248.84
Epoch 036	LOSS: 175.24	MAE: 199.16	RMSE: 247.35
Epoch 037	LOSS: 170.65	MAE: 197.63	RMSE: 245.85
Epoch 038	LOSS: 167.44	MAE: 196.10	RMSE: 244.35
Epoch 039	LOSS: 168.68	MAE: 194.58	RMSE: 242.85
Epoch 040	LOSS: 163.62	MAE: 193.06	RMSE: 241.35
Epoch 041	LOSS: 166.12	MAE: 191.55	RMSE: 239.85
Epoch 042	LOSS: 165.32	MAE: 190.06	RMSE: 238.35
Epoch 043	LOSS: 164.43	MAE: 188.58	RMSE: 236.86
Epoch 044	LOSS: 158.01	MAE: 187.11	RMSE: 235.37
Epoch 045	LOSS: 158.78	MAE: 185.67	RMSE: 233.90
Epoch 046	LOSS: 157.40	MAE: 184.25	RMSE: 232.44
Epoch 047	LOSS: 155.08	MAE: 182.85	RMSE: 230.99
Epoch 048	LOSS: 153.81	MAE: 181.47	RMSE: 229.55
Epoch 049	LOSS: 158.87	MAE: 180.10	RMSE: 228.13
Epoch 050	LOSS: 155.30	MAE: 178.76	RMSE: 226.71
Epoch 051	LOSS: 153.33	MAE: 177.45	RMSE: 225.32
Epoch 052	LOSS: 148.68	MAE: 176.15	RMSE: 223.95
Epoch 053	LOSS: 149.36	MAE: 174.87	RMSE: 222.58
Epoch 054	LOSS: 148.38	MAE: 173.61	RMSE: 221.23
Epoch 055	LOSS: 147.03	MAE: 172.41	RMSE: 219.94
Epoch 056	LOSS: 143.59	MAE: 171.24	RMSE: 218.68
Epoch 057	LOSS: 145.38	MAE: 170.07	RMSE: 217.40
Epoch 058	LOSS: 145.34	MAE: 168.99	RMSE: 216.22
Epoch 059	LOSS: 141.09	MAE: 167.98	RMSE: 215.13
Epoch 060	LOSS: 139.43	MAE: 166.93	RMSE: 213.98
Epoch 061	LOSS: 137.39	MAE: 165.92	RMSE: 212.86
Epoch 062	LOSS: 140.06	MAE: 165.00	RMSE: 211.83
Epoch 063	LOSS: 139.01	MAE: 164.11	RMSE: 210.86
Epoch 064	LOSS: 137.36	MAE: 163.28	RMSE: 209.95
Epoch 065	LOSS: 136.17	MAE: 162.54	RMSE: 209.16
Epoch 066	LOSS: 133.30	MAE: 161.83	RMSE: 208.41
Epoch 067	LOSS: 132.27	MAE: 161.09	RMSE: 207.63
Epoch 068	LOSS: 129.08	MAE: 160.82	RMSE: 207.44
Epoch 069	LOSS: 130.52	MAE: 160.25	RMSE: 206.87
Epoch 070	LOSS: 125.90	MAE: 160.12	RMSE: 206.83
Epoch 071	LOSS: 127.56	MAE: 160.32	RMSE: 207.19
Epoch 072	LOSS: 125.66	MAE: 160.05	RMSE: 206.98
Epoch 073	LOSS: 124.66	MAE: 159.37	RMSE: 206.31
Epoch 074	LOSS: 123.90	MAE: 158.57	RMSE: 205.43
Epoch 075	LOSS: 121.18	MAE: 157.23	RMSE: 203.93
Epoch 076	LOSS: 121.41	MAE: 155.69	RMSE: 202.14
Epoch 077	LOSS: 121.10	MAE: 154.36	RMSE: 200.54
Epoch 078	LOSS: 120.50	MAE: 153.10	RMSE: 198.96
Epoch 079	LOSS: 116.86	MAE: 152.16	RMSE: 197.81
Epoch 080	LOSS: 117.90	MAE: 151.31	RMSE: 196.75
Epoch 081	LOSS: 119.06	MAE: 150.43	RMSE: 195.63
Epoch 082	LOSS: 117.00	MAE: 149.17	RMSE: 194.09
Epoch 083	LOSS: 113.44	MAE: 148.56	RMSE: 193.43
Epoch 084	LOSS: 112.76	MAE: 147.66	RMSE: 192.38
Epoch 085	LOSS: 113.59	MAE: 146.94	RMSE: 191.55
Epoch 086	LOSS: 112.38	MAE: 146.68	RMSE: 191.44
Epoch 087	LOSS: 114.42	MAE: 146.22	RMSE: 190.85
Epoch 088	LOSS: 112.87	MAE: 145.41	RMSE: 189.68
Epoch 089	LOSS: 114.16	MAE: 144.83	RMSE: 188.90
Epoch 090	LOSS: 112.36	MAE: 144.42	RMSE: 188.41
Epoch 091	LOSS: 110.30	MAE: 144.16	RMSE: 188.11
Epoch 092	LOSS: 110.98	MAE: 143.72	RMSE: 187.52
Epoch 093	LOSS: 108.05	MAE: 143.93	RMSE: 187.87
Epoch 094	LOSS: 109.68	MAE: 144.26	RMSE: 188.38
Epoch 095	LOSS: 107.99	MAE: 144.12	RMSE: 188.19
Epoch 096	LOSS: 108.52	MAE: 144.09	RMSE: 188.19
Epoch 097	LOSS: 107.84	MAE: 144.57	RMSE: 188.87
Epoch 098	LOSS: 107.87	MAE: 144.89	RMSE: 189.39
Epoch 099	LOSS: 105.30	MAE: 145.26	RMSE: 189.91
Epoch 100	LOSS: 104.60	MAE: 145.16	RMSE: 189.81
Epoch 101	LOSS: 104.12	MAE: 144.62	RMSE: 189.18
Epoch 102	LOSS: 103.08	MAE: 144.64	RMSE: 189.28
Epoch 103	LOSS: 102.59	MAE: 143.92	RMSE: 188.34
Epoch 104	LOSS: 105.77	MAE: 143.30	RMSE: 187.56
Epoch 105	LOSS: 101.55	MAE: 143.17	RMSE: 187.49
Epoch 106	LOSS: 104.65	MAE: 143.05	RMSE: 187.40
Epoch 107	LOSS: 101.15	MAE: 142.41	RMSE: 186.53
Epoch 108	LOSS: 101.82	MAE: 142.80	RMSE: 187.18
Epoch 109	LOSS: 101.09	MAE: 143.21	RMSE: 187.87
Epoch 110	LOSS: 101.68	MAE: 144.55	RMSE: 189.71
Epoch 111	LOSS: 102.40	MAE: 145.11	RMSE: 190.36
Epoch 112	LOSS: 100.06	MAE: 146.94	RMSE: 192.84
Epoch 113	LOSS: 101.80	MAE: 147.70	RMSE: 193.91
Epoch 114	LOSS: 99.26	MAE: 149.03	RMSE: 195.73
Epoch 115	LOSS: 99.45	MAE: 147.50	RMSE: 193.62
Epoch 116	LOSS: 99.21	MAE: 145.54	RMSE: 191.28
Epoch 117	LOSS: 96.85	MAE: 144.31	RMSE: 190.05
Epoch 118	LOSS: 98.55	MAE: 143.20	RMSE: 188.58
Epoch 119	LOSS: 97.31	MAE: 142.47	RMSE: 187.49
Epoch 120	LOSS: 97.77	MAE: 145.38	RMSE: 191.77
Epoch 121	LOSS: 95.90	MAE: 144.66	RMSE: 190.42
Epoch 122	LOSS: 96.48	MAE: 145.72	RMSE: 191.92
Epoch 123	LOSS: 95.47	MAE: 151.23	RMSE: 199.13
Epoch 124	LOSS: 95.79	MAE: 145.21	RMSE: 191.88
Epoch 125	LOSS: 96.05	MAE: 142.22	RMSE: 186.98
Epoch 126	LOSS: 96.38	MAE: 142.48	RMSE: 187.23
Epoch 127	LOSS: 93.72	MAE: 142.63	RMSE: 188.10
Epoch 128	LOSS: 95.61	MAE: 147.07	RMSE: 194.41
