Epoch 000	LOSS: 223.35	MAE: 254.10	RMSE: 297.14
Epoch 001	LOSS: 225.11	MAE: 253.28	RMSE: 296.42
Epoch 002	LOSS: 220.29	MAE: 252.36	RMSE: 295.63
Epoch 003	LOSS: 217.84	MAE: 251.36	RMSE: 294.76
Epoch 004	LOSS: 214.58	MAE: 250.26	RMSE: 293.80
Epoch 005	LOSS: 216.08	MAE: 249.07	RMSE: 292.77
Epoch 006	LOSS: 213.94	MAE: 247.80	RMSE: 291.67
Epoch 007	LOSS: 212.12	MAE: 246.45	RMSE: 290.50
Epoch 008	LOSS: 212.51	MAE: 245.03	RMSE: 289.27
Epoch 009	LOSS: 212.55	MAE: 243.56	RMSE: 287.99
Epoch 010	LOSS: 207.75	MAE: 242.04	RMSE: 286.67
Epoch 011	LOSS: 207.33	MAE: 240.50	RMSE: 285.32
Epoch 012	LOSS: 204.82	MAE: 238.94	RMSE: 283.95
Epoch 013	LOSS: 206.40	MAE: 237.36	RMSE: 282.57
Epoch 014	LOSS: 205.13	MAE: 235.77	RMSE: 281.17
Epoch 015	LOSS: 200.66	MAE: 234.16	RMSE: 279.75
Epoch 016	LOSS: 198.26	MAE: 232.54	RMSE: 278.31
Epoch 017	LOSS: 197.67	MAE: 230.89	RMSE: 276.84
Epoch 018	LOSS: 199.04	MAE: 229.23	RMSE: 275.36
Epoch 019	LOSS: 196.34	MAE: 227.56	RMSE: 273.86
Epoch 020	LOSS: 192.27	MAE: 225.88	RMSE: 272.35
Epoch 021	LOSS: 193.51	MAE: 224.21	RMSE: 270.84
Epoch 022	LOSS: 189.45	MAE: 222.55	RMSE: 269.33
Epoch 023	LOSS: 190.11	MAE: 220.88	RMSE: 267.81
Epoch 024	LOSS: 190.60	MAE: 219.21	RMSE: 266.29
Epoch 025	LOSS: 185.35	MAE: 217.53	RMSE: 264.74
Epoch 026	LOSS: 186.14	MAE: 215.85	RMSE: 263.19
Epoch 027	LOSS: 183.23	MAE: 214.18	RMSE: 261.63
Epoch 028	LOSS: 183.45	MAE: 212.52	RMSE: 260.08
Epoch 029	LOSS: 181.98	MAE: 210.86	RMSE: 258.53
Epoch 030	LOSS: 175.97	MAE: 209.22	RMSE: 256.99
Epoch 031	LOSS: 177.17	MAE: 207.60	RMSE: 255.45
Epoch 032	LOSS: 174.08	MAE: 206.00	RMSE: 253.93
Epoch 033	LOSS: 172.39	MAE: 204.42	RMSE: 252.42
Epoch 034	LOSS: 171.37	MAE: 202.85	RMSE: 250.91
Epoch 035	LOSS: 173.42	MAE: 201.28	RMSE: 249.40
Epoch 036	LOSS: 173.27	MAE: 199.71	RMSE: 247.88
Epoch 037	LOSS: 166.72	MAE: 198.15	RMSE: 246.36
Epoch 038	LOSS: 167.70	MAE: 196.60	RMSE: 244.85
Epoch 039	LOSS: 169.30	MAE: 195.07	RMSE: 243.34
Epoch 040	LOSS: 166.91	MAE: 193.54	RMSE: 241.83
Epoch 041	LOSS: 164.24	MAE: 192.04	RMSE: 240.34
Epoch 042	LOSS: 159.90	MAE: 190.57	RMSE: 238.86
Epoch 043	LOSS: 161.27	MAE: 189.10	RMSE: 237.39
Epoch 044	LOSS: 161.29	MAE: 187.67	RMSE: 235.94
Epoch 045	LOSS: 157.07	MAE: 186.27	RMSE: 234.52
Epoch 046	LOSS: 159.63	MAE: 184.90	RMSE: 233.12
Epoch 047	LOSS: 154.69	MAE: 183.57	RMSE: 231.74
Epoch 048	LOSS: 154.77	MAE: 182.27	RMSE: 230.39
Epoch 049	LOSS: 152.64	MAE: 181.00	RMSE: 229.07
Epoch 050	LOSS: 150.18	MAE: 179.78	RMSE: 227.79
Epoch 051	LOSS: 148.74	MAE: 178.60	RMSE: 226.55
Epoch 052	LOSS: 149.86	MAE: 177.45	RMSE: 225.34
Epoch 053	LOSS: 149.07	MAE: 176.35	RMSE: 224.18
Epoch 054	LOSS: 145.58	MAE: 175.30	RMSE: 223.07
Epoch 055	LOSS: 148.03	MAE: 174.32	RMSE: 222.02
Epoch 056	LOSS: 145.48	MAE: 173.42	RMSE: 221.06
Epoch 057	LOSS: 143.00	MAE: 172.54	RMSE: 220.13
Epoch 058	LOSS: 142.17	MAE: 171.83	RMSE: 219.36
Epoch 059	LOSS: 142.14	MAE: 171.21	RMSE: 218.71
Epoch 060	LOSS: 139.69	MAE: 170.66	RMSE: 218.13
Epoch 061	LOSS: 139.43	MAE: 170.28	RMSE: 217.77
Epoch 062	LOSS: 136.05	MAE: 170.07	RMSE: 217.58
Epoch 063	LOSS: 139.08	MAE: 169.95	RMSE: 217.49
Epoch 064	LOSS: 135.83	MAE: 169.91	RMSE: 217.44
Epoch 065	LOSS: 134.53	MAE: 169.84	RMSE: 217.49
Epoch 066	LOSS: 132.83	MAE: 169.71	RMSE: 217.40
Epoch 067	LOSS: 131.73	MAE: 169.31	RMSE: 217.17
Epoch 068	LOSS: 130.38	MAE: 169.07	RMSE: 216.87
Epoch 069	LOSS: 130.52	MAE: 168.86	RMSE: 216.73
Epoch 070	LOSS: 126.94	MAE: 169.01	RMSE: 217.01
Epoch 071	LOSS: 128.99	MAE: 169.03	RMSE: 217.05
Epoch 072	LOSS: 125.50	MAE: 168.76	RMSE: 216.97
Epoch 073	LOSS: 124.55	MAE: 168.48	RMSE: 216.65
Epoch 074	LOSS: 122.74	MAE: 168.04	RMSE: 216.38
Epoch 075	LOSS: 122.58	MAE: 168.10	RMSE: 216.44
Epoch 076	LOSS: 121.91	MAE: 167.68	RMSE: 215.99
Epoch 077	LOSS: 118.09	MAE: 166.67	RMSE: 215.25
Epoch 078	LOSS: 117.44	MAE: 166.19	RMSE: 214.86
Epoch 079	LOSS: 118.33	MAE: 164.79	RMSE: 213.16
Epoch 080	LOSS: 117.15	MAE: 163.84	RMSE: 212.12
Epoch 081	LOSS: 115.30	MAE: 162.65	RMSE: 211.04
Epoch 082	LOSS: 115.30	MAE: 161.82	RMSE: 210.15
Epoch 083	LOSS: 112.74	MAE: 160.61	RMSE: 208.79
Epoch 084	LOSS: 115.86	MAE: 159.90	RMSE: 207.99
Epoch 085	LOSS: 114.88	MAE: 158.83	RMSE: 206.85
Epoch 086	LOSS: 111.56	MAE: 158.12	RMSE: 206.19
Epoch 087	LOSS: 110.85	MAE: 157.22	RMSE: 205.33
Epoch 088	LOSS: 110.70	MAE: 156.59	RMSE: 204.63
Epoch 089	LOSS: 111.72	MAE: 155.82	RMSE: 203.80
Epoch 090	LOSS: 110.66	MAE: 155.34	RMSE: 203.25
Epoch 091	LOSS: 108.89	MAE: 154.49	RMSE: 202.38
Epoch 092	LOSS: 110.74	MAE: 153.96	RMSE: 201.82
Epoch 093	LOSS: 110.99	MAE: 153.20	RMSE: 201.04
Epoch 094	LOSS: 107.93	MAE: 152.75	RMSE: 200.53
Epoch 095	LOSS: 107.44	MAE: 151.99	RMSE: 199.72
Epoch 096	LOSS: 108.11	MAE: 151.68	RMSE: 199.35
Epoch 097	LOSS: 106.45	MAE: 150.99	RMSE: 198.59
Epoch 098	LOSS: 108.56	MAE: 150.78	RMSE: 198.35
Epoch 099	LOSS: 106.35	MAE: 150.24	RMSE: 197.79
Epoch 100	LOSS: 106.67	MAE: 149.93	RMSE: 197.43
Epoch 101	LOSS: 106.35	MAE: 149.16	RMSE: 196.56
Epoch 102	LOSS: 105.56	MAE: 148.95	RMSE: 196.31
Epoch 103	LOSS: 105.59	MAE: 148.71	RMSE: 196.06
Epoch 104	LOSS: 106.68	MAE: 149.18	RMSE: 196.53
Epoch 105	LOSS: 105.22	MAE: 149.28	RMSE: 196.67
Epoch 106	LOSS: 105.38	MAE: 148.94	RMSE: 196.28
Epoch 107	LOSS: 103.95	MAE: 149.23	RMSE: 196.56
Epoch 108	LOSS: 103.06	MAE: 149.11	RMSE: 196.44
Epoch 109	LOSS: 103.98	MAE: 148.69	RMSE: 196.01
Epoch 110	LOSS: 103.53	MAE: 149.06	RMSE: 196.37
Epoch 111	LOSS: 102.43	MAE: 148.88	RMSE: 196.20
Epoch 112	LOSS: 101.25	MAE: 148.28	RMSE: 195.62
Epoch 113	LOSS: 102.31	MAE: 148.01	RMSE: 195.23
Epoch 114	LOSS: 100.79	MAE: 146.81	RMSE: 193.88
Epoch 115	LOSS: 100.57	MAE: 145.83	RMSE: 192.76
Epoch 116	LOSS: 99.90	MAE: 145.64	RMSE: 192.52
Epoch 117	LOSS: 99.88	MAE: 145.10	RMSE: 191.91
Epoch 118	LOSS: 100.35	MAE: 144.73	RMSE: 191.55
Epoch 119	LOSS: 100.13	MAE: 144.71	RMSE: 191.49
Epoch 120	LOSS: 100.49	MAE: 144.29	RMSE: 191.03
Epoch 121	LOSS: 99.58	MAE: 144.53	RMSE: 191.26
Epoch 122	LOSS: 97.37	MAE: 144.47	RMSE: 191.15
Epoch 123	LOSS: 99.36	MAE: 145.17	RMSE: 191.81
Epoch 124	LOSS: 100.25	MAE: 145.54	RMSE: 192.19
Epoch 125	LOSS: 101.24	MAE: 145.81	RMSE: 192.46
Epoch 126	LOSS: 99.88	MAE: 145.83	RMSE: 192.43
Epoch 127	LOSS: 97.23	MAE: 145.40	RMSE: 191.96
Epoch 128	LOSS: 98.71	MAE: 145.22	RMSE: 191.70
Epoch 129	LOSS: 96.68	MAE: 144.09	RMSE: 190.43
Epoch 130	LOSS: 96.26	MAE: 143.34	RMSE: 189.49
Epoch 131	LOSS: 93.77	MAE: 142.11	RMSE: 188.13
Epoch 132	LOSS: 96.12	MAE: 141.39	RMSE: 187.28
Epoch 133	LOSS: 95.46	MAE: 140.43	RMSE: 186.23
Epoch 134	LOSS: 95.41	MAE: 140.11	RMSE: 185.81
Epoch 135	LOSS: 93.09	MAE: 139.87	RMSE: 185.52
Epoch 136	LOSS: 94.94	MAE: 140.29	RMSE: 185.92
Epoch 137	LOSS: 94.13	MAE: 140.34	RMSE: 185.96
Epoch 138	LOSS: 91.87	MAE: 140.78	RMSE: 186.36
Epoch 139	LOSS: 93.59	MAE: 140.76	RMSE: 186.26
Epoch 140	LOSS: 92.40	MAE: 141.25	RMSE: 186.67
Epoch 141	LOSS: 92.71	MAE: 141.33	RMSE: 186.78
Epoch 142	LOSS: 90.08	MAE: 141.70	RMSE: 187.14
Epoch 143	LOSS: 90.11	MAE: 140.94	RMSE: 186.32
Epoch 144	LOSS: 89.78	MAE: 140.88	RMSE: 186.23
Epoch 145	LOSS: 91.63	MAE: 140.53	RMSE: 185.85
Epoch 146	LOSS: 91.33	MAE: 140.81	RMSE: 186.13
Epoch 147	LOSS: 90.85	MAE: 140.42	RMSE: 185.69
Epoch 148	LOSS: 90.02	MAE: 140.55	RMSE: 185.80
Epoch 149	LOSS: 90.26	MAE: 140.01	RMSE: 185.22
Epoch 150	LOSS: 91.34	MAE: 139.98	RMSE: 185.14
Epoch 151	LOSS: 87.83	MAE: 139.39	RMSE: 184.48
Epoch 152	LOSS: 88.11	MAE: 138.92	RMSE: 183.88
Epoch 153	LOSS: 87.38	MAE: 137.66	RMSE: 182.44
Epoch 154	LOSS: 88.68	MAE: 137.46	RMSE: 182.18
Epoch 155	LOSS: 88.19	MAE: 137.30	RMSE: 181.98
Epoch 156	LOSS: 87.62	MAE: 137.60	RMSE: 182.29
Epoch 157	LOSS: 88.35	MAE: 137.42	RMSE: 182.11
Epoch 158	LOSS: 88.13	MAE: 137.08	RMSE: 181.67
Epoch 159	LOSS: 87.01	MAE: 135.95	RMSE: 180.39
Epoch 160	LOSS: 88.49	MAE: 135.74	RMSE: 180.14
Epoch 161	LOSS: 86.71	MAE: 134.83	RMSE: 179.13
Epoch 162	LOSS: 88.61	MAE: 134.72	RMSE: 179.01
Epoch 163	LOSS: 87.77	MAE: 134.20	RMSE: 178.47
Epoch 164	LOSS: 85.96	MAE: 134.40	RMSE: 178.69
Epoch 165	LOSS: 86.83	MAE: 134.08	RMSE: 178.33
Epoch 166	LOSS: 86.06	MAE: 134.35	RMSE: 178.63
Epoch 167	LOSS: 85.54	MAE: 134.22	RMSE: 178.51
Epoch 168	LOSS: 85.19	MAE: 134.44	RMSE: 178.82
Epoch 169	LOSS: 84.82	MAE: 133.99	RMSE: 178.36
Epoch 170	LOSS: 85.44	MAE: 134.01	RMSE: 178.42
Epoch 171	LOSS: 82.85	MAE: 133.40	RMSE: 177.77
Epoch 172	LOSS: 83.08	MAE: 133.37	RMSE: 177.70
Epoch 173	LOSS: 82.87	MAE: 132.87	RMSE: 177.05
Epoch 174	LOSS: 83.46	MAE: 132.77	RMSE: 176.87
Epoch 175	LOSS: 82.41	MAE: 132.18	RMSE: 176.16
Epoch 176	LOSS: 83.50	MAE: 132.15	RMSE: 176.13
Epoch 177	LOSS: 81.83	MAE: 131.90	RMSE: 175.92
Epoch 178	LOSS: 82.89	MAE: 131.76	RMSE: 175.79
Epoch 179	LOSS: 83.29	MAE: 130.93	RMSE: 174.84
Epoch 180	LOSS: 83.42	MAE: 130.94	RMSE: 174.84
Epoch 181	LOSS: 82.50	MAE: 130.57	RMSE: 174.41
Epoch 182	LOSS: 81.67	MAE: 130.54	RMSE: 174.39
Epoch 183	LOSS: 81.08	MAE: 129.86	RMSE: 173.65
Epoch 184	LOSS: 80.54	MAE: 129.92	RMSE: 173.76
Epoch 185	LOSS: 79.56	MAE: 129.52	RMSE: 173.33
Epoch 186	LOSS: 80.57	MAE: 129.85	RMSE: 173.74
Epoch 187	LOSS: 80.45	MAE: 129.65	RMSE: 173.53
Epoch 188	LOSS: 80.41	MAE: 129.81	RMSE: 173.73
Epoch 189	LOSS: 80.57	MAE: 129.00	RMSE: 172.83
Epoch 190	LOSS: 80.82	MAE: 129.10	RMSE: 173.00
Epoch 191	LOSS: 80.94	MAE: 128.46	RMSE: 172.24
Epoch 192	LOSS: 80.20	MAE: 128.87	RMSE: 172.65
Epoch 193	LOSS: 79.87	MAE: 128.70	RMSE: 172.42
Epoch 194	LOSS: 78.79	MAE: 129.16	RMSE: 173.02
Epoch 195	LOSS: 78.93	MAE: 128.93	RMSE: 172.82
Epoch 196	LOSS: 77.14	MAE: 129.18	RMSE: 173.15
Epoch 197	LOSS: 77.20	MAE: 128.01	RMSE: 171.78
Epoch 198	LOSS: 78.93	MAE: 127.47	RMSE: 171.20
Epoch 199	LOSS: 78.31	MAE: 126.20	RMSE: 169.64
Epoch 200	LOSS: 78.14	MAE: 125.93	RMSE: 169.26
Epoch 201	LOSS: 77.14	MAE: 125.41	RMSE: 168.54
Epoch 202	LOSS: 77.80	MAE: 125.09	RMSE: 167.96
Epoch 203	LOSS: 76.89	MAE: 124.28	RMSE: 166.87
Epoch 204	LOSS: 78.47	MAE: 124.01	RMSE: 166.57
Epoch 205	LOSS: 78.29	MAE: 123.31	RMSE: 165.56
Epoch 206	LOSS: 78.03	MAE: 123.33	RMSE: 165.53
Epoch 207	LOSS: 77.51	MAE: 122.89	RMSE: 164.95
Epoch 208	LOSS: 75.87	MAE: 123.35	RMSE: 165.52
Epoch 209	LOSS: 76.48	MAE: 123.10	RMSE: 165.07
Epoch 210	LOSS: 75.69	MAE: 123.68	RMSE: 165.81
Epoch 211	LOSS: 76.16	MAE: 123.10	RMSE: 165.09
Epoch 212	LOSS: 76.10	MAE: 123.13	RMSE: 165.25
Epoch 213	LOSS: 74.18	MAE: 122.17	RMSE: 163.98
Epoch 214	LOSS: 74.42	MAE: 122.02	RMSE: 163.80
Epoch 215	LOSS: 73.70	MAE: 121.44	RMSE: 163.02
Epoch 216	LOSS: 75.16	MAE: 122.04	RMSE: 163.77
Epoch 217	LOSS: 74.89	MAE: 121.73	RMSE: 163.33
Epoch 218	LOSS: 73.93	MAE: 122.21	RMSE: 164.03
Epoch 219	LOSS: 74.58	MAE: 122.16	RMSE: 163.96
Epoch 220	LOSS: 72.62	MAE: 122.73	RMSE: 164.68
Epoch 221	LOSS: 73.35	MAE: 122.28	RMSE: 164.04
Epoch 222	LOSS: 74.91	MAE: 122.11	RMSE: 163.76
Epoch 223	LOSS: 73.24	MAE: 121.44	RMSE: 162.89
Epoch 224	LOSS: 73.59	MAE: 122.09	RMSE: 163.78
Epoch 225	LOSS: 73.74	MAE: 122.16	RMSE: 163.92
Epoch 226	LOSS: 73.46	MAE: 122.95	RMSE: 164.94
Epoch 227	LOSS: 74.22	MAE: 123.32	RMSE: 165.22
Epoch 228	LOSS: 72.17	MAE: 124.58	RMSE: 166.62
Epoch 229	LOSS: 73.06	MAE: 123.27	RMSE: 164.87
Epoch 230	LOSS: 73.40	MAE: 123.09	RMSE: 164.68
Epoch 231	LOSS: 73.23	MAE: 122.03	RMSE: 163.43
Epoch 232	LOSS: 73.25	MAE: 122.38	RMSE: 163.95
Epoch 233	LOSS: 72.67	MAE: 122.17	RMSE: 163.62
Epoch 234	LOSS: 71.45	MAE: 123.10	RMSE: 164.77
Epoch 235	LOSS: 71.65	MAE: 122.15	RMSE: 163.50
Epoch 236	LOSS: 72.06	MAE: 122.08	RMSE: 163.49
Epoch 237	LOSS: 72.15	MAE: 120.22	RMSE: 161.22
Epoch 238	LOSS: 72.53	MAE: 120.14	RMSE: 161.31
Epoch 239	LOSS: 71.75	MAE: 119.79	RMSE: 160.87
Epoch 240	LOSS: 70.03	MAE: 120.14	RMSE: 161.33
Epoch 241	LOSS: 72.37	MAE: 119.93	RMSE: 160.89
Epoch 242	LOSS: 70.24	MAE: 120.88	RMSE: 161.98
Epoch 243	LOSS: 71.27	MAE: 122.28	RMSE: 163.52
Epoch 244	LOSS: 70.40	MAE: 122.55	RMSE: 163.85
Epoch 245	LOSS: 70.99	MAE: 121.47	RMSE: 162.57
Epoch 246	LOSS: 69.47	MAE: 121.45	RMSE: 162.60
Epoch 247	LOSS: 70.41	MAE: 120.21	RMSE: 161.05
Epoch 248	LOSS: 71.43	MAE: 121.10	RMSE: 162.18
Epoch 249	LOSS: 70.85	MAE: 121.65	RMSE: 162.63
Epoch 250	LOSS: 71.03	MAE: 121.94	RMSE: 162.90
Epoch 251	LOSS: 70.97	MAE: 120.60	RMSE: 161.37
Epoch 252	LOSS: 70.22	MAE: 119.03	RMSE: 159.68
Epoch 253	LOSS: 69.99	MAE: 117.23	RMSE: 157.42
Epoch 254	LOSS: 70.36	MAE: 117.25	RMSE: 157.56
Epoch 255	LOSS: 69.39	MAE: 117.07	RMSE: 157.27
Epoch 256	LOSS: 68.64	MAE: 118.44	RMSE: 158.85
Epoch 257	LOSS: 69.42	MAE: 119.78	RMSE: 160.17
Epoch 258	LOSS: 67.32	MAE: 122.91	RMSE: 163.84
Epoch 259	LOSS: 69.25	MAE: 124.36	RMSE: 165.65
Epoch 260	LOSS: 68.18	MAE: 126.24	RMSE: 168.24
Epoch 261	LOSS: 68.43	MAE: 125.05	RMSE: 166.87
Epoch 262	LOSS: 67.65	MAE: 123.79	RMSE: 165.35
Epoch 263	LOSS: 68.68	MAE: 120.49	RMSE: 161.01
Epoch 264	LOSS: 67.45	MAE: 121.71	RMSE: 162.31
Epoch 265	LOSS: 66.95	MAE: 123.05	RMSE: 163.71
Epoch 266	LOSS: 67.38	MAE: 122.47	RMSE: 162.80
Epoch 267	LOSS: 67.55	MAE: 120.51	RMSE: 160.43
Epoch 268	LOSS: 66.61	MAE: 120.15	RMSE: 160.33
Epoch 269	LOSS: 67.27	MAE: 119.05	RMSE: 159.44
Epoch 270	LOSS: 68.26	MAE: 119.79	RMSE: 160.62
Epoch 271	LOSS: 66.03	MAE: 118.50	RMSE: 159.10
Epoch 272	LOSS: 66.51	MAE: 117.61	RMSE: 158.01
Epoch 273	LOSS: 66.48	MAE: 116.83	RMSE: 156.89
