Epoch 000	LOSS: 220.61	MAE: 253.99	RMSE: 297.04
Epoch 001	LOSS: 220.09	MAE: 253.12	RMSE: 296.28
Epoch 002	LOSS: 218.29	MAE: 252.18	RMSE: 295.48
Epoch 003	LOSS: 219.16	MAE: 251.16	RMSE: 294.60
Epoch 004	LOSS: 216.98	MAE: 250.07	RMSE: 293.65
Epoch 005	LOSS: 216.99	MAE: 248.89	RMSE: 292.64
Epoch 006	LOSS: 216.59	MAE: 247.65	RMSE: 291.56
Epoch 007	LOSS: 213.79	MAE: 246.33	RMSE: 290.41
Epoch 008	LOSS: 212.52	MAE: 244.96	RMSE: 289.22
Epoch 009	LOSS: 210.62	MAE: 243.54	RMSE: 287.98
Epoch 010	LOSS: 213.67	MAE: 242.07	RMSE: 286.70
Epoch 011	LOSS: 209.55	MAE: 240.57	RMSE: 285.37
Epoch 012	LOSS: 203.68	MAE: 239.04	RMSE: 284.03
Epoch 013	LOSS: 205.08	MAE: 237.49	RMSE: 282.66
Epoch 014	LOSS: 203.50	MAE: 235.93	RMSE: 281.28
Epoch 015	LOSS: 199.58	MAE: 234.36	RMSE: 279.89
Epoch 016	LOSS: 198.86	MAE: 232.78	RMSE: 278.49
Epoch 017	LOSS: 200.31	MAE: 231.20	RMSE: 277.07
Epoch 018	LOSS: 197.90	MAE: 229.60	RMSE: 275.65
Epoch 019	LOSS: 193.38	MAE: 228.01	RMSE: 274.22
Epoch 020	LOSS: 194.56	MAE: 226.38	RMSE: 272.76
Epoch 021	LOSS: 195.74	MAE: 224.76	RMSE: 271.30
Epoch 022	LOSS: 195.46	MAE: 223.13	RMSE: 269.82
Epoch 023	LOSS: 190.60	MAE: 221.51	RMSE: 268.35
Epoch 024	LOSS: 186.87	MAE: 219.90	RMSE: 266.88
Epoch 025	LOSS: 187.51	MAE: 218.26	RMSE: 265.39
Epoch 026	LOSS: 184.05	MAE: 216.63	RMSE: 263.88
Epoch 027	LOSS: 184.05	MAE: 215.00	RMSE: 262.38
Epoch 028	LOSS: 185.90	MAE: 213.38	RMSE: 260.87
Epoch 029	LOSS: 179.08	MAE: 211.76	RMSE: 259.35
Epoch 030	LOSS: 181.96	MAE: 210.15	RMSE: 257.84
Epoch 031	LOSS: 177.93	MAE: 208.54	RMSE: 256.33
Epoch 032	LOSS: 179.08	MAE: 206.95	RMSE: 254.82
Epoch 033	LOSS: 176.75	MAE: 205.39	RMSE: 253.33
Epoch 034	LOSS: 171.45	MAE: 203.84	RMSE: 251.85
Epoch 035	LOSS: 171.82	MAE: 202.32	RMSE: 250.39
Epoch 036	LOSS: 170.73	MAE: 200.80	RMSE: 248.92
Epoch 037	LOSS: 170.18	MAE: 199.31	RMSE: 247.48
Epoch 038	LOSS: 165.94	MAE: 197.85	RMSE: 246.06
Epoch 039	LOSS: 169.34	MAE: 196.42	RMSE: 244.66
Epoch 040	LOSS: 162.82	MAE: 195.02	RMSE: 243.28
Epoch 041	LOSS: 164.89	MAE: 193.67	RMSE: 241.95
Epoch 042	LOSS: 160.13	MAE: 192.36	RMSE: 240.65
Epoch 043	LOSS: 161.11	MAE: 191.07	RMSE: 239.37
Epoch 044	LOSS: 161.91	MAE: 189.84	RMSE: 238.13
Epoch 045	LOSS: 156.82	MAE: 188.68	RMSE: 236.97
Epoch 046	LOSS: 158.20	MAE: 187.58	RMSE: 235.86
Epoch 047	LOSS: 160.35	MAE: 186.52	RMSE: 234.78
Epoch 048	LOSS: 157.91	MAE: 185.57	RMSE: 233.81
Epoch 049	LOSS: 154.82	MAE: 184.73	RMSE: 232.96
Epoch 050	LOSS: 152.42	MAE: 184.00	RMSE: 232.20
Epoch 051	LOSS: 148.28	MAE: 183.38	RMSE: 231.57
Epoch 052	LOSS: 147.81	MAE: 182.86	RMSE: 231.05
Epoch 053	LOSS: 149.22	MAE: 182.42	RMSE: 230.58
Epoch 054	LOSS: 149.09	MAE: 182.08	RMSE: 230.27
Epoch 055	LOSS: 145.37	MAE: 181.87	RMSE: 230.05
Epoch 056	LOSS: 143.42	MAE: 181.78	RMSE: 229.98
Epoch 057	LOSS: 142.03	MAE: 181.70	RMSE: 229.97
Epoch 058	LOSS: 141.86	MAE: 181.76	RMSE: 230.04
Epoch 059	LOSS: 142.40	MAE: 181.86	RMSE: 230.14
Epoch 060	LOSS: 144.93	MAE: 182.02	RMSE: 230.39
Epoch 061	LOSS: 140.16	MAE: 182.35	RMSE: 230.77
Epoch 062	LOSS: 139.30	MAE: 182.80	RMSE: 231.26
Epoch 063	LOSS: 136.28	MAE: 183.18	RMSE: 231.74
Epoch 064	LOSS: 134.97	MAE: 183.81	RMSE: 232.49
Epoch 065	LOSS: 134.05	MAE: 184.28	RMSE: 232.95
Epoch 066	LOSS: 132.80	MAE: 184.87	RMSE: 233.64
Epoch 067	LOSS: 131.78	MAE: 185.94	RMSE: 234.86
Epoch 068	LOSS: 130.56	MAE: 186.20	RMSE: 235.21
Epoch 069	LOSS: 126.85	MAE: 186.84	RMSE: 235.92
Epoch 070	LOSS: 125.69	MAE: 187.19	RMSE: 236.44
Epoch 071	LOSS: 123.67	MAE: 187.69	RMSE: 237.20
Epoch 072	LOSS: 123.08	MAE: 187.89	RMSE: 237.55
Epoch 073	LOSS: 122.83	MAE: 187.91	RMSE: 237.72
Epoch 074	LOSS: 119.10	MAE: 187.87	RMSE: 237.83
Epoch 075	LOSS: 117.42	MAE: 188.06	RMSE: 238.16
Epoch 076	LOSS: 119.39	MAE: 188.11	RMSE: 238.26
Epoch 077	LOSS: 119.77	MAE: 188.00	RMSE: 238.19
Epoch 078	LOSS: 118.09	MAE: 187.89	RMSE: 238.13
Epoch 079	LOSS: 115.35	MAE: 187.58	RMSE: 237.88
Epoch 080	LOSS: 116.60	MAE: 187.34	RMSE: 237.65
Epoch 081	LOSS: 114.26	MAE: 187.10	RMSE: 237.41
Epoch 082	LOSS: 114.08	MAE: 186.77	RMSE: 237.08
Epoch 083	LOSS: 112.86	MAE: 186.35	RMSE: 236.63
Epoch 084	LOSS: 111.73	MAE: 185.85	RMSE: 236.31
Epoch 085	LOSS: 113.62	MAE: 185.60	RMSE: 236.10
Epoch 086	LOSS: 110.51	MAE: 185.27	RMSE: 235.79
Epoch 087	LOSS: 110.66	MAE: 185.08	RMSE: 235.61
Epoch 088	LOSS: 109.51	MAE: 184.67	RMSE: 235.42
Epoch 089	LOSS: 109.31	MAE: 184.54	RMSE: 235.22
Epoch 090	LOSS: 109.78	MAE: 184.38	RMSE: 235.07
Epoch 091	LOSS: 110.78	MAE: 184.29	RMSE: 234.93
Epoch 092	LOSS: 105.55	MAE: 184.08	RMSE: 234.93
Epoch 093	LOSS: 108.03	MAE: 184.27	RMSE: 235.08
Epoch 094	LOSS: 107.50	MAE: 184.10	RMSE: 235.06
Epoch 095	LOSS: 106.62	MAE: 183.76	RMSE: 234.85
Epoch 096	LOSS: 104.82	MAE: 183.78	RMSE: 234.78
Epoch 097	LOSS: 102.67	MAE: 183.64	RMSE: 234.65
Epoch 098	LOSS: 103.82	MAE: 183.33	RMSE: 234.47
Epoch 099	LOSS: 103.88	MAE: 183.44	RMSE: 234.40
Epoch 100	LOSS: 106.46	MAE: 183.21	RMSE: 234.21
Epoch 101	LOSS: 103.03	MAE: 182.68	RMSE: 233.86
Epoch 102	LOSS: 102.96	MAE: 182.69	RMSE: 233.74
Epoch 103	LOSS: 103.04	MAE: 182.47	RMSE: 233.59
Epoch 104	LOSS: 100.88	MAE: 182.28	RMSE: 233.54
Epoch 105	LOSS: 103.15	MAE: 182.27	RMSE: 233.47
Epoch 106	LOSS: 101.65	MAE: 181.95	RMSE: 233.22
Epoch 107	LOSS: 102.00	MAE: 181.74	RMSE: 232.97
Epoch 108	LOSS: 101.76	MAE: 181.45	RMSE: 232.76
Epoch 109	LOSS: 99.89	MAE: 181.44	RMSE: 232.69
Epoch 110	LOSS: 101.17	MAE: 181.09	RMSE: 232.47
Epoch 111	LOSS: 97.89	MAE: 180.97	RMSE: 232.33
Epoch 112	LOSS: 97.22	MAE: 180.79	RMSE: 232.20
Epoch 113	LOSS: 97.63	MAE: 180.57	RMSE: 231.99
Epoch 114	LOSS: 97.90	MAE: 180.36	RMSE: 231.76
Epoch 115	LOSS: 97.53	MAE: 180.03	RMSE: 231.47
Epoch 116	LOSS: 96.85	MAE: 179.78	RMSE: 231.17
Epoch 117	LOSS: 95.20	MAE: 179.31	RMSE: 230.76
Epoch 118	LOSS: 94.71	MAE: 179.03	RMSE: 230.40
Epoch 119	LOSS: 94.69	MAE: 178.56	RMSE: 229.95
Epoch 120	LOSS: 94.06	MAE: 178.34	RMSE: 229.69
Epoch 121	LOSS: 94.34	MAE: 177.97	RMSE: 229.42
Epoch 122	LOSS: 90.98	MAE: 177.75	RMSE: 229.12
Epoch 123	LOSS: 91.06	MAE: 177.22	RMSE: 228.63
Epoch 124	LOSS: 91.10	MAE: 177.04	RMSE: 228.35
Epoch 125	LOSS: 92.36	MAE: 176.61	RMSE: 227.96
Epoch 126	LOSS: 93.36	MAE: 176.53	RMSE: 227.79
Epoch 127	LOSS: 91.47	MAE: 176.13	RMSE: 227.46
Epoch 128	LOSS: 90.06	MAE: 176.05	RMSE: 227.31
Epoch 129	LOSS: 88.42	MAE: 175.60	RMSE: 226.93
Epoch 130	LOSS: 88.68	MAE: 175.50	RMSE: 226.72
Epoch 131	LOSS: 88.77	MAE: 175.13	RMSE: 226.42
Epoch 132	LOSS: 90.09	MAE: 175.13	RMSE: 226.34
Epoch 133	LOSS: 89.29	MAE: 174.94	RMSE: 226.25
Epoch 134	LOSS: 86.95	MAE: 175.15	RMSE: 226.40
Epoch 135	LOSS: 87.47	MAE: 174.99	RMSE: 226.34
Epoch 136	LOSS: 86.87	MAE: 175.17	RMSE: 226.39
Epoch 137	LOSS: 89.19	MAE: 174.69	RMSE: 225.99
Epoch 138	LOSS: 86.18	MAE: 174.68	RMSE: 225.87
Epoch 139	LOSS: 87.17	MAE: 174.26	RMSE: 225.56
Epoch 140	LOSS: 88.03	MAE: 174.14	RMSE: 225.38
Epoch 141	LOSS: 86.54	MAE: 173.67	RMSE: 224.99
Epoch 142	LOSS: 85.92	MAE: 173.54	RMSE: 224.75
Epoch 143	LOSS: 83.59	MAE: 173.00	RMSE: 224.27
Epoch 144	LOSS: 84.62	MAE: 172.93	RMSE: 224.10
Epoch 145	LOSS: 86.07	MAE: 172.61	RMSE: 223.88
Epoch 146	LOSS: 83.11	MAE: 172.50	RMSE: 223.70
Epoch 147	LOSS: 84.98	MAE: 172.11	RMSE: 223.43
Epoch 148	LOSS: 83.41	MAE: 172.05	RMSE: 223.29
Epoch 149	LOSS: 83.62	MAE: 171.59	RMSE: 222.90
Epoch 150	LOSS: 84.66	MAE: 171.50	RMSE: 222.70
Epoch 151	LOSS: 84.16	MAE: 170.95	RMSE: 222.21
Epoch 152	LOSS: 83.66	MAE: 170.77	RMSE: 221.89
Epoch 153	LOSS: 83.82	MAE: 170.33	RMSE: 221.57
Epoch 154	LOSS: 83.38	MAE: 170.46	RMSE: 221.65
Epoch 155	LOSS: 80.60	MAE: 170.09	RMSE: 221.41
Epoch 156	LOSS: 80.44	MAE: 170.08	RMSE: 221.30
Epoch 157	LOSS: 80.95	MAE: 169.68	RMSE: 220.99
Epoch 158	LOSS: 81.82	MAE: 169.78	RMSE: 220.98
Epoch 159	LOSS: 80.52	MAE: 169.40	RMSE: 220.66
Epoch 160	LOSS: 81.30	MAE: 169.41	RMSE: 220.54
Epoch 161	LOSS: 81.21	MAE: 169.05	RMSE: 220.27
Epoch 162	LOSS: 81.27	MAE: 169.04	RMSE: 220.14
Epoch 163	LOSS: 78.21	MAE: 168.61	RMSE: 219.77
Epoch 164	LOSS: 80.69	MAE: 168.69	RMSE: 219.74
Epoch 165	LOSS: 81.25	MAE: 168.45	RMSE: 219.66
