Epoch 000	LOSS: 227.15	MAE: 218.48	RMSE: 264.80
Epoch 001	LOSS: 229.23	MAE: 217.46	RMSE: 263.94
Epoch 002	LOSS: 231.29	MAE: 216.36	RMSE: 263.02
Epoch 003	LOSS: 226.44	MAE: 215.19	RMSE: 262.03
Epoch 004	LOSS: 226.17	MAE: 213.95	RMSE: 260.98
Epoch 005	LOSS: 223.78	MAE: 212.66	RMSE: 259.89
Epoch 006	LOSS: 222.89	MAE: 211.32	RMSE: 258.75
Epoch 007	LOSS: 222.33	MAE: 209.95	RMSE: 257.58
Epoch 008	LOSS: 222.21	MAE: 208.54	RMSE: 256.37
Epoch 009	LOSS: 219.57	MAE: 207.10	RMSE: 255.14
Epoch 010	LOSS: 219.30	MAE: 205.64	RMSE: 253.88
Epoch 011	LOSS: 221.59	MAE: 204.17	RMSE: 252.60
Epoch 012	LOSS: 213.90	MAE: 202.68	RMSE: 251.31
Epoch 013	LOSS: 211.21	MAE: 201.17	RMSE: 249.99
Epoch 014	LOSS: 212.77	MAE: 199.64	RMSE: 248.66
Epoch 015	LOSS: 209.17	MAE: 198.10	RMSE: 247.30
Epoch 016	LOSS: 208.89	MAE: 196.53	RMSE: 245.92
Epoch 017	LOSS: 207.81	MAE: 194.96	RMSE: 244.52
Epoch 018	LOSS: 203.79	MAE: 193.39	RMSE: 243.12
Epoch 019	LOSS: 202.63	MAE: 191.81	RMSE: 241.71
Epoch 020	LOSS: 203.05	MAE: 190.24	RMSE: 240.29
Epoch 021	LOSS: 198.63	MAE: 188.67	RMSE: 238.86
Epoch 022	LOSS: 198.85	MAE: 187.11	RMSE: 237.44
Epoch 023	LOSS: 194.23	MAE: 185.55	RMSE: 236.01
Epoch 024	LOSS: 195.18	MAE: 184.01	RMSE: 234.59
Epoch 025	LOSS: 191.43	MAE: 182.46	RMSE: 233.15
Epoch 026	LOSS: 191.91	MAE: 180.92	RMSE: 231.70
Epoch 027	LOSS: 189.04	MAE: 179.38	RMSE: 230.25
Epoch 028	LOSS: 187.09	MAE: 177.87	RMSE: 228.81
Epoch 029	LOSS: 189.39	MAE: 176.37	RMSE: 227.37
Epoch 030	LOSS: 186.86	MAE: 174.88	RMSE: 225.94
Epoch 031	LOSS: 179.53	MAE: 173.41	RMSE: 224.51
Epoch 032	LOSS: 185.47	MAE: 171.95	RMSE: 223.08
Epoch 033	LOSS: 179.45	MAE: 170.51	RMSE: 221.65
Epoch 034	LOSS: 181.05	MAE: 169.08	RMSE: 220.22
Epoch 035	LOSS: 178.14	MAE: 167.67	RMSE: 218.79
Epoch 036	LOSS: 177.71	MAE: 166.26	RMSE: 217.36
Epoch 037	LOSS: 173.63	MAE: 164.88	RMSE: 215.93
