Epoch 000	LOSS: 229.30	MAE: 218.65	RMSE: 264.93
Epoch 001	LOSS: 230.31	MAE: 217.67	RMSE: 264.12
Epoch 002	LOSS: 229.27	MAE: 216.62	RMSE: 263.23
Epoch 003	LOSS: 225.16	MAE: 215.48	RMSE: 262.26
Epoch 004	LOSS: 226.07	MAE: 214.26	RMSE: 261.23
Epoch 005	LOSS: 224.46	MAE: 212.97	RMSE: 260.14
Epoch 006	LOSS: 220.79	MAE: 211.63	RMSE: 259.00
Epoch 007	LOSS: 221.96	MAE: 210.26	RMSE: 257.82
Epoch 008	LOSS: 223.20	MAE: 208.84	RMSE: 256.61
Epoch 009	LOSS: 219.49	MAE: 207.40	RMSE: 255.37
Epoch 010	LOSS: 218.59	MAE: 205.94	RMSE: 254.12
Epoch 011	LOSS: 214.22	MAE: 204.47	RMSE: 252.84
Epoch 012	LOSS: 211.97	MAE: 202.97	RMSE: 251.55
Epoch 013	LOSS: 210.11	MAE: 201.46	RMSE: 250.23
Epoch 014	LOSS: 209.16	MAE: 199.94	RMSE: 248.91
Epoch 015	LOSS: 209.40	MAE: 198.42	RMSE: 247.57
Epoch 016	LOSS: 209.30	MAE: 196.91	RMSE: 246.24
Epoch 017	LOSS: 209.31	MAE: 195.40	RMSE: 244.90
Epoch 018	LOSS: 204.14	MAE: 193.91	RMSE: 243.57
Epoch 019	LOSS: 202.62	MAE: 192.42	RMSE: 242.24
Epoch 020	LOSS: 203.00	MAE: 190.94	RMSE: 240.91
Epoch 021	LOSS: 203.08	MAE: 189.45	RMSE: 239.57
Epoch 022	LOSS: 197.58	MAE: 187.97	RMSE: 238.22
Epoch 023	LOSS: 197.08	MAE: 186.48	RMSE: 236.86
Epoch 024	LOSS: 196.22	MAE: 184.98	RMSE: 235.49
Epoch 025	LOSS: 193.88	MAE: 183.49	RMSE: 234.11
Epoch 026	LOSS: 191.76	MAE: 182.01	RMSE: 232.73
Epoch 027	LOSS: 192.90	MAE: 180.53	RMSE: 231.34
Epoch 028	LOSS: 189.10	MAE: 179.06	RMSE: 229.95
Epoch 029	LOSS: 183.34	MAE: 177.61	RMSE: 228.57
Epoch 030	LOSS: 187.63	MAE: 176.16	RMSE: 227.18
Epoch 031	LOSS: 187.32	MAE: 174.73	RMSE: 225.80
Epoch 032	LOSS: 182.22	MAE: 173.30	RMSE: 224.42
Epoch 033	LOSS: 182.07	MAE: 171.89	RMSE: 223.04
Epoch 034	LOSS: 181.68	MAE: 170.48	RMSE: 221.66
Epoch 035	LOSS: 180.42	MAE: 169.07	RMSE: 220.29
Epoch 036	LOSS: 175.82	MAE: 167.64	RMSE: 218.89
Epoch 037	LOSS: 177.30	MAE: 166.23	RMSE: 217.50
Epoch 038	LOSS: 173.30	MAE: 164.82	RMSE: 216.08
Epoch 039	LOSS: 169.94	MAE: 163.41	RMSE: 214.65
Epoch 040	LOSS: 172.51	MAE: 162.03	RMSE: 213.23
Epoch 041	LOSS: 171.56	MAE: 160.61	RMSE: 211.78
Epoch 042	LOSS: 167.81	MAE: 159.16	RMSE: 210.30
Epoch 043	LOSS: 166.93	MAE: 157.75	RMSE: 208.85
Epoch 044	LOSS: 165.99	MAE: 156.41	RMSE: 207.42
Epoch 045	LOSS: 166.46	MAE: 155.13	RMSE: 206.04
Epoch 046	LOSS: 160.10	MAE: 153.87	RMSE: 204.68
Epoch 047	LOSS: 161.13	MAE: 152.58	RMSE: 203.36
Epoch 048	LOSS: 160.99	MAE: 151.28	RMSE: 202.06
Epoch 049	LOSS: 157.69	MAE: 150.06	RMSE: 200.72
Epoch 050	LOSS: 156.69	MAE: 148.80	RMSE: 199.31
Epoch 051	LOSS: 153.27	MAE: 147.52	RMSE: 197.92
Epoch 052	LOSS: 156.30	MAE: 146.31	RMSE: 196.57
Epoch 053	LOSS: 154.10	MAE: 145.14	RMSE: 195.23
Epoch 054	LOSS: 152.19	MAE: 143.97	RMSE: 193.94
