Epoch 000	LOSS: 229.69	MAE: 218.64	RMSE: 264.92
Epoch 001	LOSS: 229.49	MAE: 217.62	RMSE: 264.07
Epoch 002	LOSS: 230.47	MAE: 216.53	RMSE: 263.16
Epoch 003	LOSS: 227.77	MAE: 215.38	RMSE: 262.19
Epoch 004	LOSS: 225.46	MAE: 214.16	RMSE: 261.15
Epoch 005	LOSS: 224.80	MAE: 212.89	RMSE: 260.07
Epoch 006	LOSS: 226.48	MAE: 211.58	RMSE: 258.95
Epoch 007	LOSS: 221.67	MAE: 210.22	RMSE: 257.80
Epoch 008	LOSS: 218.82	MAE: 208.85	RMSE: 256.62
Epoch 009	LOSS: 215.39	MAE: 207.45	RMSE: 255.42
Epoch 010	LOSS: 216.70	MAE: 206.05	RMSE: 254.21
Epoch 011	LOSS: 211.34	MAE: 204.63	RMSE: 252.99
Epoch 012	LOSS: 212.56	MAE: 203.21	RMSE: 251.76
Epoch 013	LOSS: 212.45	MAE: 201.78	RMSE: 250.51
Epoch 014	LOSS: 211.33	MAE: 200.34	RMSE: 249.25
Epoch 015	LOSS: 212.17	MAE: 198.90	RMSE: 247.98
Epoch 016	LOSS: 209.85	MAE: 197.43	RMSE: 246.70
Epoch 017	LOSS: 209.11	MAE: 195.96	RMSE: 245.39
Epoch 018	LOSS: 205.70	MAE: 194.46	RMSE: 244.06
Epoch 019	LOSS: 200.46	MAE: 192.95	RMSE: 242.71
Epoch 020	LOSS: 202.63	MAE: 191.46	RMSE: 241.37
Epoch 021	LOSS: 201.74	MAE: 189.97	RMSE: 240.03
Epoch 022	LOSS: 200.74	MAE: 188.49	RMSE: 238.68
Epoch 023	LOSS: 198.90	MAE: 187.01	RMSE: 237.33
Epoch 024	LOSS: 193.28	MAE: 185.54	RMSE: 235.98
Epoch 025	LOSS: 195.11	MAE: 184.07	RMSE: 234.63
Epoch 026	LOSS: 193.54	MAE: 182.61	RMSE: 233.27
Epoch 027	LOSS: 192.91	MAE: 181.15	RMSE: 231.91
Epoch 028	LOSS: 189.32	MAE: 179.70	RMSE: 230.54
Epoch 029	LOSS: 188.09	MAE: 178.26	RMSE: 229.17
Epoch 030	LOSS: 188.50	MAE: 176.83	RMSE: 227.81
Epoch 031	LOSS: 188.06	MAE: 175.41	RMSE: 226.44
Epoch 032	LOSS: 182.05	MAE: 174.00	RMSE: 225.08
Epoch 033	LOSS: 181.50	MAE: 172.61	RMSE: 223.71
Epoch 034	LOSS: 184.71	MAE: 171.22	RMSE: 222.34
Epoch 035	LOSS: 180.70	MAE: 169.85	RMSE: 220.97
Epoch 036	LOSS: 180.74	MAE: 168.48	RMSE: 219.60
Epoch 037	LOSS: 174.99	MAE: 167.13	RMSE: 218.24
Epoch 038	LOSS: 175.17	MAE: 165.80	RMSE: 216.87
Epoch 039	LOSS: 172.39	MAE: 164.49	RMSE: 215.51
Epoch 040	LOSS: 173.49	MAE: 163.19	RMSE: 214.15
Epoch 041	LOSS: 172.96	MAE: 161.91	RMSE: 212.79
Epoch 042	LOSS: 170.15	MAE: 160.64	RMSE: 211.44
Epoch 043	LOSS: 170.14	MAE: 159.39	RMSE: 210.09
Epoch 044	LOSS: 169.04	MAE: 158.16	RMSE: 208.75
Epoch 045	LOSS: 168.54	MAE: 156.93	RMSE: 207.41
Epoch 046	LOSS: 165.54	MAE: 155.71	RMSE: 206.07
Epoch 047	LOSS: 163.15	MAE: 154.49	RMSE: 204.74
Epoch 048	LOSS: 164.42	MAE: 153.30	RMSE: 203.40
Epoch 049	LOSS: 162.03	MAE: 152.12	RMSE: 202.08
Epoch 050	LOSS: 160.97	MAE: 150.97	RMSE: 200.76
Epoch 051	LOSS: 158.89	MAE: 149.81	RMSE: 199.45
Epoch 052	LOSS: 157.49	MAE: 148.57	RMSE: 198.12
Epoch 053	LOSS: 154.16	MAE: 147.21	RMSE: 196.75
Epoch 054	LOSS: 155.90	MAE: 145.91	RMSE: 195.33
Epoch 055	LOSS: 152.90	MAE: 144.72	RMSE: 193.91
Epoch 056	LOSS: 153.32	MAE: 143.56	RMSE: 192.56
Epoch 057	LOSS: 148.75	MAE: 142.48	RMSE: 191.27
Epoch 058	LOSS: 151.51	MAE: 141.45	RMSE: 190.01
Epoch 059	LOSS: 147.50	MAE: 140.45	RMSE: 188.75
Epoch 060	LOSS: 143.72	MAE: 139.39	RMSE: 187.40
Epoch 061	LOSS: 146.02	MAE: 138.37	RMSE: 186.09
Epoch 062	LOSS: 142.80	MAE: 137.42	RMSE: 184.85
Epoch 063	LOSS: 140.71	MAE: 136.51	RMSE: 183.66
Epoch 064	LOSS: 140.80	MAE: 135.62	RMSE: 182.47
Epoch 065	LOSS: 139.60	MAE: 134.78	RMSE: 181.35
Epoch 066	LOSS: 141.72	MAE: 133.98	RMSE: 180.25
Epoch 067	LOSS: 138.57	MAE: 133.16	RMSE: 179.12
Epoch 068	LOSS: 137.37	MAE: 132.40	RMSE: 178.08
Epoch 069	LOSS: 136.23	MAE: 131.66	RMSE: 177.07
Epoch 070	LOSS: 134.86	MAE: 130.98	RMSE: 176.15
Epoch 071	LOSS: 135.31	MAE: 130.28	RMSE: 175.22
Epoch 072	LOSS: 130.97	MAE: 129.64	RMSE: 174.44
Epoch 073	LOSS: 132.76	MAE: 129.04	RMSE: 173.70
Epoch 074	LOSS: 130.43	MAE: 128.40	RMSE: 172.82
Epoch 075	LOSS: 130.79	MAE: 127.91	RMSE: 172.27
Epoch 076	LOSS: 130.13	MAE: 127.49	RMSE: 171.89
Epoch 077	LOSS: 127.85	MAE: 126.99	RMSE: 171.37
Epoch 078	LOSS: 126.97	MAE: 126.60	RMSE: 171.15
Epoch 079	LOSS: 125.14	MAE: 126.27	RMSE: 171.08
Epoch 080	LOSS: 125.56	MAE: 125.70	RMSE: 170.72
Epoch 081	LOSS: 120.51	MAE: 125.25	RMSE: 170.59
Epoch 082	LOSS: 119.14	MAE: 124.73	RMSE: 170.24
Epoch 083	LOSS: 117.29	MAE: 124.24	RMSE: 170.11
Epoch 084	LOSS: 119.73	MAE: 123.98	RMSE: 170.17
Epoch 085	LOSS: 117.16	MAE: 123.71	RMSE: 169.96
Epoch 086	LOSS: 117.07	MAE: 123.52	RMSE: 169.78
Epoch 087	LOSS: 114.82	MAE: 123.22	RMSE: 169.39
Epoch 088	LOSS: 114.53	MAE: 122.84	RMSE: 168.94
Epoch 089	LOSS: 115.46	MAE: 122.38	RMSE: 168.42
Epoch 090	LOSS: 111.92	MAE: 121.82	RMSE: 167.89
Epoch 091	LOSS: 113.29	MAE: 121.27	RMSE: 167.20
Epoch 092	LOSS: 112.51	MAE: 120.80	RMSE: 166.56
Epoch 093	LOSS: 111.09	MAE: 120.25	RMSE: 165.80
Epoch 094	LOSS: 112.34	MAE: 119.89	RMSE: 165.24
Epoch 095	LOSS: 111.00	MAE: 119.48	RMSE: 164.57
Epoch 096	LOSS: 110.91	MAE: 119.12	RMSE: 164.23
Epoch 097	LOSS: 109.61	MAE: 118.66	RMSE: 163.54
Epoch 098	LOSS: 108.79	MAE: 118.16	RMSE: 162.76
Epoch 099	LOSS: 107.38	MAE: 117.72	RMSE: 162.02
Epoch 100	LOSS: 109.11	MAE: 117.33	RMSE: 161.51
Epoch 101	LOSS: 105.82	MAE: 116.94	RMSE: 160.96
Epoch 102	LOSS: 107.13	MAE: 116.55	RMSE: 160.39
Epoch 103	LOSS: 108.45	MAE: 116.22	RMSE: 159.90
Epoch 104	LOSS: 105.11	MAE: 115.87	RMSE: 159.41
Epoch 105	LOSS: 105.70	MAE: 115.63	RMSE: 159.18
Epoch 106	LOSS: 105.06	MAE: 115.30	RMSE: 158.82
Epoch 107	LOSS: 104.66	MAE: 115.06	RMSE: 158.59
Epoch 108	LOSS: 104.63	MAE: 114.74	RMSE: 158.00
Epoch 109	LOSS: 105.16	MAE: 114.47	RMSE: 157.57
Epoch 110	LOSS: 105.15	MAE: 114.20	RMSE: 157.13
Epoch 111	LOSS: 104.66	MAE: 113.92	RMSE: 156.76
Epoch 112	LOSS: 102.66	MAE: 113.71	RMSE: 156.41
Epoch 113	LOSS: 103.87	MAE: 113.48	RMSE: 156.15
Epoch 114	LOSS: 103.47	MAE: 113.23	RMSE: 155.71
Epoch 115	LOSS: 101.83	MAE: 112.96	RMSE: 155.42
Epoch 116	LOSS: 102.45	MAE: 112.75	RMSE: 155.10
Epoch 117	LOSS: 104.14	MAE: 112.54	RMSE: 154.95
Epoch 118	LOSS: 101.48	MAE: 112.30	RMSE: 154.77
Epoch 119	LOSS: 102.05	MAE: 111.90	RMSE: 154.53
Epoch 120	LOSS: 100.75	MAE: 111.51	RMSE: 154.05
Epoch 121	LOSS: 102.84	MAE: 111.38	RMSE: 153.79
Epoch 122	LOSS: 102.32	MAE: 111.20	RMSE: 153.69
Epoch 123	LOSS: 102.63	MAE: 110.79	RMSE: 152.98
Epoch 124	LOSS: 99.29	MAE: 110.51	RMSE: 152.45
Epoch 125	LOSS: 97.95	MAE: 110.23	RMSE: 152.05
Epoch 126	LOSS: 99.49	MAE: 109.97	RMSE: 151.87
Epoch 127	LOSS: 99.17	MAE: 109.68	RMSE: 151.56
Epoch 128	LOSS: 98.05	MAE: 109.45	RMSE: 151.10
Epoch 129	LOSS: 96.52	MAE: 109.14	RMSE: 150.74
Epoch 130	LOSS: 97.52	MAE: 108.87	RMSE: 150.50
Epoch 131	LOSS: 97.24	MAE: 108.54	RMSE: 149.99
Epoch 132	LOSS: 97.57	MAE: 108.25	RMSE: 149.58
Epoch 133	LOSS: 97.13	MAE: 107.94	RMSE: 149.29
Epoch 134	LOSS: 98.23	MAE: 107.63	RMSE: 148.91
Epoch 135	LOSS: 95.48	MAE: 107.08	RMSE: 148.59
Epoch 136	LOSS: 96.85	MAE: 106.44	RMSE: 147.97
Epoch 137	LOSS: 95.49	MAE: 106.16	RMSE: 147.69
Epoch 138	LOSS: 93.83	MAE: 105.82	RMSE: 147.06
Epoch 139	LOSS: 93.25	MAE: 105.50	RMSE: 146.58
Epoch 140	LOSS: 95.33	MAE: 105.20	RMSE: 145.93
