Epoch 000	LOSS: 232.98	MAE: 218.55	RMSE: 264.85
Epoch 001	LOSS: 229.85	MAE: 217.50	RMSE: 263.97
Epoch 002	LOSS: 225.45	MAE: 216.36	RMSE: 263.01
Epoch 003	LOSS: 228.85	MAE: 215.13	RMSE: 261.97
Epoch 004	LOSS: 229.85	MAE: 213.82	RMSE: 260.86
Epoch 005	LOSS: 228.59	MAE: 212.44	RMSE: 259.70
Epoch 006	LOSS: 221.62	MAE: 211.02	RMSE: 258.48
Epoch 007	LOSS: 220.15	MAE: 209.56	RMSE: 257.23
Epoch 008	LOSS: 218.44	MAE: 208.06	RMSE: 255.95
Epoch 009	LOSS: 217.89	MAE: 206.54	RMSE: 254.65
Epoch 010	LOSS: 215.62	MAE: 205.00	RMSE: 253.32
Epoch 011	LOSS: 213.80	MAE: 203.44	RMSE: 251.96
Epoch 012	LOSS: 213.34	MAE: 201.85	RMSE: 250.58
Epoch 013	LOSS: 213.32	MAE: 200.24	RMSE: 249.18
Epoch 014	LOSS: 208.39	MAE: 198.64	RMSE: 247.77
Epoch 015	LOSS: 209.29	MAE: 197.04	RMSE: 246.37
Epoch 016	LOSS: 202.65	MAE: 195.46	RMSE: 244.96
Epoch 017	LOSS: 203.99	MAE: 193.89	RMSE: 243.57
Epoch 018	LOSS: 201.54	MAE: 192.34	RMSE: 242.18
Epoch 019	LOSS: 200.93	MAE: 190.80	RMSE: 240.80
Epoch 020	LOSS: 201.13	MAE: 189.27	RMSE: 239.40
Epoch 021	LOSS: 201.07	MAE: 187.73	RMSE: 238.00
Epoch 022	LOSS: 196.68	MAE: 186.19	RMSE: 236.60
Epoch 023	LOSS: 196.20	MAE: 184.65	RMSE: 235.18
Epoch 024	LOSS: 193.78	MAE: 183.12	RMSE: 233.77
Epoch 025	LOSS: 192.18	MAE: 181.60	RMSE: 232.34
Epoch 026	LOSS: 193.04	MAE: 180.08	RMSE: 230.92
Epoch 027	LOSS: 189.81	MAE: 178.58	RMSE: 229.49
Epoch 028	LOSS: 187.09	MAE: 177.08	RMSE: 228.06
Epoch 029	LOSS: 183.76	MAE: 175.60	RMSE: 226.64
Epoch 030	LOSS: 182.84	MAE: 174.13	RMSE: 225.21
Epoch 031	LOSS: 182.01	MAE: 172.68	RMSE: 223.79
Epoch 032	LOSS: 182.68	MAE: 171.24	RMSE: 222.38
Epoch 033	LOSS: 180.55	MAE: 169.83	RMSE: 220.97
Epoch 034	LOSS: 178.85	MAE: 168.43	RMSE: 219.57
Epoch 035	LOSS: 176.90	MAE: 167.05	RMSE: 218.17
Epoch 036	LOSS: 173.64	MAE: 165.68	RMSE: 216.77
Epoch 037	LOSS: 175.00	MAE: 164.33	RMSE: 215.36
Epoch 038	LOSS: 175.54	MAE: 162.99	RMSE: 213.96
Epoch 039	LOSS: 170.11	MAE: 161.66	RMSE: 212.55
Epoch 040	LOSS: 171.18	MAE: 160.36	RMSE: 211.16
Epoch 041	LOSS: 171.51	MAE: 159.10	RMSE: 209.79
Epoch 042	LOSS: 166.61	MAE: 157.85	RMSE: 208.43
