Epoch 000	LOSS: 229.02	MAE: 218.50	RMSE: 264.81
Epoch 001	LOSS: 227.48	MAE: 217.48	RMSE: 263.96
Epoch 002	LOSS: 228.21	MAE: 216.38	RMSE: 263.03
Epoch 003	LOSS: 227.79	MAE: 215.21	RMSE: 262.03
Epoch 004	LOSS: 229.69	MAE: 213.97	RMSE: 260.99
Epoch 005	LOSS: 223.52	MAE: 212.68	RMSE: 259.89
Epoch 006	LOSS: 223.03	MAE: 211.36	RMSE: 258.77
Epoch 007	LOSS: 222.16	MAE: 210.01	RMSE: 257.62
Epoch 008	LOSS: 218.10	MAE: 208.64	RMSE: 256.44
Epoch 009	LOSS: 216.76	MAE: 207.26	RMSE: 255.25
Epoch 010	LOSS: 214.75	MAE: 205.87	RMSE: 254.05
Epoch 011	LOSS: 215.84	MAE: 204.47	RMSE: 252.85
Epoch 012	LOSS: 215.53	MAE: 203.06	RMSE: 251.63
Epoch 013	LOSS: 212.66	MAE: 201.64	RMSE: 250.39
Epoch 014	LOSS: 209.49	MAE: 200.21	RMSE: 249.15
Epoch 015	LOSS: 208.70	MAE: 198.78	RMSE: 247.89
Epoch 016	LOSS: 210.81	MAE: 197.34	RMSE: 246.62
Epoch 017	LOSS: 211.20	MAE: 195.89	RMSE: 245.34
Epoch 018	LOSS: 204.77	MAE: 194.44	RMSE: 244.05
Epoch 019	LOSS: 203.35	MAE: 192.99	RMSE: 242.75
Epoch 020	LOSS: 203.14	MAE: 191.54	RMSE: 241.45
Epoch 021	LOSS: 201.95	MAE: 190.09	RMSE: 240.15
Epoch 022	LOSS: 199.86	MAE: 188.64	RMSE: 238.84
Epoch 023	LOSS: 199.75	MAE: 187.20	RMSE: 237.52
Epoch 024	LOSS: 196.06	MAE: 185.76	RMSE: 236.20
Epoch 025	LOSS: 197.59	MAE: 184.32	RMSE: 234.87
Epoch 026	LOSS: 197.98	MAE: 182.89	RMSE: 233.54
Epoch 027	LOSS: 191.83	MAE: 181.46	RMSE: 232.21
Epoch 028	LOSS: 192.28	MAE: 180.04	RMSE: 230.87
Epoch 029	LOSS: 187.75	MAE: 178.63	RMSE: 229.53
Epoch 030	LOSS: 186.48	MAE: 177.22	RMSE: 228.19
Epoch 031	LOSS: 184.24	MAE: 175.82	RMSE: 226.85
Epoch 032	LOSS: 186.20	MAE: 174.43	RMSE: 225.50
Epoch 033	LOSS: 185.36	MAE: 173.04	RMSE: 224.15
Epoch 034	LOSS: 182.70	MAE: 171.67	RMSE: 222.80
Epoch 035	LOSS: 181.44	MAE: 170.31	RMSE: 221.45
Epoch 036	LOSS: 180.74	MAE: 168.95	RMSE: 220.09
Epoch 037	LOSS: 179.02	MAE: 167.61	RMSE: 218.74
Epoch 038	LOSS: 175.22	MAE: 166.29	RMSE: 217.38
Epoch 039	LOSS: 175.04	MAE: 164.98	RMSE: 216.03
Epoch 040	LOSS: 172.42	MAE: 163.68	RMSE: 214.68
Epoch 041	LOSS: 170.79	MAE: 162.39	RMSE: 213.33
Epoch 042	LOSS: 173.69	MAE: 161.10	RMSE: 211.97
Epoch 043	LOSS: 169.71	MAE: 159.79	RMSE: 210.60
Epoch 044	LOSS: 168.89	MAE: 158.51	RMSE: 209.24
Epoch 045	LOSS: 167.16	MAE: 157.26	RMSE: 207.89
Epoch 046	LOSS: 166.50	MAE: 156.02	RMSE: 206.55
Epoch 047	LOSS: 165.38	MAE: 154.78	RMSE: 205.20
Epoch 048	LOSS: 161.97	MAE: 153.52	RMSE: 203.82
Epoch 049	LOSS: 163.70	MAE: 152.26	RMSE: 202.40
Epoch 050	LOSS: 154.81	MAE: 150.98	RMSE: 200.97
Epoch 051	LOSS: 160.82	MAE: 149.74	RMSE: 199.54
Epoch 052	LOSS: 156.93	MAE: 148.53	RMSE: 198.14
Epoch 053	LOSS: 154.67	MAE: 147.34	RMSE: 196.73
Epoch 054	LOSS: 154.33	MAE: 146.17	RMSE: 195.31
Epoch 055	LOSS: 153.05	MAE: 145.04	RMSE: 193.94
Epoch 056	LOSS: 153.66	MAE: 143.92	RMSE: 192.60
Epoch 057	LOSS: 150.62	MAE: 142.78	RMSE: 191.31
Epoch 058	LOSS: 150.60	MAE: 141.75	RMSE: 189.99
