Epoch 000	LOSS: 232.18	MAE: 218.65	RMSE: 264.93
Epoch 001	LOSS: 230.46	MAE: 217.65	RMSE: 264.09
Epoch 002	LOSS: 228.52	MAE: 216.55	RMSE: 263.17
Epoch 003	LOSS: 226.78	MAE: 215.37	RMSE: 262.16
Epoch 004	LOSS: 225.97	MAE: 214.10	RMSE: 261.08
Epoch 005	LOSS: 222.48	MAE: 212.76	RMSE: 259.95
Epoch 006	LOSS: 218.33	MAE: 211.38	RMSE: 258.77
Epoch 007	LOSS: 219.61	MAE: 209.96	RMSE: 257.56
Epoch 008	LOSS: 215.99	MAE: 208.51	RMSE: 256.32
Epoch 009	LOSS: 217.96	MAE: 207.02	RMSE: 255.04
Epoch 010	LOSS: 215.95	MAE: 205.52	RMSE: 253.75
Epoch 011	LOSS: 215.26	MAE: 204.00	RMSE: 252.43
Epoch 012	LOSS: 211.36	MAE: 202.45	RMSE: 251.10
Epoch 013	LOSS: 211.39	MAE: 200.90	RMSE: 249.75
Epoch 014	LOSS: 212.52	MAE: 199.35	RMSE: 248.39
Epoch 015	LOSS: 210.11	MAE: 197.82	RMSE: 247.04
Epoch 016	LOSS: 206.80	MAE: 196.28	RMSE: 245.69
Epoch 017	LOSS: 204.94	MAE: 194.76	RMSE: 244.34
Epoch 018	LOSS: 203.05	MAE: 193.23	RMSE: 242.98
Epoch 019	LOSS: 203.16	MAE: 191.72	RMSE: 241.62
Epoch 020	LOSS: 200.95	MAE: 190.21	RMSE: 240.26
Epoch 021	LOSS: 199.93	MAE: 188.71	RMSE: 238.90
Epoch 022	LOSS: 197.10	MAE: 187.21	RMSE: 237.53
Epoch 023	LOSS: 198.67	MAE: 185.72	RMSE: 236.16
Epoch 024	LOSS: 196.42	MAE: 184.23	RMSE: 234.79
Epoch 025	LOSS: 194.47	MAE: 182.74	RMSE: 233.40
Epoch 026	LOSS: 192.07	MAE: 181.25	RMSE: 232.01
Epoch 027	LOSS: 191.63	MAE: 179.77	RMSE: 230.62
Epoch 028	LOSS: 187.31	MAE: 178.29	RMSE: 229.22
Epoch 029	LOSS: 189.36	MAE: 176.81	RMSE: 227.80
Epoch 030	LOSS: 185.92	MAE: 175.33	RMSE: 226.38
Epoch 031	LOSS: 183.98	MAE: 173.87	RMSE: 224.96
Epoch 032	LOSS: 181.89	MAE: 172.41	RMSE: 223.54
Epoch 033	LOSS: 182.27	MAE: 170.97	RMSE: 222.12
Epoch 034	LOSS: 178.92	MAE: 169.55	RMSE: 220.71
Epoch 035	LOSS: 180.60	MAE: 168.15	RMSE: 219.30
Epoch 036	LOSS: 177.90	MAE: 166.77	RMSE: 217.90
Epoch 037	LOSS: 176.43	MAE: 165.41	RMSE: 216.50
Epoch 038	LOSS: 173.93	MAE: 164.06	RMSE: 215.11
Epoch 039	LOSS: 174.90	MAE: 162.74	RMSE: 213.71
Epoch 040	LOSS: 170.20	MAE: 161.43	RMSE: 212.33
Epoch 041	LOSS: 170.34	MAE: 160.14	RMSE: 210.95
Epoch 042	LOSS: 167.82	MAE: 158.86	RMSE: 209.57
Epoch 043	LOSS: 163.58	MAE: 157.62	RMSE: 208.21
Epoch 044	LOSS: 165.55	MAE: 156.39	RMSE: 206.86
Epoch 045	LOSS: 162.89	MAE: 155.18	RMSE: 205.51
Epoch 046	LOSS: 161.18	MAE: 153.98	RMSE: 204.16
Epoch 047	LOSS: 160.51	MAE: 152.79	RMSE: 202.80
Epoch 048	LOSS: 158.86	MAE: 151.63	RMSE: 201.46
Epoch 049	LOSS: 157.50	MAE: 150.49	RMSE: 200.13
Epoch 050	LOSS: 159.00	MAE: 149.38	RMSE: 198.82
Epoch 051	LOSS: 155.36	MAE: 148.29	RMSE: 197.52
Epoch 052	LOSS: 156.31	MAE: 147.24	RMSE: 196.26
Epoch 053	LOSS: 154.41	MAE: 146.20	RMSE: 195.00
Epoch 054	LOSS: 154.49	MAE: 145.18	RMSE: 193.77
Epoch 055	LOSS: 151.16	MAE: 144.21	RMSE: 192.59
Epoch 056	LOSS: 148.05	MAE: 143.24	RMSE: 191.39
Epoch 057	LOSS: 149.44	MAE: 142.32	RMSE: 190.29
Epoch 058	LOSS: 147.00	MAE: 141.43	RMSE: 189.21
Epoch 059	LOSS: 146.11	MAE: 140.54	RMSE: 188.14
Epoch 060	LOSS: 144.17	MAE: 139.71	RMSE: 187.20
Epoch 061	LOSS: 142.34	MAE: 138.89	RMSE: 186.29
Epoch 062	LOSS: 142.56	MAE: 138.14	RMSE: 185.57
Epoch 063	LOSS: 142.77	MAE: 137.43	RMSE: 184.97
Epoch 064	LOSS: 139.20	MAE: 136.77	RMSE: 184.55
Epoch 065	LOSS: 137.39	MAE: 136.24	RMSE: 184.43
Epoch 066	LOSS: 134.97	MAE: 135.76	RMSE: 184.41
Epoch 067	LOSS: 133.52	MAE: 135.17	RMSE: 184.22
Epoch 068	LOSS: 133.20	MAE: 134.63	RMSE: 184.11
Epoch 069	LOSS: 128.64	MAE: 134.11	RMSE: 183.88
Epoch 070	LOSS: 128.95	MAE: 133.39	RMSE: 183.13
Epoch 071	LOSS: 128.09	MAE: 132.41	RMSE: 181.85
Epoch 072	LOSS: 128.34	MAE: 131.19	RMSE: 180.13
Epoch 073	LOSS: 124.26	MAE: 129.84	RMSE: 178.15
Epoch 074	LOSS: 124.54	MAE: 128.64	RMSE: 176.33
Epoch 075	LOSS: 122.87	MAE: 127.64	RMSE: 174.83
Epoch 076	LOSS: 124.41	MAE: 126.68	RMSE: 173.32
Epoch 077	LOSS: 124.26	MAE: 125.84	RMSE: 171.99
Epoch 078	LOSS: 120.45	MAE: 125.31	RMSE: 171.00
Epoch 079	LOSS: 120.65	MAE: 124.81	RMSE: 170.25
Epoch 080	LOSS: 117.63	MAE: 124.34	RMSE: 170.03
Epoch 081	LOSS: 120.79	MAE: 123.97	RMSE: 169.85
Epoch 082	LOSS: 116.97	MAE: 123.66	RMSE: 169.39
Epoch 083	LOSS: 119.83	MAE: 123.34	RMSE: 169.24
Epoch 084	LOSS: 115.63	MAE: 123.10	RMSE: 169.41
Epoch 085	LOSS: 117.90	MAE: 123.00	RMSE: 169.91
Epoch 086	LOSS: 117.33	MAE: 122.76	RMSE: 169.77
Epoch 087	LOSS: 117.57	MAE: 122.46	RMSE: 169.59
Epoch 088	LOSS: 113.70	MAE: 121.94	RMSE: 168.86
Epoch 089	LOSS: 116.15	MAE: 121.43	RMSE: 168.25
Epoch 090	LOSS: 114.58	MAE: 121.13	RMSE: 168.19
Epoch 091	LOSS: 112.68	MAE: 120.54	RMSE: 167.06
Epoch 092	LOSS: 113.33	MAE: 120.01	RMSE: 166.29
Epoch 093	LOSS: 112.32	MAE: 119.48	RMSE: 165.59
Epoch 094	LOSS: 110.09	MAE: 118.98	RMSE: 165.16
Epoch 095	LOSS: 109.75	MAE: 118.44	RMSE: 164.14
Epoch 096	LOSS: 109.53	MAE: 117.94	RMSE: 163.54
Epoch 097	LOSS: 111.88	MAE: 117.52	RMSE: 163.19
Epoch 098	LOSS: 108.30	MAE: 117.19	RMSE: 163.08
Epoch 099	LOSS: 109.39	MAE: 116.94	RMSE: 163.42
Epoch 100	LOSS: 108.63	MAE: 116.53	RMSE: 162.89
Epoch 101	LOSS: 107.51	MAE: 116.06	RMSE: 162.70
Epoch 102	LOSS: 107.60	MAE: 115.14	RMSE: 160.94
Epoch 103	LOSS: 105.48	MAE: 114.66	RMSE: 159.03
Epoch 104	LOSS: 104.19	MAE: 114.02	RMSE: 158.38
Epoch 105	LOSS: 106.20	MAE: 113.97	RMSE: 159.39
Epoch 106	LOSS: 103.47	MAE: 113.59	RMSE: 159.06
Epoch 107	LOSS: 105.31	MAE: 113.45	RMSE: 158.43
Epoch 108	LOSS: 104.50	MAE: 113.14	RMSE: 159.12
Epoch 109	LOSS: 105.24	MAE: 113.60	RMSE: 160.42
Epoch 110	LOSS: 101.24	MAE: 112.75	RMSE: 159.04
Epoch 111	LOSS: 103.63	MAE: 112.57	RMSE: 157.24
Epoch 112	LOSS: 102.72	MAE: 112.08	RMSE: 156.77
Epoch 113	LOSS: 103.36	MAE: 111.73	RMSE: 157.08
Epoch 114	LOSS: 101.21	MAE: 111.31	RMSE: 156.08
Epoch 115	LOSS: 100.27	MAE: 111.29	RMSE: 155.97
Epoch 116	LOSS: 101.82	MAE: 111.15	RMSE: 157.16
Epoch 117	LOSS: 103.16	MAE: 111.16	RMSE: 157.05
Epoch 118	LOSS: 101.11	MAE: 110.85	RMSE: 155.30
Epoch 119	LOSS: 100.45	MAE: 110.28	RMSE: 155.20
Epoch 120	LOSS: 97.87	MAE: 109.72	RMSE: 155.05
Epoch 121	LOSS: 101.05	MAE: 109.13	RMSE: 153.38
Epoch 122	LOSS: 99.25	MAE: 109.20	RMSE: 154.73
Epoch 123	LOSS: 99.78	MAE: 109.79	RMSE: 156.48
Epoch 124	LOSS: 98.81	MAE: 109.25	RMSE: 155.32
Epoch 125	LOSS: 100.51	MAE: 108.70	RMSE: 154.95
Epoch 126	LOSS: 98.18	MAE: 107.51	RMSE: 152.24
Epoch 127	LOSS: 98.28	MAE: 106.96	RMSE: 151.37
Epoch 128	LOSS: 98.27	MAE: 106.73	RMSE: 150.06
Epoch 129	LOSS: 94.57	MAE: 106.30	RMSE: 150.17
Epoch 130	LOSS: 95.75	MAE: 106.02	RMSE: 150.42
Epoch 131	LOSS: 96.07	MAE: 105.66	RMSE: 148.91
Epoch 132	LOSS: 95.29	MAE: 105.20	RMSE: 147.20
Epoch 133	LOSS: 97.29	MAE: 104.52	RMSE: 146.41
Epoch 134	LOSS: 94.48	MAE: 103.92	RMSE: 146.30
Epoch 135	LOSS: 93.51	MAE: 103.98	RMSE: 147.90
Epoch 136	LOSS: 94.66	MAE: 106.04	RMSE: 152.86
Epoch 137	LOSS: 91.73	MAE: 102.87	RMSE: 145.71
Epoch 138	LOSS: 92.52	MAE: 102.35	RMSE: 142.65
Epoch 139	LOSS: 90.13	MAE: 103.18	RMSE: 141.58
Epoch 140	LOSS: 91.16	MAE: 102.07	RMSE: 141.37
Epoch 141	LOSS: 90.98	MAE: 100.45	RMSE: 142.88
Epoch 142	LOSS: 89.03	MAE: 102.56	RMSE: 149.07
Epoch 143	LOSS: 90.98	MAE: 100.13	RMSE: 144.06
Epoch 144	LOSS: 91.39	MAE: 98.90	RMSE: 141.63
Epoch 145	LOSS: 90.42	MAE: 98.86	RMSE: 141.79
Epoch 146	LOSS: 88.23	MAE: 98.40	RMSE: 139.80
