Epoch 000	LOSS: 120.95	MAE: 63.18	RMSE: 63.75
Epoch 001	LOSS: 119.22	MAE: 62.96	RMSE: 63.55
Epoch 002	LOSS: 116.29	MAE: 62.43	RMSE: 63.03
Epoch 003	LOSS: 109.82	MAE: 61.28	RMSE: 61.94
Epoch 004	LOSS: 97.29	MAE: 58.85	RMSE: 59.70
Epoch 005	LOSS: 76.79	MAE: 52.23	RMSE: 53.48
Epoch 006	LOSS: 47.18	MAE: 39.97	RMSE: 41.95
Epoch 007	LOSS: 16.73	MAE: 26.60	RMSE: 30.22
Epoch 008	LOSS: 30.63	MAE: 27.53	RMSE: 29.84
Epoch 009	LOSS: 21.53	MAE: 31.27	RMSE: 34.59
Epoch 010	LOSS: 12.22	MAE: 35.76	RMSE: 40.60
Epoch 011	LOSS: 11.78	MAE: 38.16	RMSE: 43.41
Epoch 012	LOSS: 10.67	MAE: 39.89	RMSE: 45.58
Epoch 013	LOSS: 9.43	MAE: 42.98	RMSE: 49.23
Epoch 014	LOSS: 9.23	MAE: 44.48	RMSE: 51.04
Epoch 015	LOSS: 8.94	MAE: 45.15	RMSE: 51.80
Epoch 016	LOSS: 8.95	MAE: 45.16	RMSE: 51.79
Epoch 017	LOSS: 9.01	MAE: 44.93	RMSE: 51.53
Epoch 018	LOSS: 9.09	MAE: 44.77	RMSE: 51.35
Epoch 019	LOSS: 8.72	MAE: 44.85	RMSE: 51.44
Epoch 020	LOSS: 8.69	MAE: 45.13	RMSE: 51.76
Epoch 021	LOSS: 8.75	MAE: 45.40	RMSE: 52.08
Epoch 022	LOSS: 8.77	MAE: 45.60	RMSE: 52.30
Epoch 023	LOSS: 9.07	MAE: 45.68	RMSE: 52.40
Epoch 024	LOSS: 8.81	MAE: 45.79	RMSE: 52.52
Epoch 025	LOSS: 8.75	MAE: 45.85	RMSE: 52.60
Epoch 026	LOSS: 8.82	MAE: 45.86	RMSE: 52.61
Epoch 027	LOSS: 8.84	MAE: 45.94	RMSE: 52.71
Epoch 028	LOSS: 8.74	MAE: 45.97	RMSE: 52.74
Epoch 029	LOSS: 8.80	MAE: 46.02	RMSE: 52.79
Epoch 030	LOSS: 8.85	MAE: 46.09	RMSE: 52.88
Epoch 031	LOSS: 8.72	MAE: 46.10	RMSE: 52.90
Epoch 032	LOSS: 8.73	MAE: 46.06	RMSE: 52.86
Epoch 033	LOSS: 8.65	MAE: 46.10	RMSE: 52.90
Epoch 034	LOSS: 8.52	MAE: 46.11	RMSE: 52.92
Epoch 035	LOSS: 8.76	MAE: 46.13	RMSE: 52.94
Epoch 036	LOSS: 8.65	MAE: 46.11	RMSE: 52.92
Epoch 037	LOSS: 8.62	MAE: 46.07	RMSE: 52.88
Epoch 038	LOSS: 8.56	MAE: 46.14	RMSE: 52.95
Epoch 039	LOSS: 8.65	MAE: 46.22	RMSE: 53.04
Epoch 040	LOSS: 8.59	MAE: 46.30	RMSE: 53.13
Epoch 041	LOSS: 8.71	MAE: 46.30	RMSE: 53.13
Epoch 042	LOSS: 8.58	MAE: 46.27	RMSE: 53.10
Epoch 043	LOSS: 8.50	MAE: 46.27	RMSE: 53.10
Epoch 044	LOSS: 8.65	MAE: 46.33	RMSE: 53.17
Epoch 045	LOSS: 8.65	MAE: 46.38	RMSE: 53.24
Epoch 046	LOSS: 8.75	MAE: 46.41	RMSE: 53.27
Epoch 047	LOSS: 8.51	MAE: 46.41	RMSE: 53.27
Epoch 048	LOSS: 8.74	MAE: 46.46	RMSE: 53.32
Epoch 049	LOSS: 8.60	MAE: 46.43	RMSE: 53.29
Epoch 050	LOSS: 8.60	MAE: 46.45	RMSE: 53.31
Epoch 051	LOSS: 8.66	MAE: 46.50	RMSE: 53.37
Epoch 052	LOSS: 8.31	MAE: 46.49	RMSE: 53.36
Epoch 053	LOSS: 8.84	MAE: 46.46	RMSE: 53.32
Epoch 054	LOSS: 8.71	MAE: 46.52	RMSE: 53.39
Epoch 055	LOSS: 8.72	MAE: 46.60	RMSE: 53.47
Epoch 056	LOSS: 8.63	MAE: 46.65	RMSE: 53.54
Epoch 057	LOSS: 8.59	MAE: 46.61	RMSE: 53.50
Epoch 058	LOSS: 8.50	MAE: 46.67	RMSE: 53.56
Epoch 059	LOSS: 8.57	MAE: 46.67	RMSE: 53.57
