Epoch 000	LOSS: 120.86	MAE: 63.20	RMSE: 63.77
Epoch 001	LOSS: 120.03	MAE: 63.05	RMSE: 63.63
Epoch 002	LOSS: 117.83	MAE: 62.69	RMSE: 63.27
Epoch 003	LOSS: 114.09	MAE: 61.74	RMSE: 62.35
Epoch 004	LOSS: 106.50	MAE: 58.84	RMSE: 59.51
Epoch 005	LOSS: 91.83	MAE: 51.03	RMSE: 51.82
Epoch 006	LOSS: 70.80	MAE: 38.67	RMSE: 39.76
Epoch 007	LOSS: 39.60	MAE: 20.25	RMSE: 22.37
Epoch 008	LOSS: 17.64	MAE: 12.22	RMSE: 15.63
Epoch 009	LOSS: 22.78	MAE: 17.64	RMSE: 20.73
Epoch 010	LOSS: 11.96	MAE: 11.89	RMSE: 15.15
Epoch 011	LOSS: 14.17	MAE: 8.81	RMSE: 12.46
Epoch 012	LOSS: 16.20	MAE: 8.77	RMSE: 12.70
Epoch 013	LOSS: 14.76	MAE: 8.92	RMSE: 12.94
Epoch 014	LOSS: 9.59	MAE: 7.97	RMSE: 12.55
Epoch 015	LOSS: 9.83	MAE: 8.89	RMSE: 13.33
Epoch 016	LOSS: 11.05	MAE: 11.33	RMSE: 14.99
Epoch 017	LOSS: 9.15	MAE: 9.92	RMSE: 14.16
Epoch 018	LOSS: 9.00	MAE: 10.21	RMSE: 14.30
Epoch 019	LOSS: 9.06	MAE: 10.25	RMSE: 14.23
Epoch 020	LOSS: 8.97	MAE: 9.67	RMSE: 13.79
Epoch 021	LOSS: 8.80	MAE: 9.53	RMSE: 13.61
Epoch 022	LOSS: 9.17	MAE: 9.08	RMSE: 13.31
Epoch 023	LOSS: 8.94	MAE: 8.52	RMSE: 12.92
Epoch 024	LOSS: 9.09	MAE: 8.27	RMSE: 12.70
Epoch 025	LOSS: 9.04	MAE: 7.65	RMSE: 12.29
Epoch 026	LOSS: 9.24	MAE: 7.57	RMSE: 12.08
Epoch 027	LOSS: 8.83	MAE: 7.09	RMSE: 11.81
Epoch 028	LOSS: 8.80	MAE: 7.10	RMSE: 11.76
Epoch 029	LOSS: 9.12	MAE: 6.78	RMSE: 11.59
Epoch 030	LOSS: 8.93	MAE: 6.74	RMSE: 11.52
Epoch 031	LOSS: 8.96	MAE: 6.49	RMSE: 11.42
Epoch 032	LOSS: 8.66	MAE: 6.53	RMSE: 11.41
Epoch 033	LOSS: 8.88	MAE: 6.73	RMSE: 11.44
Epoch 034	LOSS: 9.24	MAE: 6.33	RMSE: 11.33
Epoch 035	LOSS: 8.89	MAE: 6.29	RMSE: 11.28
Epoch 036	LOSS: 8.83	MAE: 6.22	RMSE: 11.24
Epoch 037	LOSS: 8.79	MAE: 6.20	RMSE: 11.23
Epoch 038	LOSS: 8.84	MAE: 6.16	RMSE: 11.21
Epoch 039	LOSS: 8.69	MAE: 6.33	RMSE: 11.23
Epoch 040	LOSS: 8.88	MAE: 6.10	RMSE: 11.17
Epoch 041	LOSS: 8.86	MAE: 6.13	RMSE: 11.14
Epoch 042	LOSS: 8.69	MAE: 6.10	RMSE: 11.13
Epoch 043	LOSS: 8.59	MAE: 6.00	RMSE: 11.06
Epoch 044	LOSS: 8.59	MAE: 6.04	RMSE: 11.04
Epoch 045	LOSS: 9.05	MAE: 6.08	RMSE: 11.02
Epoch 046	LOSS: 8.69	MAE: 5.98	RMSE: 10.98
Epoch 047	LOSS: 8.89	MAE: 5.89	RMSE: 10.95
Epoch 048	LOSS: 8.91	MAE: 5.95	RMSE: 10.91
Epoch 049	LOSS: 8.88	MAE: 5.80	RMSE: 10.85
Epoch 050	LOSS: 8.72	MAE: 5.86	RMSE: 10.82
Epoch 051	LOSS: 8.69	MAE: 5.85	RMSE: 10.82
Epoch 052	LOSS: 8.77	MAE: 5.73	RMSE: 10.77
Epoch 053	LOSS: 8.70	MAE: 5.66	RMSE: 10.67
Epoch 054	LOSS: 8.82	MAE: 5.59	RMSE: 10.63
Epoch 055	LOSS: 8.79	MAE: 5.57	RMSE: 10.59
Epoch 056	LOSS: 8.73	MAE: 5.50	RMSE: 10.55
Epoch 057	LOSS: 8.69	MAE: 5.52	RMSE: 10.49
Epoch 058	LOSS: 8.80	MAE: 5.40	RMSE: 10.47
Epoch 059	LOSS: 9.09	MAE: 5.39	RMSE: 10.46
Epoch 060	LOSS: 8.60	MAE: 5.46	RMSE: 10.41
Epoch 061	LOSS: 8.61	MAE: 5.43	RMSE: 10.39
Epoch 062	LOSS: 8.92	MAE: 5.38	RMSE: 10.35
Epoch 063	LOSS: 8.84	MAE: 5.32	RMSE: 10.37
Epoch 064	LOSS: 8.81	MAE: 5.33	RMSE: 10.35
Epoch 065	LOSS: 8.87	MAE: 5.39	RMSE: 10.32
Epoch 066	LOSS: 8.89	MAE: 5.34	RMSE: 10.33
Epoch 067	LOSS: 8.73	MAE: 5.42	RMSE: 10.30
Epoch 068	LOSS: 8.75	MAE: 5.30	RMSE: 10.32
Epoch 069	LOSS: 8.80	MAE: 5.28	RMSE: 10.32
Epoch 070	LOSS: 8.80	MAE: 5.27	RMSE: 10.30
Epoch 071	LOSS: 8.60	MAE: 5.30	RMSE: 10.28
Epoch 072	LOSS: 8.80	MAE: 5.33	RMSE: 10.26
Epoch 073	LOSS: 8.73	MAE: 5.25	RMSE: 10.27
Epoch 074	LOSS: 8.65	MAE: 5.31	RMSE: 10.23
Epoch 075	LOSS: 8.96	MAE: 5.25	RMSE: 10.30
Epoch 076	LOSS: 8.68	MAE: 5.26	RMSE: 10.23
Epoch 077	LOSS: 8.73	MAE: 5.25	RMSE: 10.23
Epoch 078	LOSS: 8.67	MAE: 5.23	RMSE: 10.23
Epoch 079	LOSS: 8.80	MAE: 5.20	RMSE: 10.27
Epoch 080	LOSS: 8.52	MAE: 5.30	RMSE: 10.19
Epoch 081	LOSS: 8.60	MAE: 5.23	RMSE: 10.16
Epoch 082	LOSS: 8.65	MAE: 5.18	RMSE: 10.21
Epoch 083	LOSS: 8.54	MAE: 5.16	RMSE: 10.15
Epoch 084	LOSS: 8.54	MAE: 5.15	RMSE: 10.15
Epoch 085	LOSS: 8.46	MAE: 5.17	RMSE: 10.14
Epoch 086	LOSS: 8.62	MAE: 5.15	RMSE: 10.12
Epoch 087	LOSS: 8.61	MAE: 5.17	RMSE: 10.09
Epoch 088	LOSS: 8.75	MAE: 5.15	RMSE: 10.09
Epoch 089	LOSS: 8.80	MAE: 5.14	RMSE: 10.10
Epoch 090	LOSS: 8.75	MAE: 5.10	RMSE: 10.12
Epoch 091	LOSS: 8.69	MAE: 5.11	RMSE: 10.11
Epoch 092	LOSS: 8.76	MAE: 5.12	RMSE: 10.06
Epoch 093	LOSS: 8.76	MAE: 5.10	RMSE: 10.06
Epoch 094	LOSS: 8.69	MAE: 5.09	RMSE: 10.12
Epoch 095	LOSS: 8.74	MAE: 5.11	RMSE: 10.06
Epoch 096	LOSS: 8.67	MAE: 5.10	RMSE: 10.06
Epoch 097	LOSS: 8.83	MAE: 5.08	RMSE: 10.07
Epoch 098	LOSS: 8.87	MAE: 5.11	RMSE: 10.09
Epoch 099	LOSS: 9.32	MAE: 5.11	RMSE: 10.01
Epoch 100	LOSS: 8.64	MAE: 5.09	RMSE: 9.99
Epoch 101	LOSS: 8.98	MAE: 5.10	RMSE: 10.09
Epoch 102	LOSS: 8.78	MAE: 5.07	RMSE: 10.05
Epoch 103	LOSS: 8.94	MAE: 5.06	RMSE: 9.97
Epoch 104	LOSS: 8.83	MAE: 5.07	RMSE: 10.06
Epoch 105	LOSS: 8.78	MAE: 5.07	RMSE: 9.92
Epoch 106	LOSS: 8.78	MAE: 5.02	RMSE: 9.95
Epoch 107	LOSS: 8.63	MAE: 5.09	RMSE: 9.91
Epoch 108	LOSS: 8.82	MAE: 5.05	RMSE: 9.90
Epoch 109	LOSS: 8.84	MAE: 5.02	RMSE: 9.95
Epoch 110	LOSS: 8.86	MAE: 5.02	RMSE: 10.00
Epoch 111	LOSS: 8.95	MAE: 5.01	RMSE: 9.96
Epoch 112	LOSS: 8.87	MAE: 5.17	RMSE: 9.89
Epoch 113	LOSS: 8.70	MAE: 5.05	RMSE: 9.92
Epoch 114	LOSS: 8.74	MAE: 5.03	RMSE: 9.90
Epoch 115	LOSS: 8.53	MAE: 5.01	RMSE: 9.92
Epoch 116	LOSS: 8.73	MAE: 4.98	RMSE: 9.93
Epoch 117	LOSS: 8.74	MAE: 4.98	RMSE: 9.91
Epoch 118	LOSS: 8.76	MAE: 4.96	RMSE: 9.88
Epoch 119	LOSS: 8.94	MAE: 4.97	RMSE: 9.88
Epoch 120	LOSS: 8.69	MAE: 4.98	RMSE: 9.86
Epoch 121	LOSS: 8.64	MAE: 4.97	RMSE: 9.85
Epoch 122	LOSS: 8.92	MAE: 5.03	RMSE: 9.80
Epoch 123	LOSS: 8.76	MAE: 4.99	RMSE: 9.81
Epoch 124	LOSS: 8.98	MAE: 4.94	RMSE: 9.86
Epoch 125	LOSS: 8.98	MAE: 4.94	RMSE: 9.85
