Epoch 000	LOSS: 121.03	MAE: 63.17	RMSE: 63.75
Epoch 001	LOSS: 119.33	MAE: 62.97	RMSE: 63.55
Epoch 002	LOSS: 117.08	MAE: 62.46	RMSE: 63.05
Epoch 003	LOSS: 111.71	MAE: 61.00	RMSE: 61.63
Epoch 004	LOSS: 100.90	MAE: 55.65	RMSE: 56.36
Epoch 005	LOSS: 84.22	MAE: 46.17	RMSE: 47.08
Epoch 006	LOSS: 57.91	MAE: 32.53	RMSE: 33.77
Epoch 007	LOSS: 26.45	MAE: 14.80	RMSE: 17.57
Epoch 008	LOSS: 23.31	MAE: 11.29	RMSE: 14.98
Epoch 009	LOSS: 26.58	MAE: 13.29	RMSE: 16.25
Epoch 010	LOSS: 14.51	MAE: 7.58	RMSE: 12.36
Epoch 011	LOSS: 13.47	MAE: 11.58	RMSE: 14.67
Epoch 012	LOSS: 11.43	MAE: 11.72	RMSE: 15.14
Epoch 013	LOSS: 11.02	MAE: 14.58	RMSE: 17.77
Epoch 014	LOSS: 9.54	MAE: 17.62	RMSE: 20.78
Epoch 015	LOSS: 9.13	MAE: 19.10	RMSE: 22.39
Epoch 016	LOSS: 9.31	MAE: 20.08	RMSE: 23.37
Epoch 017	LOSS: 9.01	MAE: 19.73	RMSE: 22.99
Epoch 018	LOSS: 8.81	MAE: 18.67	RMSE: 21.84
Epoch 019	LOSS: 8.72	MAE: 18.57	RMSE: 21.71
Epoch 020	LOSS: 9.25	MAE: 18.98	RMSE: 22.14
Epoch 021	LOSS: 8.74	MAE: 19.42	RMSE: 22.60
Epoch 022	LOSS: 8.84	MAE: 19.60	RMSE: 22.78
Epoch 023	LOSS: 9.02	MAE: 19.38	RMSE: 22.52
Epoch 024	LOSS: 8.96	MAE: 19.57	RMSE: 22.70
Epoch 025	LOSS: 8.86	MAE: 19.35	RMSE: 22.48
Epoch 026	LOSS: 8.87	MAE: 19.76	RMSE: 22.89
Epoch 027	LOSS: 8.81	MAE: 19.41	RMSE: 22.52
Epoch 028	LOSS: 8.95	MAE: 19.75	RMSE: 22.87
Epoch 029	LOSS: 9.03	MAE: 19.68	RMSE: 22.80
Epoch 030	LOSS: 8.86	MAE: 19.73	RMSE: 22.85
Epoch 031	LOSS: 9.00	MAE: 19.61	RMSE: 22.71
Epoch 032	LOSS: 8.72	MAE: 20.00	RMSE: 23.14
Epoch 033	LOSS: 8.95	MAE: 19.89	RMSE: 22.98
Epoch 034	LOSS: 9.01	MAE: 19.40	RMSE: 22.47
Epoch 035	LOSS: 9.01	MAE: 19.58	RMSE: 22.65
Epoch 036	LOSS: 8.83	MAE: 19.87	RMSE: 22.97
Epoch 037	LOSS: 8.73	MAE: 19.96	RMSE: 23.07
Epoch 038	LOSS: 8.75	MAE: 19.83	RMSE: 22.92
Epoch 039	LOSS: 8.78	MAE: 19.85	RMSE: 22.92
Epoch 040	LOSS: 8.95	MAE: 19.81	RMSE: 22.89
Epoch 041	LOSS: 9.06	MAE: 19.88	RMSE: 22.97
Epoch 042	LOSS: 8.93	MAE: 20.34	RMSE: 23.46
Epoch 043	LOSS: 8.96	MAE: 19.76	RMSE: 22.82
Epoch 044	LOSS: 8.83	MAE: 20.12	RMSE: 23.21
Epoch 045	LOSS: 9.01	MAE: 20.27	RMSE: 23.39
Epoch 046	LOSS: 8.73	MAE: 20.18	RMSE: 23.29
Epoch 047	LOSS: 8.94	MAE: 20.21	RMSE: 23.30
Epoch 048	LOSS: 8.82	MAE: 20.13	RMSE: 23.22
Epoch 049	LOSS: 8.93	MAE: 20.23	RMSE: 23.33
Epoch 050	LOSS: 8.86	MAE: 20.19	RMSE: 23.28
Epoch 051	LOSS: 9.02	MAE: 19.91	RMSE: 22.97
Epoch 052	LOSS: 8.81	MAE: 20.58	RMSE: 23.69
Epoch 053	LOSS: 8.82	MAE: 20.38	RMSE: 23.49
Epoch 054	LOSS: 8.91	MAE: 20.15	RMSE: 23.23
Epoch 055	LOSS: 8.97	MAE: 20.24	RMSE: 23.31
Epoch 056	LOSS: 8.61	MAE: 20.41	RMSE: 23.52
Epoch 057	LOSS: 8.79	MAE: 20.50	RMSE: 23.62
Epoch 058	LOSS: 8.98	MAE: 20.58	RMSE: 23.68
Epoch 059	LOSS: 8.86	MAE: 20.20	RMSE: 23.27
Epoch 060	LOSS: 8.82	MAE: 20.34	RMSE: 23.43
Epoch 061	LOSS: 8.82	MAE: 20.51	RMSE: 23.61
Epoch 062	LOSS: 8.80	MAE: 20.52	RMSE: 23.62
Epoch 063	LOSS: 8.68	MAE: 20.34	RMSE: 23.42
Epoch 064	LOSS: 9.03	MAE: 20.55	RMSE: 23.66
Epoch 065	LOSS: 8.98	MAE: 20.70	RMSE: 23.82
Epoch 066	LOSS: 8.91	MAE: 20.38	RMSE: 23.46
Epoch 067	LOSS: 8.94	MAE: 20.30	RMSE: 23.36
