Epoch 000	LOSS: 120.38	MAE: 63.18	RMSE: 63.75
Epoch 001	LOSS: 119.04	MAE: 62.95	RMSE: 63.53
Epoch 002	LOSS: 116.21	MAE: 62.37	RMSE: 62.98
Epoch 003	LOSS: 108.14	MAE: 61.04	RMSE: 61.71
Epoch 004	LOSS: 93.87	MAE: 57.82	RMSE: 58.72
Epoch 005	LOSS: 71.17	MAE: 49.97	RMSE: 51.34
Epoch 006	LOSS: 37.62	MAE: 37.19	RMSE: 39.66
Epoch 007	LOSS: 20.22	MAE: 25.84	RMSE: 29.27
Epoch 008	LOSS: 32.51	MAE: 29.30	RMSE: 31.67
Epoch 009	LOSS: 15.88	MAE: 33.68	RMSE: 38.07
Epoch 010	LOSS: 14.21	MAE: 39.84	RMSE: 45.00
Epoch 011	LOSS: 10.41	MAE: 41.79	RMSE: 47.89
Epoch 012	LOSS: 11.30	MAE: 45.24	RMSE: 51.80
Epoch 013	LOSS: 9.78	MAE: 46.47	RMSE: 53.20
Epoch 014	LOSS: 9.03	MAE: 46.91	RMSE: 53.82
Epoch 015	LOSS: 8.89	MAE: 47.17	RMSE: 54.10
Epoch 016	LOSS: 9.03	MAE: 47.25	RMSE: 54.21
Epoch 017	LOSS: 9.03	MAE: 47.33	RMSE: 54.29
Epoch 018	LOSS: 9.02	MAE: 47.39	RMSE: 54.35
Epoch 019	LOSS: 9.00	MAE: 47.40	RMSE: 54.37
Epoch 020	LOSS: 8.87	MAE: 47.42	RMSE: 54.40
Epoch 021	LOSS: 8.86	MAE: 47.43	RMSE: 54.41
Epoch 022	LOSS: 8.79	MAE: 47.42	RMSE: 54.40
Epoch 023	LOSS: 8.99	MAE: 47.42	RMSE: 54.39
Epoch 024	LOSS: 8.87	MAE: 47.38	RMSE: 54.36
Epoch 025	LOSS: 8.74	MAE: 47.37	RMSE: 54.34
Epoch 026	LOSS: 8.70	MAE: 47.33	RMSE: 54.31
Epoch 027	LOSS: 8.84	MAE: 47.29	RMSE: 54.27
Epoch 028	LOSS: 8.85	MAE: 47.29	RMSE: 54.25
Epoch 029	LOSS: 8.67	MAE: 47.26	RMSE: 54.23
Epoch 030	LOSS: 8.61	MAE: 47.22	RMSE: 54.19
Epoch 031	LOSS: 8.57	MAE: 47.19	RMSE: 54.16
Epoch 032	LOSS: 8.43	MAE: 47.19	RMSE: 54.15
Epoch 033	LOSS: 8.75	MAE: 47.19	RMSE: 54.15
Epoch 034	LOSS: 8.57	MAE: 47.19	RMSE: 54.16
Epoch 035	LOSS: 8.73	MAE: 47.19	RMSE: 54.16
Epoch 036	LOSS: 8.63	MAE: 47.20	RMSE: 54.17
Epoch 037	LOSS: 8.73	MAE: 47.20	RMSE: 54.17
Epoch 038	LOSS: 8.68	MAE: 47.19	RMSE: 54.17
Epoch 039	LOSS: 8.78	MAE: 47.22	RMSE: 54.18
Epoch 040	LOSS: 8.74	MAE: 47.21	RMSE: 54.18
Epoch 041	LOSS: 8.92	MAE: 47.21	RMSE: 54.18
Epoch 042	LOSS: 8.91	MAE: 47.23	RMSE: 54.20
Epoch 043	LOSS: 8.62	MAE: 47.23	RMSE: 54.22
Epoch 044	LOSS: 8.53	MAE: 47.24	RMSE: 54.23
Epoch 045	LOSS: 8.49	MAE: 47.25	RMSE: 54.24
Epoch 046	LOSS: 8.61	MAE: 47.26	RMSE: 54.25
Epoch 047	LOSS: 8.59	MAE: 47.25	RMSE: 54.24
Epoch 048	LOSS: 8.51	MAE: 47.27	RMSE: 54.27
Epoch 049	LOSS: 8.70	MAE: 47.29	RMSE: 54.29
Epoch 050	LOSS: 8.45	MAE: 47.29	RMSE: 54.28
Epoch 051	LOSS: 8.32	MAE: 47.28	RMSE: 54.28
Epoch 052	LOSS: 8.64	MAE: 47.26	RMSE: 54.27
Epoch 053	LOSS: 8.54	MAE: 47.28	RMSE: 54.28
Epoch 054	LOSS: 8.39	MAE: 47.31	RMSE: 54.31
Epoch 055	LOSS: 8.54	MAE: 47.31	RMSE: 54.32
Epoch 056	LOSS: 8.68	MAE: 47.30	RMSE: 54.31
Epoch 057	LOSS: 8.64	MAE: 47.30	RMSE: 54.31
Epoch 058	LOSS: 8.55	MAE: 47.29	RMSE: 54.30
Epoch 059	LOSS: 8.69	MAE: 47.29	RMSE: 54.30
Epoch 060	LOSS: 8.77	MAE: 47.32	RMSE: 54.33
Epoch 061	LOSS: 8.57	MAE: 47.32	RMSE: 54.34
Epoch 062	LOSS: 8.67	MAE: 47.32	RMSE: 54.33
Epoch 063	LOSS: 8.56	MAE: 47.32	RMSE: 54.33
Epoch 064	LOSS: 8.60	MAE: 47.33	RMSE: 54.34
Epoch 065	LOSS: 8.63	MAE: 47.32	RMSE: 54.34
Epoch 066	LOSS: 8.54	MAE: 47.33	RMSE: 54.34
