Epoch 000	LOSS: 124.46	MAE: 62.18	RMSE: 62.94
Epoch 001	LOSS: 122.36	MAE: 61.64	RMSE: 62.41
Epoch 002	LOSS: 119.35	MAE: 60.21	RMSE: 61.00
Epoch 003	LOSS: 110.73	MAE: 56.98	RMSE: 57.86
Epoch 004	LOSS: 96.60	MAE: 50.42	RMSE: 51.53
Epoch 005	LOSS: 70.49	MAE: 38.28	RMSE: 39.86
Epoch 006	LOSS: 32.14	MAE: 20.22	RMSE: 23.53
Epoch 007	LOSS: 25.96	MAE: 15.44	RMSE: 19.64
Epoch 008	LOSS: 31.52	MAE: 17.57	RMSE: 20.76
Epoch 009	LOSS: 13.85	MAE: 10.45	RMSE: 17.43
Epoch 010	LOSS: 14.29	MAE: 12.47	RMSE: 18.62
Epoch 011	LOSS: 11.26	MAE: 10.72	RMSE: 18.53
Epoch 012	LOSS: 11.60	MAE: 10.70	RMSE: 18.73
Epoch 013	LOSS: 10.34	MAE: 10.73	RMSE: 18.75
Epoch 014	LOSS: 9.85	MAE: 10.59	RMSE: 18.75
Epoch 015	LOSS: 9.47	MAE: 10.68	RMSE: 18.96
Epoch 016	LOSS: 9.41	MAE: 10.75	RMSE: 19.18
Epoch 017	LOSS: 9.19	MAE: 10.79	RMSE: 19.30
Epoch 018	LOSS: 9.07	MAE: 10.81	RMSE: 19.39
Epoch 019	LOSS: 9.03	MAE: 10.94	RMSE: 19.49
Epoch 020	LOSS: 9.09	MAE: 10.86	RMSE: 19.54
Epoch 021	LOSS: 9.08	MAE: 10.91	RMSE: 19.59
Epoch 022	LOSS: 8.92	MAE: 10.85	RMSE: 19.58
Epoch 023	LOSS: 8.93	MAE: 10.84	RMSE: 19.59
Epoch 024	LOSS: 8.86	MAE: 10.84	RMSE: 19.58
Epoch 025	LOSS: 8.81	MAE: 10.84	RMSE: 19.57
Epoch 026	LOSS: 8.94	MAE: 10.82	RMSE: 19.57
Epoch 027	LOSS: 8.73	MAE: 10.85	RMSE: 19.59
Epoch 028	LOSS: 9.13	MAE: 10.87	RMSE: 19.63
Epoch 029	LOSS: 8.81	MAE: 10.87	RMSE: 19.69
Epoch 030	LOSS: 8.79	MAE: 10.86	RMSE: 19.71
Epoch 031	LOSS: 8.73	MAE: 10.92	RMSE: 19.79
Epoch 032	LOSS: 8.66	MAE: 10.93	RMSE: 19.84
Epoch 033	LOSS: 8.68	MAE: 10.94	RMSE: 19.90
Epoch 034	LOSS: 8.69	MAE: 10.97	RMSE: 19.97
Epoch 035	LOSS: 8.60	MAE: 10.99	RMSE: 20.02
Epoch 036	LOSS: 8.68	MAE: 11.01	RMSE: 20.08
Epoch 037	LOSS: 8.84	MAE: 11.06	RMSE: 20.15
Epoch 038	LOSS: 8.56	MAE: 11.06	RMSE: 20.22
Epoch 039	LOSS: 8.60	MAE: 11.09	RMSE: 20.28
Epoch 040	LOSS: 8.60	MAE: 11.13	RMSE: 20.37
Epoch 041	LOSS: 8.78	MAE: 11.22	RMSE: 20.44
Epoch 042	LOSS: 8.76	MAE: 11.18	RMSE: 20.49
Epoch 043	LOSS: 8.66	MAE: 11.24	RMSE: 20.57
Epoch 044	LOSS: 8.44	MAE: 11.24	RMSE: 20.64
Epoch 045	LOSS: 8.43	MAE: 11.32	RMSE: 20.79
Epoch 046	LOSS: 8.68	MAE: 11.33	RMSE: 20.84
Epoch 047	LOSS: 8.48	MAE: 11.38	RMSE: 20.94
Epoch 048	LOSS: 8.58	MAE: 11.42	RMSE: 21.04
Epoch 049	LOSS: 8.54	MAE: 11.43	RMSE: 21.09
Epoch 050	LOSS: 8.33	MAE: 11.49	RMSE: 21.14
Epoch 051	LOSS: 8.60	MAE: 11.52	RMSE: 21.16
Epoch 052	LOSS: 8.33	MAE: 11.48	RMSE: 21.18
Epoch 053	LOSS: 8.36	MAE: 11.49	RMSE: 21.23
Epoch 054	LOSS: 8.37	MAE: 11.49	RMSE: 21.24
Epoch 055	LOSS: 8.38	MAE: 11.51	RMSE: 21.29
Epoch 056	LOSS: 8.45	MAE: 11.53	RMSE: 21.34
Epoch 057	LOSS: 8.48	MAE: 11.55	RMSE: 21.39
Epoch 058	LOSS: 8.40	MAE: 11.59	RMSE: 21.47
Epoch 059	LOSS: 8.51	MAE: 11.60	RMSE: 21.52
Epoch 060	LOSS: 8.31	MAE: 11.64	RMSE: 21.60
Epoch 061	LOSS: 8.27	MAE: 11.67	RMSE: 21.67
Epoch 062	LOSS: 8.49	MAE: 11.69	RMSE: 21.73
Epoch 063	LOSS: 8.48	MAE: 11.72	RMSE: 21.80
Epoch 064	LOSS: 8.41	MAE: 11.76	RMSE: 21.84
Epoch 065	LOSS: 8.43	MAE: 11.82	RMSE: 21.88
Epoch 066	LOSS: 8.43	MAE: 11.79	RMSE: 21.90
Epoch 067	LOSS: 8.22	MAE: 11.78	RMSE: 21.96
Epoch 068	LOSS: 8.32	MAE: 11.78	RMSE: 21.97
Epoch 069	LOSS: 8.45	MAE: 11.85	RMSE: 22.06
Epoch 070	LOSS: 8.36	MAE: 11.87	RMSE: 22.13
Epoch 071	LOSS: 8.54	MAE: 11.88	RMSE: 22.18
Epoch 072	LOSS: 8.26	MAE: 11.90	RMSE: 22.21
Epoch 073	LOSS: 8.19	MAE: 11.89	RMSE: 22.19
Epoch 074	LOSS: 8.47	MAE: 11.90	RMSE: 22.20
Epoch 075	LOSS: 8.45	MAE: 11.93	RMSE: 22.24
Epoch 076	LOSS: 8.55	MAE: 11.92	RMSE: 22.27
Epoch 077	LOSS: 8.22	MAE: 11.93	RMSE: 22.31
Epoch 078	LOSS: 8.28	MAE: 11.95	RMSE: 22.36
Epoch 079	LOSS: 8.08	MAE: 11.95	RMSE: 22.39
Epoch 080	LOSS: 8.30	MAE: 11.98	RMSE: 22.41
Epoch 081	LOSS: 8.38	MAE: 12.01	RMSE: 22.47
Epoch 082	LOSS: 8.36	MAE: 12.03	RMSE: 22.55
Epoch 083	LOSS: 8.31	MAE: 12.06	RMSE: 22.62
Epoch 084	LOSS: 8.32	MAE: 12.07	RMSE: 22.66
Epoch 085	LOSS: 8.08	MAE: 12.10	RMSE: 22.68
Epoch 086	LOSS: 8.27	MAE: 12.09	RMSE: 22.70
Epoch 087	LOSS: 8.13	MAE: 12.12	RMSE: 22.77
Epoch 088	LOSS: 8.18	MAE: 12.18	RMSE: 22.85
