Epoch 000	LOSS: 120.33	MAE: 63.17	RMSE: 63.75
Epoch 001	LOSS: 119.98	MAE: 62.94	RMSE: 63.53
Epoch 002	LOSS: 116.29	MAE: 62.37	RMSE: 62.97
Epoch 003	LOSS: 108.65	MAE: 61.06	RMSE: 61.73
Epoch 004	LOSS: 95.37	MAE: 58.08	RMSE: 58.95
Epoch 005	LOSS: 73.67	MAE: 51.71	RMSE: 53.07
Epoch 006	LOSS: 41.25	MAE: 41.49	RMSE: 44.08
Epoch 007	LOSS: 17.73	MAE: 31.71	RMSE: 35.78
Epoch 008	LOSS: 31.50	MAE: 35.61	RMSE: 38.53
Epoch 009	LOSS: 16.83	MAE: 39.65	RMSE: 44.56
Epoch 010	LOSS: 13.45	MAE: 44.47	RMSE: 50.36
Epoch 011	LOSS: 10.50	MAE: 44.93	RMSE: 51.34
Epoch 012	LOSS: 11.00	MAE: 45.77	RMSE: 52.32
Epoch 013	LOSS: 9.90	MAE: 46.69	RMSE: 53.46
Epoch 014	LOSS: 9.06	MAE: 46.95	RMSE: 53.85
Epoch 015	LOSS: 9.03	MAE: 47.20	RMSE: 54.12
Epoch 016	LOSS: 8.91	MAE: 47.33	RMSE: 54.28
Epoch 017	LOSS: 8.89	MAE: 47.40	RMSE: 54.37
Epoch 018	LOSS: 8.95	MAE: 47.43	RMSE: 54.40
Epoch 019	LOSS: 8.90	MAE: 47.44	RMSE: 54.41
Epoch 020	LOSS: 8.75	MAE: 47.43	RMSE: 54.41
Epoch 021	LOSS: 8.70	MAE: 47.43	RMSE: 54.40
Epoch 022	LOSS: 8.60	MAE: 47.41	RMSE: 54.39
Epoch 023	LOSS: 8.88	MAE: 47.39	RMSE: 54.37
Epoch 024	LOSS: 8.79	MAE: 47.37	RMSE: 54.34
Epoch 025	LOSS: 8.93	MAE: 47.34	RMSE: 54.32
Epoch 026	LOSS: 8.60	MAE: 47.32	RMSE: 54.29
Epoch 027	LOSS: 9.05	MAE: 47.30	RMSE: 54.27
Epoch 028	LOSS: 8.95	MAE: 47.29	RMSE: 54.25
Epoch 029	LOSS: 8.70	MAE: 47.27	RMSE: 54.23
Epoch 030	LOSS: 8.67	MAE: 47.26	RMSE: 54.22
Epoch 031	LOSS: 8.75	MAE: 47.26	RMSE: 54.22
Epoch 032	LOSS: 8.62	MAE: 47.26	RMSE: 54.22
Epoch 033	LOSS: 8.63	MAE: 47.25	RMSE: 54.22
Epoch 034	LOSS: 8.72	MAE: 47.26	RMSE: 54.22
Epoch 035	LOSS: 8.69	MAE: 47.26	RMSE: 54.23
Epoch 036	LOSS: 8.64	MAE: 47.26	RMSE: 54.24
Epoch 037	LOSS: 8.82	MAE: 47.27	RMSE: 54.24
Epoch 038	LOSS: 8.59	MAE: 47.29	RMSE: 54.25
Epoch 039	LOSS: 8.71	MAE: 47.28	RMSE: 54.25
Epoch 040	LOSS: 8.84	MAE: 47.28	RMSE: 54.26
Epoch 041	LOSS: 8.84	MAE: 47.29	RMSE: 54.25
Epoch 042	LOSS: 8.64	MAE: 47.28	RMSE: 54.26
Epoch 043	LOSS: 8.83	MAE: 47.28	RMSE: 54.26
Epoch 044	LOSS: 8.61	MAE: 47.30	RMSE: 54.27
Epoch 045	LOSS: 8.64	MAE: 47.30	RMSE: 54.28
Epoch 046	LOSS: 8.62	MAE: 47.30	RMSE: 54.28
Epoch 047	LOSS: 8.65	MAE: 47.31	RMSE: 54.29
Epoch 048	LOSS: 8.64	MAE: 47.31	RMSE: 54.30
Epoch 049	LOSS: 8.85	MAE: 47.32	RMSE: 54.31
Epoch 050	LOSS: 8.67	MAE: 47.32	RMSE: 54.31
Epoch 051	LOSS: 8.69	MAE: 47.33	RMSE: 54.31
Epoch 052	LOSS: 8.75	MAE: 47.31	RMSE: 54.30
Epoch 053	LOSS: 8.76	MAE: 47.31	RMSE: 54.30
Epoch 054	LOSS: 8.71	MAE: 47.34	RMSE: 54.32
Epoch 055	LOSS: 8.83	MAE: 47.35	RMSE: 54.34
Epoch 056	LOSS: 8.68	MAE: 47.37	RMSE: 54.36
Epoch 057	LOSS: 8.60	MAE: 47.36	RMSE: 54.36
Epoch 058	LOSS: 8.83	MAE: 47.39	RMSE: 54.38
Epoch 059	LOSS: 8.80	MAE: 47.38	RMSE: 54.38
Epoch 060	LOSS: 8.64	MAE: 47.40	RMSE: 54.40
Epoch 061	LOSS: 8.83	MAE: 47.45	RMSE: 54.42
Epoch 062	LOSS: 8.59	MAE: 47.43	RMSE: 54.43
Epoch 063	LOSS: 8.73	MAE: 47.43	RMSE: 54.43
Epoch 064	LOSS: 8.55	MAE: 47.41	RMSE: 54.42
Epoch 065	LOSS: 8.55	MAE: 47.42	RMSE: 54.43
Epoch 066	LOSS: 8.54	MAE: 47.42	RMSE: 54.42
Epoch 067	LOSS: 8.57	MAE: 47.40	RMSE: 54.40
Epoch 068	LOSS: 8.55	MAE: 47.40	RMSE: 54.40
Epoch 069	LOSS: 8.66	MAE: 47.40	RMSE: 54.40
Epoch 070	LOSS: 8.73	MAE: 47.42	RMSE: 54.42
Epoch 071	LOSS: 8.89	MAE: 47.43	RMSE: 54.43
Epoch 072	LOSS: 8.91	MAE: 47.43	RMSE: 54.43
Epoch 073	LOSS: 8.84	MAE: 47.43	RMSE: 54.43
Epoch 074	LOSS: 8.56	MAE: 47.43	RMSE: 54.44
Epoch 075	LOSS: 8.70	MAE: 47.43	RMSE: 54.44
Epoch 076	LOSS: 8.67	MAE: 47.44	RMSE: 54.45
Epoch 077	LOSS: 8.82	MAE: 47.45	RMSE: 54.46
Epoch 078	LOSS: 8.79	MAE: 47.44	RMSE: 54.45
Epoch 079	LOSS: 8.85	MAE: 47.44	RMSE: 54.44
Epoch 080	LOSS: 8.91	MAE: 47.45	RMSE: 54.46
Epoch 081	LOSS: 8.80	MAE: 47.45	RMSE: 54.46
Epoch 082	LOSS: 8.49	MAE: 47.43	RMSE: 54.44
Epoch 083	LOSS: 8.68	MAE: 47.44	RMSE: 54.45
Epoch 084	LOSS: 8.55	MAE: 47.45	RMSE: 54.45
Epoch 085	LOSS: 8.73	MAE: 47.47	RMSE: 54.47
Epoch 086	LOSS: 8.72	MAE: 47.45	RMSE: 54.46
Epoch 087	LOSS: 8.83	MAE: 47.45	RMSE: 54.46
Epoch 088	LOSS: 8.82	MAE: 47.46	RMSE: 54.47
Epoch 089	LOSS: 8.71	MAE: 47.46	RMSE: 54.47
Epoch 090	LOSS: 8.67	MAE: 47.46	RMSE: 54.47
Epoch 091	LOSS: 8.58	MAE: 47.46	RMSE: 54.47
Epoch 092	LOSS: 8.75	MAE: 47.46	RMSE: 54.47
Epoch 093	LOSS: 8.74	MAE: 47.47	RMSE: 54.48
Epoch 094	LOSS: 8.58	MAE: 47.48	RMSE: 54.49
Epoch 095	LOSS: 8.80	MAE: 47.48	RMSE: 54.49
Epoch 096	LOSS: 8.56	MAE: 47.47	RMSE: 54.48
Epoch 097	LOSS: 8.67	MAE: 47.47	RMSE: 54.49
Epoch 098	LOSS: 8.78	MAE: 47.48	RMSE: 54.49
Epoch 099	LOSS: 8.86	MAE: 47.46	RMSE: 54.48
Epoch 100	LOSS: 8.58	MAE: 47.49	RMSE: 54.50
Epoch 101	LOSS: 8.62	MAE: 47.51	RMSE: 54.52
Epoch 102	LOSS: 8.95	MAE: 47.53	RMSE: 54.52
Epoch 103	LOSS: 8.75	MAE: 47.49	RMSE: 54.51
Epoch 104	LOSS: 8.78	MAE: 47.49	RMSE: 54.50
