Epoch 000	LOSS: 123.68	MAE: 62.21	RMSE: 62.97
Epoch 001	LOSS: 123.06	MAE: 61.75	RMSE: 62.52
Epoch 002	LOSS: 120.01	MAE: 60.47	RMSE: 61.25
Epoch 003	LOSS: 113.22	MAE: 57.36	RMSE: 58.21
Epoch 004	LOSS: 98.49	MAE: 50.80	RMSE: 51.84
Epoch 005	LOSS: 73.95	MAE: 38.56	RMSE: 39.86
Epoch 006	LOSS: 36.99	MAE: 19.83	RMSE: 21.63
Epoch 007	LOSS: 24.60	MAE: 11.39	RMSE: 15.49
Epoch 008	LOSS: 29.97	MAE: 14.86	RMSE: 18.11
Epoch 009	LOSS: 14.03	MAE: 7.12	RMSE: 12.04
Epoch 010	LOSS: 15.50	MAE: 8.61	RMSE: 12.01
Epoch 011	LOSS: 11.42	MAE: 6.40	RMSE: 11.32
Epoch 012	LOSS: 10.39	MAE: 6.23	RMSE: 11.33
Epoch 013	LOSS: 11.31	MAE: 6.81	RMSE: 11.16
Epoch 014	LOSS: 9.51	MAE: 6.12	RMSE: 11.09
Epoch 015	LOSS: 9.98	MAE: 6.15	RMSE: 10.97
Epoch 016	LOSS: 9.72	MAE: 6.16	RMSE: 10.99
Epoch 017	LOSS: 9.76	MAE: 6.10	RMSE: 10.96
Epoch 018	LOSS: 9.34	MAE: 6.01	RMSE: 10.93
Epoch 019	LOSS: 9.39	MAE: 6.00	RMSE: 10.87
Epoch 020	LOSS: 9.28	MAE: 5.86	RMSE: 10.89
Epoch 021	LOSS: 9.38	MAE: 5.94	RMSE: 10.74
Epoch 022	LOSS: 9.28	MAE: 5.73	RMSE: 10.70
Epoch 023	LOSS: 9.19	MAE: 5.69	RMSE: 10.69
Epoch 024	LOSS: 9.11	MAE: 5.64	RMSE: 10.66
Epoch 025	LOSS: 9.26	MAE: 5.66	RMSE: 10.58
Epoch 026	LOSS: 9.04	MAE: 5.52	RMSE: 10.58
Epoch 027	LOSS: 9.35	MAE: 5.50	RMSE: 10.53
Epoch 028	LOSS: 9.13	MAE: 5.47	RMSE: 10.49
Epoch 029	LOSS: 9.19	MAE: 5.45	RMSE: 10.51
Epoch 030	LOSS: 9.12	MAE: 5.45	RMSE: 10.41
Epoch 031	LOSS: 8.94	MAE: 5.34	RMSE: 10.46
Epoch 032	LOSS: 8.92	MAE: 5.32	RMSE: 10.46
Epoch 033	LOSS: 9.16	MAE: 5.36	RMSE: 10.38
Epoch 034	LOSS: 8.88	MAE: 5.27	RMSE: 10.44
Epoch 035	LOSS: 9.04	MAE: 5.23	RMSE: 10.43
Epoch 036	LOSS: 8.97	MAE: 5.23	RMSE: 10.41
Epoch 037	LOSS: 8.98	MAE: 5.25	RMSE: 10.31
Epoch 038	LOSS: 8.84	MAE: 5.25	RMSE: 10.30
Epoch 039	LOSS: 9.05	MAE: 5.19	RMSE: 10.31
Epoch 040	LOSS: 9.19	MAE: 5.16	RMSE: 10.24
Epoch 041	LOSS: 8.87	MAE: 5.12	RMSE: 10.28
Epoch 042	LOSS: 8.82	MAE: 5.20	RMSE: 10.14
Epoch 043	LOSS: 9.21	MAE: 5.13	RMSE: 10.39
Epoch 044	LOSS: 8.97	MAE: 5.10	RMSE: 10.26
Epoch 045	LOSS: 8.94	MAE: 5.12	RMSE: 10.37
Epoch 046	LOSS: 8.99	MAE: 5.09	RMSE: 10.22
Epoch 047	LOSS: 9.01	MAE: 5.23	RMSE: 10.14
Epoch 048	LOSS: 8.97	MAE: 5.14	RMSE: 10.15
Epoch 049	LOSS: 8.86	MAE: 5.20	RMSE: 10.05
Epoch 050	LOSS: 8.87	MAE: 5.04	RMSE: 10.15
Epoch 051	LOSS: 8.65	MAE: 5.00	RMSE: 10.21
Epoch 052	LOSS: 8.90	MAE: 5.00	RMSE: 10.19
Epoch 053	LOSS: 8.73	MAE: 4.99	RMSE: 10.07
Epoch 054	LOSS: 8.76	MAE: 4.97	RMSE: 10.14
Epoch 055	LOSS: 8.90	MAE: 4.98	RMSE: 10.15
Epoch 056	LOSS: 8.89	MAE: 5.01	RMSE: 9.97
Epoch 057	LOSS: 8.84	MAE: 4.95	RMSE: 9.98
Epoch 058	LOSS: 8.90	MAE: 4.89	RMSE: 9.98
Epoch 059	LOSS: 8.65	MAE: 4.87	RMSE: 10.03
Epoch 060	LOSS: 8.67	MAE: 4.91	RMSE: 9.97
Epoch 061	LOSS: 8.95	MAE: 4.92	RMSE: 9.95
Epoch 062	LOSS: 8.90	MAE: 4.86	RMSE: 9.97
Epoch 063	LOSS: 8.68	MAE: 4.86	RMSE: 9.91
Epoch 064	LOSS: 8.74	MAE: 4.85	RMSE: 10.02
Epoch 065	LOSS: 8.59	MAE: 4.84	RMSE: 9.89
Epoch 066	LOSS: 8.73	MAE: 4.83	RMSE: 9.89
Epoch 067	LOSS: 8.62	MAE: 4.81	RMSE: 9.88
Epoch 068	LOSS: 8.67	MAE: 4.85	RMSE: 9.90
Epoch 069	LOSS: 8.50	MAE: 4.83	RMSE: 9.85
Epoch 070	LOSS: 8.55	MAE: 4.82	RMSE: 9.87
Epoch 071	LOSS: 8.55	MAE: 4.80	RMSE: 9.93
Epoch 072	LOSS: 8.66	MAE: 4.80	RMSE: 9.87
Epoch 073	LOSS: 8.63	MAE: 4.79	RMSE: 9.92
Epoch 074	LOSS: 8.70	MAE: 4.82	RMSE: 9.81
Epoch 075	LOSS: 8.56	MAE: 4.79	RMSE: 9.90
Epoch 076	LOSS: 8.63	MAE: 4.81	RMSE: 9.86
Epoch 077	LOSS: 8.63	MAE: 4.80	RMSE: 9.91
Epoch 078	LOSS: 8.52	MAE: 4.77	RMSE: 9.81
Epoch 079	LOSS: 8.66	MAE: 4.76	RMSE: 9.91
Epoch 080	LOSS: 8.55	MAE: 4.76	RMSE: 9.83
Epoch 081	LOSS: 8.52	MAE: 4.79	RMSE: 9.72
Epoch 082	LOSS: 8.77	MAE: 4.76	RMSE: 9.72
Epoch 083	LOSS: 8.57	MAE: 4.75	RMSE: 9.81
Epoch 084	LOSS: 8.45	MAE: 4.73	RMSE: 9.80
Epoch 085	LOSS: 8.65	MAE: 4.71	RMSE: 9.71
Epoch 086	LOSS: 8.37	MAE: 4.72	RMSE: 9.75
Epoch 087	LOSS: 8.59	MAE: 4.74	RMSE: 9.77
Epoch 088	LOSS: 8.62	MAE: 4.76	RMSE: 9.69
Epoch 089	LOSS: 8.59	MAE: 4.74	RMSE: 9.72
Epoch 090	LOSS: 8.62	MAE: 4.71	RMSE: 9.71
Epoch 091	LOSS: 8.34	MAE: 4.70	RMSE: 9.70
Epoch 092	LOSS: 8.39	MAE: 4.76	RMSE: 9.62
Epoch 093	LOSS: 8.62	MAE: 4.68	RMSE: 9.69
Epoch 094	LOSS: 8.65	MAE: 4.81	RMSE: 9.56
Epoch 095	LOSS: 9.62	MAE: 4.94	RMSE: 9.63
Epoch 096	LOSS: 8.45	MAE: 4.69	RMSE: 9.64
Epoch 097	LOSS: 8.93	MAE: 4.75	RMSE: 9.79
Epoch 098	LOSS: 8.45	MAE: 4.85	RMSE: 9.67
Epoch 099	LOSS: 8.55	MAE: 4.76	RMSE: 9.54
Epoch 100	LOSS: 8.83	MAE: 4.76	RMSE: 9.57
Epoch 101	LOSS: 8.69	MAE: 4.68	RMSE: 9.70
Epoch 102	LOSS: 8.53	MAE: 4.71	RMSE: 9.75
Epoch 103	LOSS: 8.65	MAE: 4.73	RMSE: 9.77
Epoch 104	LOSS: 8.35	MAE: 4.70	RMSE: 9.74
Epoch 105	LOSS: 8.38	MAE: 4.64	RMSE: 9.64
Epoch 106	LOSS: 8.26	MAE: 4.63	RMSE: 9.60
Epoch 107	LOSS: 8.20	MAE: 4.67	RMSE: 9.57
Epoch 108	LOSS: 8.39	MAE: 4.65	RMSE: 9.64
Epoch 109	LOSS: 8.41	MAE: 4.66	RMSE: 9.70
Epoch 110	LOSS: 8.49	MAE: 4.66	RMSE: 9.59
Epoch 111	LOSS: 8.45	MAE: 4.66	RMSE: 9.67
Epoch 112	LOSS: 8.32	MAE: 4.61	RMSE: 9.63
Epoch 113	LOSS: 8.25	MAE: 4.67	RMSE: 9.54
Epoch 114	LOSS: 8.52	MAE: 4.63	RMSE: 9.60
Epoch 115	LOSS: 8.60	MAE: 4.67	RMSE: 9.73
Epoch 116	LOSS: 8.52	MAE: 4.63	RMSE: 9.71
Epoch 117	LOSS: 8.51	MAE: 4.63	RMSE: 9.58
