Epoch 000	LOSS: 124.08	MAE: 62.17	RMSE: 62.94
Epoch 001	LOSS: 122.80	MAE: 61.63	RMSE: 62.40
Epoch 002	LOSS: 118.76	MAE: 60.07	RMSE: 60.87
Epoch 003	LOSS: 110.46	MAE: 56.48	RMSE: 57.37
Epoch 004	LOSS: 93.68	MAE: 48.93	RMSE: 50.04
Epoch 005	LOSS: 65.62	MAE: 35.51	RMSE: 37.01
Epoch 006	LOSS: 24.35	MAE: 15.74	RMSE: 19.06
Epoch 007	LOSS: 30.98	MAE: 15.31	RMSE: 18.73
Epoch 008	LOSS: 26.01	MAE: 13.82	RMSE: 17.40
Epoch 009	LOSS: 12.70	MAE: 11.36	RMSE: 16.58
Epoch 010	LOSS: 13.55	MAE: 12.21	RMSE: 17.58
Epoch 011	LOSS: 12.65	MAE: 10.94	RMSE: 17.35
Epoch 012	LOSS: 10.26	MAE: 11.22	RMSE: 18.11
Epoch 013	LOSS: 9.73	MAE: 10.89	RMSE: 18.41
Epoch 014	LOSS: 9.69	MAE: 11.21	RMSE: 18.85
Epoch 015	LOSS: 9.22	MAE: 11.20	RMSE: 19.10
Epoch 016	LOSS: 9.29	MAE: 11.35	RMSE: 19.36
Epoch 017	LOSS: 9.32	MAE: 11.50	RMSE: 19.57
Epoch 018	LOSS: 9.36	MAE: 11.48	RMSE: 19.76
Epoch 019	LOSS: 9.14	MAE: 11.64	RMSE: 19.97
Epoch 020	LOSS: 9.18	MAE: 11.65	RMSE: 20.15
Epoch 021	LOSS: 9.28	MAE: 11.69	RMSE: 20.35
Epoch 022	LOSS: 9.20	MAE: 11.83	RMSE: 20.63
Epoch 023	LOSS: 9.15	MAE: 11.88	RMSE: 20.87
Epoch 024	LOSS: 9.30	MAE: 12.03	RMSE: 21.18
Epoch 025	LOSS: 9.24	MAE: 12.11	RMSE: 21.46
Epoch 026	LOSS: 9.41	MAE: 12.38	RMSE: 21.74
Epoch 027	LOSS: 9.31	MAE: 12.36	RMSE: 21.97
Epoch 028	LOSS: 9.18	MAE: 12.38	RMSE: 22.11
Epoch 029	LOSS: 9.33	MAE: 12.50	RMSE: 22.35
Epoch 030	LOSS: 9.16	MAE: 12.57	RMSE: 22.49
Epoch 031	LOSS: 9.04	MAE: 12.70	RMSE: 22.68
Epoch 032	LOSS: 8.86	MAE: 12.65	RMSE: 22.78
Epoch 033	LOSS: 9.03	MAE: 12.72	RMSE: 22.92
Epoch 034	LOSS: 9.36	MAE: 12.84	RMSE: 23.05
Epoch 035	LOSS: 9.12	MAE: 12.79	RMSE: 23.14
Epoch 036	LOSS: 9.13	MAE: 12.85	RMSE: 23.30
Epoch 037	LOSS: 9.16	MAE: 12.89	RMSE: 23.49
Epoch 038	LOSS: 9.35	MAE: 13.03	RMSE: 23.67
Epoch 039	LOSS: 8.89	MAE: 13.03	RMSE: 23.84
Epoch 040	LOSS: 9.06	MAE: 13.06	RMSE: 23.97
Epoch 041	LOSS: 8.91	MAE: 13.17	RMSE: 24.12
Epoch 042	LOSS: 9.26	MAE: 13.14	RMSE: 24.25
Epoch 043	LOSS: 9.08	MAE: 13.27	RMSE: 24.30
Epoch 044	LOSS: 9.16	MAE: 13.23	RMSE: 24.37
Epoch 045	LOSS: 9.16	MAE: 13.24	RMSE: 24.47
Epoch 046	LOSS: 9.19	MAE: 13.30	RMSE: 24.53
Epoch 047	LOSS: 9.20	MAE: 13.39	RMSE: 24.59
Epoch 048	LOSS: 9.16	MAE: 13.30	RMSE: 24.66
Epoch 049	LOSS: 9.02	MAE: 13.35	RMSE: 24.79
Epoch 050	LOSS: 9.14	MAE: 13.48	RMSE: 24.91
Epoch 051	LOSS: 9.10	MAE: 13.44	RMSE: 24.94
Epoch 052	LOSS: 9.14	MAE: 13.40	RMSE: 24.98
Epoch 053	LOSS: 9.22	MAE: 13.46	RMSE: 25.04
Epoch 054	LOSS: 8.87	MAE: 13.44	RMSE: 25.16
Epoch 055	LOSS: 9.08	MAE: 13.51	RMSE: 25.24
Epoch 056	LOSS: 8.85	MAE: 13.55	RMSE: 25.23
Epoch 057	LOSS: 9.17	MAE: 13.57	RMSE: 25.25
Epoch 058	LOSS: 9.07	MAE: 13.53	RMSE: 25.28
Epoch 059	LOSS: 9.26	MAE: 13.57	RMSE: 25.30
Epoch 060	LOSS: 8.93	MAE: 13.59	RMSE: 25.37
Epoch 061	LOSS: 8.97	MAE: 13.61	RMSE: 25.40
Epoch 062	LOSS: 9.00	MAE: 13.53	RMSE: 25.38
Epoch 063	LOSS: 9.18	MAE: 13.55	RMSE: 25.41
Epoch 064	LOSS: 9.05	MAE: 13.60	RMSE: 25.44
Epoch 065	LOSS: 8.96	MAE: 13.62	RMSE: 25.48
Epoch 066	LOSS: 8.98	MAE: 13.61	RMSE: 25.53
Epoch 067	LOSS: 9.12	MAE: 13.60	RMSE: 25.55
Epoch 068	LOSS: 8.93	MAE: 13.61	RMSE: 25.55
Epoch 069	LOSS: 8.98	MAE: 13.61	RMSE: 25.57
Epoch 070	LOSS: 9.16	MAE: 13.66	RMSE: 25.62
Epoch 071	LOSS: 8.88	MAE: 13.70	RMSE: 25.66
Epoch 072	LOSS: 9.03	MAE: 13.65	RMSE: 25.69
Epoch 073	LOSS: 9.13	MAE: 13.63	RMSE: 25.73
Epoch 074	LOSS: 8.95	MAE: 13.67	RMSE: 25.74
Epoch 075	LOSS: 9.15	MAE: 13.63	RMSE: 25.75
Epoch 076	LOSS: 9.07	MAE: 13.70	RMSE: 25.78
Epoch 077	LOSS: 9.18	MAE: 13.75	RMSE: 25.77
Epoch 078	LOSS: 9.11	MAE: 13.71	RMSE: 25.78
Epoch 079	LOSS: 9.15	MAE: 13.68	RMSE: 25.76
Epoch 080	LOSS: 9.02	MAE: 13.69	RMSE: 25.80
Epoch 081	LOSS: 8.95	MAE: 13.71	RMSE: 25.79
Epoch 082	LOSS: 9.08	MAE: 13.66	RMSE: 25.80
Epoch 083	LOSS: 9.14	MAE: 13.72	RMSE: 25.89
Epoch 084	LOSS: 9.23	MAE: 13.73	RMSE: 25.96
Epoch 085	LOSS: 9.47	MAE: 13.71	RMSE: 25.91
Epoch 086	LOSS: 9.00	MAE: 13.80	RMSE: 25.87
Epoch 087	LOSS: 9.22	MAE: 13.75	RMSE: 25.87
Epoch 088	LOSS: 9.07	MAE: 13.71	RMSE: 25.84
Epoch 089	LOSS: 8.97	MAE: 13.69	RMSE: 25.89
Epoch 090	LOSS: 8.95	MAE: 13.70	RMSE: 25.93
Epoch 091	LOSS: 9.29	MAE: 13.72	RMSE: 25.93
Epoch 092	LOSS: 9.23	MAE: 13.73	RMSE: 25.96
Epoch 093	LOSS: 9.23	MAE: 13.73	RMSE: 25.96
Epoch 094	LOSS: 9.26	MAE: 13.77	RMSE: 25.95
Epoch 095	LOSS: 9.16	MAE: 13.83	RMSE: 25.94
Epoch 096	LOSS: 9.09	MAE: 13.75	RMSE: 25.92
Epoch 097	LOSS: 9.21	MAE: 13.78	RMSE: 25.95
Epoch 098	LOSS: 9.07	MAE: 13.72	RMSE: 25.98
Epoch 099	LOSS: 9.33	MAE: 13.78	RMSE: 26.07
Epoch 100	LOSS: 8.89	MAE: 13.79	RMSE: 26.04
Epoch 101	LOSS: 9.04	MAE: 13.84	RMSE: 26.02
Epoch 102	LOSS: 9.14	MAE: 13.80	RMSE: 26.03
Epoch 103	LOSS: 9.26	MAE: 13.80	RMSE: 26.07
Epoch 104	LOSS: 8.96	MAE: 13.80	RMSE: 26.06
Epoch 105	LOSS: 8.94	MAE: 13.79	RMSE: 26.09
Epoch 106	LOSS: 9.08	MAE: 13.82	RMSE: 26.11
Epoch 107	LOSS: 8.99	MAE: 13.82	RMSE: 26.15
Epoch 108	LOSS: 8.96	MAE: 13.80	RMSE: 26.15
Epoch 109	LOSS: 9.18	MAE: 13.79	RMSE: 26.16
Epoch 110	LOSS: 9.06	MAE: 13.78	RMSE: 26.15
Epoch 111	LOSS: 8.96	MAE: 13.82	RMSE: 26.19
Epoch 112	LOSS: 8.97	MAE: 13.84	RMSE: 26.18
Epoch 113	LOSS: 9.27	MAE: 13.89	RMSE: 26.18
Epoch 114	LOSS: 9.05	MAE: 13.90	RMSE: 26.19
Epoch 115	LOSS: 9.06	MAE: 13.87	RMSE: 26.16
Epoch 116	LOSS: 8.85	MAE: 13.83	RMSE: 26.16
Epoch 117	LOSS: 9.11	MAE: 13.83	RMSE: 26.18
Epoch 118	LOSS: 9.07	MAE: 13.83	RMSE: 26.24
Epoch 119	LOSS: 9.24	MAE: 13.83	RMSE: 26.23
Epoch 120	LOSS: 9.12	MAE: 13.82	RMSE: 26.20
Epoch 121	LOSS: 9.01	MAE: 13.87	RMSE: 26.20
Epoch 122	LOSS: 9.05	MAE: 13.87	RMSE: 26.22
Epoch 123	LOSS: 9.12	MAE: 13.87	RMSE: 26.20
Epoch 124	LOSS: 9.19	MAE: 13.88	RMSE: 26.19
Epoch 125	LOSS: 9.08	MAE: 13.84	RMSE: 26.27
Epoch 126	LOSS: 9.04	MAE: 13.87	RMSE: 26.31
Epoch 127	LOSS: 9.04	MAE: 13.88	RMSE: 26.30
Epoch 128	LOSS: 8.93	MAE: 13.88	RMSE: 26.23
Epoch 129	LOSS: 8.98	MAE: 13.85	RMSE: 26.28
Epoch 130	LOSS: 9.42	MAE: 13.89	RMSE: 26.33
Epoch 131	LOSS: 9.06	MAE: 13.87	RMSE: 26.34
Epoch 132	LOSS: 9.17	MAE: 13.87	RMSE: 26.33
Epoch 133	LOSS: 8.88	MAE: 13.85	RMSE: 26.31
Epoch 134	LOSS: 9.16	MAE: 13.90	RMSE: 26.33
Epoch 135	LOSS: 9.18	MAE: 13.91	RMSE: 26.33
Epoch 136	LOSS: 9.03	MAE: 13.92	RMSE: 26.35
Epoch 137	LOSS: 9.11	MAE: 13.92	RMSE: 26.38
Epoch 138	LOSS: 9.13	MAE: 13.89	RMSE: 26.39
Epoch 139	LOSS: 9.08	MAE: 13.91	RMSE: 26.43
Epoch 140	LOSS: 9.35	MAE: 13.93	RMSE: 26.42
Epoch 141	LOSS: 9.17	MAE: 13.90	RMSE: 26.38
Epoch 142	LOSS: 8.98	MAE: 13.90	RMSE: 26.41
Epoch 143	LOSS: 9.21	MAE: 13.94	RMSE: 26.40
Epoch 144	LOSS: 9.00	MAE: 13.92	RMSE: 26.39
Epoch 145	LOSS: 9.18	MAE: 13.96	RMSE: 26.36
Epoch 146	LOSS: 8.98	MAE: 13.93	RMSE: 26.43
Epoch 147	LOSS: 8.95	MAE: 13.91	RMSE: 26.42
Epoch 148	LOSS: 9.10	MAE: 13.91	RMSE: 26.41
Epoch 149	LOSS: 8.98	MAE: 13.87	RMSE: 26.37
Epoch 150	LOSS: 9.17	MAE: 13.92	RMSE: 26.37
Epoch 151	LOSS: 9.05	MAE: 13.94	RMSE: 26.38
Epoch 152	LOSS: 9.09	MAE: 13.91	RMSE: 26.42
Epoch 153	LOSS: 9.08	MAE: 13.88	RMSE: 26.38
Epoch 154	LOSS: 9.04	MAE: 13.90	RMSE: 26.42
Epoch 155	LOSS: 9.09	MAE: 13.88	RMSE: 26.42
Epoch 156	LOSS: 9.11	MAE: 13.90	RMSE: 26.43
Epoch 157	LOSS: 8.84	MAE: 13.90	RMSE: 26.44
Epoch 158	LOSS: 9.12	MAE: 13.92	RMSE: 26.43
Epoch 159	LOSS: 8.90	MAE: 13.91	RMSE: 26.44
Epoch 160	LOSS: 9.18	MAE: 13.95	RMSE: 26.42
Epoch 161	LOSS: 9.17	MAE: 13.92	RMSE: 26.41
Epoch 162	LOSS: 9.18	MAE: 13.94	RMSE: 26.45
Epoch 163	LOSS: 9.27	MAE: 13.96	RMSE: 26.47
Epoch 164	LOSS: 9.06	MAE: 13.94	RMSE: 26.44
Epoch 165	LOSS: 9.10	MAE: 13.96	RMSE: 26.42
Epoch 166	LOSS: 8.98	MAE: 13.92	RMSE: 26.43
Epoch 167	LOSS: 9.16	MAE: 13.94	RMSE: 26.42
Epoch 168	LOSS: 8.97	MAE: 13.90	RMSE: 26.44
Epoch 169	LOSS: 9.00	MAE: 13.91	RMSE: 26.42
Epoch 170	LOSS: 9.11	MAE: 13.94	RMSE: 26.45
Epoch 171	LOSS: 8.97	MAE: 13.92	RMSE: 26.48
Epoch 172	LOSS: 9.19	MAE: 13.91	RMSE: 26.47
Epoch 173	LOSS: 9.05	MAE: 13.91	RMSE: 26.43
Epoch 174	LOSS: 8.98	MAE: 13.92	RMSE: 26.45
Epoch 175	LOSS: 9.04	MAE: 13.92	RMSE: 26.49
Epoch 176	LOSS: 8.75	MAE: 13.91	RMSE: 26.46
Epoch 177	LOSS: 9.14	MAE: 13.98	RMSE: 26.44
Epoch 178	LOSS: 8.81	MAE: 13.95	RMSE: 26.43
Epoch 179	LOSS: 9.15	MAE: 13.98	RMSE: 26.42
Epoch 180	LOSS: 9.17	MAE: 13.97	RMSE: 26.43
Epoch 181	LOSS: 9.02	MAE: 13.93	RMSE: 26.45
Epoch 182	LOSS: 8.98	MAE: 13.92	RMSE: 26.42
Epoch 183	LOSS: 9.13	MAE: 13.90	RMSE: 26.47
Epoch 184	LOSS: 8.93	MAE: 13.91	RMSE: 26.48
Epoch 185	LOSS: 9.49	MAE: 13.92	RMSE: 26.50
Epoch 186	LOSS: 9.34	MAE: 13.88	RMSE: 26.43
