Epoch 000	LOSS: 124.05	MAE: 62.18	RMSE: 62.94
Epoch 001	LOSS: 122.74	MAE: 61.64	RMSE: 62.41
Epoch 002	LOSS: 118.96	MAE: 60.15	RMSE: 60.94
Epoch 003	LOSS: 110.96	MAE: 56.81	RMSE: 57.69
Epoch 004	LOSS: 95.54	MAE: 50.06	RMSE: 51.22
Epoch 005	LOSS: 68.68	MAE: 37.89	RMSE: 39.66
Epoch 006	LOSS: 29.31	MAE: 19.70	RMSE: 23.93
Epoch 007	LOSS: 27.25	MAE: 16.97	RMSE: 21.59
Epoch 008	LOSS: 30.55	MAE: 18.86	RMSE: 22.72
Epoch 009	LOSS: 12.29	MAE: 11.53	RMSE: 20.11
Epoch 010	LOSS: 14.23	MAE: 13.48	RMSE: 21.07
Epoch 011	LOSS: 10.65	MAE: 11.98	RMSE: 20.82
Epoch 012	LOSS: 10.71	MAE: 11.85	RMSE: 21.20
Epoch 013	LOSS: 10.22	MAE: 11.94	RMSE: 21.47
Epoch 014	LOSS: 10.04	MAE: 11.96	RMSE: 21.65
Epoch 015	LOSS: 9.45	MAE: 12.11	RMSE: 21.98
Epoch 016	LOSS: 9.16	MAE: 12.20	RMSE: 22.22
Epoch 017	LOSS: 9.22	MAE: 12.32	RMSE: 22.46
Epoch 018	LOSS: 9.02	MAE: 12.41	RMSE: 22.72
Epoch 019	LOSS: 9.26	MAE: 12.52	RMSE: 22.96
Epoch 020	LOSS: 9.11	MAE: 12.58	RMSE: 23.22
Epoch 021	LOSS: 9.11	MAE: 12.67	RMSE: 23.45
Epoch 022	LOSS: 9.17	MAE: 12.76	RMSE: 23.67
Epoch 023	LOSS: 9.17	MAE: 12.85	RMSE: 23.85
Epoch 024	LOSS: 9.08	MAE: 12.89	RMSE: 24.00
Epoch 025	LOSS: 9.18	MAE: 12.95	RMSE: 24.14
Epoch 026	LOSS: 9.17	MAE: 13.02	RMSE: 24.26
Epoch 027	LOSS: 8.94	MAE: 13.05	RMSE: 24.37
Epoch 028	LOSS: 9.09	MAE: 13.08	RMSE: 24.50
Epoch 029	LOSS: 8.85	MAE: 13.16	RMSE: 24.66
Epoch 030	LOSS: 9.13	MAE: 13.25	RMSE: 24.84
Epoch 031	LOSS: 9.08	MAE: 13.30	RMSE: 24.97
Epoch 032	LOSS: 9.13	MAE: 13.34	RMSE: 25.06
Epoch 033	LOSS: 9.10	MAE: 13.37	RMSE: 25.13
Epoch 034	LOSS: 9.15	MAE: 13.38	RMSE: 25.18
Epoch 035	LOSS: 8.93	MAE: 13.41	RMSE: 25.23
Epoch 036	LOSS: 8.81	MAE: 13.45	RMSE: 25.33
Epoch 037	LOSS: 8.92	MAE: 13.50	RMSE: 25.37
Epoch 038	LOSS: 9.00	MAE: 13.45	RMSE: 25.43
Epoch 039	LOSS: 8.94	MAE: 13.49	RMSE: 25.50
Epoch 040	LOSS: 8.89	MAE: 13.51	RMSE: 25.56
Epoch 041	LOSS: 8.88	MAE: 13.50	RMSE: 25.59
Epoch 042	LOSS: 8.90	MAE: 13.54	RMSE: 25.65
Epoch 043	LOSS: 8.56	MAE: 13.54	RMSE: 25.67
Epoch 044	LOSS: 8.73	MAE: 13.55	RMSE: 25.67
Epoch 045	LOSS: 8.45	MAE: 13.53	RMSE: 25.68
Epoch 046	LOSS: 8.68	MAE: 13.55	RMSE: 25.70
Epoch 047	LOSS: 8.40	MAE: 13.55	RMSE: 25.73
Epoch 048	LOSS: 8.47	MAE: 13.56	RMSE: 25.73
Epoch 049	LOSS: 8.58	MAE: 13.53	RMSE: 25.73
Epoch 050	LOSS: 8.56	MAE: 13.54	RMSE: 25.75
Epoch 051	LOSS: 8.54	MAE: 13.56	RMSE: 25.76
Epoch 052	LOSS: 8.64	MAE: 13.54	RMSE: 25.78
Epoch 053	LOSS: 8.37	MAE: 13.54	RMSE: 25.79
Epoch 054	LOSS: 8.52	MAE: 13.56	RMSE: 25.81
Epoch 055	LOSS: 8.52	MAE: 13.61	RMSE: 25.92
Epoch 056	LOSS: 8.56	MAE: 13.62	RMSE: 25.96
Epoch 057	LOSS: 8.64	MAE: 13.63	RMSE: 25.96
Epoch 058	LOSS: 8.30	MAE: 13.56	RMSE: 25.88
Epoch 059	LOSS: 8.49	MAE: 13.62	RMSE: 25.89
Epoch 060	LOSS: 8.40	MAE: 13.60	RMSE: 25.95
Epoch 061	LOSS: 8.60	MAE: 13.65	RMSE: 25.99
Epoch 062	LOSS: 8.48	MAE: 13.64	RMSE: 25.96
Epoch 063	LOSS: 8.56	MAE: 13.60	RMSE: 25.94
Epoch 064	LOSS: 8.52	MAE: 13.60	RMSE: 25.96
Epoch 065	LOSS: 8.34	MAE: 13.60	RMSE: 25.99
Epoch 066	LOSS: 8.53	MAE: 13.60	RMSE: 25.98
Epoch 067	LOSS: 8.40	MAE: 13.61	RMSE: 25.98
Epoch 068	LOSS: 8.24	MAE: 13.62	RMSE: 26.03
Epoch 069	LOSS: 8.32	MAE: 13.63	RMSE: 26.08
Epoch 070	LOSS: 8.41	MAE: 13.62	RMSE: 26.07
Epoch 071	LOSS: 8.35	MAE: 13.61	RMSE: 26.02
