Epoch 000	LOSS: 123.97	MAE: 62.16	RMSE: 62.92
Epoch 001	LOSS: 122.39	MAE: 61.58	RMSE: 62.35
Epoch 002	LOSS: 118.77	MAE: 60.03	RMSE: 60.83
Epoch 003	LOSS: 110.19	MAE: 56.54	RMSE: 57.42
Epoch 004	LOSS: 94.11	MAE: 49.46	RMSE: 50.59
Epoch 005	LOSS: 66.59	MAE: 36.84	RMSE: 38.45
Epoch 006	LOSS: 27.70	MAE: 18.37	RMSE: 22.11
Epoch 007	LOSS: 29.38	MAE: 16.32	RMSE: 20.32
Epoch 008	LOSS: 30.29	MAE: 16.92	RMSE: 20.60
Epoch 009	LOSS: 11.40	MAE: 10.89	RMSE: 18.27
Epoch 010	LOSS: 14.07	MAE: 13.17	RMSE: 19.61
Epoch 011	LOSS: 10.17	MAE: 11.06	RMSE: 19.03
Epoch 012	LOSS: 10.47	MAE: 10.86	RMSE: 18.94
Epoch 013	LOSS: 10.26	MAE: 10.89	RMSE: 18.99
Epoch 014	LOSS: 9.60	MAE: 10.89	RMSE: 19.33
Epoch 015	LOSS: 9.58	MAE: 11.03	RMSE: 19.51
Epoch 016	LOSS: 9.15	MAE: 10.99	RMSE: 19.57
Epoch 017	LOSS: 9.37	MAE: 11.12	RMSE: 19.73
Epoch 018	LOSS: 9.16	MAE: 11.07	RMSE: 19.81
Epoch 019	LOSS: 9.28	MAE: 11.14	RMSE: 19.94
Epoch 020	LOSS: 9.20	MAE: 11.14	RMSE: 20.06
Epoch 021	LOSS: 8.84	MAE: 11.19	RMSE: 20.13
Epoch 022	LOSS: 9.15	MAE: 11.19	RMSE: 20.23
Epoch 023	LOSS: 9.22	MAE: 11.19	RMSE: 20.29
Epoch 024	LOSS: 9.00	MAE: 11.24	RMSE: 20.36
Epoch 025	LOSS: 9.06	MAE: 11.24	RMSE: 20.41
Epoch 026	LOSS: 8.85	MAE: 11.28	RMSE: 20.47
Epoch 027	LOSS: 8.91	MAE: 11.30	RMSE: 20.53
Epoch 028	LOSS: 8.86	MAE: 11.29	RMSE: 20.58
Epoch 029	LOSS: 8.96	MAE: 11.33	RMSE: 20.63
Epoch 030	LOSS: 8.80	MAE: 11.36	RMSE: 20.71
Epoch 031	LOSS: 8.76	MAE: 11.38	RMSE: 20.76
Epoch 032	LOSS: 9.07	MAE: 11.41	RMSE: 20.82
Epoch 033	LOSS: 9.01	MAE: 11.44	RMSE: 20.89
Epoch 034	LOSS: 9.10	MAE: 11.49	RMSE: 20.96
Epoch 035	LOSS: 8.99	MAE: 11.49	RMSE: 21.02
Epoch 036	LOSS: 8.63	MAE: 11.53	RMSE: 21.11
Epoch 037	LOSS: 8.76	MAE: 11.58	RMSE: 21.17
Epoch 038	LOSS: 8.75	MAE: 11.59	RMSE: 21.23
Epoch 039	LOSS: 8.85	MAE: 11.60	RMSE: 21.31
Epoch 040	LOSS: 8.86	MAE: 11.62	RMSE: 21.35
Epoch 041	LOSS: 8.81	MAE: 11.67	RMSE: 21.41
Epoch 042	LOSS: 8.85	MAE: 11.66	RMSE: 21.46
Epoch 043	LOSS: 9.11	MAE: 11.71	RMSE: 21.55
Epoch 044	LOSS: 8.92	MAE: 11.73	RMSE: 21.59
Epoch 045	LOSS: 8.60	MAE: 11.76	RMSE: 21.65
Epoch 046	LOSS: 8.76	MAE: 11.75	RMSE: 21.67
Epoch 047	LOSS: 8.76	MAE: 11.79	RMSE: 21.74
Epoch 048	LOSS: 8.57	MAE: 11.82	RMSE: 21.78
Epoch 049	LOSS: 8.85	MAE: 11.80	RMSE: 21.83
Epoch 050	LOSS: 8.72	MAE: 11.83	RMSE: 21.89
Epoch 051	LOSS: 8.68	MAE: 11.87	RMSE: 21.95
Epoch 052	LOSS: 8.63	MAE: 11.87	RMSE: 22.01
Epoch 053	LOSS: 8.78	MAE: 11.88	RMSE: 22.04
Epoch 054	LOSS: 8.59	MAE: 11.91	RMSE: 22.10
Epoch 055	LOSS: 8.48	MAE: 11.91	RMSE: 22.13
Epoch 056	LOSS: 8.75	MAE: 11.94	RMSE: 22.17
Epoch 057	LOSS: 8.65	MAE: 11.94	RMSE: 22.20
Epoch 058	LOSS: 8.71	MAE: 11.97	RMSE: 22.25
Epoch 059	LOSS: 8.58	MAE: 12.03	RMSE: 22.30
Epoch 060	LOSS: 8.39	MAE: 12.01	RMSE: 22.32
Epoch 061	LOSS: 8.54	MAE: 12.04	RMSE: 22.37
Epoch 062	LOSS: 8.83	MAE: 12.01	RMSE: 22.40
Epoch 063	LOSS: 8.37	MAE: 12.03	RMSE: 22.45
Epoch 064	LOSS: 8.47	MAE: 12.03	RMSE: 22.49
Epoch 065	LOSS: 8.72	MAE: 12.06	RMSE: 22.52
Epoch 066	LOSS: 8.39	MAE: 12.08	RMSE: 22.56
Epoch 067	LOSS: 8.28	MAE: 12.11	RMSE: 22.60
Epoch 068	LOSS: 8.38	MAE: 12.12	RMSE: 22.65
Epoch 069	LOSS: 8.38	MAE: 12.12	RMSE: 22.68
Epoch 070	LOSS: 8.64	MAE: 12.14	RMSE: 22.73
Epoch 071	LOSS: 8.24	MAE: 12.14	RMSE: 22.75
Epoch 072	LOSS: 8.23	MAE: 12.17	RMSE: 22.81
Epoch 073	LOSS: 8.27	MAE: 12.20	RMSE: 22.86
Epoch 074	LOSS: 8.49	MAE: 12.32	RMSE: 22.91
Epoch 075	LOSS: 8.49	MAE: 12.23	RMSE: 22.94
Epoch 076	LOSS: 8.28	MAE: 12.27	RMSE: 23.00
Epoch 077	LOSS: 8.20	MAE: 12.25	RMSE: 23.01
Epoch 078	LOSS: 8.48	MAE: 12.30	RMSE: 23.06
Epoch 079	LOSS: 8.40	MAE: 12.30	RMSE: 23.10
Epoch 080	LOSS: 8.45	MAE: 12.35	RMSE: 23.15
Epoch 081	LOSS: 8.44	MAE: 12.35	RMSE: 23.20
Epoch 082	LOSS: 8.37	MAE: 12.36	RMSE: 23.24
Epoch 083	LOSS: 8.47	MAE: 12.37	RMSE: 23.27
Epoch 084	LOSS: 8.28	MAE: 12.40	RMSE: 23.31
Epoch 085	LOSS: 8.33	MAE: 12.41	RMSE: 23.32
Epoch 086	LOSS: 8.40	MAE: 12.41	RMSE: 23.35
Epoch 087	LOSS: 8.22	MAE: 12.41	RMSE: 23.36
Epoch 088	LOSS: 8.49	MAE: 12.42	RMSE: 23.37
Epoch 089	LOSS: 8.16	MAE: 12.43	RMSE: 23.41
Epoch 090	LOSS: 8.21	MAE: 12.44	RMSE: 23.42
Epoch 091	LOSS: 8.62	MAE: 12.45	RMSE: 23.44
Epoch 092	LOSS: 8.45	MAE: 12.47	RMSE: 23.47
Epoch 093	LOSS: 8.30	MAE: 12.47	RMSE: 23.49
Epoch 094	LOSS: 8.38	MAE: 12.47	RMSE: 23.51
Epoch 095	LOSS: 8.39	MAE: 12.50	RMSE: 23.52
Epoch 096	LOSS: 8.10	MAE: 12.48	RMSE: 23.55
Epoch 097	LOSS: 8.24	MAE: 12.51	RMSE: 23.58
Epoch 098	LOSS: 8.51	MAE: 12.52	RMSE: 23.61
Epoch 099	LOSS: 8.40	MAE: 12.51	RMSE: 23.62
Epoch 100	LOSS: 8.20	MAE: 12.51	RMSE: 23.64
Epoch 101	LOSS: 8.18	MAE: 12.53	RMSE: 23.66
Epoch 102	LOSS: 8.11	MAE: 12.54	RMSE: 23.68
Epoch 103	LOSS: 8.34	MAE: 12.55	RMSE: 23.71
Epoch 104	LOSS: 8.19	MAE: 12.57	RMSE: 23.74
Epoch 105	LOSS: 8.66	MAE: 12.56	RMSE: 23.75
Epoch 106	LOSS: 8.16	MAE: 12.58	RMSE: 23.78
Epoch 107	LOSS: 8.48	MAE: 12.57	RMSE: 23.78
Epoch 108	LOSS: 8.37	MAE: 12.57	RMSE: 23.78
Epoch 109	LOSS: 8.24	MAE: 12.56	RMSE: 23.78
Epoch 110	LOSS: 8.27	MAE: 12.61	RMSE: 23.79
Epoch 111	LOSS: 8.19	MAE: 12.60	RMSE: 23.79
Epoch 112	LOSS: 8.33	MAE: 12.61	RMSE: 23.82
Epoch 113	LOSS: 8.18	MAE: 12.61	RMSE: 23.82
Epoch 114	LOSS: 8.29	MAE: 12.60	RMSE: 23.83
Epoch 115	LOSS: 8.21	MAE: 12.59	RMSE: 23.85
Epoch 116	LOSS: 8.27	MAE: 12.60	RMSE: 23.86
Epoch 117	LOSS: 8.20	MAE: 12.61	RMSE: 23.89
Epoch 118	LOSS: 8.13	MAE: 12.62	RMSE: 23.91
Epoch 119	LOSS: 8.41	MAE: 12.65	RMSE: 23.92
Epoch 120	LOSS: 8.47	MAE: 12.64	RMSE: 23.96
Epoch 121	LOSS: 8.14	MAE: 12.66	RMSE: 24.00
Epoch 122	LOSS: 8.28	MAE: 12.68	RMSE: 24.01
Epoch 123	LOSS: 8.38	MAE: 12.65	RMSE: 24.02
Epoch 124	LOSS: 8.30	MAE: 12.68	RMSE: 24.04
Epoch 125	LOSS: 8.00	MAE: 12.67	RMSE: 24.05
Epoch 126	LOSS: 8.42	MAE: 12.69	RMSE: 24.09
Epoch 127	LOSS: 8.31	MAE: 12.70	RMSE: 24.08
Epoch 128	LOSS: 8.25	MAE: 12.69	RMSE: 24.09
Epoch 129	LOSS: 8.31	MAE: 12.68	RMSE: 24.08
Epoch 130	LOSS: 8.13	MAE: 12.71	RMSE: 24.09
Epoch 131	LOSS: 8.29	MAE: 12.69	RMSE: 24.09
Epoch 132	LOSS: 8.16	MAE: 12.71	RMSE: 24.09
Epoch 133	LOSS: 8.01	MAE: 12.67	RMSE: 24.07
Epoch 134	LOSS: 8.12	MAE: 12.67	RMSE: 24.09
Epoch 135	LOSS: 8.07	MAE: 12.68	RMSE: 24.10
Epoch 136	LOSS: 8.09	MAE: 12.70	RMSE: 24.12
Epoch 137	LOSS: 8.16	MAE: 12.69	RMSE: 24.14
Epoch 138	LOSS: 8.04	MAE: 12.71	RMSE: 24.16
Epoch 139	LOSS: 8.12	MAE: 12.68	RMSE: 24.13
Epoch 140	LOSS: 8.06	MAE: 12.70	RMSE: 24.16
Epoch 141	LOSS: 8.01	MAE: 12.71	RMSE: 24.20
Epoch 142	LOSS: 8.28	MAE: 12.72	RMSE: 24.22
Epoch 143	LOSS: 8.21	MAE: 12.70	RMSE: 24.20
Epoch 144	LOSS: 8.18	MAE: 12.70	RMSE: 24.21
Epoch 145	LOSS: 7.99	MAE: 12.73	RMSE: 24.24
Epoch 146	LOSS: 8.19	MAE: 12.73	RMSE: 24.24
Epoch 147	LOSS: 8.00	MAE: 12.72	RMSE: 24.26
