Epoch 000	LOSS: 124.21	MAE: 62.16	RMSE: 62.93
Epoch 001	LOSS: 122.40	MAE: 61.59	RMSE: 62.36
Epoch 002	LOSS: 118.98	MAE: 60.08	RMSE: 60.88
Epoch 003	LOSS: 110.85	MAE: 56.68	RMSE: 57.55
Epoch 004	LOSS: 95.01	MAE: 49.74	RMSE: 50.83
Epoch 005	LOSS: 69.05	MAE: 37.53	RMSE: 39.05
Epoch 006	LOSS: 31.01	MAE: 19.66	RMSE: 22.83
Epoch 007	LOSS: 26.30	MAE: 14.71	RMSE: 18.93
Epoch 008	LOSS: 30.43	MAE: 16.88	RMSE: 20.28
Epoch 009	LOSS: 12.95	MAE: 10.49	RMSE: 17.85
Epoch 010	LOSS: 14.76	MAE: 13.03	RMSE: 19.14
Epoch 011	LOSS: 11.11	MAE: 10.73	RMSE: 18.54
Epoch 012	LOSS: 11.36	MAE: 10.62	RMSE: 18.65
Epoch 013	LOSS: 10.52	MAE: 10.80	RMSE: 18.82
Epoch 014	LOSS: 9.67	MAE: 10.66	RMSE: 18.93
Epoch 015	LOSS: 9.63	MAE: 10.83	RMSE: 19.18
Epoch 016	LOSS: 9.37	MAE: 10.83	RMSE: 19.37
Epoch 017	LOSS: 9.37	MAE: 10.97	RMSE: 19.60
Epoch 018	LOSS: 9.00	MAE: 10.98	RMSE: 19.74
Epoch 019	LOSS: 9.48	MAE: 11.13	RMSE: 19.88
Epoch 020	LOSS: 9.36	MAE: 11.10	RMSE: 19.99
Epoch 021	LOSS: 9.05	MAE: 11.16	RMSE: 20.07
Epoch 022	LOSS: 9.26	MAE: 11.14	RMSE: 20.12
Epoch 023	LOSS: 9.21	MAE: 11.16	RMSE: 20.17
Epoch 024	LOSS: 9.20	MAE: 11.18	RMSE: 20.21
Epoch 025	LOSS: 9.02	MAE: 11.17	RMSE: 20.23
Epoch 026	LOSS: 8.94	MAE: 11.17	RMSE: 20.25
Epoch 027	LOSS: 9.04	MAE: 11.19	RMSE: 20.32
Epoch 028	LOSS: 9.00	MAE: 11.24	RMSE: 20.37
Epoch 029	LOSS: 9.12	MAE: 11.28	RMSE: 20.47
Epoch 030	LOSS: 8.83	MAE: 11.25	RMSE: 20.51
Epoch 031	LOSS: 8.76	MAE: 11.29	RMSE: 20.59
Epoch 032	LOSS: 8.70	MAE: 11.31	RMSE: 20.67
Epoch 033	LOSS: 8.95	MAE: 11.42	RMSE: 20.77
Epoch 034	LOSS: 8.93	MAE: 11.39	RMSE: 20.84
Epoch 035	LOSS: 8.83	MAE: 11.43	RMSE: 20.95
Epoch 036	LOSS: 9.00	MAE: 11.48	RMSE: 21.03
Epoch 037	LOSS: 8.81	MAE: 11.52	RMSE: 21.16
Epoch 038	LOSS: 8.88	MAE: 11.63	RMSE: 21.29
Epoch 039	LOSS: 8.82	MAE: 11.65	RMSE: 21.39
Epoch 040	LOSS: 8.86	MAE: 11.69	RMSE: 21.51
Epoch 041	LOSS: 8.66	MAE: 11.71	RMSE: 21.60
Epoch 042	LOSS: 8.90	MAE: 11.74	RMSE: 21.66
Epoch 043	LOSS: 8.74	MAE: 11.80	RMSE: 21.76
Epoch 044	LOSS: 8.70	MAE: 11.82	RMSE: 21.85
Epoch 045	LOSS: 8.57	MAE: 11.85	RMSE: 21.91
Epoch 046	LOSS: 8.57	MAE: 11.88	RMSE: 21.97
Epoch 047	LOSS: 8.76	MAE: 11.88	RMSE: 22.02
Epoch 048	LOSS: 8.64	MAE: 11.89	RMSE: 22.06
Epoch 049	LOSS: 8.58	MAE: 11.91	RMSE: 22.12
Epoch 050	LOSS: 8.59	MAE: 11.95	RMSE: 22.20
Epoch 051	LOSS: 8.48	MAE: 11.96	RMSE: 22.24
Epoch 052	LOSS: 8.41	MAE: 11.97	RMSE: 22.28
Epoch 053	LOSS: 8.50	MAE: 12.00	RMSE: 22.34
Epoch 054	LOSS: 8.46	MAE: 12.04	RMSE: 22.41
Epoch 055	LOSS: 8.53	MAE: 12.04	RMSE: 22.43
Epoch 056	LOSS: 8.67	MAE: 12.06	RMSE: 22.48
Epoch 057	LOSS: 8.51	MAE: 12.07	RMSE: 22.54
Epoch 058	LOSS: 8.39	MAE: 12.09	RMSE: 22.57
Epoch 059	LOSS: 8.30	MAE: 12.12	RMSE: 22.61
Epoch 060	LOSS: 8.44	MAE: 12.13	RMSE: 22.66
Epoch 061	LOSS: 8.46	MAE: 12.15	RMSE: 22.70
Epoch 062	LOSS: 8.49	MAE: 12.20	RMSE: 22.74
Epoch 063	LOSS: 8.22	MAE: 12.18	RMSE: 22.77
Epoch 064	LOSS: 8.34	MAE: 12.22	RMSE: 22.84
Epoch 065	LOSS: 8.22	MAE: 12.19	RMSE: 22.81
Epoch 066	LOSS: 8.49	MAE: 12.20	RMSE: 22.82
Epoch 067	LOSS: 8.31	MAE: 12.20	RMSE: 22.84
Epoch 068	LOSS: 8.45	MAE: 12.21	RMSE: 22.89
Epoch 069	LOSS: 8.32	MAE: 12.23	RMSE: 22.93
Epoch 070	LOSS: 8.17	MAE: 12.26	RMSE: 22.96
Epoch 071	LOSS: 8.19	MAE: 12.28	RMSE: 23.00
Epoch 072	LOSS: 8.38	MAE: 12.30	RMSE: 23.06
Epoch 073	LOSS: 8.39	MAE: 12.28	RMSE: 23.07
Epoch 074	LOSS: 8.21	MAE: 12.31	RMSE: 23.11
Epoch 075	LOSS: 8.65	MAE: 12.33	RMSE: 23.15
Epoch 076	LOSS: 8.29	MAE: 12.37	RMSE: 23.21
Epoch 077	LOSS: 8.37	MAE: 12.40	RMSE: 23.27
Epoch 078	LOSS: 8.29	MAE: 12.42	RMSE: 23.35
