Epoch 000	LOSS: 451.19	MAE: 255.18	RMSE: 298.06
Epoch 001	LOSS: 447.26	MAE: 255.15	RMSE: 298.03
Epoch 002	LOSS: 448.45	MAE: 255.11	RMSE: 298.00
Epoch 003	LOSS: 445.29	MAE: 255.04	RMSE: 297.95
Epoch 004	LOSS: 448.50	MAE: 254.95	RMSE: 297.87
Epoch 005	LOSS: 443.60	MAE: 254.81	RMSE: 297.75
Epoch 006	LOSS: 434.02	MAE: 254.60	RMSE: 297.58
Epoch 007	LOSS: 439.07	MAE: 254.30	RMSE: 297.32
Epoch 008	LOSS: 434.72	MAE: 253.86	RMSE: 296.96
Epoch 009	LOSS: 436.24	MAE: 253.23	RMSE: 296.43
Epoch 010	LOSS: 434.61	MAE: 252.27	RMSE: 295.63
Epoch 011	LOSS: 430.08	MAE: 250.79	RMSE: 294.38
Epoch 012	LOSS: 425.21	MAE: 248.49	RMSE: 292.43
Epoch 013	LOSS: 414.31	MAE: 245.05	RMSE: 289.49
Epoch 014	LOSS: 410.25	MAE: 240.29	RMSE: 285.40
Epoch 015	LOSS: 399.12	MAE: 234.77	RMSE: 280.62
Epoch 016	LOSS: 382.31	MAE: 228.50	RMSE: 275.14
Epoch 017	LOSS: 372.52	MAE: 221.62	RMSE: 269.03
Epoch 018	LOSS: 361.38	MAE: 213.80	RMSE: 261.98
Epoch 019	LOSS: 343.94	MAE: 205.23	RMSE: 254.08
Epoch 020	LOSS: 325.85	MAE: 196.01	RMSE: 245.38
Epoch 021	LOSS: 302.72	MAE: 186.16	RMSE: 235.80
Epoch 022	LOSS: 293.85	MAE: 175.83	RMSE: 225.36
Epoch 023	LOSS: 278.42	MAE: 165.36	RMSE: 214.25
Epoch 024	LOSS: 258.28	MAE: 155.11	RMSE: 202.73
Epoch 025	LOSS: 244.08	MAE: 145.18	RMSE: 191.00
Epoch 026	LOSS: 225.63	MAE: 135.73	RMSE: 179.34
Epoch 027	LOSS: 215.80	MAE: 126.93	RMSE: 167.97
Epoch 028	LOSS: 207.60	MAE: 119.65	RMSE: 158.10
Epoch 029	LOSS: 199.71	MAE: 114.00	RMSE: 149.94
Epoch 030	LOSS: 193.66	MAE: 109.93	RMSE: 143.79
Epoch 031	LOSS: 191.89	MAE: 106.95	RMSE: 139.56
Epoch 032	LOSS: 186.07	MAE: 104.25	RMSE: 136.36
Epoch 033	LOSS: 185.62	MAE: 101.68	RMSE: 133.77
Epoch 034	LOSS: 181.39	MAE: 99.13	RMSE: 131.36
Epoch 035	LOSS: 178.72	MAE: 97.04	RMSE: 129.23
Epoch 036	LOSS: 175.61	MAE: 95.78	RMSE: 127.61
Epoch 037	LOSS: 173.60	MAE: 95.78	RMSE: 126.79
Epoch 038	LOSS: 173.31	MAE: 96.53	RMSE: 126.53
Epoch 039	LOSS: 172.75	MAE: 97.64	RMSE: 126.71
Epoch 040	LOSS: 172.47	MAE: 98.44	RMSE: 126.73
Epoch 041	LOSS: 173.23	MAE: 98.79	RMSE: 126.58
Epoch 042	LOSS: 172.63	MAE: 98.22	RMSE: 125.79
Epoch 043	LOSS: 170.42	MAE: 97.18	RMSE: 124.76
Epoch 044	LOSS: 169.29	MAE: 95.77	RMSE: 123.63
Epoch 045	LOSS: 169.26	MAE: 94.51	RMSE: 122.76
Epoch 046	LOSS: 168.04	MAE: 93.16	RMSE: 121.98
Epoch 047	LOSS: 170.22	MAE: 92.15	RMSE: 121.60
Epoch 048	LOSS: 166.66	MAE: 91.17	RMSE: 121.25
Epoch 049	LOSS: 164.32	MAE: 90.33	RMSE: 120.94
Epoch 050	LOSS: 167.38	MAE: 89.83	RMSE: 120.71
Epoch 051	LOSS: 165.15	MAE: 89.44	RMSE: 120.48
Epoch 052	LOSS: 165.07	MAE: 89.60	RMSE: 120.38
Epoch 053	LOSS: 165.85	MAE: 89.93	RMSE: 120.29
Epoch 054	LOSS: 163.38	MAE: 89.97	RMSE: 119.94
Epoch 055	LOSS: 163.72	MAE: 90.32	RMSE: 119.77
Epoch 056	LOSS: 164.85	MAE: 90.83	RMSE: 119.78
Epoch 057	LOSS: 164.48	MAE: 91.07	RMSE: 119.70
Epoch 058	LOSS: 167.18	MAE: 91.11	RMSE: 119.61
Epoch 059	LOSS: 167.14	MAE: 90.88	RMSE: 119.42
Epoch 060	LOSS: 162.54	MAE: 90.51	RMSE: 119.20
Epoch 061	LOSS: 163.06	MAE: 90.25	RMSE: 119.05
Epoch 062	LOSS: 162.10	MAE: 89.84	RMSE: 118.87
Epoch 063	LOSS: 163.26	MAE: 89.45	RMSE: 118.71
Epoch 064	LOSS: 162.58	MAE: 88.99	RMSE: 118.50
Epoch 065	LOSS: 162.43	MAE: 88.57	RMSE: 118.41
Epoch 066	LOSS: 164.66	MAE: 88.23	RMSE: 118.34
Epoch 067	LOSS: 163.12	MAE: 88.01	RMSE: 118.28
Epoch 068	LOSS: 161.06	MAE: 88.21	RMSE: 118.21
Epoch 069	LOSS: 159.10	MAE: 88.41	RMSE: 118.19
Epoch 070	LOSS: 158.34	MAE: 88.54	RMSE: 118.19
Epoch 071	LOSS: 161.88	MAE: 88.69	RMSE: 118.26
Epoch 072	LOSS: 159.61	MAE: 88.92	RMSE: 118.31
Epoch 073	LOSS: 156.67	MAE: 89.18	RMSE: 118.35
Epoch 074	LOSS: 162.34	MAE: 89.21	RMSE: 118.32
Epoch 075	LOSS: 160.29	MAE: 89.07	RMSE: 118.26
Epoch 076	LOSS: 158.63	MAE: 88.83	RMSE: 118.15
Epoch 077	LOSS: 160.81	MAE: 88.47	RMSE: 117.94
Epoch 078	LOSS: 156.11	MAE: 88.20	RMSE: 117.73
Epoch 079	LOSS: 156.72	MAE: 87.95	RMSE: 117.63
Epoch 080	LOSS: 156.37	MAE: 87.80	RMSE: 117.37
Epoch 081	LOSS: 156.37	MAE: 87.93	RMSE: 117.27
Epoch 082	LOSS: 153.69	MAE: 88.01	RMSE: 117.16
Epoch 083	LOSS: 155.73	MAE: 87.93	RMSE: 117.02
Epoch 084	LOSS: 152.18	MAE: 87.84	RMSE: 116.86
Epoch 085	LOSS: 156.39	MAE: 87.67	RMSE: 116.70
Epoch 086	LOSS: 153.13	MAE: 87.58	RMSE: 116.60
Epoch 087	LOSS: 155.83	MAE: 87.46	RMSE: 116.50
Epoch 088	LOSS: 156.32	MAE: 87.14	RMSE: 116.27
Epoch 089	LOSS: 153.76	MAE: 86.71	RMSE: 115.96
Epoch 090	LOSS: 153.83	MAE: 86.42	RMSE: 115.77
Epoch 091	LOSS: 155.85	MAE: 86.22	RMSE: 115.61
Epoch 092	LOSS: 151.44	MAE: 85.91	RMSE: 115.38
Epoch 093	LOSS: 152.22	MAE: 85.78	RMSE: 115.26
Epoch 094	LOSS: 150.77	MAE: 85.62	RMSE: 115.06
Epoch 095	LOSS: 150.19	MAE: 85.59	RMSE: 114.93
Epoch 096	LOSS: 149.27	MAE: 85.60	RMSE: 114.77
Epoch 097	LOSS: 152.85	MAE: 85.86	RMSE: 114.74
Epoch 098	LOSS: 151.08	MAE: 86.09	RMSE: 114.67
Epoch 099	LOSS: 148.23	MAE: 86.13	RMSE: 114.56
Epoch 100	LOSS: 149.55	MAE: 86.14	RMSE: 114.46
Epoch 101	LOSS: 146.83	MAE: 85.99	RMSE: 114.26
Epoch 102	LOSS: 148.70	MAE: 85.59	RMSE: 114.04
Epoch 103	LOSS: 149.12	MAE: 85.39	RMSE: 113.89
Epoch 104	LOSS: 150.15	MAE: 85.30	RMSE: 113.79
Epoch 105	LOSS: 147.88	MAE: 85.21	RMSE: 113.65
Epoch 106	LOSS: 144.26	MAE: 85.07	RMSE: 113.49
Epoch 107	LOSS: 146.48	MAE: 85.11	RMSE: 113.44
Epoch 108	LOSS: 148.28	MAE: 85.08	RMSE: 113.36
Epoch 109	LOSS: 146.52	MAE: 84.99	RMSE: 113.25
Epoch 110	LOSS: 150.15	MAE: 84.97	RMSE: 113.20
Epoch 111	LOSS: 145.36	MAE: 85.02	RMSE: 113.18
Epoch 112	LOSS: 146.07	MAE: 84.75	RMSE: 112.98
Epoch 113	LOSS: 145.96	MAE: 84.35	RMSE: 112.74
Epoch 114	LOSS: 143.24	MAE: 84.03	RMSE: 112.55
Epoch 115	LOSS: 145.45	MAE: 83.94	RMSE: 112.46
Epoch 116	LOSS: 148.27	MAE: 84.09	RMSE: 112.46
Epoch 117	LOSS: 144.53	MAE: 83.99	RMSE: 112.28
Epoch 118	LOSS: 146.50	MAE: 83.64	RMSE: 111.96
Epoch 119	LOSS: 144.24	MAE: 83.18	RMSE: 111.65
Epoch 120	LOSS: 144.77	MAE: 82.86	RMSE: 111.42
Epoch 121	LOSS: 143.05	MAE: 82.65	RMSE: 111.22
Epoch 122	LOSS: 139.10	MAE: 82.67	RMSE: 111.13
Epoch 123	LOSS: 139.52	MAE: 82.66	RMSE: 111.04
Epoch 124	LOSS: 143.07	MAE: 82.66	RMSE: 110.94
Epoch 125	LOSS: 139.06	MAE: 82.79	RMSE: 110.86
Epoch 126	LOSS: 140.05	MAE: 82.89	RMSE: 110.80
Epoch 127	LOSS: 139.61	MAE: 82.95	RMSE: 110.74
Epoch 128	LOSS: 138.53	MAE: 83.04	RMSE: 110.68
Epoch 129	LOSS: 139.11	MAE: 82.84	RMSE: 110.45
Epoch 130	LOSS: 137.00	MAE: 82.72	RMSE: 110.27
Epoch 131	LOSS: 137.65	MAE: 82.54	RMSE: 110.00
Epoch 132	LOSS: 140.20	MAE: 82.14	RMSE: 109.64
Epoch 133	LOSS: 135.97	MAE: 81.82	RMSE: 109.38
Epoch 134	LOSS: 134.89	MAE: 81.42	RMSE: 109.06
Epoch 135	LOSS: 135.21	MAE: 80.92	RMSE: 108.72
Epoch 136	LOSS: 135.02	MAE: 80.54	RMSE: 108.46
Epoch 137	LOSS: 134.45	MAE: 80.65	RMSE: 108.39
Epoch 138	LOSS: 133.02	MAE: 80.95	RMSE: 108.31
Epoch 139	LOSS: 128.48	MAE: 81.51	RMSE: 108.53
Epoch 140	LOSS: 131.67	MAE: 81.75	RMSE: 108.63
Epoch 141	LOSS: 129.83	MAE: 81.87	RMSE: 108.62
Epoch 142	LOSS: 129.40	MAE: 81.86	RMSE: 108.51
Epoch 143	LOSS: 127.16	MAE: 81.54	RMSE: 108.13
Epoch 144	LOSS: 128.70	MAE: 81.13	RMSE: 107.66
Epoch 145	LOSS: 130.02	MAE: 80.46	RMSE: 107.12
Epoch 146	LOSS: 130.12	MAE: 79.80	RMSE: 106.62
Epoch 147	LOSS: 127.81	MAE: 79.31	RMSE: 106.24
Epoch 148	LOSS: 126.78	MAE: 78.98	RMSE: 105.92
Epoch 149	LOSS: 127.39	MAE: 78.62	RMSE: 105.53
Epoch 150	LOSS: 125.37	MAE: 78.37	RMSE: 105.26
Epoch 151	LOSS: 124.08	MAE: 78.63	RMSE: 105.55
Epoch 152	LOSS: 124.39	MAE: 78.10	RMSE: 104.76
Epoch 153	LOSS: 122.75	MAE: 77.94	RMSE: 104.54
Epoch 154	LOSS: 122.67	MAE: 77.88	RMSE: 104.42
Epoch 155	LOSS: 123.17	MAE: 77.76	RMSE: 104.29
Epoch 156	LOSS: 123.16	MAE: 77.58	RMSE: 104.06
Epoch 157	LOSS: 122.83	MAE: 77.29	RMSE: 103.75
Epoch 158	LOSS: 120.83	MAE: 77.00	RMSE: 103.52
Epoch 159	LOSS: 118.66	MAE: 76.51	RMSE: 103.15
Epoch 160	LOSS: 121.26	MAE: 76.20	RMSE: 102.87
Epoch 161	LOSS: 118.73	MAE: 75.96	RMSE: 102.66
Epoch 162	LOSS: 118.46	MAE: 76.25	RMSE: 103.07
Epoch 163	LOSS: 117.50	MAE: 75.97	RMSE: 102.78
Epoch 164	LOSS: 116.69	MAE: 75.58	RMSE: 102.17
Epoch 165	LOSS: 115.04	MAE: 75.64	RMSE: 102.09
Epoch 166	LOSS: 116.19	MAE: 75.33	RMSE: 101.83
Epoch 167	LOSS: 115.11	MAE: 75.72	RMSE: 102.52
Epoch 168	LOSS: 115.98	MAE: 75.31	RMSE: 101.97
Epoch 169	LOSS: 116.52	MAE: 74.97	RMSE: 101.38
Epoch 170	LOSS: 113.81	MAE: 75.06	RMSE: 101.36
Epoch 171	LOSS: 113.72	MAE: 75.11	RMSE: 101.34
Epoch 172	LOSS: 112.49	MAE: 75.01	RMSE: 101.18
Epoch 173	LOSS: 113.65	MAE: 74.71	RMSE: 100.90
Epoch 174	LOSS: 113.90	MAE: 75.19	RMSE: 101.69
Epoch 175	LOSS: 113.06	MAE: 75.07	RMSE: 101.58
Epoch 176	LOSS: 113.06	MAE: 74.31	RMSE: 100.65
Epoch 177	LOSS: 111.67	MAE: 74.52	RMSE: 100.47
Epoch 178	LOSS: 111.55	MAE: 75.19	RMSE: 101.15
Epoch 179	LOSS: 108.45	MAE: 74.96	RMSE: 100.72
Epoch 180	LOSS: 109.90	MAE: 74.88	RMSE: 100.81
Epoch 181	LOSS: 109.71	MAE: 74.45	RMSE: 100.42
Epoch 182	LOSS: 109.41	MAE: 73.99	RMSE: 100.15
Epoch 183	LOSS: 108.90	MAE: 73.69	RMSE: 99.89
Epoch 184	LOSS: 108.59	MAE: 73.21	RMSE: 99.42
Epoch 185	LOSS: 108.33	MAE: 73.19	RMSE: 99.30
Epoch 186	LOSS: 107.79	MAE: 72.96	RMSE: 99.20
Epoch 187	LOSS: 104.39	MAE: 72.97	RMSE: 99.16
Epoch 188	LOSS: 107.52	MAE: 73.14	RMSE: 99.16
Epoch 189	LOSS: 107.20	MAE: 73.17	RMSE: 99.13
Epoch 190	LOSS: 105.05	MAE: 72.97	RMSE: 98.94
Epoch 191	LOSS: 105.47	MAE: 72.84	RMSE: 98.81
Epoch 192	LOSS: 104.66	MAE: 72.45	RMSE: 98.51
Epoch 193	LOSS: 104.93	MAE: 72.18	RMSE: 98.33
Epoch 194	LOSS: 104.12	MAE: 71.70	RMSE: 97.78
Epoch 195	LOSS: 104.26	MAE: 71.74	RMSE: 97.66
Epoch 196	LOSS: 103.09	MAE: 71.76	RMSE: 97.70
Epoch 197	LOSS: 104.21	MAE: 72.16	RMSE: 98.03
Epoch 198	LOSS: 104.54	MAE: 72.15	RMSE: 97.99
Epoch 199	LOSS: 102.67	MAE: 72.23	RMSE: 97.91
Epoch 200	LOSS: 101.57	MAE: 72.03	RMSE: 97.78
Epoch 201	LOSS: 102.62	MAE: 71.67	RMSE: 97.53
Epoch 202	LOSS: 102.02	MAE: 71.36	RMSE: 97.24
Epoch 203	LOSS: 102.13	MAE: 71.32	RMSE: 97.10
Epoch 204	LOSS: 101.31	MAE: 71.11	RMSE: 96.97
Epoch 205	LOSS: 100.18	MAE: 71.16	RMSE: 96.98
Epoch 206	LOSS: 100.88	MAE: 71.33	RMSE: 97.03
Epoch 207	LOSS: 100.17	MAE: 71.37	RMSE: 97.13
Epoch 208	LOSS: 99.61	MAE: 71.24	RMSE: 96.99
Epoch 209	LOSS: 98.71	MAE: 71.27	RMSE: 96.93
Epoch 210	LOSS: 100.15	MAE: 71.19	RMSE: 96.90
Epoch 211	LOSS: 98.08	MAE: 71.15	RMSE: 96.91
Epoch 212	LOSS: 97.69	MAE: 71.03	RMSE: 96.75
Epoch 213	LOSS: 98.21	MAE: 70.95	RMSE: 96.64
Epoch 214	LOSS: 97.22	MAE: 70.87	RMSE: 96.63
Epoch 215	LOSS: 97.83	MAE: 70.97	RMSE: 96.67
Epoch 216	LOSS: 96.99	MAE: 70.82	RMSE: 96.52
Epoch 217	LOSS: 96.53	MAE: 70.67	RMSE: 96.35
Epoch 218	LOSS: 95.50	MAE: 70.26	RMSE: 96.05
Epoch 219	LOSS: 97.21	MAE: 69.96	RMSE: 95.72
Epoch 220	LOSS: 97.53	MAE: 69.83	RMSE: 95.58
Epoch 221	LOSS: 95.17	MAE: 70.02	RMSE: 95.75
Epoch 222	LOSS: 96.23	MAE: 70.27	RMSE: 96.03
Epoch 223	LOSS: 95.63	MAE: 70.30	RMSE: 96.04
Epoch 224	LOSS: 94.77	MAE: 70.38	RMSE: 96.00
Epoch 225	LOSS: 95.22	MAE: 70.31	RMSE: 95.96
Epoch 226	LOSS: 93.83	MAE: 70.48	RMSE: 96.12
Epoch 227	LOSS: 92.57	MAE: 70.48	RMSE: 96.16
Epoch 228	LOSS: 94.06	MAE: 69.98	RMSE: 95.68
Epoch 229	LOSS: 93.61	MAE: 69.84	RMSE: 95.55
Epoch 230	LOSS: 93.03	MAE: 69.94	RMSE: 95.59
Epoch 231	LOSS: 93.28	MAE: 69.62	RMSE: 95.30
Epoch 232	LOSS: 92.96	MAE: 69.44	RMSE: 95.10
Epoch 233	LOSS: 92.07	MAE: 69.18	RMSE: 94.95
Epoch 234	LOSS: 92.98	MAE: 69.42	RMSE: 95.09
Epoch 235	LOSS: 92.59	MAE: 69.44	RMSE: 95.09
Epoch 236	LOSS: 91.47	MAE: 69.76	RMSE: 95.34
Epoch 237	LOSS: 90.72	MAE: 69.99	RMSE: 95.73
Epoch 238	LOSS: 90.30	MAE: 69.89	RMSE: 95.66
Epoch 239	LOSS: 90.48	MAE: 69.42	RMSE: 95.11
Epoch 240	LOSS: 91.00	MAE: 69.48	RMSE: 95.10
Epoch 241	LOSS: 90.14	MAE: 69.31	RMSE: 95.07
Epoch 242	LOSS: 90.19	MAE: 69.12	RMSE: 94.92
Epoch 243	LOSS: 88.91	MAE: 68.73	RMSE: 94.47
Epoch 244	LOSS: 88.20	MAE: 68.55	RMSE: 94.33
Epoch 245	LOSS: 88.10	MAE: 68.58	RMSE: 94.44
Epoch 246	LOSS: 87.63	MAE: 68.48	RMSE: 94.29
Epoch 247	LOSS: 89.08	MAE: 68.56	RMSE: 94.24
Epoch 248	LOSS: 88.98	MAE: 68.54	RMSE: 94.34
Epoch 249	LOSS: 87.47	MAE: 68.77	RMSE: 94.58
Epoch 250	LOSS: 87.95	MAE: 68.70	RMSE: 94.47
Epoch 251	LOSS: 87.31	MAE: 68.58	RMSE: 94.23
Epoch 252	LOSS: 86.89	MAE: 68.34	RMSE: 94.13
Epoch 253	LOSS: 87.24	MAE: 68.25	RMSE: 94.07
Epoch 254	LOSS: 86.51	MAE: 68.22	RMSE: 93.98
Epoch 255	LOSS: 85.81	MAE: 68.15	RMSE: 93.86
Epoch 256	LOSS: 85.91	MAE: 67.98	RMSE: 93.77
Epoch 257	LOSS: 85.77	MAE: 68.07	RMSE: 93.87
Epoch 258	LOSS: 85.36	MAE: 67.79	RMSE: 93.60
Epoch 259	LOSS: 85.89	MAE: 67.48	RMSE: 93.26
Epoch 260	LOSS: 85.26	MAE: 67.24	RMSE: 93.11
Epoch 261	LOSS: 85.02	MAE: 67.17	RMSE: 93.03
Epoch 262	LOSS: 85.51	MAE: 67.66	RMSE: 93.39
Epoch 263	LOSS: 85.44	MAE: 68.40	RMSE: 94.00
Epoch 264	LOSS: 84.89	MAE: 68.68	RMSE: 94.31
Epoch 265	LOSS: 84.30	MAE: 68.61	RMSE: 94.28
Epoch 266	LOSS: 84.64	MAE: 68.29	RMSE: 94.02
Epoch 267	LOSS: 84.16	MAE: 67.81	RMSE: 93.61
Epoch 268	LOSS: 83.94	MAE: 67.31	RMSE: 93.16
Epoch 269	LOSS: 83.99	MAE: 66.96	RMSE: 92.83
Epoch 270	LOSS: 83.06	MAE: 66.73	RMSE: 92.60
Epoch 271	LOSS: 83.53	MAE: 66.94	RMSE: 92.72
Epoch 272	LOSS: 82.48	MAE: 67.30	RMSE: 93.14
Epoch 273	LOSS: 81.91	MAE: 68.22	RMSE: 94.11
Epoch 274	LOSS: 82.02	MAE: 68.54	RMSE: 94.39
Epoch 275	LOSS: 81.13	MAE: 69.04	RMSE: 94.85
Epoch 276	LOSS: 80.60	MAE: 69.01	RMSE: 94.80
Epoch 277	LOSS: 81.12	MAE: 68.79	RMSE: 94.57
Epoch 278	LOSS: 81.28	MAE: 68.09	RMSE: 93.86
Epoch 279	LOSS: 80.43	MAE: 67.63	RMSE: 93.41
Epoch 280	LOSS: 80.68	MAE: 67.46	RMSE: 93.30
Epoch 281	LOSS: 80.91	MAE: 67.38	RMSE: 93.32
Epoch 282	LOSS: 81.55	MAE: 67.13	RMSE: 93.02
Epoch 283	LOSS: 80.65	MAE: 66.70	RMSE: 92.64
Epoch 284	LOSS: 80.56	MAE: 66.95	RMSE: 92.89
Epoch 285	LOSS: 80.24	MAE: 67.29	RMSE: 93.18
Epoch 286	LOSS: 79.76	MAE: 67.56	RMSE: 93.37
Epoch 287	LOSS: 80.50	MAE: 67.93	RMSE: 93.72
Epoch 288	LOSS: 80.64	MAE: 68.24	RMSE: 94.04
Epoch 289	LOSS: 80.71	MAE: 68.37	RMSE: 94.25
Epoch 290	LOSS: 79.71	MAE: 68.06	RMSE: 93.98
Epoch 291	LOSS: 78.75	MAE: 67.83	RMSE: 93.58
Epoch 292	LOSS: 79.71	MAE: 67.27	RMSE: 93.07
Epoch 293	LOSS: 79.63	MAE: 67.06	RMSE: 92.90
Epoch 294	LOSS: 79.04	MAE: 67.07	RMSE: 92.92
Epoch 295	LOSS: 78.68	MAE: 67.50	RMSE: 93.35
Epoch 296	LOSS: 79.36	MAE: 67.60	RMSE: 93.53
Epoch 297	LOSS: 78.90	MAE: 67.43	RMSE: 93.40
Epoch 298	LOSS: 78.43	MAE: 67.20	RMSE: 93.17
Epoch 299	LOSS: 78.95	MAE: 67.10	RMSE: 93.13
