Epoch 000	LOSS: 452.67	MAE: 255.19	RMSE: 298.06
Epoch 001	LOSS: 444.71	MAE: 255.17	RMSE: 298.05
Epoch 002	LOSS: 449.77	MAE: 255.14	RMSE: 298.01
Epoch 003	LOSS: 448.30	MAE: 255.09	RMSE: 297.97
Epoch 004	LOSS: 435.08	MAE: 255.01	RMSE: 297.90
Epoch 005	LOSS: 447.18	MAE: 254.89	RMSE: 297.80
Epoch 006	LOSS: 449.63	MAE: 254.72	RMSE: 297.64
Epoch 007	LOSS: 444.14	MAE: 254.47	RMSE: 297.42
Epoch 008	LOSS: 438.86	MAE: 254.11	RMSE: 297.11
Epoch 009	LOSS: 435.89	MAE: 253.58	RMSE: 296.64
Epoch 010	LOSS: 428.34	MAE: 252.73	RMSE: 295.91
Epoch 011	LOSS: 426.28	MAE: 251.38	RMSE: 294.74
Epoch 012	LOSS: 424.95	MAE: 249.53	RMSE: 293.14
Epoch 013	LOSS: 416.81	MAE: 247.25	RMSE: 291.14
Epoch 014	LOSS: 409.59	MAE: 244.52	RMSE: 288.76
Epoch 015	LOSS: 396.02	MAE: 241.32	RMSE: 285.95
Epoch 016	LOSS: 390.31	MAE: 237.63	RMSE: 282.71
Epoch 017	LOSS: 373.21	MAE: 233.43	RMSE: 279.00
Epoch 018	LOSS: 362.97	MAE: 228.76	RMSE: 274.81
Epoch 019	LOSS: 342.38	MAE: 223.57	RMSE: 270.12
Epoch 020	LOSS: 330.09	MAE: 217.77	RMSE: 264.80
Epoch 021	LOSS: 307.85	MAE: 211.43	RMSE: 258.90
Epoch 022	LOSS: 302.69	MAE: 204.62	RMSE: 252.43
Epoch 023	LOSS: 275.04	MAE: 197.63	RMSE: 245.62
Epoch 024	LOSS: 263.57	MAE: 190.76	RMSE: 238.75
Epoch 025	LOSS: 244.48	MAE: 183.99	RMSE: 231.74
Epoch 026	LOSS: 231.37	MAE: 177.22	RMSE: 224.47
Epoch 027	LOSS: 219.54	MAE: 170.47	RMSE: 216.99
Epoch 028	LOSS: 209.31	MAE: 164.33	RMSE: 209.90
Epoch 029	LOSS: 201.46	MAE: 159.54	RMSE: 204.02
Epoch 030	LOSS: 197.89	MAE: 156.21	RMSE: 199.56
Epoch 031	LOSS: 191.77	MAE: 153.93	RMSE: 196.20
Epoch 032	LOSS: 189.17	MAE: 153.68	RMSE: 195.16
Epoch 033	LOSS: 186.82	MAE: 155.03	RMSE: 196.07
Epoch 034	LOSS: 181.63	MAE: 156.74	RMSE: 197.48
Epoch 035	LOSS: 175.81	MAE: 159.16	RMSE: 199.81
Epoch 036	LOSS: 175.96	MAE: 163.23	RMSE: 204.05
Epoch 037	LOSS: 175.40	MAE: 167.33	RMSE: 208.38
Epoch 038	LOSS: 173.58	MAE: 171.03	RMSE: 212.32
Epoch 039	LOSS: 175.71	MAE: 174.81	RMSE: 216.46
Epoch 040	LOSS: 170.38	MAE: 177.59	RMSE: 219.56
Epoch 041	LOSS: 172.90	MAE: 180.11	RMSE: 222.37
Epoch 042	LOSS: 169.59	MAE: 182.51	RMSE: 225.06
