Epoch 000	LOSS: 451.14	MAE: 255.17	RMSE: 298.05
Epoch 001	LOSS: 444.54	MAE: 255.13	RMSE: 298.02
Epoch 002	LOSS: 439.50	MAE: 255.06	RMSE: 297.96
Epoch 003	LOSS: 440.75	MAE: 254.96	RMSE: 297.87
Epoch 004	LOSS: 446.89	MAE: 254.81	RMSE: 297.74
Epoch 005	LOSS: 436.59	MAE: 254.59	RMSE: 297.56
Epoch 006	LOSS: 442.73	MAE: 254.29	RMSE: 297.30
Epoch 007	LOSS: 439.37	MAE: 253.86	RMSE: 296.94
Epoch 008	LOSS: 439.04	MAE: 253.26	RMSE: 296.43
Epoch 009	LOSS: 434.97	MAE: 252.40	RMSE: 295.70
Epoch 010	LOSS: 425.75	MAE: 251.11	RMSE: 294.60
Epoch 011	LOSS: 425.54	MAE: 249.15	RMSE: 292.92
Epoch 012	LOSS: 412.75	MAE: 246.70	RMSE: 290.82
Epoch 013	LOSS: 397.26	MAE: 243.99	RMSE: 288.48
Epoch 014	LOSS: 390.68	MAE: 241.07	RMSE: 285.93
Epoch 015	LOSS: 373.52	MAE: 237.64	RMSE: 282.91
Epoch 016	LOSS: 359.81	MAE: 233.77	RMSE: 279.45
Epoch 017	LOSS: 350.40	MAE: 229.73	RMSE: 275.80
Epoch 018	LOSS: 328.53	MAE: 225.65	RMSE: 272.06
Epoch 019	LOSS: 305.96	MAE: 221.40	RMSE: 268.09
Epoch 020	LOSS: 284.10	MAE: 216.86	RMSE: 263.75
Epoch 021	LOSS: 266.15	MAE: 212.60	RMSE: 259.56
Epoch 022	LOSS: 249.03	MAE: 208.74	RMSE: 255.63
Epoch 023	LOSS: 234.24	MAE: 204.76	RMSE: 251.48
Epoch 024	LOSS: 220.96	MAE: 201.51	RMSE: 247.91
Epoch 025	LOSS: 211.18	MAE: 199.02	RMSE: 245.01
Epoch 026	LOSS: 204.27	MAE: 197.55	RMSE: 243.04
Epoch 027	LOSS: 196.64	MAE: 197.39	RMSE: 242.32
Epoch 028	LOSS: 192.42	MAE: 197.44	RMSE: 241.96
Epoch 029	LOSS: 192.77	MAE: 198.77	RMSE: 243.11
Epoch 030	LOSS: 188.34	MAE: 200.12	RMSE: 244.52
Epoch 031	LOSS: 180.95	MAE: 202.12	RMSE: 246.71
Epoch 032	LOSS: 174.21	MAE: 204.15	RMSE: 248.98
Epoch 033	LOSS: 172.20	MAE: 206.55	RMSE: 251.55
Epoch 034	LOSS: 171.37	MAE: 208.70	RMSE: 253.83
Epoch 035	LOSS: 171.37	MAE: 210.04	RMSE: 255.26
Epoch 036	LOSS: 168.49	MAE: 210.78	RMSE: 256.16
Epoch 037	LOSS: 167.38	MAE: 211.01	RMSE: 256.58
Epoch 038	LOSS: 167.26	MAE: 211.26	RMSE: 257.09
