Epoch 000	LOSS: 449.13	MAE: 255.18	RMSE: 298.06
Epoch 001	LOSS: 448.63	MAE: 255.15	RMSE: 298.03
Epoch 002	LOSS: 446.60	MAE: 255.09	RMSE: 297.98
Epoch 003	LOSS: 448.09	MAE: 255.00	RMSE: 297.90
Epoch 004	LOSS: 440.98	MAE: 254.87	RMSE: 297.78
Epoch 005	LOSS: 438.26	MAE: 254.67	RMSE: 297.60
Epoch 006	LOSS: 439.03	MAE: 254.37	RMSE: 297.33
Epoch 007	LOSS: 436.62	MAE: 253.94	RMSE: 296.96
Epoch 008	LOSS: 431.58	MAE: 253.33	RMSE: 296.43
Epoch 009	LOSS: 440.40	MAE: 252.45	RMSE: 295.67
Epoch 010	LOSS: 419.88	MAE: 251.11	RMSE: 294.51
Epoch 011	LOSS: 420.84	MAE: 249.01	RMSE: 292.69
Epoch 012	LOSS: 411.74	MAE: 246.42	RMSE: 290.45
Epoch 013	LOSS: 393.92	MAE: 243.42	RMSE: 287.84
Epoch 014	LOSS: 379.99	MAE: 240.10	RMSE: 284.92
Epoch 015	LOSS: 370.81	MAE: 236.52	RMSE: 281.75
Epoch 016	LOSS: 364.15	MAE: 232.82	RMSE: 278.42
Epoch 017	LOSS: 346.18	MAE: 228.95	RMSE: 274.89
Epoch 018	LOSS: 321.59	MAE: 225.02	RMSE: 271.26
Epoch 019	LOSS: 302.31	MAE: 221.03	RMSE: 267.50
Epoch 020	LOSS: 278.96	MAE: 217.30	RMSE: 263.93
Epoch 021	LOSS: 259.42	MAE: 213.46	RMSE: 260.14
Epoch 022	LOSS: 242.08	MAE: 210.03	RMSE: 256.60
Epoch 023	LOSS: 227.70	MAE: 206.82	RMSE: 253.18
Epoch 024	LOSS: 216.33	MAE: 204.04	RMSE: 250.08
Epoch 025	LOSS: 206.63	MAE: 201.24	RMSE: 246.95
Epoch 026	LOSS: 202.12	MAE: 199.40	RMSE: 244.74
Epoch 027	LOSS: 195.60	MAE: 198.64	RMSE: 243.64
Epoch 028	LOSS: 191.23	MAE: 199.14	RMSE: 243.88
Epoch 029	LOSS: 187.87	MAE: 199.43	RMSE: 244.05
Epoch 030	LOSS: 184.16	MAE: 200.48	RMSE: 245.11
Epoch 031	LOSS: 177.93	MAE: 201.64	RMSE: 246.33
Epoch 032	LOSS: 173.55	MAE: 202.93	RMSE: 247.65
Epoch 033	LOSS: 173.65	MAE: 204.42	RMSE: 249.14
Epoch 034	LOSS: 173.49	MAE: 205.72	RMSE: 250.46
Epoch 035	LOSS: 174.02	MAE: 206.78	RMSE: 251.61
Epoch 036	LOSS: 171.94	MAE: 207.47	RMSE: 252.43
Epoch 037	LOSS: 171.87	MAE: 207.87	RMSE: 253.05
Epoch 038	LOSS: 169.21	MAE: 208.11	RMSE: 253.54
Epoch 039	LOSS: 173.30	MAE: 208.35	RMSE: 254.06
Epoch 040	LOSS: 169.12	MAE: 208.54	RMSE: 254.54
Epoch 041	LOSS: 171.14	MAE: 208.77	RMSE: 254.99
Epoch 042	LOSS: 167.99	MAE: 209.14	RMSE: 255.55
Epoch 043	LOSS: 172.61	MAE: 209.49	RMSE: 256.01
Epoch 044	LOSS: 169.24	MAE: 209.96	RMSE: 256.53
Epoch 045	LOSS: 169.62	MAE: 210.33	RMSE: 256.87
Epoch 046	LOSS: 168.34	MAE: 210.72	RMSE: 257.20
Epoch 047	LOSS: 169.79	MAE: 211.01	RMSE: 257.51
Epoch 048	LOSS: 170.38	MAE: 211.26	RMSE: 257.82
Epoch 049	LOSS: 167.12	MAE: 211.34	RMSE: 258.00
Epoch 050	LOSS: 171.40	MAE: 211.43	RMSE: 258.17
Epoch 051	LOSS: 164.31	MAE: 211.46	RMSE: 258.27
Epoch 052	LOSS: 167.38	MAE: 211.51	RMSE: 258.38
Epoch 053	LOSS: 167.09	MAE: 211.56	RMSE: 258.47
Epoch 054	LOSS: 171.00	MAE: 211.57	RMSE: 258.49
Epoch 055	LOSS: 167.78	MAE: 211.52	RMSE: 258.47
Epoch 056	LOSS: 167.43	MAE: 211.46	RMSE: 258.46
Epoch 057	LOSS: 165.44	MAE: 211.38	RMSE: 258.38
Epoch 058	LOSS: 167.61	MAE: 211.38	RMSE: 258.29
Epoch 059	LOSS: 164.47	MAE: 211.47	RMSE: 258.27
Epoch 060	LOSS: 165.47	MAE: 211.36	RMSE: 258.22
Epoch 061	LOSS: 165.64	MAE: 211.35	RMSE: 258.23
Epoch 062	LOSS: 168.98	MAE: 211.38	RMSE: 258.24
Epoch 063	LOSS: 167.73	MAE: 211.32	RMSE: 258.25
Epoch 064	LOSS: 161.64	MAE: 211.27	RMSE: 258.25
Epoch 065	LOSS: 165.63	MAE: 211.21	RMSE: 258.22
Epoch 066	LOSS: 163.62	MAE: 211.15	RMSE: 258.21
Epoch 067	LOSS: 165.32	MAE: 211.21	RMSE: 258.26
Epoch 068	LOSS: 163.14	MAE: 211.23	RMSE: 258.26
Epoch 069	LOSS: 166.87	MAE: 211.18	RMSE: 258.25
Epoch 070	LOSS: 166.24	MAE: 211.17	RMSE: 258.26
Epoch 071	LOSS: 164.10	MAE: 211.19	RMSE: 258.31
Epoch 072	LOSS: 163.09	MAE: 211.11	RMSE: 258.33
Epoch 073	LOSS: 163.92	MAE: 211.04	RMSE: 258.31
Epoch 074	LOSS: 160.54	MAE: 211.06	RMSE: 258.27
Epoch 075	LOSS: 162.03	MAE: 211.07	RMSE: 258.21
Epoch 076	LOSS: 163.50	MAE: 211.06	RMSE: 258.19
Epoch 077	LOSS: 164.83	MAE: 210.99	RMSE: 258.12
Epoch 078	LOSS: 162.21	MAE: 210.93	RMSE: 258.06
Epoch 079	LOSS: 166.08	MAE: 210.84	RMSE: 257.98
Epoch 080	LOSS: 161.55	MAE: 210.72	RMSE: 257.92
Epoch 081	LOSS: 162.90	MAE: 210.66	RMSE: 257.84
Epoch 082	LOSS: 162.10	MAE: 210.61	RMSE: 257.78
Epoch 083	LOSS: 159.06	MAE: 210.61	RMSE: 257.77
Epoch 084	LOSS: 165.25	MAE: 210.63	RMSE: 257.80
Epoch 085	LOSS: 163.23	MAE: 210.73	RMSE: 257.89
Epoch 086	LOSS: 163.25	MAE: 210.71	RMSE: 257.97
Epoch 087	LOSS: 164.25	MAE: 210.62	RMSE: 258.03
Epoch 088	LOSS: 161.59	MAE: 210.50	RMSE: 258.00
Epoch 089	LOSS: 161.41	MAE: 210.49	RMSE: 257.95
Epoch 090	LOSS: 157.82	MAE: 210.50	RMSE: 257.99
Epoch 091	LOSS: 160.40	MAE: 210.53	RMSE: 257.97
Epoch 092	LOSS: 158.86	MAE: 210.54	RMSE: 257.92
Epoch 093	LOSS: 158.68	MAE: 210.35	RMSE: 257.82
Epoch 094	LOSS: 154.72	MAE: 210.26	RMSE: 257.76
Epoch 095	LOSS: 154.62	MAE: 210.23	RMSE: 257.74
Epoch 096	LOSS: 156.25	MAE: 210.21	RMSE: 257.69
Epoch 097	LOSS: 153.07	MAE: 210.02	RMSE: 257.57
Epoch 098	LOSS: 156.96	MAE: 210.00	RMSE: 257.56
Epoch 099	LOSS: 156.54	MAE: 210.05	RMSE: 257.62
Epoch 100	LOSS: 155.45	MAE: 209.89	RMSE: 257.57
Epoch 101	LOSS: 153.04	MAE: 209.75	RMSE: 257.55
Epoch 102	LOSS: 153.13	MAE: 209.60	RMSE: 257.52
Epoch 103	LOSS: 153.67	MAE: 209.57	RMSE: 257.45
Epoch 104	LOSS: 151.88	MAE: 209.40	RMSE: 257.36
Epoch 105	LOSS: 148.26	MAE: 209.14	RMSE: 257.22
Epoch 106	LOSS: 150.95	MAE: 209.05	RMSE: 257.11
Epoch 107	LOSS: 148.76	MAE: 209.08	RMSE: 257.03
Epoch 108	LOSS: 150.49	MAE: 208.99	RMSE: 256.86
Epoch 109	LOSS: 148.22	MAE: 208.68	RMSE: 256.63
Epoch 110	LOSS: 148.43	MAE: 208.49	RMSE: 256.54
Epoch 111	LOSS: 145.86	MAE: 208.20	RMSE: 256.47
Epoch 112	LOSS: 142.92	MAE: 207.85	RMSE: 256.34
Epoch 113	LOSS: 141.53	MAE: 207.57	RMSE: 256.01
Epoch 114	LOSS: 141.52	MAE: 207.68	RMSE: 256.03
Epoch 115	LOSS: 140.61	MAE: 207.81	RMSE: 256.09
Epoch 116	LOSS: 144.64	MAE: 207.46	RMSE: 255.85
Epoch 117	LOSS: 140.94	MAE: 206.98	RMSE: 255.51
Epoch 118	LOSS: 136.55	MAE: 206.66	RMSE: 255.28
Epoch 119	LOSS: 138.35	MAE: 206.66	RMSE: 255.36
Epoch 120	LOSS: 138.36	MAE: 206.72	RMSE: 255.46
Epoch 121	LOSS: 138.60	MAE: 206.72	RMSE: 255.47
Epoch 122	LOSS: 135.95	MAE: 206.54	RMSE: 255.35
Epoch 123	LOSS: 135.89	MAE: 206.23	RMSE: 255.15
Epoch 124	LOSS: 132.61	MAE: 205.78	RMSE: 254.86
Epoch 125	LOSS: 133.86	MAE: 205.55	RMSE: 254.68
Epoch 126	LOSS: 133.54	MAE: 205.44	RMSE: 254.62
Epoch 127	LOSS: 130.28	MAE: 205.46	RMSE: 254.66
Epoch 128	LOSS: 131.66	MAE: 205.60	RMSE: 254.73
Epoch 129	LOSS: 128.38	MAE: 205.47	RMSE: 254.66
Epoch 130	LOSS: 126.68	MAE: 205.07	RMSE: 254.49
Epoch 131	LOSS: 126.78	MAE: 204.83	RMSE: 254.37
Epoch 132	LOSS: 126.61	MAE: 204.73	RMSE: 254.31
Epoch 133	LOSS: 125.68	MAE: 204.57	RMSE: 254.25
Epoch 134	LOSS: 123.17	MAE: 204.41	RMSE: 254.16
Epoch 135	LOSS: 125.80	MAE: 204.31	RMSE: 254.06
Epoch 136	LOSS: 121.73	MAE: 203.97	RMSE: 253.87
Epoch 137	LOSS: 122.26	MAE: 203.71	RMSE: 253.73
Epoch 138	LOSS: 119.29	MAE: 203.59	RMSE: 253.69
Epoch 139	LOSS: 118.16	MAE: 203.34	RMSE: 253.59
Epoch 140	LOSS: 116.35	MAE: 203.10	RMSE: 253.47
Epoch 141	LOSS: 118.87	MAE: 202.91	RMSE: 253.34
Epoch 142	LOSS: 115.31	MAE: 202.68	RMSE: 253.18
Epoch 143	LOSS: 116.16	MAE: 202.41	RMSE: 253.03
Epoch 144	LOSS: 113.76	MAE: 202.27	RMSE: 252.97
Epoch 145	LOSS: 116.81	MAE: 202.45	RMSE: 253.03
Epoch 146	LOSS: 115.49	MAE: 202.41	RMSE: 252.96
Epoch 147	LOSS: 110.43	MAE: 201.93	RMSE: 252.72
Epoch 148	LOSS: 111.79	MAE: 201.55	RMSE: 252.54
Epoch 149	LOSS: 110.87	MAE: 201.21	RMSE: 252.38
Epoch 150	LOSS: 109.14	MAE: 200.98	RMSE: 252.26
Epoch 151	LOSS: 107.98	MAE: 200.72	RMSE: 252.06
Epoch 152	LOSS: 107.22	MAE: 200.65	RMSE: 251.95
Epoch 153	LOSS: 107.09	MAE: 200.46	RMSE: 251.87
Epoch 154	LOSS: 105.76	MAE: 200.16	RMSE: 251.75
Epoch 155	LOSS: 104.57	MAE: 199.97	RMSE: 251.63
Epoch 156	LOSS: 103.24	MAE: 199.73	RMSE: 251.51
Epoch 157	LOSS: 101.81	MAE: 199.52	RMSE: 251.42
Epoch 158	LOSS: 101.13	MAE: 199.18	RMSE: 251.31
Epoch 159	LOSS: 100.75	MAE: 199.09	RMSE: 251.27
Epoch 160	LOSS: 98.90	MAE: 199.00	RMSE: 251.19
Epoch 161	LOSS: 98.17	MAE: 198.95	RMSE: 251.20
Epoch 162	LOSS: 97.88	MAE: 198.94	RMSE: 251.18
Epoch 163	LOSS: 97.47	MAE: 198.83	RMSE: 251.11
Epoch 164	LOSS: 97.83	MAE: 198.74	RMSE: 250.99
Epoch 165	LOSS: 97.20	MAE: 198.64	RMSE: 250.91
Epoch 166	LOSS: 98.00	MAE: 198.48	RMSE: 250.82
Epoch 167	LOSS: 95.10	MAE: 198.20	RMSE: 250.71
Epoch 168	LOSS: 93.32	MAE: 198.18	RMSE: 250.71
Epoch 169	LOSS: 93.89	MAE: 198.32	RMSE: 250.81
Epoch 170	LOSS: 93.14	MAE: 198.07	RMSE: 250.78
Epoch 171	LOSS: 92.71	MAE: 197.96	RMSE: 250.77
Epoch 172	LOSS: 92.07	MAE: 197.78	RMSE: 250.70
