Epoch 000	LOSS: 446.81	MAE: 255.19	RMSE: 298.06
Epoch 001	LOSS: 454.65	MAE: 255.16	RMSE: 298.04
Epoch 002	LOSS: 448.00	MAE: 255.12	RMSE: 298.00
Epoch 003	LOSS: 438.59	MAE: 255.06	RMSE: 297.95
Epoch 004	LOSS: 448.87	MAE: 254.97	RMSE: 297.88
Epoch 005	LOSS: 439.87	MAE: 254.84	RMSE: 297.76
Epoch 006	LOSS: 445.65	MAE: 254.65	RMSE: 297.60
Epoch 007	LOSS: 440.62	MAE: 254.38	RMSE: 297.36
Epoch 008	LOSS: 444.14	MAE: 254.01	RMSE: 297.04
Epoch 009	LOSS: 435.71	MAE: 253.48	RMSE: 296.58
Epoch 010	LOSS: 434.12	MAE: 252.73	RMSE: 295.94
Epoch 011	LOSS: 422.27	MAE: 251.61	RMSE: 294.97
Epoch 012	LOSS: 419.11	MAE: 249.91	RMSE: 293.51
Epoch 013	LOSS: 416.11	MAE: 247.73	RMSE: 291.61
Epoch 014	LOSS: 402.35	MAE: 245.18	RMSE: 289.40
Epoch 015	LOSS: 391.50	MAE: 242.35	RMSE: 286.94
Epoch 016	LOSS: 381.11	MAE: 239.25	RMSE: 284.21
Epoch 017	LOSS: 369.16	MAE: 235.89	RMSE: 281.22
Epoch 018	LOSS: 351.85	MAE: 232.16	RMSE: 277.86
Epoch 019	LOSS: 335.58	MAE: 228.23	RMSE: 274.27
Epoch 020	LOSS: 318.19	MAE: 224.31	RMSE: 270.64
Epoch 021	LOSS: 305.93	MAE: 220.34	RMSE: 266.91
Epoch 022	LOSS: 281.35	MAE: 216.05	RMSE: 262.81
Epoch 023	LOSS: 270.41	MAE: 211.76	RMSE: 258.59
Epoch 024	LOSS: 247.94	MAE: 207.81	RMSE: 254.56
Epoch 025	LOSS: 233.52	MAE: 204.06	RMSE: 250.62
Epoch 026	LOSS: 219.07	MAE: 200.57	RMSE: 246.85
Epoch 027	LOSS: 211.76	MAE: 197.75	RMSE: 243.66
Epoch 028	LOSS: 203.56	MAE: 195.53	RMSE: 241.04
Epoch 029	LOSS: 196.28	MAE: 194.65	RMSE: 239.73
Epoch 030	LOSS: 193.50	MAE: 194.97	RMSE: 239.67
Epoch 031	LOSS: 188.82	MAE: 196.17	RMSE: 240.61
Epoch 032	LOSS: 187.16	MAE: 198.14	RMSE: 242.51
Epoch 033	LOSS: 182.67	MAE: 200.14	RMSE: 244.57
Epoch 034	LOSS: 179.33	MAE: 202.75	RMSE: 247.35
Epoch 035	LOSS: 176.33	MAE: 204.72	RMSE: 249.46
Epoch 036	LOSS: 174.69	MAE: 206.99	RMSE: 251.88
Epoch 037	LOSS: 169.38	MAE: 208.52	RMSE: 253.51
Epoch 038	LOSS: 175.45	MAE: 209.48	RMSE: 254.52
Epoch 039	LOSS: 172.64	MAE: 210.01	RMSE: 255.11
Epoch 040	LOSS: 173.05	MAE: 210.46	RMSE: 255.71
Epoch 041	LOSS: 168.03	MAE: 210.53	RMSE: 255.97
Epoch 042	LOSS: 169.65	MAE: 210.72	RMSE: 256.42
Epoch 043	LOSS: 170.08	MAE: 210.89	RMSE: 256.85
Epoch 044	LOSS: 170.45	MAE: 211.05	RMSE: 257.23
Epoch 045	LOSS: 165.77	MAE: 211.32	RMSE: 257.64
Epoch 046	LOSS: 168.88	MAE: 211.59	RMSE: 257.99
Epoch 047	LOSS: 168.86	MAE: 211.80	RMSE: 258.29
Epoch 048	LOSS: 167.85	MAE: 211.96	RMSE: 258.53
Epoch 049	LOSS: 166.64	MAE: 212.07	RMSE: 258.73
Epoch 050	LOSS: 168.06	MAE: 212.12	RMSE: 258.89
Epoch 051	LOSS: 167.24	MAE: 212.21	RMSE: 259.03
Epoch 052	LOSS: 167.43	MAE: 212.28	RMSE: 259.16
Epoch 053	LOSS: 170.85	MAE: 212.36	RMSE: 259.29
Epoch 054	LOSS: 169.02	MAE: 212.39	RMSE: 259.41
Epoch 055	LOSS: 166.47	MAE: 212.44	RMSE: 259.52
Epoch 056	LOSS: 171.88	MAE: 212.42	RMSE: 259.60
Epoch 057	LOSS: 166.29	MAE: 212.40	RMSE: 259.61
Epoch 058	LOSS: 168.13	MAE: 212.43	RMSE: 259.61
Epoch 059	LOSS: 166.75	MAE: 212.51	RMSE: 259.59
Epoch 060	LOSS: 168.05	MAE: 212.56	RMSE: 259.46
Epoch 061	LOSS: 166.10	MAE: 212.49	RMSE: 259.38
Epoch 062	LOSS: 168.64	MAE: 212.32	RMSE: 259.31
Epoch 063	LOSS: 168.27	MAE: 212.16	RMSE: 259.24
Epoch 064	LOSS: 167.21	MAE: 212.00	RMSE: 259.12
Epoch 065	LOSS: 168.15	MAE: 211.96	RMSE: 258.99
Epoch 066	LOSS: 166.94	MAE: 211.86	RMSE: 258.90
Epoch 067	LOSS: 165.15	MAE: 211.72	RMSE: 258.81
Epoch 068	LOSS: 161.97	MAE: 211.53	RMSE: 258.74
Epoch 069	LOSS: 164.06	MAE: 211.56	RMSE: 258.70
Epoch 070	LOSS: 165.04	MAE: 211.58	RMSE: 258.68
Epoch 071	LOSS: 164.92	MAE: 211.45	RMSE: 258.56
Epoch 072	LOSS: 161.78	MAE: 211.49	RMSE: 258.62
Epoch 073	LOSS: 168.10	MAE: 211.50	RMSE: 258.68
Epoch 074	LOSS: 160.50	MAE: 211.43	RMSE: 258.62
Epoch 075	LOSS: 167.17	MAE: 211.62	RMSE: 258.80
Epoch 076	LOSS: 164.97	MAE: 211.72	RMSE: 258.89
Epoch 077	LOSS: 161.36	MAE: 211.56	RMSE: 258.80
Epoch 078	LOSS: 162.58	MAE: 211.52	RMSE: 258.79
Epoch 079	LOSS: 159.33	MAE: 211.62	RMSE: 258.90
Epoch 080	LOSS: 162.03	MAE: 211.74	RMSE: 258.99
Epoch 081	LOSS: 160.44	MAE: 211.78	RMSE: 259.00
Epoch 082	LOSS: 162.46	MAE: 211.75	RMSE: 259.01
Epoch 083	LOSS: 159.26	MAE: 211.58	RMSE: 259.00
Epoch 084	LOSS: 161.27	MAE: 211.45	RMSE: 259.01
Epoch 085	LOSS: 159.80	MAE: 211.40	RMSE: 259.01
Epoch 086	LOSS: 161.57	MAE: 211.43	RMSE: 259.04
Epoch 087	LOSS: 156.35	MAE: 211.56	RMSE: 259.12
Epoch 088	LOSS: 158.49	MAE: 211.62	RMSE: 259.17
Epoch 089	LOSS: 155.54	MAE: 211.53	RMSE: 259.13
Epoch 090	LOSS: 159.79	MAE: 211.40	RMSE: 259.05
Epoch 091	LOSS: 154.59	MAE: 211.29	RMSE: 258.97
Epoch 092	LOSS: 157.22	MAE: 211.28	RMSE: 258.93
Epoch 093	LOSS: 159.03	MAE: 211.31	RMSE: 258.92
Epoch 094	LOSS: 156.53	MAE: 211.34	RMSE: 258.91
Epoch 095	LOSS: 157.35	MAE: 211.24	RMSE: 258.87
Epoch 096	LOSS: 155.23	MAE: 211.18	RMSE: 258.87
Epoch 097	LOSS: 155.98	MAE: 211.07	RMSE: 258.86
Epoch 098	LOSS: 157.86	MAE: 210.99	RMSE: 258.84
Epoch 099	LOSS: 152.37	MAE: 211.00	RMSE: 258.86
Epoch 100	LOSS: 151.68	MAE: 210.98	RMSE: 258.89
Epoch 101	LOSS: 153.23	MAE: 210.97	RMSE: 258.89
Epoch 102	LOSS: 151.40	MAE: 210.98	RMSE: 258.85
Epoch 103	LOSS: 153.13	MAE: 210.76	RMSE: 258.55
Epoch 104	LOSS: 153.12	MAE: 210.75	RMSE: 258.61
Epoch 105	LOSS: 152.73	MAE: 210.74	RMSE: 258.76
Epoch 106	LOSS: 153.56	MAE: 210.69	RMSE: 258.76
Epoch 107	LOSS: 151.93	MAE: 210.64	RMSE: 258.77
Epoch 108	LOSS: 152.04	MAE: 210.55	RMSE: 258.76
Epoch 109	LOSS: 152.09	MAE: 210.45	RMSE: 258.70
Epoch 110	LOSS: 148.28	MAE: 210.38	RMSE: 258.64
Epoch 111	LOSS: 151.10	MAE: 210.45	RMSE: 258.61
Epoch 112	LOSS: 149.75	MAE: 210.50	RMSE: 258.58
Epoch 113	LOSS: 149.21	MAE: 210.44	RMSE: 258.52
Epoch 114	LOSS: 148.28	MAE: 210.20	RMSE: 258.40
Epoch 115	LOSS: 146.97	MAE: 210.15	RMSE: 258.38
Epoch 116	LOSS: 146.85	MAE: 210.10	RMSE: 258.35
Epoch 117	LOSS: 146.37	MAE: 210.00	RMSE: 258.28
Epoch 118	LOSS: 144.17	MAE: 209.94	RMSE: 258.26
Epoch 119	LOSS: 143.69	MAE: 209.87	RMSE: 258.24
Epoch 120	LOSS: 144.87	MAE: 209.86	RMSE: 258.25
Epoch 121	LOSS: 147.12	MAE: 209.80	RMSE: 258.23
Epoch 122	LOSS: 144.77	MAE: 209.69	RMSE: 258.20
Epoch 123	LOSS: 144.50	MAE: 209.68	RMSE: 258.19
Epoch 124	LOSS: 144.95	MAE: 209.59	RMSE: 258.15
Epoch 125	LOSS: 141.24	MAE: 209.38	RMSE: 258.07
Epoch 126	LOSS: 137.88	MAE: 209.21	RMSE: 257.98
Epoch 127	LOSS: 142.46	MAE: 209.07	RMSE: 257.89
Epoch 128	LOSS: 141.35	MAE: 208.99	RMSE: 257.83
Epoch 129	LOSS: 140.60	MAE: 208.96	RMSE: 257.80
Epoch 130	LOSS: 136.17	MAE: 208.98	RMSE: 257.77
Epoch 131	LOSS: 141.22	MAE: 209.02	RMSE: 257.75
Epoch 132	LOSS: 140.83	MAE: 208.93	RMSE: 257.69
Epoch 133	LOSS: 138.66	MAE: 208.75	RMSE: 257.60
Epoch 134	LOSS: 137.09	MAE: 208.58	RMSE: 257.53
Epoch 135	LOSS: 136.78	MAE: 208.40	RMSE: 257.43
Epoch 136	LOSS: 134.29	MAE: 208.18	RMSE: 257.30
Epoch 137	LOSS: 131.61	MAE: 208.05	RMSE: 257.28
Epoch 138	LOSS: 132.85	MAE: 207.82	RMSE: 257.18
Epoch 139	LOSS: 129.91	MAE: 207.64	RMSE: 257.08
Epoch 140	LOSS: 131.70	MAE: 207.36	RMSE: 256.95
Epoch 141	LOSS: 129.96	MAE: 207.27	RMSE: 256.89
Epoch 142	LOSS: 128.60	MAE: 207.28	RMSE: 256.86
Epoch 143	LOSS: 128.44	MAE: 207.13	RMSE: 256.78
Epoch 144	LOSS: 127.91	MAE: 207.10	RMSE: 256.75
Epoch 145	LOSS: 128.65	MAE: 207.04	RMSE: 256.71
Epoch 146	LOSS: 126.41	MAE: 206.89	RMSE: 256.62
Epoch 147	LOSS: 124.89	MAE: 206.60	RMSE: 256.51
Epoch 148	LOSS: 122.36	MAE: 206.29	RMSE: 256.38
Epoch 149	LOSS: 124.50	MAE: 206.05	RMSE: 256.26
Epoch 150	LOSS: 120.23	MAE: 205.91	RMSE: 256.18
Epoch 151	LOSS: 119.83	MAE: 205.77	RMSE: 256.11
Epoch 152	LOSS: 119.85	MAE: 205.62	RMSE: 256.05
Epoch 153	LOSS: 121.11	MAE: 205.62	RMSE: 256.03
Epoch 154	LOSS: 120.81	MAE: 205.66	RMSE: 256.02
Epoch 155	LOSS: 118.46	MAE: 205.57	RMSE: 255.98
Epoch 156	LOSS: 115.31	MAE: 205.41	RMSE: 255.90
Epoch 157	LOSS: 115.12	MAE: 205.28	RMSE: 255.82
Epoch 158	LOSS: 118.74	MAE: 205.06	RMSE: 255.73
Epoch 159	LOSS: 113.62	MAE: 204.85	RMSE: 255.64
Epoch 160	LOSS: 112.48	MAE: 204.65	RMSE: 255.55
Epoch 161	LOSS: 110.80	MAE: 204.41	RMSE: 255.47
Epoch 162	LOSS: 110.33	MAE: 204.30	RMSE: 255.43
Epoch 163	LOSS: 111.42	MAE: 204.26	RMSE: 255.40
Epoch 164	LOSS: 110.09	MAE: 204.32	RMSE: 255.40
Epoch 165	LOSS: 110.97	MAE: 204.26	RMSE: 255.36
Epoch 166	LOSS: 109.24	MAE: 204.07	RMSE: 255.28
Epoch 167	LOSS: 107.90	MAE: 203.84	RMSE: 255.19
Epoch 168	LOSS: 107.52	MAE: 203.66	RMSE: 255.12
Epoch 169	LOSS: 107.17	MAE: 203.47	RMSE: 255.06
Epoch 170	LOSS: 106.28	MAE: 203.37	RMSE: 255.01
Epoch 171	LOSS: 106.20	MAE: 203.20	RMSE: 254.95
Epoch 172	LOSS: 103.72	MAE: 203.02	RMSE: 254.88
Epoch 173	LOSS: 102.63	MAE: 202.88	RMSE: 254.82
Epoch 174	LOSS: 103.47	MAE: 202.71	RMSE: 254.76
Epoch 175	LOSS: 102.87	MAE: 202.56	RMSE: 254.71
Epoch 176	LOSS: 101.45	MAE: 202.48	RMSE: 254.68
Epoch 177	LOSS: 101.32	MAE: 202.45	RMSE: 254.65
Epoch 178	LOSS: 101.33	MAE: 202.39	RMSE: 254.62
Epoch 179	LOSS: 100.60	MAE: 202.38	RMSE: 254.61
Epoch 180	LOSS: 101.04	MAE: 202.52	RMSE: 254.62
Epoch 181	LOSS: 99.55	MAE: 202.30	RMSE: 254.53
Epoch 182	LOSS: 99.72	MAE: 201.98	RMSE: 254.45
Epoch 183	LOSS: 98.03	MAE: 201.74	RMSE: 254.39
Epoch 184	LOSS: 96.31	MAE: 201.61	RMSE: 254.34
Epoch 185	LOSS: 95.68	MAE: 201.49	RMSE: 254.29
Epoch 186	LOSS: 95.52	MAE: 201.41	RMSE: 254.25
Epoch 187	LOSS: 93.33	MAE: 201.22	RMSE: 254.20
Epoch 188	LOSS: 93.63	MAE: 201.04	RMSE: 254.15
Epoch 189	LOSS: 91.53	MAE: 201.02	RMSE: 254.14
Epoch 190	LOSS: 93.66	MAE: 201.26	RMSE: 254.18
Epoch 191	LOSS: 93.45	MAE: 201.37	RMSE: 254.18
Epoch 192	LOSS: 91.99	MAE: 201.04	RMSE: 254.10
Epoch 193	LOSS: 89.81	MAE: 200.73	RMSE: 254.01
Epoch 194	LOSS: 89.56	MAE: 200.42	RMSE: 253.93
Epoch 195	LOSS: 87.64	MAE: 200.30	RMSE: 253.88
Epoch 196	LOSS: 88.01	MAE: 200.26	RMSE: 253.85
Epoch 197	LOSS: 86.93	MAE: 200.06	RMSE: 253.81
Epoch 198	LOSS: 86.95	MAE: 200.02	RMSE: 253.82
Epoch 199	LOSS: 87.17	MAE: 200.13	RMSE: 253.82
Epoch 200	LOSS: 86.89	MAE: 200.30	RMSE: 253.85
Epoch 201	LOSS: 85.54	MAE: 200.01	RMSE: 253.79
Epoch 202	LOSS: 83.82	MAE: 199.71	RMSE: 253.73
Epoch 203	LOSS: 84.16	MAE: 199.59	RMSE: 253.69
Epoch 204	LOSS: 83.20	MAE: 199.56	RMSE: 253.66
Epoch 205	LOSS: 82.04	MAE: 199.44	RMSE: 253.62
Epoch 206	LOSS: 81.95	MAE: 199.21	RMSE: 253.59
Epoch 207	LOSS: 81.14	MAE: 199.15	RMSE: 253.59
Epoch 208	LOSS: 81.71	MAE: 199.17	RMSE: 253.58
Epoch 209	LOSS: 81.19	MAE: 199.30	RMSE: 253.60
