Epoch 000	LOSS: 449.46	MAE: 255.19	RMSE: 298.06
Epoch 001	LOSS: 441.49	MAE: 255.15	RMSE: 298.03
Epoch 002	LOSS: 446.32	MAE: 255.10	RMSE: 297.99
Epoch 003	LOSS: 447.44	MAE: 255.03	RMSE: 297.92
Epoch 004	LOSS: 445.05	MAE: 254.90	RMSE: 297.81
Epoch 005	LOSS: 439.59	MAE: 254.71	RMSE: 297.65
Epoch 006	LOSS: 444.51	MAE: 254.43	RMSE: 297.40
Epoch 007	LOSS: 435.61	MAE: 254.02	RMSE: 297.05
Epoch 008	LOSS: 438.80	MAE: 253.43	RMSE: 296.54
Epoch 009	LOSS: 433.63	MAE: 252.53	RMSE: 295.76
Epoch 010	LOSS: 430.05	MAE: 251.06	RMSE: 294.50
Epoch 011	LOSS: 416.07	MAE: 249.15	RMSE: 292.84
Epoch 012	LOSS: 414.89	MAE: 246.92	RMSE: 290.90
Epoch 013	LOSS: 399.64	MAE: 244.16	RMSE: 288.49
Epoch 014	LOSS: 393.91	MAE: 240.92	RMSE: 285.66
Epoch 015	LOSS: 372.66	MAE: 237.31	RMSE: 282.48
Epoch 016	LOSS: 358.41	MAE: 233.50	RMSE: 279.09
Epoch 017	LOSS: 344.42	MAE: 229.49	RMSE: 275.46
Epoch 018	LOSS: 326.82	MAE: 225.46	RMSE: 271.75
Epoch 019	LOSS: 305.81	MAE: 221.27	RMSE: 267.83
Epoch 020	LOSS: 289.83	MAE: 216.94	RMSE: 263.69
Epoch 021	LOSS: 266.53	MAE: 212.58	RMSE: 259.41
Epoch 022	LOSS: 249.39	MAE: 208.47	RMSE: 255.23
Epoch 023	LOSS: 235.58	MAE: 204.55	RMSE: 251.11
Epoch 024	LOSS: 220.66	MAE: 200.67	RMSE: 246.94
Epoch 025	LOSS: 210.53	MAE: 197.62	RMSE: 243.50
Epoch 026	LOSS: 202.48	MAE: 195.24	RMSE: 240.70
Epoch 027	LOSS: 196.95	MAE: 194.17	RMSE: 239.22
Epoch 028	LOSS: 195.58	MAE: 194.46	RMSE: 239.11
Epoch 029	LOSS: 188.65	MAE: 195.57	RMSE: 239.96
Epoch 030	LOSS: 184.78	MAE: 197.37	RMSE: 241.69
Epoch 031	LOSS: 182.50	MAE: 199.26	RMSE: 243.68
Epoch 032	LOSS: 176.66	MAE: 201.66	RMSE: 246.24
Epoch 033	LOSS: 176.26	MAE: 203.72	RMSE: 248.35
Epoch 034	LOSS: 170.93	MAE: 205.91	RMSE: 250.65
Epoch 035	LOSS: 173.05	MAE: 208.06	RMSE: 252.97
Epoch 036	LOSS: 171.47	MAE: 209.33	RMSE: 254.42
Epoch 037	LOSS: 170.58	MAE: 209.95	RMSE: 255.20
Epoch 038	LOSS: 172.37	MAE: 210.28	RMSE: 255.77
Epoch 039	LOSS: 170.59	MAE: 210.81	RMSE: 256.61
Epoch 040	LOSS: 171.77	MAE: 211.17	RMSE: 257.27
Epoch 041	LOSS: 169.27	MAE: 211.32	RMSE: 257.67
Epoch 042	LOSS: 169.24	MAE: 211.43	RMSE: 257.97
Epoch 043	LOSS: 167.83	MAE: 211.59	RMSE: 258.27
Epoch 044	LOSS: 168.55	MAE: 211.78	RMSE: 258.53
Epoch 045	LOSS: 169.37	MAE: 212.03	RMSE: 258.74
Epoch 046	LOSS: 166.10	MAE: 212.13	RMSE: 258.83
Epoch 047	LOSS: 169.53	MAE: 212.15	RMSE: 258.84
Epoch 048	LOSS: 169.66	MAE: 212.03	RMSE: 258.83
Epoch 049	LOSS: 165.73	MAE: 211.92	RMSE: 258.86
Epoch 050	LOSS: 165.96	MAE: 211.93	RMSE: 258.91
Epoch 051	LOSS: 164.80	MAE: 212.03	RMSE: 259.05
Epoch 052	LOSS: 168.39	MAE: 212.06	RMSE: 259.12
Epoch 053	LOSS: 165.29	MAE: 212.10	RMSE: 259.18
Epoch 054	LOSS: 164.77	MAE: 212.16	RMSE: 259.23
Epoch 055	LOSS: 168.22	MAE: 212.17	RMSE: 259.23
Epoch 056	LOSS: 164.85	MAE: 212.13	RMSE: 259.18
Epoch 057	LOSS: 162.86	MAE: 212.08	RMSE: 259.16
Epoch 058	LOSS: 163.55	MAE: 212.05	RMSE: 259.14
Epoch 059	LOSS: 166.80	MAE: 212.04	RMSE: 259.11
Epoch 060	LOSS: 162.83	MAE: 211.88	RMSE: 259.00
Epoch 061	LOSS: 163.76	MAE: 211.88	RMSE: 258.97
Epoch 062	LOSS: 164.58	MAE: 211.94	RMSE: 258.99
Epoch 063	LOSS: 164.37	MAE: 211.89	RMSE: 258.94
Epoch 064	LOSS: 162.64	MAE: 211.70	RMSE: 258.79
Epoch 065	LOSS: 165.45	MAE: 211.52	RMSE: 258.65
Epoch 066	LOSS: 164.43	MAE: 211.49	RMSE: 258.56
Epoch 067	LOSS: 165.98	MAE: 211.60	RMSE: 258.58
Epoch 068	LOSS: 164.68	MAE: 211.55	RMSE: 258.48
Epoch 069	LOSS: 163.64	MAE: 211.50	RMSE: 258.38
Epoch 070	LOSS: 163.63	MAE: 211.21	RMSE: 258.20
Epoch 071	LOSS: 162.09	MAE: 210.98	RMSE: 258.06
Epoch 072	LOSS: 161.58	MAE: 210.69	RMSE: 257.92
Epoch 073	LOSS: 160.30	MAE: 210.60	RMSE: 257.86
Epoch 074	LOSS: 161.83	MAE: 210.60	RMSE: 257.84
Epoch 075	LOSS: 161.11	MAE: 210.56	RMSE: 257.77
Epoch 076	LOSS: 158.88	MAE: 210.59	RMSE: 257.75
Epoch 077	LOSS: 160.63	MAE: 210.70	RMSE: 257.78
Epoch 078	LOSS: 160.24	MAE: 210.70	RMSE: 257.75
Epoch 079	LOSS: 162.44	MAE: 210.63	RMSE: 257.68
Epoch 080	LOSS: 159.14	MAE: 210.35	RMSE: 257.54
Epoch 081	LOSS: 156.63	MAE: 210.08	RMSE: 257.48
Epoch 082	LOSS: 155.19	MAE: 210.03	RMSE: 257.48
Epoch 083	LOSS: 157.04	MAE: 210.26	RMSE: 257.56
Epoch 084	LOSS: 161.30	MAE: 210.57	RMSE: 257.72
Epoch 085	LOSS: 160.16	MAE: 210.67	RMSE: 257.81
Epoch 086	LOSS: 157.69	MAE: 210.49	RMSE: 257.74
Epoch 087	LOSS: 155.69	MAE: 210.13	RMSE: 257.58
Epoch 088	LOSS: 155.28	MAE: 209.94	RMSE: 257.57
Epoch 089	LOSS: 155.75	MAE: 209.96	RMSE: 257.60
Epoch 090	LOSS: 153.01	MAE: 210.10	RMSE: 257.69
Epoch 091	LOSS: 158.15	MAE: 210.31	RMSE: 257.77
Epoch 092	LOSS: 154.09	MAE: 210.29	RMSE: 257.75
Epoch 093	LOSS: 153.78	MAE: 210.18	RMSE: 257.69
Epoch 094	LOSS: 155.32	MAE: 210.04	RMSE: 257.58
Epoch 095	LOSS: 153.33	MAE: 209.83	RMSE: 257.40
