Epoch 000	LOSS: 461.81	MAE: 220.00	RMSE: 266.06
Epoch 001	LOSS: 466.40	MAE: 219.92	RMSE: 266.00
Epoch 002	LOSS: 464.02	MAE: 219.77	RMSE: 265.87
Epoch 003	LOSS: 464.48	MAE: 219.52	RMSE: 265.67
Epoch 004	LOSS: 469.03	MAE: 219.13	RMSE: 265.35
Epoch 005	LOSS: 464.95	MAE: 218.54	RMSE: 264.87
Epoch 006	LOSS: 457.24	MAE: 217.70	RMSE: 264.18
Epoch 007	LOSS: 456.24	MAE: 216.53	RMSE: 263.21
Epoch 008	LOSS: 449.01	MAE: 214.93	RMSE: 261.87
Epoch 009	LOSS: 448.28	MAE: 212.82	RMSE: 260.11
Epoch 010	LOSS: 450.42	MAE: 210.12	RMSE: 257.82
Epoch 011	LOSS: 438.85	MAE: 206.67	RMSE: 254.89
Epoch 012	LOSS: 418.76	MAE: 202.40	RMSE: 251.22
Epoch 013	LOSS: 417.71	MAE: 197.19	RMSE: 246.71
Epoch 014	LOSS: 401.59	MAE: 191.00	RMSE: 241.25
Epoch 015	LOSS: 390.39	MAE: 183.82	RMSE: 234.81
Epoch 016	LOSS: 370.19	MAE: 175.74	RMSE: 227.38
Epoch 017	LOSS: 352.22	MAE: 166.95	RMSE: 218.97
Epoch 018	LOSS: 332.58	MAE: 157.72	RMSE: 209.63
Epoch 019	LOSS: 314.21	MAE: 148.35	RMSE: 199.46
Epoch 020	LOSS: 287.86	MAE: 139.25	RMSE: 188.66
Epoch 021	LOSS: 270.31	MAE: 130.66	RMSE: 177.27
Epoch 022	LOSS: 254.65	MAE: 123.08	RMSE: 165.88
Epoch 023	LOSS: 238.78	MAE: 116.72	RMSE: 155.09
Epoch 024	LOSS: 223.52	MAE: 111.55	RMSE: 145.45
Epoch 025	LOSS: 214.16	MAE: 107.60	RMSE: 137.61
Epoch 026	LOSS: 206.24	MAE: 104.91	RMSE: 132.14
Epoch 027	LOSS: 200.79	MAE: 103.28	RMSE: 129.07
Epoch 028	LOSS: 195.01	MAE: 101.83	RMSE: 127.37
Epoch 029	LOSS: 192.84	MAE: 99.94	RMSE: 125.94
Epoch 030	LOSS: 191.28	MAE: 97.46	RMSE: 124.05
Epoch 031	LOSS: 182.77	MAE: 94.92	RMSE: 121.84
Epoch 032	LOSS: 176.21	MAE: 92.93	RMSE: 119.81
Epoch 033	LOSS: 177.22	MAE: 91.49	RMSE: 118.04
Epoch 034	LOSS: 174.35	MAE: 90.61	RMSE: 116.79
Epoch 035	LOSS: 175.31	MAE: 90.04	RMSE: 115.87
Epoch 036	LOSS: 174.15	MAE: 89.68	RMSE: 115.24
Epoch 037	LOSS: 173.98	MAE: 89.48	RMSE: 115.00
Epoch 038	LOSS: 173.12	MAE: 89.13	RMSE: 114.86
Epoch 039	LOSS: 171.00	MAE: 88.35	RMSE: 114.29
Epoch 040	LOSS: 170.20	MAE: 87.48	RMSE: 113.74
Epoch 041	LOSS: 171.41	MAE: 87.10	RMSE: 113.88
Epoch 042	LOSS: 167.53	MAE: 86.84	RMSE: 114.06
Epoch 043	LOSS: 166.47	MAE: 86.37	RMSE: 113.84
Epoch 044	LOSS: 164.78	MAE: 85.70	RMSE: 113.18
Epoch 045	LOSS: 164.15	MAE: 84.98	RMSE: 112.41
Epoch 046	LOSS: 162.74	MAE: 84.21	RMSE: 111.53
Epoch 047	LOSS: 159.74	MAE: 83.55	RMSE: 110.55
Epoch 048	LOSS: 161.72	MAE: 83.05	RMSE: 109.73
Epoch 049	LOSS: 161.21	MAE: 82.20	RMSE: 108.41
Epoch 050	LOSS: 161.40	MAE: 81.42	RMSE: 107.43
