Epoch 000	LOSS: 464.65	MAE: 220.01	RMSE: 266.07
Epoch 001	LOSS: 464.71	MAE: 219.94	RMSE: 266.02
Epoch 002	LOSS: 462.33	MAE: 219.82	RMSE: 265.92
Epoch 003	LOSS: 460.91	MAE: 219.61	RMSE: 265.75
Epoch 004	LOSS: 459.97	MAE: 219.30	RMSE: 265.49
Epoch 005	LOSS: 458.59	MAE: 218.81	RMSE: 265.09
Epoch 006	LOSS: 455.49	MAE: 218.11	RMSE: 264.51
Epoch 007	LOSS: 462.96	MAE: 217.11	RMSE: 263.67
Epoch 008	LOSS: 455.30	MAE: 215.72	RMSE: 262.50
Epoch 009	LOSS: 459.62	MAE: 213.85	RMSE: 260.93
Epoch 010	LOSS: 444.87	MAE: 211.40	RMSE: 258.84
Epoch 011	LOSS: 436.96	MAE: 208.27	RMSE: 256.15
Epoch 012	LOSS: 439.39	MAE: 204.32	RMSE: 252.76
Epoch 013	LOSS: 422.79	MAE: 199.46	RMSE: 248.55
Epoch 014	LOSS: 406.98	MAE: 193.58	RMSE: 243.40
Epoch 015	LOSS: 395.05	MAE: 186.74	RMSE: 237.31
Epoch 016	LOSS: 377.23	MAE: 178.94	RMSE: 230.20
Epoch 017	LOSS: 360.16	MAE: 170.25	RMSE: 222.01
Epoch 018	LOSS: 340.90	MAE: 160.99	RMSE: 212.81
Epoch 019	LOSS: 320.61	MAE: 151.48	RMSE: 202.71
Epoch 020	LOSS: 300.68	MAE: 142.02	RMSE: 191.84
Epoch 021	LOSS: 278.16	MAE: 133.08	RMSE: 180.42
Epoch 022	LOSS: 257.94	MAE: 124.91	RMSE: 168.82
Epoch 023	LOSS: 236.19	MAE: 117.85	RMSE: 157.49
Epoch 024	LOSS: 224.38	MAE: 112.13	RMSE: 147.16
Epoch 025	LOSS: 213.39	MAE: 107.78	RMSE: 138.66
Epoch 026	LOSS: 204.90	MAE: 104.88	RMSE: 132.76
Epoch 027	LOSS: 200.91	MAE: 103.26	RMSE: 129.54
Epoch 028	LOSS: 198.05	MAE: 101.99	RMSE: 127.95
Epoch 029	LOSS: 193.12	MAE: 100.52	RMSE: 126.94
Epoch 030	LOSS: 188.80	MAE: 98.39	RMSE: 125.47
Epoch 031	LOSS: 186.81	MAE: 95.80	RMSE: 123.24
Epoch 032	LOSS: 179.13	MAE: 93.63	RMSE: 120.98
Epoch 033	LOSS: 176.24	MAE: 92.09	RMSE: 119.00
Epoch 034	LOSS: 174.65	MAE: 91.13	RMSE: 117.42
Epoch 035	LOSS: 175.73	MAE: 90.75	RMSE: 116.60
Epoch 036	LOSS: 174.54	MAE: 90.23	RMSE: 115.95
Epoch 037	LOSS: 175.51	MAE: 89.88	RMSE: 115.66
Epoch 038	LOSS: 172.82	MAE: 89.72	RMSE: 115.78
Epoch 039	LOSS: 171.67	MAE: 89.53	RMSE: 115.94
Epoch 040	LOSS: 171.52	MAE: 89.22	RMSE: 115.96
Epoch 041	LOSS: 167.72	MAE: 88.64	RMSE: 115.83
Epoch 042	LOSS: 170.04	MAE: 88.02	RMSE: 115.65
Epoch 043	LOSS: 169.38	MAE: 87.53	RMSE: 115.48
Epoch 044	LOSS: 169.78	MAE: 87.38	RMSE: 115.59
Epoch 045	LOSS: 166.11	MAE: 86.96	RMSE: 115.43
Epoch 046	LOSS: 163.22	MAE: 86.58	RMSE: 115.26
Epoch 047	LOSS: 164.39	MAE: 86.31	RMSE: 115.05
Epoch 048	LOSS: 165.34	MAE: 85.84	RMSE: 114.39
Epoch 049	LOSS: 165.85	MAE: 85.56	RMSE: 113.75
Epoch 050	LOSS: 161.62	MAE: 85.36	RMSE: 113.31
Epoch 051	LOSS: 161.40	MAE: 84.97	RMSE: 112.72
Epoch 052	LOSS: 159.44	MAE: 84.52	RMSE: 112.03
Epoch 053	LOSS: 161.66	MAE: 84.29	RMSE: 111.59
Epoch 054	LOSS: 159.65	MAE: 84.04	RMSE: 111.21
Epoch 055	LOSS: 161.12	MAE: 83.82	RMSE: 110.89
Epoch 056	LOSS: 157.40	MAE: 83.52	RMSE: 110.50
Epoch 057	LOSS: 158.30	MAE: 83.36	RMSE: 110.36
Epoch 058	LOSS: 157.29	MAE: 83.22	RMSE: 110.22
Epoch 059	LOSS: 155.25	MAE: 83.01	RMSE: 109.96
Epoch 060	LOSS: 157.93	MAE: 82.71	RMSE: 109.65
Epoch 061	LOSS: 156.80	MAE: 82.50	RMSE: 109.45
Epoch 062	LOSS: 154.76	MAE: 82.22	RMSE: 109.10
Epoch 063	LOSS: 155.08	MAE: 81.89	RMSE: 108.67
Epoch 064	LOSS: 155.20	MAE: 81.64	RMSE: 108.32
Epoch 065	LOSS: 154.75	MAE: 81.41	RMSE: 108.02
Epoch 066	LOSS: 152.29	MAE: 81.12	RMSE: 107.64
Epoch 067	LOSS: 151.58	MAE: 80.96	RMSE: 107.35
Epoch 068	LOSS: 151.68	MAE: 80.69	RMSE: 107.02
Epoch 069	LOSS: 149.73	MAE: 80.36	RMSE: 106.60
Epoch 070	LOSS: 148.30	MAE: 80.04	RMSE: 106.28
Epoch 071	LOSS: 150.77	MAE: 79.75	RMSE: 105.93
Epoch 072	LOSS: 146.38	MAE: 79.51	RMSE: 105.59
Epoch 073	LOSS: 150.56	MAE: 79.24	RMSE: 105.18
Epoch 074	LOSS: 149.69	MAE: 79.04	RMSE: 104.90
Epoch 075	LOSS: 149.80	MAE: 78.74	RMSE: 104.53
Epoch 076	LOSS: 147.05	MAE: 78.47	RMSE: 104.22
Epoch 077	LOSS: 146.48	MAE: 78.12	RMSE: 103.86
Epoch 078	LOSS: 146.82	MAE: 77.82	RMSE: 103.45
Epoch 079	LOSS: 144.52	MAE: 77.62	RMSE: 103.18
Epoch 080	LOSS: 141.90	MAE: 77.38	RMSE: 102.84
Epoch 081	LOSS: 145.36	MAE: 77.16	RMSE: 102.52
Epoch 082	LOSS: 144.33	MAE: 77.09	RMSE: 102.36
Epoch 083	LOSS: 143.50	MAE: 76.70	RMSE: 101.89
Epoch 084	LOSS: 145.29	MAE: 76.29	RMSE: 101.43
Epoch 085	LOSS: 142.40	MAE: 76.08	RMSE: 101.18
Epoch 086	LOSS: 141.05	MAE: 75.75	RMSE: 100.79
Epoch 087	LOSS: 142.22	MAE: 75.29	RMSE: 100.20
Epoch 088	LOSS: 139.25	MAE: 75.01	RMSE: 99.73
Epoch 089	LOSS: 140.50	MAE: 74.83	RMSE: 99.39
Epoch 090	LOSS: 139.31	MAE: 74.54	RMSE: 99.11
Epoch 091	LOSS: 141.33	MAE: 74.04	RMSE: 98.66
Epoch 092	LOSS: 138.67	MAE: 73.74	RMSE: 98.34
Epoch 093	LOSS: 139.32	MAE: 73.37	RMSE: 97.92
Epoch 094	LOSS: 136.52	MAE: 73.21	RMSE: 97.69
Epoch 095	LOSS: 134.86	MAE: 72.95	RMSE: 97.36
Epoch 096	LOSS: 136.86	MAE: 72.60	RMSE: 96.85
Epoch 097	LOSS: 134.57	MAE: 72.24	RMSE: 96.30
Epoch 098	LOSS: 133.93	MAE: 71.85	RMSE: 95.74
Epoch 099	LOSS: 133.55	MAE: 71.52	RMSE: 95.29
Epoch 100	LOSS: 132.37	MAE: 71.24	RMSE: 94.99
Epoch 101	LOSS: 133.15	MAE: 70.76	RMSE: 94.46
Epoch 102	LOSS: 130.54	MAE: 70.34	RMSE: 93.87
Epoch 103	LOSS: 131.38	MAE: 69.73	RMSE: 93.17
Epoch 104	LOSS: 130.03	MAE: 69.13	RMSE: 92.49
Epoch 105	LOSS: 129.19	MAE: 68.78	RMSE: 92.04
Epoch 106	LOSS: 129.28	MAE: 68.53	RMSE: 91.70
Epoch 107	LOSS: 128.07	MAE: 68.14	RMSE: 91.21
Epoch 108	LOSS: 126.17	MAE: 68.15	RMSE: 91.15
Epoch 109	LOSS: 127.67	MAE: 67.87	RMSE: 90.59
