Epoch 000	LOSS: 466.07	MAE: 220.01	RMSE: 266.07
Epoch 001	LOSS: 464.31	MAE: 219.94	RMSE: 266.01
Epoch 002	LOSS: 458.44	MAE: 219.81	RMSE: 265.91
Epoch 003	LOSS: 465.90	MAE: 219.60	RMSE: 265.73
Epoch 004	LOSS: 464.38	MAE: 219.26	RMSE: 265.45
Epoch 005	LOSS: 469.75	MAE: 218.73	RMSE: 265.01
Epoch 006	LOSS: 457.42	MAE: 217.94	RMSE: 264.36
Epoch 007	LOSS: 456.84	MAE: 216.80	RMSE: 263.42
Epoch 008	LOSS: 454.03	MAE: 215.24	RMSE: 262.12
Epoch 009	LOSS: 448.00	MAE: 213.16	RMSE: 260.37
Epoch 010	LOSS: 435.09	MAE: 210.47	RMSE: 258.11
Epoch 011	LOSS: 431.29	MAE: 207.03	RMSE: 255.19
Epoch 012	LOSS: 430.16	MAE: 202.70	RMSE: 251.47
Epoch 013	LOSS: 409.59	MAE: 197.42	RMSE: 246.88
Epoch 014	LOSS: 396.42	MAE: 191.12	RMSE: 241.33
Epoch 015	LOSS: 387.39	MAE: 183.81	RMSE: 234.77
Epoch 016	LOSS: 366.73	MAE: 175.60	RMSE: 227.18
Epoch 017	LOSS: 347.85	MAE: 166.66	RMSE: 218.55
Epoch 018	LOSS: 329.50	MAE: 157.23	RMSE: 208.90
Epoch 019	LOSS: 315.06	MAE: 147.67	RMSE: 198.36
Epoch 020	LOSS: 288.97	MAE: 138.39	RMSE: 187.17
Epoch 021	LOSS: 266.69	MAE: 129.82	RMSE: 175.58
Epoch 022	LOSS: 248.61	MAE: 122.24	RMSE: 164.03
Epoch 023	LOSS: 231.96	MAE: 115.74	RMSE: 153.08
Epoch 024	LOSS: 220.25	MAE: 110.50	RMSE: 143.50
Epoch 025	LOSS: 209.27	MAE: 106.72	RMSE: 136.20
Epoch 026	LOSS: 203.35	MAE: 104.49	RMSE: 131.74
Epoch 027	LOSS: 198.21	MAE: 103.07	RMSE: 129.54
Epoch 028	LOSS: 196.15	MAE: 101.59	RMSE: 128.26
Epoch 029	LOSS: 191.78	MAE: 99.56	RMSE: 126.93
Epoch 030	LOSS: 186.54	MAE: 97.12	RMSE: 125.12
Epoch 031	LOSS: 181.95	MAE: 94.82	RMSE: 122.99
Epoch 032	LOSS: 175.40	MAE: 93.25	RMSE: 121.15
Epoch 033	LOSS: 176.68	MAE: 92.42	RMSE: 120.00
Epoch 034	LOSS: 179.37	MAE: 91.98	RMSE: 119.36
Epoch 035	LOSS: 175.80	MAE: 91.53	RMSE: 118.99
Epoch 036	LOSS: 173.97	MAE: 91.12	RMSE: 118.84
Epoch 037	LOSS: 173.40	MAE: 90.83	RMSE: 119.14
Epoch 038	LOSS: 172.65	MAE: 90.59	RMSE: 119.49
Epoch 039	LOSS: 174.17	MAE: 90.17	RMSE: 119.64
Epoch 040	LOSS: 171.84	MAE: 90.17	RMSE: 119.98
Epoch 041	LOSS: 171.08	MAE: 89.89	RMSE: 119.76
Epoch 042	LOSS: 169.85	MAE: 89.49	RMSE: 119.12
Epoch 043	LOSS: 169.17	MAE: 89.50	RMSE: 118.62
Epoch 044	LOSS: 169.56	MAE: 89.19	RMSE: 117.91
Epoch 045	LOSS: 165.59	MAE: 88.61	RMSE: 117.11
Epoch 046	LOSS: 167.36	MAE: 88.05	RMSE: 116.30
Epoch 047	LOSS: 165.08	MAE: 87.71	RMSE: 115.84
Epoch 048	LOSS: 161.45	MAE: 87.22	RMSE: 115.32
Epoch 049	LOSS: 162.67	MAE: 86.53	RMSE: 114.70
Epoch 050	LOSS: 161.76	MAE: 85.86	RMSE: 113.87
Epoch 051	LOSS: 160.80	MAE: 84.99	RMSE: 112.75
Epoch 052	LOSS: 158.20	MAE: 84.31	RMSE: 111.73
Epoch 053	LOSS: 160.42	MAE: 83.58	RMSE: 110.75
Epoch 054	LOSS: 161.48	MAE: 82.96	RMSE: 109.64
Epoch 055	LOSS: 156.43	MAE: 82.47	RMSE: 108.61
Epoch 056	LOSS: 154.06	MAE: 81.89	RMSE: 107.48
Epoch 057	LOSS: 154.57	MAE: 81.15	RMSE: 106.52
Epoch 058	LOSS: 150.54	MAE: 80.31	RMSE: 105.73
Epoch 059	LOSS: 148.77	MAE: 79.89	RMSE: 105.17
Epoch 060	LOSS: 145.41	MAE: 79.10	RMSE: 104.19
Epoch 061	LOSS: 141.71	MAE: 78.00	RMSE: 102.95
Epoch 062	LOSS: 143.03	MAE: 76.98	RMSE: 101.73
Epoch 063	LOSS: 140.71	MAE: 76.37	RMSE: 101.04
Epoch 064	LOSS: 138.69	MAE: 75.69	RMSE: 100.28
Epoch 065	LOSS: 137.91	MAE: 74.95	RMSE: 99.41
