Epoch 000	LOSS: 462.82	MAE: 220.00	RMSE: 266.06
Epoch 001	LOSS: 462.43	MAE: 219.91	RMSE: 265.99
Epoch 002	LOSS: 462.85	MAE: 219.76	RMSE: 265.86
Epoch 003	LOSS: 459.81	MAE: 219.50	RMSE: 265.65
Epoch 004	LOSS: 458.97	MAE: 219.09	RMSE: 265.31
Epoch 005	LOSS: 457.62	MAE: 218.47	RMSE: 264.79
Epoch 006	LOSS: 452.41	MAE: 217.58	RMSE: 264.06
Epoch 007	LOSS: 452.00	MAE: 216.33	RMSE: 263.02
Epoch 008	LOSS: 454.88	MAE: 214.61	RMSE: 261.58
Epoch 009	LOSS: 447.00	MAE: 212.33	RMSE: 259.66
Epoch 010	LOSS: 446.60	MAE: 209.40	RMSE: 257.18
Epoch 011	LOSS: 437.35	MAE: 205.68	RMSE: 254.01
Epoch 012	LOSS: 430.13	MAE: 201.03	RMSE: 250.02
Epoch 013	LOSS: 418.43	MAE: 195.39	RMSE: 245.11
Epoch 014	LOSS: 399.98	MAE: 188.77	RMSE: 239.27
Epoch 015	LOSS: 383.32	MAE: 181.21	RMSE: 232.45
Epoch 016	LOSS: 368.25	MAE: 172.73	RMSE: 224.55
Epoch 017	LOSS: 338.44	MAE: 163.58	RMSE: 215.62
Epoch 018	LOSS: 320.05	MAE: 154.12	RMSE: 205.77
Epoch 019	LOSS: 303.31	MAE: 144.62	RMSE: 195.08
Epoch 020	LOSS: 282.58	MAE: 135.60	RMSE: 183.89
Epoch 021	LOSS: 263.82	MAE: 127.35	RMSE: 172.40
Epoch 022	LOSS: 245.83	MAE: 120.08	RMSE: 161.01
Epoch 023	LOSS: 228.70	MAE: 113.99	RMSE: 150.39
Epoch 024	LOSS: 219.32	MAE: 109.33	RMSE: 141.36
Epoch 025	LOSS: 207.51	MAE: 106.12	RMSE: 134.75
Epoch 026	LOSS: 201.57	MAE: 104.12	RMSE: 130.79
Epoch 027	LOSS: 197.18	MAE: 102.70	RMSE: 128.75
Epoch 028	LOSS: 196.66	MAE: 101.12	RMSE: 127.48
Epoch 029	LOSS: 190.57	MAE: 98.91	RMSE: 125.96
Epoch 030	LOSS: 183.99	MAE: 96.30	RMSE: 123.87
Epoch 031	LOSS: 177.01	MAE: 93.95	RMSE: 121.49
Epoch 032	LOSS: 176.47	MAE: 92.43	RMSE: 119.44
Epoch 033	LOSS: 177.85	MAE: 91.65	RMSE: 118.08
Epoch 034	LOSS: 176.01	MAE: 91.11	RMSE: 117.22
Epoch 035	LOSS: 176.60	MAE: 90.96	RMSE: 117.02
Epoch 036	LOSS: 173.68	MAE: 90.55	RMSE: 116.77
Epoch 037	LOSS: 173.30	MAE: 90.05	RMSE: 116.68
Epoch 038	LOSS: 172.94	MAE: 89.58	RMSE: 116.74
Epoch 039	LOSS: 167.86	MAE: 89.05	RMSE: 116.74
Epoch 040	LOSS: 167.99	MAE: 88.53	RMSE: 116.92
Epoch 041	LOSS: 169.00	MAE: 87.92	RMSE: 116.87
Epoch 042	LOSS: 163.12	MAE: 87.47	RMSE: 116.63
Epoch 043	LOSS: 166.34	MAE: 87.17	RMSE: 116.19
Epoch 044	LOSS: 164.17	MAE: 86.65	RMSE: 115.50
Epoch 045	LOSS: 163.90	MAE: 86.10	RMSE: 114.60
Epoch 046	LOSS: 165.95	MAE: 85.69	RMSE: 113.68
