Epoch 000	LOSS: 464.38	MAE: 220.02	RMSE: 266.08
Epoch 001	LOSS: 461.54	MAE: 219.94	RMSE: 266.02
Epoch 002	LOSS: 456.93	MAE: 219.80	RMSE: 265.91
Epoch 003	LOSS: 467.06	MAE: 219.58	RMSE: 265.73
Epoch 004	LOSS: 464.84	MAE: 219.21	RMSE: 265.43
Epoch 005	LOSS: 460.97	MAE: 218.65	RMSE: 264.96
Epoch 006	LOSS: 457.98	MAE: 217.82	RMSE: 264.28
Epoch 007	LOSS: 465.65	MAE: 216.63	RMSE: 263.29
Epoch 008	LOSS: 455.35	MAE: 215.01	RMSE: 261.94
Epoch 009	LOSS: 454.35	MAE: 212.84	RMSE: 260.12
Epoch 010	LOSS: 447.45	MAE: 210.02	RMSE: 257.74
Epoch 011	LOSS: 433.77	MAE: 206.41	RMSE: 254.65
Epoch 012	LOSS: 419.84	MAE: 201.84	RMSE: 250.73
Epoch 013	LOSS: 413.61	MAE: 196.33	RMSE: 245.93
Epoch 014	LOSS: 399.95	MAE: 189.81	RMSE: 240.17
Epoch 015	LOSS: 383.99	MAE: 182.27	RMSE: 233.34
Epoch 016	LOSS: 364.57	MAE: 173.71	RMSE: 225.34
Epoch 017	LOSS: 347.32	MAE: 164.42	RMSE: 216.26
Epoch 018	LOSS: 323.01	MAE: 154.78	RMSE: 206.27
Epoch 019	LOSS: 303.98	MAE: 145.02	RMSE: 195.37
Epoch 020	LOSS: 281.18	MAE: 135.70	RMSE: 183.83
Epoch 021	LOSS: 261.77	MAE: 127.24	RMSE: 172.06
Epoch 022	LOSS: 239.67	MAE: 119.85	RMSE: 160.51
Epoch 023	LOSS: 227.78	MAE: 113.72	RMSE: 149.80
Epoch 024	LOSS: 215.14	MAE: 108.99	RMSE: 140.78
Epoch 025	LOSS: 205.36	MAE: 105.72	RMSE: 134.23
Epoch 026	LOSS: 203.94	MAE: 103.80	RMSE: 130.41
Epoch 027	LOSS: 196.84	MAE: 102.35	RMSE: 128.38
Epoch 028	LOSS: 191.58	MAE: 100.50	RMSE: 126.84
Epoch 029	LOSS: 187.27	MAE: 98.09	RMSE: 125.02
Epoch 030	LOSS: 185.32	MAE: 95.47	RMSE: 122.76
Epoch 031	LOSS: 179.52	MAE: 93.34	RMSE: 120.56
Epoch 032	LOSS: 174.94	MAE: 91.95	RMSE: 118.80
Epoch 033	LOSS: 172.71	MAE: 91.30	RMSE: 117.69
Epoch 034	LOSS: 174.08	MAE: 90.93	RMSE: 117.21
Epoch 035	LOSS: 175.21	MAE: 90.57	RMSE: 116.90
Epoch 036	LOSS: 173.89	MAE: 90.13	RMSE: 116.66
Epoch 037	LOSS: 173.90	MAE: 89.72	RMSE: 116.53
Epoch 038	LOSS: 172.67	MAE: 89.29	RMSE: 116.60
Epoch 039	LOSS: 167.59	MAE: 88.93	RMSE: 116.91
Epoch 040	LOSS: 163.73	MAE: 88.46	RMSE: 117.15
Epoch 041	LOSS: 167.73	MAE: 87.97	RMSE: 116.99
Epoch 042	LOSS: 168.16	MAE: 87.38	RMSE: 116.65
Epoch 043	LOSS: 165.67	MAE: 86.89	RMSE: 116.07
Epoch 044	LOSS: 165.37	MAE: 86.32	RMSE: 115.09
Epoch 045	LOSS: 166.42	MAE: 85.56	RMSE: 113.76
Epoch 046	LOSS: 164.01	MAE: 85.26	RMSE: 112.71
Epoch 047	LOSS: 162.22	MAE: 84.93	RMSE: 111.93
Epoch 048	LOSS: 161.73	MAE: 84.44	RMSE: 111.02
Epoch 049	LOSS: 158.97	MAE: 83.71	RMSE: 109.99
Epoch 050	LOSS: 158.14	MAE: 83.34	RMSE: 109.35
Epoch 051	LOSS: 155.63	MAE: 82.90	RMSE: 108.69
Epoch 052	LOSS: 158.14	MAE: 81.93	RMSE: 107.74
Epoch 053	LOSS: 154.25	MAE: 81.32	RMSE: 107.20
Epoch 054	LOSS: 153.86	MAE: 81.01	RMSE: 106.95
Epoch 055	LOSS: 154.01	MAE: 80.50	RMSE: 106.28
Epoch 056	LOSS: 152.76	MAE: 79.81	RMSE: 105.30
Epoch 057	LOSS: 151.53	MAE: 79.06	RMSE: 104.26
Epoch 058	LOSS: 149.03	MAE: 78.26	RMSE: 103.13
Epoch 059	LOSS: 145.64	MAE: 78.04	RMSE: 102.64
Epoch 060	LOSS: 145.55	MAE: 77.57	RMSE: 102.00
Epoch 061	LOSS: 141.67	MAE: 76.43	RMSE: 100.90
Epoch 062	LOSS: 143.60	MAE: 75.20	RMSE: 99.60
Epoch 063	LOSS: 137.32	MAE: 74.09	RMSE: 98.20
Epoch 064	LOSS: 139.79	MAE: 73.63	RMSE: 97.37
Epoch 065	LOSS: 136.89	MAE: 73.20	RMSE: 96.73
Epoch 066	LOSS: 139.32	MAE: 72.67	RMSE: 96.04
Epoch 067	LOSS: 135.52	MAE: 71.82	RMSE: 95.05
Epoch 068	LOSS: 132.79	MAE: 71.09	RMSE: 94.11
Epoch 069	LOSS: 132.47	MAE: 70.52	RMSE: 93.34
Epoch 070	LOSS: 129.76	MAE: 70.07	RMSE: 92.69
Epoch 071	LOSS: 131.95	MAE: 69.24	RMSE: 91.62
Epoch 072	LOSS: 127.79	MAE: 68.20	RMSE: 90.39
Epoch 073	LOSS: 127.28	MAE: 67.15	RMSE: 89.18
Epoch 074	LOSS: 122.22	MAE: 66.18	RMSE: 87.98
Epoch 075	LOSS: 122.11	MAE: 65.20	RMSE: 86.86
