Epoch 000	LOSS: 468.65	MAE: 220.01	RMSE: 266.07
Epoch 001	LOSS: 461.99	MAE: 219.93	RMSE: 266.01
Epoch 002	LOSS: 464.04	MAE: 219.80	RMSE: 265.90
Epoch 003	LOSS: 467.88	MAE: 219.58	RMSE: 265.72
Epoch 004	LOSS: 459.01	MAE: 219.23	RMSE: 265.43
Epoch 005	LOSS: 461.00	MAE: 218.71	RMSE: 264.99
Epoch 006	LOSS: 455.58	MAE: 217.94	RMSE: 264.35
Epoch 007	LOSS: 458.34	MAE: 216.86	RMSE: 263.44
Epoch 008	LOSS: 453.36	MAE: 215.39	RMSE: 262.20
Epoch 009	LOSS: 450.24	MAE: 213.43	RMSE: 260.54
Epoch 010	LOSS: 445.62	MAE: 210.87	RMSE: 258.35
Epoch 011	LOSS: 435.13	MAE: 207.63	RMSE: 255.56
Epoch 012	LOSS: 435.43	MAE: 203.58	RMSE: 252.07
Epoch 013	LOSS: 415.68	MAE: 198.62	RMSE: 247.76
Epoch 014	LOSS: 404.51	MAE: 192.69	RMSE: 242.54
Epoch 015	LOSS: 389.18	MAE: 185.79	RMSE: 236.35
Epoch 016	LOSS: 379.05	MAE: 177.98	RMSE: 229.17
Epoch 017	LOSS: 360.46	MAE: 169.36	RMSE: 220.98
Epoch 018	LOSS: 342.39	MAE: 160.15	RMSE: 211.78
Epoch 019	LOSS: 320.47	MAE: 150.61	RMSE: 201.60
Epoch 020	LOSS: 292.33	MAE: 141.19	RMSE: 190.73
Epoch 021	LOSS: 278.82	MAE: 132.28	RMSE: 179.39
Epoch 022	LOSS: 254.48	MAE: 124.25	RMSE: 167.94
Epoch 023	LOSS: 239.11	MAE: 117.29	RMSE: 156.75
Epoch 024	LOSS: 223.15	MAE: 111.56	RMSE: 146.47
Epoch 025	LOSS: 212.77	MAE: 107.15	RMSE: 137.95
Epoch 026	LOSS: 205.61	MAE: 104.24	RMSE: 132.02
Epoch 027	LOSS: 198.65	MAE: 102.72	RMSE: 128.89
Epoch 028	LOSS: 197.61	MAE: 101.53	RMSE: 127.45
Epoch 029	LOSS: 193.09	MAE: 99.87	RMSE: 126.36
Epoch 030	LOSS: 188.04	MAE: 97.62	RMSE: 124.86
Epoch 031	LOSS: 181.73	MAE: 95.14	RMSE: 122.77
