Epoch 000	LOSS: 138.30	MAE: 73.00	RMSE: 86.02
Epoch 001	LOSS: 130.65	MAE: 71.76	RMSE: 84.94
Epoch 002	LOSS: 110.66	MAE: 67.65	RMSE: 81.12
Epoch 003	LOSS: 81.68	MAE: 61.04	RMSE: 74.45
Epoch 004	LOSS: 59.78	MAE: 58.05	RMSE: 72.39
Epoch 005	LOSS: 44.99	MAE: 58.20	RMSE: 73.57
Epoch 006	LOSS: 32.29	MAE: 57.34	RMSE: 73.87
Epoch 007	LOSS: 26.60	MAE: 56.77	RMSE: 74.04
Epoch 008	LOSS: 26.67	MAE: 56.87	RMSE: 74.12
Epoch 009	LOSS: 25.78	MAE: 56.78	RMSE: 74.11
Epoch 010	LOSS: 25.57	MAE: 56.77	RMSE: 74.12
Epoch 011	LOSS: 24.98	MAE: 56.70	RMSE: 74.11
Epoch 012	LOSS: 24.75	MAE: 56.69	RMSE: 74.10
Epoch 013	LOSS: 24.30	MAE: 56.62	RMSE: 74.09
Epoch 014	LOSS: 24.13	MAE: 56.58	RMSE: 74.07
Epoch 015	LOSS: 24.02	MAE: 56.58	RMSE: 74.07
Epoch 016	LOSS: 23.75	MAE: 56.52	RMSE: 74.07
Epoch 017	LOSS: 23.58	MAE: 56.50	RMSE: 74.06
Epoch 018	LOSS: 23.47	MAE: 56.49	RMSE: 74.06
Epoch 019	LOSS: 23.29	MAE: 56.46	RMSE: 74.06
Epoch 020	LOSS: 23.11	MAE: 56.43	RMSE: 74.05
Epoch 021	LOSS: 23.12	MAE: 56.43	RMSE: 74.04
Epoch 022	LOSS: 22.87	MAE: 56.40	RMSE: 74.03
Epoch 023	LOSS: 22.96	MAE: 56.40	RMSE: 74.03
Epoch 024	LOSS: 22.64	MAE: 56.37	RMSE: 74.02
Epoch 025	LOSS: 22.59	MAE: 56.35	RMSE: 74.01
Epoch 026	LOSS: 22.57	MAE: 56.37	RMSE: 74.02
Epoch 027	LOSS: 22.50	MAE: 56.35	RMSE: 74.01
Epoch 028	LOSS: 22.36	MAE: 56.33	RMSE: 74.01
Epoch 029	LOSS: 22.32	MAE: 56.34	RMSE: 74.01
Epoch 030	LOSS: 22.14	MAE: 56.32	RMSE: 74.00
Epoch 031	LOSS: 22.10	MAE: 56.30	RMSE: 74.00
Epoch 032	LOSS: 21.96	MAE: 56.30	RMSE: 73.99
Epoch 033	LOSS: 21.89	MAE: 56.29	RMSE: 73.99
Epoch 034	LOSS: 21.84	MAE: 56.28	RMSE: 73.98
Epoch 035	LOSS: 21.68	MAE: 56.26	RMSE: 73.97
Epoch 036	LOSS: 21.73	MAE: 56.27	RMSE: 73.98
Epoch 037	LOSS: 21.44	MAE: 56.24	RMSE: 73.96
Epoch 038	LOSS: 21.45	MAE: 56.22	RMSE: 73.96
Epoch 039	LOSS: 21.38	MAE: 56.22	RMSE: 73.95
Epoch 040	LOSS: 21.42	MAE: 56.22	RMSE: 73.95
Epoch 041	LOSS: 21.21	MAE: 56.19	RMSE: 73.95
Epoch 042	LOSS: 21.08	MAE: 56.17	RMSE: 73.94
Epoch 043	LOSS: 20.97	MAE: 56.16	RMSE: 73.94
Epoch 044	LOSS: 20.83	MAE: 56.14	RMSE: 73.93
