Epoch 000	LOSS: 138.24	MAE: 72.98	RMSE: 86.00
Epoch 001	LOSS: 129.61	MAE: 71.61	RMSE: 84.79
Epoch 002	LOSS: 105.56	MAE: 67.90	RMSE: 81.24
Epoch 003	LOSS: 76.32	MAE: 62.98	RMSE: 76.37
Epoch 004	LOSS: 67.01	MAE: 61.63	RMSE: 75.93
Epoch 005	LOSS: 57.76	MAE: 60.94	RMSE: 75.43
Epoch 006	LOSS: 44.76	MAE: 59.25	RMSE: 74.70
Epoch 007	LOSS: 33.82	MAE: 57.66	RMSE: 74.28
Epoch 008	LOSS: 27.41	MAE: 56.93	RMSE: 74.15
Epoch 009	LOSS: 26.78	MAE: 56.91	RMSE: 74.16
Epoch 010	LOSS: 26.16	MAE: 56.87	RMSE: 74.16
Epoch 011	LOSS: 25.98	MAE: 56.83	RMSE: 74.15
Epoch 012	LOSS: 25.45	MAE: 56.75	RMSE: 74.13
Epoch 013	LOSS: 25.15	MAE: 56.71	RMSE: 74.11
Epoch 014	LOSS: 24.87	MAE: 56.66	RMSE: 74.10
Epoch 015	LOSS: 24.66	MAE: 56.62	RMSE: 74.09
Epoch 016	LOSS: 24.38	MAE: 56.60	RMSE: 74.08
Epoch 017	LOSS: 24.08	MAE: 56.53	RMSE: 74.06
Epoch 018	LOSS: 23.64	MAE: 56.51	RMSE: 74.04
Epoch 019	LOSS: 23.55	MAE: 56.50	RMSE: 74.05
Epoch 020	LOSS: 23.49	MAE: 56.45	RMSE: 74.04
Epoch 021	LOSS: 23.41	MAE: 56.44	RMSE: 74.04
Epoch 022	LOSS: 23.00	MAE: 56.41	RMSE: 74.04
Epoch 023	LOSS: 22.93	MAE: 56.41	RMSE: 74.04
Epoch 024	LOSS: 22.86	MAE: 56.37	RMSE: 74.03
Epoch 025	LOSS: 22.75	MAE: 56.36	RMSE: 74.02
Epoch 026	LOSS: 22.84	MAE: 56.36	RMSE: 74.02
Epoch 027	LOSS: 22.53	MAE: 56.33	RMSE: 74.01
