Epoch 000	LOSS: 138.70	MAE: 73.01	RMSE: 86.03
Epoch 001	LOSS: 130.78	MAE: 71.80	RMSE: 84.97
Epoch 002	LOSS: 109.67	MAE: 68.48	RMSE: 81.82
Epoch 003	LOSS: 80.37	MAE: 63.56	RMSE: 76.82
Epoch 004	LOSS: 69.38	MAE: 61.98	RMSE: 76.14
Epoch 005	LOSS: 60.60	MAE: 61.38	RMSE: 75.72
Epoch 006	LOSS: 50.65	MAE: 60.11	RMSE: 75.10
Epoch 007	LOSS: 38.38	MAE: 58.37	RMSE: 74.36
Epoch 008	LOSS: 28.13	MAE: 56.91	RMSE: 74.04
Epoch 009	LOSS: 26.46	MAE: 56.86	RMSE: 74.14
Epoch 010	LOSS: 25.91	MAE: 56.83	RMSE: 74.13
Epoch 011	LOSS: 26.06	MAE: 56.85	RMSE: 74.14
Epoch 012	LOSS: 25.41	MAE: 56.75	RMSE: 74.11
Epoch 013	LOSS: 25.55	MAE: 56.79	RMSE: 74.14
Epoch 014	LOSS: 24.96	MAE: 56.68	RMSE: 74.11
Epoch 015	LOSS: 24.79	MAE: 56.66	RMSE: 74.10
Epoch 016	LOSS: 24.35	MAE: 56.61	RMSE: 74.08
Epoch 017	LOSS: 24.48	MAE: 56.62	RMSE: 74.09
Epoch 018	LOSS: 24.24	MAE: 56.59	RMSE: 74.08
Epoch 019	LOSS: 23.95	MAE: 56.56	RMSE: 74.07
Epoch 020	LOSS: 23.93	MAE: 56.54	RMSE: 74.07
Epoch 021	LOSS: 23.74	MAE: 56.50	RMSE: 74.05
Epoch 022	LOSS: 23.50	MAE: 56.47	RMSE: 74.05
Epoch 023	LOSS: 23.59	MAE: 56.48	RMSE: 74.05
Epoch 024	LOSS: 23.36	MAE: 56.44	RMSE: 74.04
Epoch 025	LOSS: 23.19	MAE: 56.43	RMSE: 74.04
Epoch 026	LOSS: 23.23	MAE: 56.42	RMSE: 74.04
Epoch 027	LOSS: 22.77	MAE: 56.38	RMSE: 74.03
Epoch 028	LOSS: 22.76	MAE: 56.37	RMSE: 74.03
Epoch 029	LOSS: 22.77	MAE: 56.37	RMSE: 74.03
Epoch 030	LOSS: 22.88	MAE: 56.38	RMSE: 74.03
Epoch 031	LOSS: 22.68	MAE: 56.34	RMSE: 74.02
Epoch 032	LOSS: 22.48	MAE: 56.33	RMSE: 74.01
Epoch 033	LOSS: 22.49	MAE: 56.32	RMSE: 74.02
Epoch 034	LOSS: 22.60	MAE: 56.35	RMSE: 74.02
Epoch 035	LOSS: 22.49	MAE: 56.34	RMSE: 74.01
Epoch 036	LOSS: 22.24	MAE: 56.32	RMSE: 74.01
Epoch 037	LOSS: 22.09	MAE: 56.30	RMSE: 74.00
Epoch 038	LOSS: 22.11	MAE: 56.28	RMSE: 74.00
Epoch 039	LOSS: 22.13	MAE: 56.31	RMSE: 74.01
Epoch 040	LOSS: 22.21	MAE: 56.32	RMSE: 74.01
