Epoch 000	LOSS: 144.60	MAE: 71.06	RMSE: 83.48
Epoch 001	LOSS: 136.83	MAE: 67.55	RMSE: 80.37
Epoch 002	LOSS: 112.52	MAE: 56.48	RMSE: 69.01
Epoch 003	LOSS: 80.50	MAE: 39.95	RMSE: 46.93
Epoch 004	LOSS: 74.39	MAE: 36.10	RMSE: 44.99
Epoch 005	LOSS: 69.58	MAE: 34.41	RMSE: 40.77
Epoch 006	LOSS: 65.74	MAE: 32.90	RMSE: 39.40
Epoch 007	LOSS: 56.58	MAE: 29.90	RMSE: 36.07
Epoch 008	LOSS: 45.07	MAE: 25.68	RMSE: 31.36
Epoch 009	LOSS: 32.52	MAE: 20.16	RMSE: 26.45
Epoch 010	LOSS: 28.67	MAE: 17.52	RMSE: 24.31
Epoch 011	LOSS: 28.48	MAE: 17.53	RMSE: 24.49
Epoch 012	LOSS: 28.00	MAE: 16.98	RMSE: 23.98
Epoch 013	LOSS: 28.00	MAE: 16.73	RMSE: 23.76
Epoch 014	LOSS: 27.61	MAE: 16.58	RMSE: 23.48
Epoch 015	LOSS: 27.36	MAE: 17.05	RMSE: 24.40
Epoch 016	LOSS: 26.84	MAE: 16.14	RMSE: 23.36
Epoch 017	LOSS: 27.42	MAE: 16.09	RMSE: 23.08
Epoch 018	LOSS: 26.62	MAE: 16.06	RMSE: 23.19
Epoch 019	LOSS: 26.20	MAE: 15.83	RMSE: 23.00
Epoch 020	LOSS: 26.16	MAE: 15.52	RMSE: 22.73
Epoch 021	LOSS: 26.17	MAE: 15.44	RMSE: 22.48
Epoch 022	LOSS: 25.72	MAE: 15.30	RMSE: 22.18
Epoch 023	LOSS: 25.49	MAE: 15.03	RMSE: 22.14
Epoch 024	LOSS: 25.13	MAE: 15.19	RMSE: 22.73
Epoch 025	LOSS: 24.99	MAE: 15.03	RMSE: 22.64
Epoch 026	LOSS: 25.63	MAE: 15.08	RMSE: 22.17
Epoch 027	LOSS: 24.60	MAE: 14.82	RMSE: 21.91
Epoch 028	LOSS: 24.42	MAE: 14.71	RMSE: 22.07
Epoch 029	LOSS: 24.45	MAE: 14.60	RMSE: 22.21
Epoch 030	LOSS: 24.41	MAE: 14.55	RMSE: 21.96
Epoch 031	LOSS: 24.29	MAE: 14.32	RMSE: 21.56
Epoch 032	LOSS: 23.95	MAE: 14.21	RMSE: 21.30
Epoch 033	LOSS: 23.90	MAE: 14.05	RMSE: 21.00
Epoch 034	LOSS: 23.88	MAE: 14.07	RMSE: 21.06
Epoch 035	LOSS: 24.01	MAE: 14.04	RMSE: 21.02
Epoch 036	LOSS: 23.93	MAE: 13.93	RMSE: 20.87
Epoch 037	LOSS: 24.21	MAE: 14.12	RMSE: 21.13
Epoch 038	LOSS: 23.69	MAE: 13.86	RMSE: 21.00
Epoch 039	LOSS: 23.93	MAE: 14.15	RMSE: 21.47
Epoch 040	LOSS: 23.82	MAE: 13.86	RMSE: 20.91
Epoch 041	LOSS: 23.85	MAE: 13.96	RMSE: 21.00
Epoch 042	LOSS: 23.43	MAE: 13.75	RMSE: 20.78
Epoch 043	LOSS: 23.71	MAE: 13.86	RMSE: 20.84
Epoch 044	LOSS: 23.39	MAE: 13.71	RMSE: 20.79
Epoch 045	LOSS: 23.69	MAE: 13.78	RMSE: 20.74
Epoch 046	LOSS: 23.21	MAE: 13.65	RMSE: 20.53
Epoch 047	LOSS: 23.34	MAE: 13.61	RMSE: 20.51
Epoch 048	LOSS: 23.44	MAE: 13.60	RMSE: 20.48
Epoch 049	LOSS: 23.36	MAE: 13.70	RMSE: 20.66
Epoch 050	LOSS: 23.26	MAE: 13.54	RMSE: 20.39
Epoch 051	LOSS: 23.34	MAE: 13.52	RMSE: 20.36
Epoch 052	LOSS: 22.82	MAE: 13.38	RMSE: 20.17
Epoch 053	LOSS: 22.87	MAE: 13.48	RMSE: 20.33
Epoch 054	LOSS: 22.82	MAE: 13.29	RMSE: 20.10
Epoch 055	LOSS: 22.51	MAE: 13.34	RMSE: 20.14
Epoch 056	LOSS: 22.32	MAE: 13.21	RMSE: 20.01
Epoch 057	LOSS: 22.25	MAE: 13.26	RMSE: 20.08
Epoch 058	LOSS: 21.90	MAE: 13.03	RMSE: 19.82
Epoch 059	LOSS: 21.77	MAE: 13.02	RMSE: 19.83
Epoch 060	LOSS: 21.59	MAE: 12.99	RMSE: 19.84
Epoch 061	LOSS: 21.22	MAE: 12.91	RMSE: 19.69
Epoch 062	LOSS: 21.01	MAE: 12.86	RMSE: 19.61
Epoch 063	LOSS: 20.78	MAE: 12.70	RMSE: 19.46
Epoch 064	LOSS: 20.75	MAE: 12.66	RMSE: 19.43
Epoch 065	LOSS: 20.64	MAE: 12.51	RMSE: 19.27
Epoch 066	LOSS: 20.57	MAE: 12.35	RMSE: 19.12
Epoch 067	LOSS: 20.20	MAE: 12.49	RMSE: 19.19
