Epoch 000	LOSS: 145.24	MAE: 71.16	RMSE: 83.57
Epoch 001	LOSS: 138.36	MAE: 68.27	RMSE: 81.03
Epoch 002	LOSS: 116.82	MAE: 58.90	RMSE: 71.80
Epoch 003	LOSS: 84.68	MAE: 43.65	RMSE: 52.42
Epoch 004	LOSS: 75.02	MAE: 37.93	RMSE: 47.54
Epoch 005	LOSS: 67.21	MAE: 35.50	RMSE: 44.18
Epoch 006	LOSS: 60.42	MAE: 34.01	RMSE: 43.27
Epoch 007	LOSS: 49.19	MAE: 31.26	RMSE: 41.22
Epoch 008	LOSS: 35.86	MAE: 26.86	RMSE: 37.96
Epoch 009	LOSS: 28.61	MAE: 23.30	RMSE: 36.11
Epoch 010	LOSS: 27.52	MAE: 22.01	RMSE: 35.56
Epoch 011	LOSS: 27.41	MAE: 21.74	RMSE: 35.45
Epoch 012	LOSS: 26.80	MAE: 21.33	RMSE: 35.21
Epoch 013	LOSS: 26.38	MAE: 21.04	RMSE: 35.07
Epoch 014	LOSS: 26.01	MAE: 20.85	RMSE: 34.97
Epoch 015	LOSS: 25.57	MAE: 20.57	RMSE: 34.83
Epoch 016	LOSS: 25.41	MAE: 20.52	RMSE: 34.76
Epoch 017	LOSS: 25.05	MAE: 20.37	RMSE: 34.69
Epoch 018	LOSS: 24.79	MAE: 20.25	RMSE: 34.61
Epoch 019	LOSS: 24.88	MAE: 20.17	RMSE: 34.56
Epoch 020	LOSS: 24.52	MAE: 20.10	RMSE: 34.52
Epoch 021	LOSS: 24.47	MAE: 20.03	RMSE: 34.51
Epoch 022	LOSS: 24.37	MAE: 19.88	RMSE: 34.44
Epoch 023	LOSS: 24.05	MAE: 19.90	RMSE: 34.43
Epoch 024	LOSS: 24.10	MAE: 19.77	RMSE: 34.34
Epoch 025	LOSS: 24.00	MAE: 19.80	RMSE: 34.34
Epoch 026	LOSS: 23.83	MAE: 19.62	RMSE: 34.24
Epoch 027	LOSS: 23.68	MAE: 19.60	RMSE: 34.26
Epoch 028	LOSS: 23.74	MAE: 19.58	RMSE: 34.21
Epoch 029	LOSS: 23.39	MAE: 19.41	RMSE: 34.14
Epoch 030	LOSS: 23.48	MAE: 19.40	RMSE: 34.15
Epoch 031	LOSS: 23.37	MAE: 19.34	RMSE: 34.11
Epoch 032	LOSS: 23.23	MAE: 19.33	RMSE: 34.10
Epoch 033	LOSS: 23.27	MAE: 19.35	RMSE: 34.13
Epoch 034	LOSS: 23.07	MAE: 19.30	RMSE: 34.08
Epoch 035	LOSS: 23.12	MAE: 19.23	RMSE: 34.02
Epoch 036	LOSS: 22.97	MAE: 19.18	RMSE: 34.00
Epoch 037	LOSS: 22.87	MAE: 19.19	RMSE: 33.99
Epoch 038	LOSS: 22.80	MAE: 19.17	RMSE: 33.97
Epoch 039	LOSS: 22.65	MAE: 19.20	RMSE: 33.98
Epoch 040	LOSS: 22.47	MAE: 19.04	RMSE: 33.90
Epoch 041	LOSS: 22.47	MAE: 19.09	RMSE: 33.92
Epoch 042	LOSS: 22.26	MAE: 19.02	RMSE: 33.87
Epoch 043	LOSS: 22.44	MAE: 18.92	RMSE: 33.79
Epoch 044	LOSS: 22.16	MAE: 18.96	RMSE: 33.82
Epoch 045	LOSS: 22.07	MAE: 18.81	RMSE: 33.75
Epoch 046	LOSS: 21.82	MAE: 18.72	RMSE: 33.68
Epoch 047	LOSS: 21.53	MAE: 18.71	RMSE: 33.67
Epoch 048	LOSS: 21.33	MAE: 18.54	RMSE: 33.58
Epoch 049	LOSS: 21.27	MAE: 18.53	RMSE: 33.56
Epoch 050	LOSS: 20.96	MAE: 18.44	RMSE: 33.51
Epoch 051	LOSS: 20.96	MAE: 18.35	RMSE: 33.47
Epoch 052	LOSS: 20.89	MAE: 18.31	RMSE: 33.43
Epoch 053	LOSS: 20.79	MAE: 18.28	RMSE: 33.43
Epoch 054	LOSS: 20.56	MAE: 18.28	RMSE: 33.40
Epoch 055	LOSS: 20.59	MAE: 18.18	RMSE: 33.36
Epoch 056	LOSS: 20.42	MAE: 18.18	RMSE: 33.36
Epoch 057	LOSS: 20.40	MAE: 18.15	RMSE: 33.34
Epoch 058	LOSS: 20.47	MAE: 18.17	RMSE: 33.34
Epoch 059	LOSS: 20.66	MAE: 18.31	RMSE: 33.40
Epoch 060	LOSS: 20.41	MAE: 18.20	RMSE: 33.34
Epoch 061	LOSS: 20.14	MAE: 18.10	RMSE: 33.28
Epoch 062	LOSS: 19.96	MAE: 18.05	RMSE: 33.25
Epoch 063	LOSS: 19.68	MAE: 17.94	RMSE: 33.19
Epoch 064	LOSS: 19.53	MAE: 17.86	RMSE: 33.17
Epoch 065	LOSS: 19.31	MAE: 17.85	RMSE: 33.13
Epoch 066	LOSS: 19.24	MAE: 17.77	RMSE: 33.09
Epoch 067	LOSS: 19.07	MAE: 17.78	RMSE: 33.08
Epoch 068	LOSS: 19.01	MAE: 17.72	RMSE: 33.07
Epoch 069	LOSS: 19.00	MAE: 17.76	RMSE: 33.07
Epoch 070	LOSS: 18.76	MAE: 17.71	RMSE: 33.05
Epoch 071	LOSS: 18.68	MAE: 17.67	RMSE: 33.01
Epoch 072	LOSS: 18.64	MAE: 17.66	RMSE: 33.01
Epoch 073	LOSS: 18.74	MAE: 17.62	RMSE: 32.99
Epoch 074	LOSS: 18.51	MAE: 17.60	RMSE: 32.98
Epoch 075	LOSS: 18.51	MAE: 17.59	RMSE: 32.98
Epoch 076	LOSS: 18.55	MAE: 17.61	RMSE: 32.94
Epoch 077	LOSS: 18.35	MAE: 17.49	RMSE: 32.92
Epoch 078	LOSS: 18.30	MAE: 17.51	RMSE: 32.92
Epoch 079	LOSS: 18.42	MAE: 17.53	RMSE: 32.93
Epoch 080	LOSS: 18.25	MAE: 17.44	RMSE: 32.88
Epoch 081	LOSS: 18.26	MAE: 17.52	RMSE: 32.91
Epoch 082	LOSS: 18.06	MAE: 17.41	RMSE: 32.87
Epoch 083	LOSS: 18.11	MAE: 17.40	RMSE: 32.86
Epoch 084	LOSS: 18.35	MAE: 17.42	RMSE: 32.86
Epoch 085	LOSS: 18.00	MAE: 17.34	RMSE: 32.83
