Epoch 000	LOSS: 144.29	MAE: 71.08	RMSE: 83.50
Epoch 001	LOSS: 136.39	MAE: 67.65	RMSE: 80.47
Epoch 002	LOSS: 113.16	MAE: 57.40	RMSE: 70.08
Epoch 003	LOSS: 80.89	MAE: 42.57	RMSE: 51.14
Epoch 004	LOSS: 75.43	MAE: 39.34	RMSE: 50.06
Epoch 005	LOSS: 69.04	MAE: 37.29	RMSE: 46.50
Epoch 006	LOSS: 64.94	MAE: 35.99	RMSE: 45.27
Epoch 007	LOSS: 53.31	MAE: 32.09	RMSE: 42.18
Epoch 008	LOSS: 38.64	MAE: 27.87	RMSE: 38.79
Epoch 009	LOSS: 29.12	MAE: 22.50	RMSE: 35.93
Epoch 010	LOSS: 28.65	MAE: 22.35	RMSE: 35.79
Epoch 011	LOSS: 28.04	MAE: 21.92	RMSE: 35.54
Epoch 012	LOSS: 27.34	MAE: 21.54	RMSE: 35.32
Epoch 013	LOSS: 27.24	MAE: 21.37	RMSE: 35.21
Epoch 014	LOSS: 26.79	MAE: 21.02	RMSE: 35.05
Epoch 015	LOSS: 26.54	MAE: 20.96	RMSE: 34.98
Epoch 016	LOSS: 26.13	MAE: 20.60	RMSE: 34.79
Epoch 017	LOSS: 25.70	MAE: 20.45	RMSE: 34.68
Epoch 018	LOSS: 25.63	MAE: 20.44	RMSE: 34.69
Epoch 019	LOSS: 25.15	MAE: 20.14	RMSE: 34.52
Epoch 020	LOSS: 25.11	MAE: 20.25	RMSE: 34.56
Epoch 021	LOSS: 24.91	MAE: 20.01	RMSE: 34.42
Epoch 022	LOSS: 24.63	MAE: 19.84	RMSE: 34.37
Epoch 023	LOSS: 24.69	MAE: 19.77	RMSE: 34.33
Epoch 024	LOSS: 24.31	MAE: 19.64	RMSE: 34.26
Epoch 025	LOSS: 24.01	MAE: 19.56	RMSE: 34.19
Epoch 026	LOSS: 24.02	MAE: 19.56	RMSE: 34.21
Epoch 027	LOSS: 23.83	MAE: 19.45	RMSE: 34.15
Epoch 028	LOSS: 23.83	MAE: 19.40	RMSE: 34.14
Epoch 029	LOSS: 24.01	MAE: 19.45	RMSE: 34.15
Epoch 030	LOSS: 23.91	MAE: 19.33	RMSE: 34.08
Epoch 031	LOSS: 23.73	MAE: 19.43	RMSE: 34.12
Epoch 032	LOSS: 23.65	MAE: 19.30	RMSE: 34.06
Epoch 033	LOSS: 23.77	MAE: 19.38	RMSE: 34.13
Epoch 034	LOSS: 23.51	MAE: 19.27	RMSE: 34.05
Epoch 035	LOSS: 23.15	MAE: 19.22	RMSE: 34.02
Epoch 036	LOSS: 23.11	MAE: 19.13	RMSE: 33.94
Epoch 037	LOSS: 22.99	MAE: 19.14	RMSE: 33.96
Epoch 038	LOSS: 22.90	MAE: 19.10	RMSE: 33.95
Epoch 039	LOSS: 22.73	MAE: 19.11	RMSE: 33.98
Epoch 040	LOSS: 22.74	MAE: 19.08	RMSE: 33.93
Epoch 041	LOSS: 22.75	MAE: 19.02	RMSE: 33.88
Epoch 042	LOSS: 22.70	MAE: 19.04	RMSE: 33.89
Epoch 043	LOSS: 22.49	MAE: 18.96	RMSE: 33.84
Epoch 044	LOSS: 22.39	MAE: 18.91	RMSE: 33.82
Epoch 045	LOSS: 22.46	MAE: 18.88	RMSE: 33.77
Epoch 046	LOSS: 22.17	MAE: 18.84	RMSE: 33.76
Epoch 047	LOSS: 22.04	MAE: 18.79	RMSE: 33.75
Epoch 048	LOSS: 21.94	MAE: 18.67	RMSE: 33.67
Epoch 049	LOSS: 21.77	MAE: 18.66	RMSE: 33.63
Epoch 050	LOSS: 21.49	MAE: 18.53	RMSE: 33.58
Epoch 051	LOSS: 21.24	MAE: 18.51	RMSE: 33.53
