Epoch 000	LOSS: 144.68	MAE: 71.00	RMSE: 83.43
Epoch 001	LOSS: 135.72	MAE: 67.19	RMSE: 80.05
Epoch 002	LOSS: 110.07	MAE: 56.24	RMSE: 68.74
Epoch 003	LOSS: 78.76	MAE: 41.89	RMSE: 50.54
Epoch 004	LOSS: 73.64	MAE: 39.17	RMSE: 50.06
Epoch 005	LOSS: 67.25	MAE: 37.11	RMSE: 46.24
Epoch 006	LOSS: 62.15	MAE: 35.09	RMSE: 44.60
Epoch 007	LOSS: 51.13	MAE: 31.94	RMSE: 41.74
Epoch 008	LOSS: 37.14	MAE: 26.62	RMSE: 37.94
Epoch 009	LOSS: 29.42	MAE: 22.81	RMSE: 35.89
Epoch 010	LOSS: 28.11	MAE: 22.24	RMSE: 35.54
Epoch 011	LOSS: 27.75	MAE: 21.93	RMSE: 35.33
Epoch 012	LOSS: 27.66	MAE: 21.54	RMSE: 35.20
Epoch 013	LOSS: 26.85	MAE: 21.48	RMSE: 35.22
Epoch 014	LOSS: 26.98	MAE: 21.24	RMSE: 35.08
Epoch 015	LOSS: 26.38	MAE: 20.97	RMSE: 34.97
Epoch 016	LOSS: 26.25	MAE: 20.80	RMSE: 34.87
Epoch 017	LOSS: 25.97	MAE: 20.72	RMSE: 34.86
Epoch 018	LOSS: 26.03	MAE: 20.64	RMSE: 34.83
Epoch 019	LOSS: 25.33	MAE: 20.25	RMSE: 34.59
Epoch 020	LOSS: 24.92	MAE: 20.15	RMSE: 34.51
Epoch 021	LOSS: 25.05	MAE: 20.08	RMSE: 34.45
Epoch 022	LOSS: 24.67	MAE: 20.00	RMSE: 34.41
Epoch 023	LOSS: 24.33	MAE: 19.78	RMSE: 34.29
Epoch 024	LOSS: 24.30	MAE: 19.71	RMSE: 34.25
Epoch 025	LOSS: 24.22	MAE: 19.69	RMSE: 34.23
Epoch 026	LOSS: 24.19	MAE: 19.57	RMSE: 34.16
Epoch 027	LOSS: 23.91	MAE: 19.55	RMSE: 34.16
Epoch 028	LOSS: 23.98	MAE: 19.52	RMSE: 34.17
Epoch 029	LOSS: 23.75	MAE: 19.40	RMSE: 34.08
Epoch 030	LOSS: 23.60	MAE: 19.36	RMSE: 34.03
Epoch 031	LOSS: 23.41	MAE: 19.41	RMSE: 34.05
Epoch 032	LOSS: 23.38	MAE: 19.26	RMSE: 33.99
Epoch 033	LOSS: 23.29	MAE: 19.32	RMSE: 34.02
Epoch 034	LOSS: 23.10	MAE: 19.17	RMSE: 33.93
Epoch 035	LOSS: 23.06	MAE: 19.21	RMSE: 33.96
Epoch 036	LOSS: 23.22	MAE: 19.12	RMSE: 33.91
Epoch 037	LOSS: 23.04	MAE: 19.13	RMSE: 33.91
Epoch 038	LOSS: 22.68	MAE: 19.01	RMSE: 33.84
Epoch 039	LOSS: 22.45	MAE: 18.87	RMSE: 33.78
Epoch 040	LOSS: 22.43	MAE: 18.84	RMSE: 33.77
Epoch 041	LOSS: 21.97	MAE: 18.76	RMSE: 33.69
