Epoch 000	LOSS: 145.26	MAE: 71.11	RMSE: 83.54
Epoch 001	LOSS: 136.98	MAE: 67.98	RMSE: 80.77
Epoch 002	LOSS: 114.95	MAE: 58.10	RMSE: 70.89
Epoch 003	LOSS: 82.04	MAE: 42.79	RMSE: 51.34
Epoch 004	LOSS: 74.91	MAE: 39.15	RMSE: 49.78
Epoch 005	LOSS: 67.80	MAE: 36.99	RMSE: 46.05
Epoch 006	LOSS: 59.87	MAE: 34.73	RMSE: 43.99
Epoch 007	LOSS: 46.12	MAE: 29.87	RMSE: 39.94
Epoch 008	LOSS: 32.95	MAE: 25.26	RMSE: 36.78
Epoch 009	LOSS: 28.80	MAE: 22.21	RMSE: 35.29
Epoch 010	LOSS: 28.13	MAE: 21.83	RMSE: 35.14
Epoch 011	LOSS: 27.49	MAE: 21.69	RMSE: 35.17
Epoch 012	LOSS: 27.12	MAE: 21.31	RMSE: 34.97
Epoch 013	LOSS: 26.78	MAE: 20.93	RMSE: 34.75
Epoch 014	LOSS: 26.25	MAE: 20.73	RMSE: 34.71
Epoch 015	LOSS: 25.96	MAE: 20.60	RMSE: 34.70
Epoch 016	LOSS: 25.84	MAE: 20.38	RMSE: 34.57
Epoch 017	LOSS: 25.59	MAE: 20.40	RMSE: 34.59
Epoch 018	LOSS: 24.94	MAE: 20.18	RMSE: 34.46
Epoch 019	LOSS: 24.99	MAE: 20.09	RMSE: 34.44
Epoch 020	LOSS: 24.86	MAE: 20.01	RMSE: 34.42
Epoch 021	LOSS: 24.68	MAE: 19.92	RMSE: 34.35
Epoch 022	LOSS: 24.25	MAE: 19.79	RMSE: 34.32
Epoch 023	LOSS: 24.00	MAE: 19.66	RMSE: 34.21
Epoch 024	LOSS: 24.20	MAE: 19.75	RMSE: 34.28
Epoch 025	LOSS: 24.13	MAE: 19.57	RMSE: 34.18
Epoch 026	LOSS: 24.12	MAE: 19.54	RMSE: 34.15
Epoch 027	LOSS: 23.57	MAE: 19.53	RMSE: 34.14
Epoch 028	LOSS: 23.48	MAE: 19.38	RMSE: 34.05
Epoch 029	LOSS: 23.45	MAE: 19.47	RMSE: 34.10
Epoch 030	LOSS: 23.31	MAE: 19.30	RMSE: 33.98
Epoch 031	LOSS: 23.03	MAE: 19.24	RMSE: 33.97
Epoch 032	LOSS: 23.27	MAE: 19.35	RMSE: 34.02
Epoch 033	LOSS: 23.01	MAE: 19.17	RMSE: 33.93
Epoch 034	LOSS: 22.98	MAE: 19.22	RMSE: 33.95
Epoch 035	LOSS: 22.67	MAE: 19.11	RMSE: 33.89
Epoch 036	LOSS: 22.54	MAE: 19.08	RMSE: 33.88
Epoch 037	LOSS: 22.50	MAE: 19.08	RMSE: 33.87
Epoch 038	LOSS: 22.48	MAE: 18.99	RMSE: 33.83
Epoch 039	LOSS: 22.67	MAE: 18.92	RMSE: 33.78
Epoch 040	LOSS: 22.30	MAE: 18.89	RMSE: 33.78
Epoch 041	LOSS: 22.47	MAE: 18.81	RMSE: 33.71
Epoch 042	LOSS: 22.27	MAE: 18.80	RMSE: 33.73
Epoch 043	LOSS: 22.08	MAE: 18.82	RMSE: 33.71
Epoch 044	LOSS: 21.79	MAE: 18.72	RMSE: 33.66
Epoch 045	LOSS: 21.60	MAE: 18.63	RMSE: 33.60
Epoch 046	LOSS: 21.14	MAE: 18.36	RMSE: 33.43
Epoch 047	LOSS: 20.87	MAE: 18.32	RMSE: 33.39
Epoch 048	LOSS: 20.82	MAE: 18.27	RMSE: 33.38
Epoch 049	LOSS: 20.63	MAE: 18.25	RMSE: 33.38
Epoch 050	LOSS: 20.69	MAE: 18.26	RMSE: 33.39
Epoch 051	LOSS: 20.37	MAE: 18.19	RMSE: 33.33
Epoch 052	LOSS: 20.26	MAE: 18.13	RMSE: 33.29
