Epoch 000	LOSS: 144.66	MAE: 71.01	RMSE: 83.44
Epoch 001	LOSS: 136.15	MAE: 67.24	RMSE: 80.09
Epoch 002	LOSS: 110.86	MAE: 56.35	RMSE: 68.85
Epoch 003	LOSS: 79.27	MAE: 41.81	RMSE: 50.28
Epoch 004	LOSS: 74.68	MAE: 39.35	RMSE: 50.31
Epoch 005	LOSS: 69.30	MAE: 37.49	RMSE: 46.64
Epoch 006	LOSS: 62.96	MAE: 35.56	RMSE: 45.02
Epoch 007	LOSS: 51.10	MAE: 31.69	RMSE: 41.65
Epoch 008	LOSS: 36.38	MAE: 26.62	RMSE: 37.89
Epoch 009	LOSS: 29.32	MAE: 22.63	RMSE: 35.80
Epoch 010	LOSS: 28.41	MAE: 22.20	RMSE: 35.57
Epoch 011	LOSS: 28.17	MAE: 21.92	RMSE: 35.47
Epoch 012	LOSS: 27.55	MAE: 21.55	RMSE: 35.29
Epoch 013	LOSS: 27.12	MAE: 21.25	RMSE: 35.17
Epoch 014	LOSS: 26.41	MAE: 21.01	RMSE: 35.07
Epoch 015	LOSS: 26.17	MAE: 20.76	RMSE: 34.90
Epoch 016	LOSS: 25.80	MAE: 20.57	RMSE: 34.80
Epoch 017	LOSS: 26.30	MAE: 20.57	RMSE: 34.75
Epoch 018	LOSS: 25.55	MAE: 20.34	RMSE: 34.65
Epoch 019	LOSS: 25.42	MAE: 20.30	RMSE: 34.63
Epoch 020	LOSS: 25.40	MAE: 20.14	RMSE: 34.56
Epoch 021	LOSS: 25.12	MAE: 20.13	RMSE: 34.52
Epoch 022	LOSS: 24.77	MAE: 19.84	RMSE: 34.34
Epoch 023	LOSS: 24.53	MAE: 19.77	RMSE: 34.31
Epoch 024	LOSS: 24.31	MAE: 19.76	RMSE: 34.31
Epoch 025	LOSS: 24.12	MAE: 19.63	RMSE: 34.26
Epoch 026	LOSS: 24.01	MAE: 19.57	RMSE: 34.11
Epoch 027	LOSS: 24.01	MAE: 19.50	RMSE: 34.16
Epoch 028	LOSS: 23.68	MAE: 19.48	RMSE: 34.13
Epoch 029	LOSS: 23.49	MAE: 19.37	RMSE: 34.07
Epoch 030	LOSS: 23.57	MAE: 19.29	RMSE: 34.02
Epoch 031	LOSS: 23.45	MAE: 19.33	RMSE: 34.05
Epoch 032	LOSS: 23.32	MAE: 19.29	RMSE: 34.01
Epoch 033	LOSS: 23.28	MAE: 19.24	RMSE: 33.98
Epoch 034	LOSS: 23.18	MAE: 19.28	RMSE: 34.00
Epoch 035	LOSS: 22.81	MAE: 19.05	RMSE: 33.85
Epoch 036	LOSS: 22.68	MAE: 19.02	RMSE: 33.86
Epoch 037	LOSS: 22.52	MAE: 18.97	RMSE: 33.81
Epoch 038	LOSS: 22.34	MAE: 18.86	RMSE: 33.72
Epoch 039	LOSS: 22.20	MAE: 18.75	RMSE: 33.65
Epoch 040	LOSS: 22.15	MAE: 18.79	RMSE: 33.70
Epoch 041	LOSS: 21.88	MAE: 18.71	RMSE: 33.62
Epoch 042	LOSS: 21.72	MAE: 18.60	RMSE: 33.55
Epoch 043	LOSS: 21.56	MAE: 18.53	RMSE: 33.51
Epoch 044	LOSS: 21.49	MAE: 18.44	RMSE: 33.48
Epoch 045	LOSS: 21.36	MAE: 18.42	RMSE: 33.48
Epoch 046	LOSS: 21.18	MAE: 18.37	RMSE: 33.42
Epoch 047	LOSS: 21.17	MAE: 18.33	RMSE: 33.39
Epoch 048	LOSS: 20.90	MAE: 18.25	RMSE: 33.32
Epoch 049	LOSS: 20.91	MAE: 18.28	RMSE: 33.34
Epoch 050	LOSS: 20.82	MAE: 18.22	RMSE: 33.31
Epoch 051	LOSS: 20.91	MAE: 18.17	RMSE: 33.28
Epoch 052	LOSS: 20.62	MAE: 18.21	RMSE: 33.31
Epoch 053	LOSS: 20.63	MAE: 18.22	RMSE: 33.33
Epoch 054	LOSS: 20.30	MAE: 18.09	RMSE: 33.24
Epoch 055	LOSS: 20.05	MAE: 18.00	RMSE: 33.20
Epoch 056	LOSS: 20.01	MAE: 18.01	RMSE: 33.21
Epoch 057	LOSS: 19.88	MAE: 18.03	RMSE: 33.22
Epoch 058	LOSS: 19.62	MAE: 17.99	RMSE: 33.22
Epoch 059	LOSS: 19.48	MAE: 17.85	RMSE: 33.12
Epoch 060	LOSS: 19.37	MAE: 17.85	RMSE: 33.13
Epoch 061	LOSS: 19.36	MAE: 17.79	RMSE: 33.09
Epoch 062	LOSS: 19.41	MAE: 17.81	RMSE: 33.11
Epoch 063	LOSS: 19.07	MAE: 17.78	RMSE: 33.06
Epoch 064	LOSS: 19.30	MAE: 17.81	RMSE: 33.06
Epoch 065	LOSS: 19.00	MAE: 17.77	RMSE: 33.04
Epoch 066	LOSS: 18.76	MAE: 17.63	RMSE: 32.98
Epoch 067	LOSS: 19.18	MAE: 17.81	RMSE: 33.09
Epoch 068	LOSS: 18.81	MAE: 17.59	RMSE: 32.95
Epoch 069	LOSS: 18.68	MAE: 17.60	RMSE: 32.96
Epoch 070	LOSS: 18.71	MAE: 17.60	RMSE: 32.96
Epoch 071	LOSS: 18.62	MAE: 17.52	RMSE: 32.92
Epoch 072	LOSS: 18.56	MAE: 17.53	RMSE: 32.93
Epoch 073	LOSS: 18.59	MAE: 17.43	RMSE: 32.89
Epoch 074	LOSS: 18.60	MAE: 17.55	RMSE: 32.94
Epoch 075	LOSS: 18.46	MAE: 17.46	RMSE: 32.90
Epoch 076	LOSS: 18.35	MAE: 17.48	RMSE: 32.90
Epoch 077	LOSS: 18.37	MAE: 17.44	RMSE: 32.86
Epoch 078	LOSS: 18.48	MAE: 17.41	RMSE: 32.86
Epoch 079	LOSS: 18.19	MAE: 17.37	RMSE: 32.82
Epoch 080	LOSS: 18.30	MAE: 17.38	RMSE: 32.84
Epoch 081	LOSS: 18.30	MAE: 17.38	RMSE: 32.85
Epoch 082	LOSS: 18.21	MAE: 17.29	RMSE: 32.80
Epoch 083	LOSS: 18.18	MAE: 17.41	RMSE: 32.88
Epoch 084	LOSS: 18.12	MAE: 17.36	RMSE: 32.83
