Epoch 000	LOSS: 120.08	MAE: 63.21	RMSE: 63.78
Epoch 001	LOSS: 119.82	MAE: 63.07	RMSE: 63.65
Epoch 002	LOSS: 117.63	MAE: 62.72	RMSE: 63.31
Epoch 003	LOSS: 113.98	MAE: 61.90	RMSE: 62.52
Epoch 004	LOSS: 104.76	MAE: 59.99	RMSE: 60.68
Epoch 005	LOSS: 91.46	MAE: 56.79	RMSE: 57.71
Epoch 006	LOSS: 68.55	MAE: 53.08	RMSE: 54.73
Epoch 007	LOSS: 37.50	MAE: 48.70	RMSE: 52.28
Epoch 008	LOSS: 17.62	MAE: 45.11	RMSE: 50.94
Epoch 009	LOSS: 30.14	MAE: 47.64	RMSE: 52.10
Epoch 010	LOSS: 17.41	MAE: 47.29	RMSE: 53.22
Epoch 011	LOSS: 13.01	MAE: 47.62	RMSE: 54.00
Epoch 012	LOSS: 11.47	MAE: 47.28	RMSE: 53.91
Epoch 013	LOSS: 10.85	MAE: 46.94	RMSE: 53.63
Epoch 014	LOSS: 9.65	MAE: 46.90	RMSE: 53.67
Epoch 015	LOSS: 9.67	MAE: 46.87	RMSE: 53.69
Epoch 016	LOSS: 9.67	MAE: 46.94	RMSE: 53.79
Epoch 017	LOSS: 9.39	MAE: 47.02	RMSE: 53.89
Epoch 018	LOSS: 9.35	MAE: 46.98	RMSE: 53.84
Epoch 019	LOSS: 9.27	MAE: 46.89	RMSE: 53.76
Epoch 020	LOSS: 9.11	MAE: 46.92	RMSE: 53.79
Epoch 021	LOSS: 9.46	MAE: 46.84	RMSE: 53.70
Epoch 022	LOSS: 9.22	MAE: 46.88	RMSE: 53.75
Epoch 023	LOSS: 8.94	MAE: 46.87	RMSE: 53.74
Epoch 024	LOSS: 9.26	MAE: 46.82	RMSE: 53.69
Epoch 025	LOSS: 9.02	MAE: 46.82	RMSE: 53.69
Epoch 026	LOSS: 9.07	MAE: 46.83	RMSE: 53.70
Epoch 027	LOSS: 9.08	MAE: 46.83	RMSE: 53.70
Epoch 028	LOSS: 9.06	MAE: 46.83	RMSE: 53.70
Epoch 029	LOSS: 8.89	MAE: 46.84	RMSE: 53.71
Epoch 030	LOSS: 9.03	MAE: 46.84	RMSE: 53.71
Epoch 031	LOSS: 9.15	MAE: 46.84	RMSE: 53.71
Epoch 032	LOSS: 9.20	MAE: 46.82	RMSE: 53.70
Epoch 033	LOSS: 8.88	MAE: 46.83	RMSE: 53.70
Epoch 034	LOSS: 8.89	MAE: 46.79	RMSE: 53.68
Epoch 035	LOSS: 8.94	MAE: 46.80	RMSE: 53.69
Epoch 036	LOSS: 9.04	MAE: 46.80	RMSE: 53.69
Epoch 037	LOSS: 8.98	MAE: 46.78	RMSE: 53.67
Epoch 038	LOSS: 8.79	MAE: 46.79	RMSE: 53.67
Epoch 039	LOSS: 8.91	MAE: 46.78	RMSE: 53.67
Epoch 040	LOSS: 8.71	MAE: 46.76	RMSE: 53.65
Epoch 041	LOSS: 8.87	MAE: 46.76	RMSE: 53.65
Epoch 042	LOSS: 8.82	MAE: 46.77	RMSE: 53.66
Epoch 043	LOSS: 8.80	MAE: 46.73	RMSE: 53.63
Epoch 044	LOSS: 8.75	MAE: 46.72	RMSE: 53.61
Epoch 045	LOSS: 8.81	MAE: 46.76	RMSE: 53.65
Epoch 046	LOSS: 8.73	MAE: 46.71	RMSE: 53.60
Epoch 047	LOSS: 9.01	MAE: 46.72	RMSE: 53.61
Epoch 048	LOSS: 8.95	MAE: 46.71	RMSE: 53.60
Epoch 049	LOSS: 8.50	MAE: 46.68	RMSE: 53.58
Epoch 050	LOSS: 8.92	MAE: 46.67	RMSE: 53.57
Epoch 051	LOSS: 8.89	MAE: 46.68	RMSE: 53.58
Epoch 052	LOSS: 8.65	MAE: 46.68	RMSE: 53.58
Epoch 053	LOSS: 8.70	MAE: 46.67	RMSE: 53.57
Epoch 054	LOSS: 8.71	MAE: 46.63	RMSE: 53.53
Epoch 055	LOSS: 8.69	MAE: 46.66	RMSE: 53.56
Epoch 056	LOSS: 8.70	MAE: 46.61	RMSE: 53.50
Epoch 057	LOSS: 8.79	MAE: 46.67	RMSE: 53.57
Epoch 058	LOSS: 8.75	MAE: 46.62	RMSE: 53.51
Epoch 059	LOSS: 9.06	MAE: 46.62	RMSE: 53.51
Epoch 060	LOSS: 8.73	MAE: 46.58	RMSE: 53.48
Epoch 061	LOSS: 8.60	MAE: 46.58	RMSE: 53.47
Epoch 062	LOSS: 8.66	MAE: 46.56	RMSE: 53.45
Epoch 063	LOSS: 8.65	MAE: 46.58	RMSE: 53.47
Epoch 064	LOSS: 8.66	MAE: 46.59	RMSE: 53.48
Epoch 065	LOSS: 8.61	MAE: 46.55	RMSE: 53.44
Epoch 066	LOSS: 8.47	MAE: 46.56	RMSE: 53.45
Epoch 067	LOSS: 8.30	MAE: 46.55	RMSE: 53.44
Epoch 068	LOSS: 8.52	MAE: 46.55	RMSE: 53.44
Epoch 069	LOSS: 8.67	MAE: 46.54	RMSE: 53.42
Epoch 070	LOSS: 8.61	MAE: 46.52	RMSE: 53.41
Epoch 071	LOSS: 8.47	MAE: 46.51	RMSE: 53.40
Epoch 072	LOSS: 8.62	MAE: 46.50	RMSE: 53.38
Epoch 073	LOSS: 8.47	MAE: 46.48	RMSE: 53.36
Epoch 074	LOSS: 8.56	MAE: 46.50	RMSE: 53.38
Epoch 075	LOSS: 8.47	MAE: 46.49	RMSE: 53.37
Epoch 076	LOSS: 8.58	MAE: 46.49	RMSE: 53.38
Epoch 077	LOSS: 8.62	MAE: 46.47	RMSE: 53.35
Epoch 078	LOSS: 8.55	MAE: 46.46	RMSE: 53.34
Epoch 079	LOSS: 8.33	MAE: 46.47	RMSE: 53.36
Epoch 080	LOSS: 8.57	MAE: 46.45	RMSE: 53.33
Epoch 081	LOSS: 8.67	MAE: 46.47	RMSE: 53.34
Epoch 082	LOSS: 8.64	MAE: 46.44	RMSE: 53.32
Epoch 083	LOSS: 8.73	MAE: 46.43	RMSE: 53.30
Epoch 084	LOSS: 8.60	MAE: 46.44	RMSE: 53.32
Epoch 085	LOSS: 8.35	MAE: 46.43	RMSE: 53.31
Epoch 086	LOSS: 8.46	MAE: 46.42	RMSE: 53.30
Epoch 087	LOSS: 8.51	MAE: 46.43	RMSE: 53.30
Epoch 088	LOSS: 8.32	MAE: 46.42	RMSE: 53.30
Epoch 089	LOSS: 8.57	MAE: 46.40	RMSE: 53.27
Epoch 090	LOSS: 8.61	MAE: 46.38	RMSE: 53.27
Epoch 091	LOSS: 8.27	MAE: 46.39	RMSE: 53.26
Epoch 092	LOSS: 8.39	MAE: 46.38	RMSE: 53.26
Epoch 093	LOSS: 8.60	MAE: 46.38	RMSE: 53.25
Epoch 094	LOSS: 8.49	MAE: 46.36	RMSE: 53.24
Epoch 095	LOSS: 8.50	MAE: 46.36	RMSE: 53.24
Epoch 096	LOSS: 8.54	MAE: 46.37	RMSE: 53.24
Epoch 097	LOSS: 8.74	MAE: 46.37	RMSE: 53.25
Epoch 098	LOSS: 8.42	MAE: 46.32	RMSE: 53.19
Epoch 099	LOSS: 8.33	MAE: 46.35	RMSE: 53.22
