Epoch 000	LOSS: 124.19	MAE: 62.23	RMSE: 62.99
Epoch 001	LOSS: 123.03	MAE: 61.81	RMSE: 62.58
Epoch 002	LOSS: 119.90	MAE: 60.62	RMSE: 61.40
Epoch 003	LOSS: 113.60	MAE: 57.75	RMSE: 58.59
Epoch 004	LOSS: 99.76	MAE: 51.54	RMSE: 52.53
Epoch 005	LOSS: 76.08	MAE: 39.86	RMSE: 41.09
Epoch 006	LOSS: 39.72	MAE: 21.39	RMSE: 22.99
Epoch 007	LOSS: 22.52	MAE: 11.17	RMSE: 15.22
Epoch 008	LOSS: 31.59	MAE: 16.03	RMSE: 19.06
Epoch 009	LOSS: 12.13	MAE: 7.01	RMSE: 11.82
Epoch 010	LOSS: 16.87	MAE: 9.56	RMSE: 12.36
Epoch 011	LOSS: 11.53	MAE: 6.42	RMSE: 11.19
Epoch 012	LOSS: 11.42	MAE: 6.32	RMSE: 11.32
Epoch 013	LOSS: 11.73	MAE: 6.45	RMSE: 10.95
Epoch 014	LOSS: 10.29	MAE: 6.04	RMSE: 10.97
Epoch 015	LOSS: 9.85	MAE: 6.03	RMSE: 11.04
Epoch 016	LOSS: 10.48	MAE: 6.08	RMSE: 10.76
Epoch 017	LOSS: 9.54	MAE: 5.88	RMSE: 10.98
Epoch 018	LOSS: 10.12	MAE: 5.81	RMSE: 10.69
Epoch 019	LOSS: 9.64	MAE: 5.61	RMSE: 10.77
Epoch 020	LOSS: 9.77	MAE: 5.61	RMSE: 10.63
Epoch 021	LOSS: 9.79	MAE: 5.56	RMSE: 10.67
Epoch 022	LOSS: 9.62	MAE: 5.56	RMSE: 10.68
Epoch 023	LOSS: 9.63	MAE: 5.50	RMSE: 10.64
Epoch 024	LOSS: 9.45	MAE: 5.46	RMSE: 10.62
Epoch 025	LOSS: 9.39	MAE: 5.41	RMSE: 10.59
Epoch 026	LOSS: 9.46	MAE: 5.45	RMSE: 10.60
Epoch 027	LOSS: 9.52	MAE: 5.53	RMSE: 10.49
Epoch 028	LOSS: 9.60	MAE: 5.44	RMSE: 10.65
Epoch 029	LOSS: 9.49	MAE: 5.44	RMSE: 10.61
