Epoch 000	LOSS: 121.29	MAE: 63.21	RMSE: 63.79
Epoch 001	LOSS: 120.41	MAE: 63.11	RMSE: 63.69
Epoch 002	LOSS: 118.81	MAE: 62.88	RMSE: 63.46
Epoch 003	LOSS: 115.82	MAE: 62.33	RMSE: 62.93
Epoch 004	LOSS: 110.37	MAE: 60.99	RMSE: 61.63
Epoch 005	LOSS: 100.68	MAE: 59.10	RMSE: 59.86
Epoch 006	LOSS: 85.30	MAE: 57.04	RMSE: 58.19
Epoch 007	LOSS: 61.82	MAE: 54.01	RMSE: 56.14
Epoch 008	LOSS: 31.68	MAE: 49.15	RMSE: 53.41
Epoch 009	LOSS: 18.17	MAE: 46.35	RMSE: 52.19
Epoch 010	LOSS: 27.47	MAE: 48.63	RMSE: 53.42
Epoch 011	LOSS: 13.41	MAE: 47.56	RMSE: 53.99
Epoch 012	LOSS: 12.82	MAE: 47.93	RMSE: 54.41
Epoch 013	LOSS: 9.99	MAE: 47.60	RMSE: 54.49
Epoch 014	LOSS: 9.73	MAE: 47.77	RMSE: 54.73
Epoch 015	LOSS: 9.26	MAE: 47.95	RMSE: 54.93
Epoch 016	LOSS: 9.37	MAE: 47.98	RMSE: 54.99
Epoch 017	LOSS: 9.25	MAE: 47.95	RMSE: 54.97
Epoch 018	LOSS: 9.12	MAE: 47.91	RMSE: 54.92
Epoch 019	LOSS: 9.30	MAE: 47.86	RMSE: 54.87
Epoch 020	LOSS: 9.13	MAE: 47.84	RMSE: 54.84
Epoch 021	LOSS: 9.20	MAE: 47.82	RMSE: 54.83
Epoch 022	LOSS: 8.98	MAE: 47.82	RMSE: 54.83
Epoch 023	LOSS: 9.14	MAE: 47.82	RMSE: 54.81
Epoch 024	LOSS: 9.09	MAE: 47.81	RMSE: 54.82
Epoch 025	LOSS: 9.05	MAE: 47.79	RMSE: 54.80
Epoch 026	LOSS: 9.08	MAE: 47.79	RMSE: 54.80
Epoch 027	LOSS: 9.25	MAE: 47.78	RMSE: 54.80
Epoch 028	LOSS: 9.00	MAE: 47.78	RMSE: 54.80
Epoch 029	LOSS: 9.17	MAE: 47.79	RMSE: 54.80
Epoch 030	LOSS: 9.04	MAE: 47.78	RMSE: 54.79
Epoch 031	LOSS: 8.99	MAE: 47.77	RMSE: 54.78
Epoch 032	LOSS: 9.10	MAE: 47.77	RMSE: 54.79
Epoch 033	LOSS: 8.99	MAE: 47.75	RMSE: 54.77
Epoch 034	LOSS: 9.03	MAE: 47.75	RMSE: 54.77
Epoch 035	LOSS: 8.88	MAE: 47.75	RMSE: 54.76
Epoch 036	LOSS: 9.22	MAE: 47.73	RMSE: 54.75
Epoch 037	LOSS: 8.77	MAE: 47.73	RMSE: 54.75
Epoch 038	LOSS: 8.77	MAE: 47.73	RMSE: 54.75
Epoch 039	LOSS: 9.07	MAE: 47.72	RMSE: 54.74
Epoch 040	LOSS: 8.88	MAE: 47.73	RMSE: 54.74
Epoch 041	LOSS: 9.02	MAE: 47.72	RMSE: 54.75
Epoch 042	LOSS: 8.93	MAE: 47.72	RMSE: 54.74
Epoch 043	LOSS: 8.83	MAE: 47.72	RMSE: 54.74
Epoch 044	LOSS: 8.98	MAE: 47.72	RMSE: 54.73
Epoch 045	LOSS: 9.05	MAE: 47.72	RMSE: 54.73
Epoch 046	LOSS: 8.88	MAE: 47.71	RMSE: 54.73
Epoch 047	LOSS: 8.80	MAE: 47.71	RMSE: 54.73
Epoch 048	LOSS: 9.20	MAE: 47.73	RMSE: 54.74
Epoch 049	LOSS: 8.91	MAE: 47.72	RMSE: 54.74
Epoch 050	LOSS: 8.98	MAE: 47.71	RMSE: 54.74
Epoch 051	LOSS: 8.91	MAE: 47.71	RMSE: 54.74
Epoch 052	LOSS: 9.10	MAE: 47.72	RMSE: 54.75
Epoch 053	LOSS: 8.89	MAE: 47.71	RMSE: 54.74
Epoch 054	LOSS: 8.87	MAE: 47.71	RMSE: 54.75
Epoch 055	LOSS: 8.80	MAE: 47.71	RMSE: 54.74
Epoch 056	LOSS: 8.98	MAE: 47.71	RMSE: 54.74
Epoch 057	LOSS: 8.84	MAE: 47.71	RMSE: 54.74
Epoch 058	LOSS: 9.06	MAE: 47.72	RMSE: 54.74
Epoch 059	LOSS: 8.94	MAE: 47.72	RMSE: 54.74
Epoch 060	LOSS: 8.80	MAE: 47.71	RMSE: 54.74
Epoch 061	LOSS: 8.96	MAE: 47.71	RMSE: 54.74
Epoch 062	LOSS: 9.19	MAE: 47.74	RMSE: 54.75
Epoch 063	LOSS: 8.75	MAE: 47.70	RMSE: 54.73
Epoch 064	LOSS: 8.70	MAE: 47.69	RMSE: 54.73
Epoch 065	LOSS: 9.03	MAE: 47.71	RMSE: 54.74
Epoch 066	LOSS: 8.81	MAE: 47.72	RMSE: 54.75
Epoch 067	LOSS: 9.02	MAE: 47.72	RMSE: 54.75
Epoch 068	LOSS: 8.96	MAE: 47.72	RMSE: 54.75
Epoch 069	LOSS: 8.82	MAE: 47.71	RMSE: 54.75
Epoch 070	LOSS: 9.02	MAE: 47.72	RMSE: 54.75
Epoch 071	LOSS: 8.80	MAE: 47.72	RMSE: 54.76
Epoch 072	LOSS: 8.94	MAE: 47.73	RMSE: 54.76
Epoch 073	LOSS: 8.60	MAE: 47.72	RMSE: 54.76
Epoch 074	LOSS: 8.74	MAE: 47.73	RMSE: 54.76
Epoch 075	LOSS: 8.63	MAE: 47.73	RMSE: 54.77
Epoch 076	LOSS: 8.87	MAE: 47.73	RMSE: 54.77
Epoch 077	LOSS: 8.94	MAE: 47.72	RMSE: 54.76
Epoch 078	LOSS: 8.82	MAE: 47.73	RMSE: 54.77
Epoch 079	LOSS: 8.73	MAE: 47.73	RMSE: 54.77
Epoch 080	LOSS: 8.65	MAE: 47.73	RMSE: 54.77
Epoch 081	LOSS: 8.72	MAE: 47.72	RMSE: 54.77
Epoch 082	LOSS: 8.57	MAE: 47.72	RMSE: 54.78
Epoch 083	LOSS: 8.69	MAE: 47.76	RMSE: 54.78
Epoch 084	LOSS: 8.72	MAE: 47.74	RMSE: 54.78
Epoch 085	LOSS: 8.64	MAE: 47.73	RMSE: 54.78
Epoch 086	LOSS: 8.84	MAE: 47.72	RMSE: 54.77
Epoch 087	LOSS: 8.91	MAE: 47.76	RMSE: 54.78
Epoch 088	LOSS: 8.82	MAE: 47.75	RMSE: 54.78
Epoch 089	LOSS: 8.88	MAE: 47.74	RMSE: 54.79
Epoch 090	LOSS: 8.97	MAE: 47.73	RMSE: 54.78
Epoch 091	LOSS: 8.62	MAE: 47.73	RMSE: 54.79
Epoch 092	LOSS: 8.53	MAE: 47.72	RMSE: 54.78
Epoch 093	LOSS: 8.59	MAE: 47.73	RMSE: 54.79
Epoch 094	LOSS: 8.48	MAE: 47.72	RMSE: 54.80
Epoch 095	LOSS: 8.78	MAE: 47.72	RMSE: 54.80
Epoch 096	LOSS: 8.44	MAE: 47.72	RMSE: 54.79
Epoch 097	LOSS: 8.51	MAE: 47.72	RMSE: 54.80
Epoch 098	LOSS: 8.74	MAE: 47.72	RMSE: 54.80
Epoch 099	LOSS: 8.36	MAE: 47.72	RMSE: 54.80
Epoch 100	LOSS: 8.26	MAE: 47.72	RMSE: 54.80
Epoch 101	LOSS: 8.17	MAE: 47.72	RMSE: 54.81
Epoch 102	LOSS: 8.38	MAE: 47.72	RMSE: 54.81
Epoch 103	LOSS: 8.38	MAE: 47.73	RMSE: 54.82
Epoch 104	LOSS: 8.56	MAE: 47.73	RMSE: 54.82
Epoch 105	LOSS: 8.57	MAE: 47.74	RMSE: 54.83
Epoch 106	LOSS: 8.43	MAE: 47.74	RMSE: 54.83
Epoch 107	LOSS: 8.56	MAE: 47.75	RMSE: 54.84
Epoch 108	LOSS: 8.20	MAE: 47.74	RMSE: 54.84
Epoch 109	LOSS: 8.24	MAE: 47.75	RMSE: 54.85
Epoch 110	LOSS: 8.28	MAE: 47.75	RMSE: 54.85
Epoch 111	LOSS: 8.33	MAE: 47.74	RMSE: 54.84
Epoch 112	LOSS: 8.26	MAE: 47.75	RMSE: 54.84
Epoch 113	LOSS: 8.36	MAE: 47.74	RMSE: 54.85
Epoch 114	LOSS: 8.44	MAE: 47.75	RMSE: 54.85
Epoch 115	LOSS: 8.25	MAE: 47.75	RMSE: 54.85
Epoch 116	LOSS: 8.29	MAE: 47.75	RMSE: 54.85
Epoch 117	LOSS: 8.21	MAE: 47.75	RMSE: 54.85
Epoch 118	LOSS: 8.26	MAE: 47.76	RMSE: 54.86
Epoch 119	LOSS: 8.36	MAE: 47.75	RMSE: 54.86
Epoch 120	LOSS: 8.66	MAE: 47.77	RMSE: 54.86
Epoch 121	LOSS: 8.31	MAE: 47.77	RMSE: 54.86
Epoch 122	LOSS: 8.33	MAE: 47.77	RMSE: 54.87
Epoch 123	LOSS: 8.39	MAE: 47.76	RMSE: 54.87
Epoch 124	LOSS: 8.49	MAE: 47.76	RMSE: 54.87
Epoch 125	LOSS: 8.37	MAE: 47.77	RMSE: 54.87
Epoch 126	LOSS: 8.21	MAE: 47.77	RMSE: 54.87
Epoch 127	LOSS: 8.12	MAE: 47.76	RMSE: 54.87
Epoch 128	LOSS: 8.17	MAE: 47.77	RMSE: 54.87
Epoch 129	LOSS: 8.40	MAE: 47.77	RMSE: 54.88
Epoch 130	LOSS: 8.34	MAE: 47.77	RMSE: 54.88
Epoch 131	LOSS: 8.06	MAE: 47.77	RMSE: 54.87
Epoch 132	LOSS: 8.46	MAE: 47.76	RMSE: 54.87
Epoch 133	LOSS: 8.26	MAE: 47.77	RMSE: 54.88
Epoch 134	LOSS: 8.76	MAE: 47.77	RMSE: 54.88
Epoch 135	LOSS: 8.13	MAE: 47.77	RMSE: 54.88
Epoch 136	LOSS: 8.22	MAE: 47.78	RMSE: 54.88
Epoch 137	LOSS: 8.36	MAE: 47.79	RMSE: 54.89
Epoch 138	LOSS: 8.21	MAE: 47.78	RMSE: 54.88
Epoch 139	LOSS: 8.32	MAE: 47.78	RMSE: 54.88
Epoch 140	LOSS: 8.50	MAE: 47.79	RMSE: 54.88
Epoch 141	LOSS: 8.48	MAE: 47.80	RMSE: 54.89
Epoch 142	LOSS: 8.36	MAE: 47.78	RMSE: 54.89
Epoch 143	LOSS: 8.30	MAE: 47.78	RMSE: 54.89
Epoch 144	LOSS: 8.33	MAE: 47.78	RMSE: 54.89
Epoch 145	LOSS: 8.16	MAE: 47.78	RMSE: 54.89
Epoch 146	LOSS: 8.17	MAE: 47.78	RMSE: 54.89
Epoch 147	LOSS: 8.34	MAE: 47.78	RMSE: 54.90
Epoch 148	LOSS: 8.34	MAE: 47.78	RMSE: 54.90
Epoch 149	LOSS: 8.28	MAE: 47.78	RMSE: 54.89
Epoch 150	LOSS: 8.23	MAE: 47.79	RMSE: 54.89
Epoch 151	LOSS: 8.34	MAE: 47.78	RMSE: 54.89
Epoch 152	LOSS: 8.18	MAE: 47.78	RMSE: 54.89
Epoch 153	LOSS: 8.24	MAE: 47.79	RMSE: 54.90
Epoch 154	LOSS: 8.16	MAE: 47.78	RMSE: 54.90
Epoch 155	LOSS: 8.23	MAE: 47.79	RMSE: 54.90
Epoch 156	LOSS: 8.40	MAE: 47.78	RMSE: 54.90
Epoch 157	LOSS: 8.36	MAE: 47.79	RMSE: 54.90
Epoch 158	LOSS: 8.16	MAE: 47.79	RMSE: 54.90
Epoch 159	LOSS: 8.21	MAE: 47.79	RMSE: 54.90
Epoch 160	LOSS: 8.04	MAE: 47.78	RMSE: 54.90
Epoch 161	LOSS: 8.21	MAE: 47.79	RMSE: 54.90
Epoch 162	LOSS: 8.05	MAE: 47.79	RMSE: 54.90
Epoch 163	LOSS: 8.10	MAE: 47.79	RMSE: 54.90
Epoch 164	LOSS: 8.29	MAE: 47.79	RMSE: 54.90
Epoch 165	LOSS: 8.09	MAE: 47.79	RMSE: 54.91
Epoch 166	LOSS: 8.09	MAE: 47.79	RMSE: 54.91
Epoch 167	LOSS: 7.93	MAE: 47.79	RMSE: 54.91
Epoch 168	LOSS: 8.04	MAE: 47.79	RMSE: 54.91
Epoch 169	LOSS: 8.55	MAE: 47.79	RMSE: 54.91
Epoch 170	LOSS: 8.17	MAE: 47.79	RMSE: 54.90
Epoch 171	LOSS: 8.28	MAE: 47.79	RMSE: 54.91
Epoch 172	LOSS: 8.19	MAE: 47.80	RMSE: 54.91
Epoch 173	LOSS: 8.32	MAE: 47.81	RMSE: 54.91
Epoch 174	LOSS: 8.24	MAE: 47.79	RMSE: 54.90
Epoch 175	LOSS: 8.20	MAE: 47.79	RMSE: 54.90
Epoch 176	LOSS: 8.18	MAE: 47.78	RMSE: 54.90
Epoch 177	LOSS: 8.21	MAE: 47.79	RMSE: 54.91
Epoch 178	LOSS: 8.40	MAE: 47.80	RMSE: 54.91
Epoch 179	LOSS: 8.15	MAE: 47.79	RMSE: 54.91
Epoch 180	LOSS: 8.45	MAE: 47.79	RMSE: 54.90
Epoch 181	LOSS: 8.22	MAE: 47.79	RMSE: 54.90
Epoch 182	LOSS: 8.09	MAE: 47.79	RMSE: 54.90
Epoch 183	LOSS: 8.11	MAE: 47.79	RMSE: 54.91
Epoch 184	LOSS: 8.27	MAE: 47.80	RMSE: 54.91
Epoch 185	LOSS: 8.35	MAE: 47.80	RMSE: 54.91
Epoch 186	LOSS: 8.13	MAE: 47.79	RMSE: 54.91
Epoch 187	LOSS: 8.13	MAE: 47.79	RMSE: 54.91
Epoch 188	LOSS: 8.36	MAE: 47.80	RMSE: 54.91
Epoch 189	LOSS: 8.23	MAE: 47.80	RMSE: 54.92
Epoch 190	LOSS: 8.25	MAE: 47.80	RMSE: 54.93
Epoch 191	LOSS: 8.32	MAE: 47.81	RMSE: 54.93
Epoch 192	LOSS: 8.25	MAE: 47.81	RMSE: 54.93
Epoch 193	LOSS: 7.83	MAE: 47.81	RMSE: 54.93
Epoch 194	LOSS: 8.33	MAE: 47.81	RMSE: 54.94
Epoch 195	LOSS: 8.19	MAE: 47.83	RMSE: 54.94
Epoch 196	LOSS: 8.43	MAE: 47.83	RMSE: 54.95
Epoch 197	LOSS: 8.37	MAE: 47.82	RMSE: 54.94
Epoch 198	LOSS: 8.15	MAE: 47.82	RMSE: 54.94
Epoch 199	LOSS: 8.04	MAE: 47.82	RMSE: 54.95
Epoch 200	LOSS: 8.17	MAE: 47.83	RMSE: 54.95
Epoch 201	LOSS: 8.34	MAE: 47.82	RMSE: 54.95
Epoch 202	LOSS: 8.10	MAE: 47.83	RMSE: 54.95
Epoch 203	LOSS: 8.13	MAE: 47.83	RMSE: 54.95
Epoch 204	LOSS: 8.38	MAE: 47.83	RMSE: 54.95
Epoch 205	LOSS: 8.12	MAE: 47.83	RMSE: 54.95
Epoch 206	LOSS: 8.00	MAE: 47.83	RMSE: 54.96
Epoch 207	LOSS: 8.06	MAE: 47.83	RMSE: 54.95
Epoch 208	LOSS: 8.13	MAE: 47.83	RMSE: 54.96
Epoch 209	LOSS: 8.09	MAE: 47.82	RMSE: 54.95
Epoch 210	LOSS: 7.93	MAE: 47.82	RMSE: 54.95
Epoch 211	LOSS: 8.01	MAE: 47.82	RMSE: 54.95
Epoch 212	LOSS: 8.29	MAE: 47.83	RMSE: 54.96
Epoch 213	LOSS: 8.12	MAE: 47.83	RMSE: 54.96
Epoch 214	LOSS: 8.13	MAE: 47.83	RMSE: 54.96
Epoch 215	LOSS: 8.36	MAE: 47.83	RMSE: 54.96
Epoch 216	LOSS: 8.22	MAE: 47.84	RMSE: 54.96
Epoch 217	LOSS: 8.14	MAE: 47.83	RMSE: 54.96
Epoch 218	LOSS: 8.12	MAE: 47.83	RMSE: 54.96
Epoch 219	LOSS: 8.26	MAE: 47.82	RMSE: 54.96
Epoch 220	LOSS: 8.08	MAE: 47.83	RMSE: 54.96
Epoch 221	LOSS: 8.17	MAE: 47.83	RMSE: 54.96
Epoch 222	LOSS: 8.24	MAE: 47.82	RMSE: 54.96
Epoch 223	LOSS: 8.09	MAE: 47.83	RMSE: 54.96
Epoch 224	LOSS: 8.25	MAE: 47.82	RMSE: 54.96
Epoch 225	LOSS: 8.21	MAE: 47.83	RMSE: 54.96
Epoch 226	LOSS: 8.06	MAE: 47.83	RMSE: 54.97
Epoch 227	LOSS: 8.10	MAE: 47.85	RMSE: 54.97
Epoch 228	LOSS: 8.14	MAE: 47.85	RMSE: 54.97
Epoch 229	LOSS: 7.99	MAE: 47.83	RMSE: 54.97
Epoch 230	LOSS: 8.18	MAE: 47.82	RMSE: 54.96
Epoch 231	LOSS: 8.29	MAE: 47.83	RMSE: 54.97
Epoch 232	LOSS: 8.26	MAE: 47.84	RMSE: 54.96
