Epoch 000	LOSS: 120.64	MAE: 63.18	RMSE: 63.76
Epoch 001	LOSS: 119.75	MAE: 63.01	RMSE: 63.59
Epoch 002	LOSS: 117.60	MAE: 62.57	RMSE: 63.16
Epoch 003	LOSS: 112.26	MAE: 61.68	RMSE: 62.31
Epoch 004	LOSS: 101.52	MAE: 60.00	RMSE: 60.75
Epoch 005	LOSS: 85.07	MAE: 56.86	RMSE: 57.98
Epoch 006	LOSS: 59.88	MAE: 52.12	RMSE: 54.25
Epoch 007	LOSS: 25.97	MAE: 47.10	RMSE: 51.85
Epoch 008	LOSS: 23.71	MAE: 46.73	RMSE: 51.88
Epoch 009	LOSS: 27.56	MAE: 48.35	RMSE: 53.12
Epoch 010	LOSS: 12.51	MAE: 46.95	RMSE: 53.73
Epoch 011	LOSS: 13.86	MAE: 47.65	RMSE: 53.88
Epoch 012	LOSS: 10.97	MAE: 46.63	RMSE: 53.38
Epoch 013	LOSS: 11.24	MAE: 46.49	RMSE: 53.27
Epoch 014	LOSS: 9.66	MAE: 46.62	RMSE: 53.37
Epoch 015	LOSS: 9.73	MAE: 46.59	RMSE: 53.39
Epoch 016	LOSS: 9.27	MAE: 46.65	RMSE: 53.44
Epoch 017	LOSS: 9.15	MAE: 46.64	RMSE: 53.45
Epoch 018	LOSS: 9.38	MAE: 46.62	RMSE: 53.43
Epoch 019	LOSS: 9.19	MAE: 46.58	RMSE: 53.38
Epoch 020	LOSS: 9.34	MAE: 46.58	RMSE: 53.38
Epoch 021	LOSS: 9.15	MAE: 46.58	RMSE: 53.38
Epoch 022	LOSS: 9.50	MAE: 46.57	RMSE: 53.38
Epoch 023	LOSS: 9.25	MAE: 46.59	RMSE: 53.39
Epoch 024	LOSS: 9.07	MAE: 46.57	RMSE: 53.38
Epoch 025	LOSS: 9.18	MAE: 46.60	RMSE: 53.41
Epoch 026	LOSS: 9.41	MAE: 46.58	RMSE: 53.40
Epoch 027	LOSS: 9.21	MAE: 46.59	RMSE: 53.40
