Epoch 000	LOSS: 120.79	MAE: 63.19	RMSE: 63.77
Epoch 001	LOSS: 119.36	MAE: 63.02	RMSE: 63.60
Epoch 002	LOSS: 117.54	MAE: 62.60	RMSE: 63.19
Epoch 003	LOSS: 112.27	MAE: 61.66	RMSE: 62.29
Epoch 004	LOSS: 101.83	MAE: 59.75	RMSE: 60.50
Epoch 005	LOSS: 84.82	MAE: 56.66	RMSE: 57.78
Epoch 006	LOSS: 59.17	MAE: 52.27	RMSE: 54.41
Epoch 007	LOSS: 30.98	MAE: 46.53	RMSE: 51.14
Epoch 008	LOSS: 23.61	MAE: 44.72	RMSE: 50.40
Epoch 009	LOSS: 23.23	MAE: 46.52	RMSE: 51.72
Epoch 010	LOSS: 17.29	MAE: 46.25	RMSE: 52.86
Epoch 011	LOSS: 12.49	MAE: 46.90	RMSE: 53.24
Epoch 012	LOSS: 12.06	MAE: 46.11	RMSE: 52.80
Epoch 013	LOSS: 10.88	MAE: 45.87	RMSE: 52.55
Epoch 014	LOSS: 9.65	MAE: 45.91	RMSE: 52.56
Epoch 015	LOSS: 9.38	MAE: 45.99	RMSE: 52.69
Epoch 016	LOSS: 9.46	MAE: 46.11	RMSE: 52.81
Epoch 017	LOSS: 9.45	MAE: 46.03	RMSE: 52.75
Epoch 018	LOSS: 9.25	MAE: 45.98	RMSE: 52.69
Epoch 019	LOSS: 9.39	MAE: 46.03	RMSE: 52.75
Epoch 020	LOSS: 9.26	MAE: 46.07	RMSE: 52.79
Epoch 021	LOSS: 9.27	MAE: 46.08	RMSE: 52.80
Epoch 022	LOSS: 9.40	MAE: 46.14	RMSE: 52.86
Epoch 023	LOSS: 9.15	MAE: 46.11	RMSE: 52.85
Epoch 024	LOSS: 9.40	MAE: 46.14	RMSE: 52.87
Epoch 025	LOSS: 9.48	MAE: 46.14	RMSE: 52.85
Epoch 026	LOSS: 9.34	MAE: 46.12	RMSE: 52.84
Epoch 027	LOSS: 9.66	MAE: 46.10	RMSE: 52.83
Epoch 028	LOSS: 9.29	MAE: 46.13	RMSE: 52.87
Epoch 029	LOSS: 9.25	MAE: 46.17	RMSE: 52.90
Epoch 030	LOSS: 9.20	MAE: 46.18	RMSE: 52.93
Epoch 031	LOSS: 9.57	MAE: 46.20	RMSE: 52.94
Epoch 032	LOSS: 9.48	MAE: 46.19	RMSE: 52.94
Epoch 033	LOSS: 9.47	MAE: 46.23	RMSE: 52.96
Epoch 034	LOSS: 9.41	MAE: 46.18	RMSE: 52.91
Epoch 035	LOSS: 9.25	MAE: 46.20	RMSE: 52.94
Epoch 036	LOSS: 9.26	MAE: 46.17	RMSE: 52.91
Epoch 037	LOSS: 9.17	MAE: 46.17	RMSE: 52.91
Epoch 038	LOSS: 9.35	MAE: 46.20	RMSE: 52.93
Epoch 039	LOSS: 9.14	MAE: 46.17	RMSE: 52.91
Epoch 040	LOSS: 9.40	MAE: 46.20	RMSE: 52.93
Epoch 041	LOSS: 9.22	MAE: 46.16	RMSE: 52.90
Epoch 042	LOSS: 9.13	MAE: 46.15	RMSE: 52.89
Epoch 043	LOSS: 9.14	MAE: 46.15	RMSE: 52.89
Epoch 044	LOSS: 9.28	MAE: 46.13	RMSE: 52.87
Epoch 045	LOSS: 9.23	MAE: 46.14	RMSE: 52.87
Epoch 046	LOSS: 9.15	MAE: 46.12	RMSE: 52.86
Epoch 047	LOSS: 9.39	MAE: 46.09	RMSE: 52.83
Epoch 048	LOSS: 9.23	MAE: 46.12	RMSE: 52.85
Epoch 049	LOSS: 9.26	MAE: 46.10	RMSE: 52.83
Epoch 050	LOSS: 9.24	MAE: 46.07	RMSE: 52.81
Epoch 051	LOSS: 9.24	MAE: 46.10	RMSE: 52.83
Epoch 052	LOSS: 9.36	MAE: 46.07	RMSE: 52.81
Epoch 053	LOSS: 9.49	MAE: 46.02	RMSE: 52.75
Epoch 054	LOSS: 9.19	MAE: 46.01	RMSE: 52.74
Epoch 055	LOSS: 8.99	MAE: 45.99	RMSE: 52.72
Epoch 056	LOSS: 9.26	MAE: 46.00	RMSE: 52.73
Epoch 057	LOSS: 9.13	MAE: 45.99	RMSE: 52.73
Epoch 058	LOSS: 9.15	MAE: 46.02	RMSE: 52.76
Epoch 059	LOSS: 9.08	MAE: 45.99	RMSE: 52.73
Epoch 060	LOSS: 9.27	MAE: 45.97	RMSE: 52.71
Epoch 061	LOSS: 9.10	MAE: 45.95	RMSE: 52.68
Epoch 062	LOSS: 9.32	MAE: 45.93	RMSE: 52.65
Epoch 063	LOSS: 9.08	MAE: 45.91	RMSE: 52.64
Epoch 064	LOSS: 9.01	MAE: 45.91	RMSE: 52.65
Epoch 065	LOSS: 8.98	MAE: 45.93	RMSE: 52.66
Epoch 066	LOSS: 9.05	MAE: 45.92	RMSE: 52.65
Epoch 067	LOSS: 9.33	MAE: 45.87	RMSE: 52.60
Epoch 068	LOSS: 8.97	MAE: 45.88	RMSE: 52.60
Epoch 069	LOSS: 8.85	MAE: 45.85	RMSE: 52.58
Epoch 070	LOSS: 9.12	MAE: 45.82	RMSE: 52.55
Epoch 071	LOSS: 9.13	MAE: 45.81	RMSE: 52.53
Epoch 072	LOSS: 9.10	MAE: 45.79	RMSE: 52.51
Epoch 073	LOSS: 9.09	MAE: 45.77	RMSE: 52.49
Epoch 074	LOSS: 8.90	MAE: 45.78	RMSE: 52.50
Epoch 075	LOSS: 8.97	MAE: 45.76	RMSE: 52.47
Epoch 076	LOSS: 9.00	MAE: 45.75	RMSE: 52.45
Epoch 077	LOSS: 9.00	MAE: 45.75	RMSE: 52.45
Epoch 078	LOSS: 9.04	MAE: 45.72	RMSE: 52.43
Epoch 079	LOSS: 9.06	MAE: 45.69	RMSE: 52.40
Epoch 080	LOSS: 9.00	MAE: 45.74	RMSE: 52.44
Epoch 081	LOSS: 9.06	MAE: 45.62	RMSE: 52.33
Epoch 082	LOSS: 9.29	MAE: 45.69	RMSE: 52.36
Epoch 083	LOSS: 8.86	MAE: 45.66	RMSE: 52.36
Epoch 084	LOSS: 9.00	MAE: 45.69	RMSE: 52.41
Epoch 085	LOSS: 8.97	MAE: 45.70	RMSE: 52.42
Epoch 086	LOSS: 9.16	MAE: 45.63	RMSE: 52.35
Epoch 087	LOSS: 8.99	MAE: 45.61	RMSE: 52.32
Epoch 088	LOSS: 8.90	MAE: 45.60	RMSE: 52.32
Epoch 089	LOSS: 8.86	MAE: 45.60	RMSE: 52.31
Epoch 090	LOSS: 9.01	MAE: 45.58	RMSE: 52.28
Epoch 091	LOSS: 9.00	MAE: 45.55	RMSE: 52.26
Epoch 092	LOSS: 8.84	MAE: 45.55	RMSE: 52.25
Epoch 093	LOSS: 8.94	MAE: 45.52	RMSE: 52.23
Epoch 094	LOSS: 9.00	MAE: 45.51	RMSE: 52.21
Epoch 095	LOSS: 8.75	MAE: 45.51	RMSE: 52.21
Epoch 096	LOSS: 8.75	MAE: 45.51	RMSE: 52.20
Epoch 097	LOSS: 8.76	MAE: 45.46	RMSE: 52.17
Epoch 098	LOSS: 8.79	MAE: 45.47	RMSE: 52.16
Epoch 099	LOSS: 8.80	MAE: 45.44	RMSE: 52.13
Epoch 100	LOSS: 8.81	MAE: 45.41	RMSE: 52.11
Epoch 101	LOSS: 8.75	MAE: 45.40	RMSE: 52.10
Epoch 102	LOSS: 8.95	MAE: 45.40	RMSE: 52.09
Epoch 103	LOSS: 9.15	MAE: 45.38	RMSE: 52.07
Epoch 104	LOSS: 9.05	MAE: 45.37	RMSE: 52.06
Epoch 105	LOSS: 8.94	MAE: 45.37	RMSE: 52.06
Epoch 106	LOSS: 8.89	MAE: 45.34	RMSE: 52.03
Epoch 107	LOSS: 8.91	MAE: 45.33	RMSE: 52.01
Epoch 108	LOSS: 8.82	MAE: 45.35	RMSE: 52.03
Epoch 109	LOSS: 8.78	MAE: 45.33	RMSE: 52.01
Epoch 110	LOSS: 9.02	MAE: 45.31	RMSE: 51.99
Epoch 111	LOSS: 8.85	MAE: 45.29	RMSE: 51.97
Epoch 112	LOSS: 8.90	MAE: 45.27	RMSE: 51.95
Epoch 113	LOSS: 8.95	MAE: 45.26	RMSE: 51.94
Epoch 114	LOSS: 8.91	MAE: 45.26	RMSE: 51.94
Epoch 115	LOSS: 8.87	MAE: 45.25	RMSE: 51.93
Epoch 116	LOSS: 8.73	MAE: 45.26	RMSE: 51.94
Epoch 117	LOSS: 8.76	MAE: 45.24	RMSE: 51.91
Epoch 118	LOSS: 9.06	MAE: 45.21	RMSE: 51.88
Epoch 119	LOSS: 8.96	MAE: 45.22	RMSE: 51.89
Epoch 120	LOSS: 8.87	MAE: 45.27	RMSE: 51.93
Epoch 121	LOSS: 8.88	MAE: 45.24	RMSE: 51.92
Epoch 122	LOSS: 8.91	MAE: 45.24	RMSE: 51.92
Epoch 123	LOSS: 9.02	MAE: 45.22	RMSE: 51.89
Epoch 124	LOSS: 8.83	MAE: 45.19	RMSE: 51.87
Epoch 125	LOSS: 9.04	MAE: 45.22	RMSE: 51.88
Epoch 126	LOSS: 8.88	MAE: 45.18	RMSE: 51.85
Epoch 127	LOSS: 8.87	MAE: 45.17	RMSE: 51.83
Epoch 128	LOSS: 8.90	MAE: 45.13	RMSE: 51.80
Epoch 129	LOSS: 9.09	MAE: 45.14	RMSE: 51.81
Epoch 130	LOSS: 8.91	MAE: 45.15	RMSE: 51.81
Epoch 131	LOSS: 8.85	MAE: 45.12	RMSE: 51.79
Epoch 132	LOSS: 8.83	MAE: 45.11	RMSE: 51.77
Epoch 133	LOSS: 8.89	MAE: 45.11	RMSE: 51.76
Epoch 134	LOSS: 8.88	MAE: 45.08	RMSE: 51.74
Epoch 135	LOSS: 8.86	MAE: 45.06	RMSE: 51.72
Epoch 136	LOSS: 8.94	MAE: 45.05	RMSE: 51.71
Epoch 137	LOSS: 8.93	MAE: 45.06	RMSE: 51.71
Epoch 138	LOSS: 8.96	MAE: 45.06	RMSE: 51.71
Epoch 139	LOSS: 9.04	MAE: 45.04	RMSE: 51.70
