Epoch 000	LOSS: 124.23	MAE: 62.24	RMSE: 63.00
Epoch 001	LOSS: 123.30	MAE: 61.84	RMSE: 62.61
Epoch 002	LOSS: 120.76	MAE: 60.69	RMSE: 61.48
Epoch 003	LOSS: 114.14	MAE: 57.98	RMSE: 58.82
Epoch 004	LOSS: 100.72	MAE: 52.21	RMSE: 53.20
Epoch 005	LOSS: 76.79	MAE: 41.65	RMSE: 42.99
Epoch 006	LOSS: 40.50	MAE: 25.12	RMSE: 27.59
Epoch 007	LOSS: 22.61	MAE: 13.58	RMSE: 19.14
Epoch 008	LOSS: 33.61	MAE: 18.54	RMSE: 22.07
Epoch 009	LOSS: 12.79	MAE: 11.63	RMSE: 19.43
Epoch 010	LOSS: 15.61	MAE: 14.46	RMSE: 20.92
Epoch 011	LOSS: 10.76	MAE: 11.69	RMSE: 20.36
Epoch 012	LOSS: 11.92	MAE: 11.66	RMSE: 20.55
Epoch 013	LOSS: 10.85	MAE: 12.10	RMSE: 20.89
Epoch 014	LOSS: 10.10	MAE: 11.73	RMSE: 21.10
Epoch 015	LOSS: 9.95	MAE: 11.97	RMSE: 21.26
Epoch 016	LOSS: 10.22	MAE: 11.89	RMSE: 21.47
Epoch 017	LOSS: 10.08	MAE: 12.13	RMSE: 21.64
Epoch 018	LOSS: 9.53	MAE: 12.01	RMSE: 21.76
Epoch 019	LOSS: 9.84	MAE: 12.16	RMSE: 21.87
Epoch 020	LOSS: 9.61	MAE: 12.16	RMSE: 21.96
Epoch 021	LOSS: 9.52	MAE: 12.13	RMSE: 22.03
Epoch 022	LOSS: 9.90	MAE: 12.23	RMSE: 22.14
Epoch 023	LOSS: 9.50	MAE: 12.19	RMSE: 22.19
Epoch 024	LOSS: 9.65	MAE: 12.24	RMSE: 22.29
Epoch 025	LOSS: 9.45	MAE: 12.26	RMSE: 22.37
Epoch 026	LOSS: 9.33	MAE: 12.27	RMSE: 22.45
Epoch 027	LOSS: 9.54	MAE: 12.32	RMSE: 22.55
Epoch 028	LOSS: 9.16	MAE: 12.35	RMSE: 22.60
Epoch 029	LOSS: 9.39	MAE: 12.41	RMSE: 22.70
Epoch 030	LOSS: 9.31	MAE: 12.42	RMSE: 22.74
Epoch 031	LOSS: 9.46	MAE: 12.43	RMSE: 22.79
Epoch 032	LOSS: 9.41	MAE: 12.45	RMSE: 22.85
Epoch 033	LOSS: 9.31	MAE: 12.47	RMSE: 22.91
Epoch 034	LOSS: 9.37	MAE: 12.49	RMSE: 22.96
Epoch 035	LOSS: 9.38	MAE: 12.52	RMSE: 22.99
Epoch 036	LOSS: 9.41	MAE: 12.51	RMSE: 23.06
Epoch 037	LOSS: 9.20	MAE: 12.53	RMSE: 23.10
Epoch 038	LOSS: 9.05	MAE: 12.58	RMSE: 23.17
Epoch 039	LOSS: 9.09	MAE: 12.59	RMSE: 23.21
Epoch 040	LOSS: 9.22	MAE: 12.60	RMSE: 23.28
Epoch 041	LOSS: 9.14	MAE: 12.68	RMSE: 23.33
Epoch 042	LOSS: 9.03	MAE: 12.66	RMSE: 23.39
Epoch 043	LOSS: 8.87	MAE: 12.66	RMSE: 23.44
Epoch 044	LOSS: 9.43	MAE: 12.69	RMSE: 23.48
Epoch 045	LOSS: 9.23	MAE: 12.69	RMSE: 23.51
Epoch 046	LOSS: 9.13	MAE: 12.71	RMSE: 23.56
Epoch 047	LOSS: 9.27	MAE: 12.70	RMSE: 23.59
Epoch 048	LOSS: 9.07	MAE: 12.71	RMSE: 23.62
Epoch 049	LOSS: 9.19	MAE: 12.75	RMSE: 23.67
Epoch 050	LOSS: 9.34	MAE: 12.77	RMSE: 23.72
Epoch 051	LOSS: 9.14	MAE: 12.82	RMSE: 23.80
Epoch 052	LOSS: 9.20	MAE: 12.83	RMSE: 23.82
Epoch 053	LOSS: 9.06	MAE: 12.84	RMSE: 23.86
Epoch 054	LOSS: 9.10	MAE: 12.84	RMSE: 23.92
Epoch 055	LOSS: 9.01	MAE: 12.86	RMSE: 23.94
Epoch 056	LOSS: 9.00	MAE: 12.89	RMSE: 23.97
Epoch 057	LOSS: 9.01	MAE: 12.90	RMSE: 24.02
Epoch 058	LOSS: 9.00	MAE: 12.90	RMSE: 24.06
Epoch 059	LOSS: 8.95	MAE: 12.89	RMSE: 24.09
Epoch 060	LOSS: 8.88	MAE: 12.92	RMSE: 24.14
Epoch 061	LOSS: 8.97	MAE: 12.92	RMSE: 24.15
Epoch 062	LOSS: 9.14	MAE: 12.95	RMSE: 24.18
Epoch 063	LOSS: 8.90	MAE: 12.96	RMSE: 24.20
Epoch 064	LOSS: 8.91	MAE: 12.95	RMSE: 24.20
Epoch 065	LOSS: 8.97	MAE: 12.96	RMSE: 24.25
Epoch 066	LOSS: 8.74	MAE: 12.99	RMSE: 24.27
Epoch 067	LOSS: 9.02	MAE: 13.03	RMSE: 24.32
Epoch 068	LOSS: 8.73	MAE: 13.02	RMSE: 24.31
Epoch 069	LOSS: 8.98	MAE: 13.08	RMSE: 24.34
Epoch 070	LOSS: 8.92	MAE: 13.08	RMSE: 24.35
Epoch 071	LOSS: 8.89	MAE: 13.05	RMSE: 24.42
Epoch 072	LOSS: 9.15	MAE: 13.05	RMSE: 24.47
Epoch 073	LOSS: 8.83	MAE: 13.04	RMSE: 24.46
Epoch 074	LOSS: 9.09	MAE: 13.06	RMSE: 24.49
Epoch 075	LOSS: 8.71	MAE: 13.06	RMSE: 24.48
Epoch 076	LOSS: 8.84	MAE: 13.07	RMSE: 24.50
Epoch 077	LOSS: 8.72	MAE: 13.09	RMSE: 24.51
Epoch 078	LOSS: 8.63	MAE: 13.06	RMSE: 24.52
Epoch 079	LOSS: 9.14	MAE: 13.07	RMSE: 24.55
Epoch 080	LOSS: 8.93	MAE: 13.10	RMSE: 24.57
Epoch 081	LOSS: 8.62	MAE: 13.11	RMSE: 24.60
Epoch 082	LOSS: 8.77	MAE: 13.13	RMSE: 24.64
Epoch 083	LOSS: 8.83	MAE: 13.14	RMSE: 24.68
Epoch 084	LOSS: 8.85	MAE: 13.15	RMSE: 24.72
Epoch 085	LOSS: 8.73	MAE: 13.18	RMSE: 24.74
Epoch 086	LOSS: 8.87	MAE: 13.17	RMSE: 24.76
Epoch 087	LOSS: 8.80	MAE: 13.18	RMSE: 24.78
Epoch 088	LOSS: 8.71	MAE: 13.19	RMSE: 24.81
Epoch 089	LOSS: 8.98	MAE: 13.20	RMSE: 24.85
Epoch 090	LOSS: 8.87	MAE: 13.23	RMSE: 24.87
Epoch 091	LOSS: 8.95	MAE: 13.25	RMSE: 24.89
Epoch 092	LOSS: 8.81	MAE: 13.24	RMSE: 24.88
Epoch 093	LOSS: 8.86	MAE: 13.23	RMSE: 24.92
Epoch 094	LOSS: 9.03	MAE: 13.25	RMSE: 24.98
Epoch 095	LOSS: 8.61	MAE: 13.25	RMSE: 24.99
Epoch 096	LOSS: 8.74	MAE: 13.28	RMSE: 24.97
Epoch 097	LOSS: 8.82	MAE: 13.31	RMSE: 24.98
Epoch 098	LOSS: 8.79	MAE: 13.31	RMSE: 24.98
Epoch 099	LOSS: 8.98	MAE: 13.30	RMSE: 25.01
Epoch 100	LOSS: 8.45	MAE: 13.32	RMSE: 25.04
Epoch 101	LOSS: 8.66	MAE: 13.32	RMSE: 25.04
Epoch 102	LOSS: 9.00	MAE: 13.33	RMSE: 25.07
Epoch 103	LOSS: 8.49	MAE: 13.32	RMSE: 25.09
Epoch 104	LOSS: 8.80	MAE: 13.32	RMSE: 25.11
Epoch 105	LOSS: 8.73	MAE: 13.32	RMSE: 25.12
Epoch 106	LOSS: 8.58	MAE: 13.33	RMSE: 25.13
Epoch 107	LOSS: 8.96	MAE: 13.34	RMSE: 25.14
Epoch 108	LOSS: 8.56	MAE: 13.33	RMSE: 25.12
Epoch 109	LOSS: 8.91	MAE: 13.34	RMSE: 25.13
Epoch 110	LOSS: 8.72	MAE: 13.33	RMSE: 25.14
Epoch 111	LOSS: 8.80	MAE: 13.32	RMSE: 25.15
Epoch 112	LOSS: 8.69	MAE: 13.35	RMSE: 25.16
Epoch 113	LOSS: 8.77	MAE: 13.36	RMSE: 25.16
Epoch 114	LOSS: 8.49	MAE: 13.34	RMSE: 25.15
Epoch 115	LOSS: 8.56	MAE: 13.35	RMSE: 25.15
Epoch 116	LOSS: 8.52	MAE: 13.34	RMSE: 25.15
Epoch 117	LOSS: 8.56	MAE: 13.34	RMSE: 25.15
Epoch 118	LOSS: 8.74	MAE: 13.33	RMSE: 25.15
Epoch 119	LOSS: 8.84	MAE: 13.34	RMSE: 25.14
Epoch 120	LOSS: 8.79	MAE: 13.32	RMSE: 25.14
Epoch 121	LOSS: 8.64	MAE: 13.34	RMSE: 25.14
Epoch 122	LOSS: 8.68	MAE: 13.32	RMSE: 25.14
Epoch 123	LOSS: 8.88	MAE: 13.34	RMSE: 25.14
Epoch 124	LOSS: 8.72	MAE: 13.33	RMSE: 25.16
Epoch 125	LOSS: 8.68	MAE: 13.30	RMSE: 25.14
Epoch 126	LOSS: 8.77	MAE: 13.35	RMSE: 25.14
Epoch 127	LOSS: 8.64	MAE: 13.32	RMSE: 25.14
Epoch 128	LOSS: 8.85	MAE: 13.32	RMSE: 25.16
Epoch 129	LOSS: 8.62	MAE: 13.33	RMSE: 25.17
Epoch 130	LOSS: 8.64	MAE: 13.31	RMSE: 25.16
Epoch 131	LOSS: 8.82	MAE: 13.32	RMSE: 25.15
Epoch 132	LOSS: 8.78	MAE: 13.36	RMSE: 25.16
Epoch 133	LOSS: 8.72	MAE: 13.35	RMSE: 25.16
Epoch 134	LOSS: 8.87	MAE: 13.33	RMSE: 25.17
Epoch 135	LOSS: 8.74	MAE: 13.33	RMSE: 25.17
Epoch 136	LOSS: 8.72	MAE: 13.33	RMSE: 25.16
Epoch 137	LOSS: 8.68	MAE: 13.36	RMSE: 25.13
Epoch 138	LOSS: 8.60	MAE: 13.36	RMSE: 25.15
Epoch 139	LOSS: 8.64	MAE: 13.33	RMSE: 25.18
Epoch 140	LOSS: 8.71	MAE: 13.32	RMSE: 25.17
Epoch 141	LOSS: 8.80	MAE: 13.33	RMSE: 25.18
Epoch 142	LOSS: 8.68	MAE: 13.34	RMSE: 25.19
Epoch 143	LOSS: 8.72	MAE: 13.33	RMSE: 25.21
Epoch 144	LOSS: 8.47	MAE: 13.33	RMSE: 25.20
Epoch 145	LOSS: 8.49	MAE: 13.32	RMSE: 25.17
Epoch 146	LOSS: 8.74	MAE: 13.32	RMSE: 25.17
Epoch 147	LOSS: 8.85	MAE: 13.31	RMSE: 25.17
Epoch 148	LOSS: 8.74	MAE: 13.32	RMSE: 25.16
Epoch 149	LOSS: 8.58	MAE: 13.34	RMSE: 25.15
Epoch 150	LOSS: 8.76	MAE: 13.36	RMSE: 25.15
Epoch 151	LOSS: 8.65	MAE: 13.35	RMSE: 25.16
Epoch 152	LOSS: 8.70	MAE: 13.31	RMSE: 25.15
Epoch 153	LOSS: 8.42	MAE: 13.30	RMSE: 25.16
Epoch 154	LOSS: 8.54	MAE: 13.31	RMSE: 25.16
Epoch 155	LOSS: 8.68	MAE: 13.34	RMSE: 25.15
Epoch 156	LOSS: 8.70	MAE: 13.32	RMSE: 25.15
Epoch 157	LOSS: 8.69	MAE: 13.32	RMSE: 25.19
Epoch 158	LOSS: 8.60	MAE: 13.32	RMSE: 25.18
Epoch 159	LOSS: 8.46	MAE: 13.31	RMSE: 25.17
Epoch 160	LOSS: 8.85	MAE: 13.31	RMSE: 25.18
Epoch 161	LOSS: 8.48	MAE: 13.30	RMSE: 25.17
Epoch 162	LOSS: 8.54	MAE: 13.32	RMSE: 25.17
Epoch 163	LOSS: 8.65	MAE: 13.32	RMSE: 25.15
Epoch 164	LOSS: 8.65	MAE: 13.31	RMSE: 25.16
Epoch 165	LOSS: 8.52	MAE: 13.31	RMSE: 25.16
Epoch 166	LOSS: 8.47	MAE: 13.30	RMSE: 25.15
Epoch 167	LOSS: 8.71	MAE: 13.31	RMSE: 25.17
Epoch 168	LOSS: 8.57	MAE: 13.30	RMSE: 25.16
Epoch 169	LOSS: 8.54	MAE: 13.30	RMSE: 25.15
Epoch 170	LOSS: 8.76	MAE: 13.31	RMSE: 25.15
Epoch 171	LOSS: 8.69	MAE: 13.30	RMSE: 25.15
Epoch 172	LOSS: 8.49	MAE: 13.29	RMSE: 25.17
Epoch 173	LOSS: 8.45	MAE: 13.30	RMSE: 25.16
Epoch 174	LOSS: 8.47	MAE: 13.29	RMSE: 25.16
Epoch 175	LOSS: 8.44	MAE: 13.28	RMSE: 25.15
Epoch 176	LOSS: 8.55	MAE: 13.32	RMSE: 25.13
Epoch 177	LOSS: 8.45	MAE: 13.28	RMSE: 25.14
Epoch 178	LOSS: 8.53	MAE: 13.26	RMSE: 25.15
Epoch 179	LOSS: 8.38	MAE: 13.26	RMSE: 25.15
Epoch 180	LOSS: 8.36	MAE: 13.31	RMSE: 25.12
Epoch 181	LOSS: 8.75	MAE: 13.30	RMSE: 25.14
Epoch 182	LOSS: 8.55	MAE: 13.27	RMSE: 25.19
Epoch 183	LOSS: 8.66	MAE: 13.26	RMSE: 25.17
Epoch 184	LOSS: 8.51	MAE: 13.26	RMSE: 25.15
Epoch 185	LOSS: 8.35	MAE: 13.26	RMSE: 25.12
Epoch 186	LOSS: 8.46	MAE: 13.28	RMSE: 25.14
Epoch 187	LOSS: 8.52	MAE: 13.28	RMSE: 25.16
Epoch 188	LOSS: 8.47	MAE: 13.25	RMSE: 25.16
Epoch 189	LOSS: 8.43	MAE: 13.25	RMSE: 25.16
Epoch 190	LOSS: 8.41	MAE: 13.25	RMSE: 25.14
Epoch 191	LOSS: 8.22	MAE: 13.25	RMSE: 25.13
Epoch 192	LOSS: 8.56	MAE: 13.24	RMSE: 25.14
Epoch 193	LOSS: 8.40	MAE: 13.24	RMSE: 25.15
Epoch 194	LOSS: 8.50	MAE: 13.23	RMSE: 25.15
Epoch 195	LOSS: 8.36	MAE: 13.24	RMSE: 25.12
Epoch 196	LOSS: 8.37	MAE: 13.26	RMSE: 25.13
Epoch 197	LOSS: 8.22	MAE: 13.24	RMSE: 25.13
Epoch 198	LOSS: 8.51	MAE: 13.23	RMSE: 25.14
Epoch 199	LOSS: 8.38	MAE: 13.19	RMSE: 25.12
Epoch 200	LOSS: 8.43	MAE: 13.19	RMSE: 25.12
Epoch 201	LOSS: 8.44	MAE: 13.20	RMSE: 25.11
Epoch 202	LOSS: 8.25	MAE: 13.21	RMSE: 25.11
Epoch 203	LOSS: 8.31	MAE: 13.20	RMSE: 25.11
Epoch 204	LOSS: 8.43	MAE: 13.19	RMSE: 25.12
Epoch 205	LOSS: 8.23	MAE: 13.19	RMSE: 25.13
Epoch 206	LOSS: 8.37	MAE: 13.17	RMSE: 25.11
Epoch 207	LOSS: 8.28	MAE: 13.17	RMSE: 25.11
Epoch 208	LOSS: 8.26	MAE: 13.18	RMSE: 25.11
Epoch 209	LOSS: 8.08	MAE: 13.19	RMSE: 25.11
Epoch 210	LOSS: 8.25	MAE: 13.17	RMSE: 25.11
Epoch 211	LOSS: 8.10	MAE: 13.16	RMSE: 25.10
Epoch 212	LOSS: 8.33	MAE: 13.19	RMSE: 25.09
Epoch 213	LOSS: 8.08	MAE: 13.16	RMSE: 25.09
Epoch 214	LOSS: 8.45	MAE: 13.15	RMSE: 25.10
Epoch 215	LOSS: 8.08	MAE: 13.15	RMSE: 25.09
Epoch 216	LOSS: 8.26	MAE: 13.16	RMSE: 25.08
Epoch 217	LOSS: 8.26	MAE: 13.16	RMSE: 25.09
Epoch 218	LOSS: 8.21	MAE: 13.15	RMSE: 25.07
Epoch 219	LOSS: 8.12	MAE: 13.20	RMSE: 25.06
Epoch 220	LOSS: 8.15	MAE: 13.17	RMSE: 25.06
Epoch 221	LOSS: 8.16	MAE: 13.14	RMSE: 25.07
Epoch 222	LOSS: 8.12	MAE: 13.13	RMSE: 25.09
Epoch 223	LOSS: 8.23	MAE: 13.14	RMSE: 25.07
Epoch 224	LOSS: 8.24	MAE: 13.14	RMSE: 25.09
Epoch 225	LOSS: 8.11	MAE: 13.14	RMSE: 25.08
Epoch 226	LOSS: 8.06	MAE: 13.14	RMSE: 25.09
Epoch 227	LOSS: 8.11	MAE: 13.12	RMSE: 25.09
Epoch 228	LOSS: 8.08	MAE: 13.14	RMSE: 25.10
Epoch 229	LOSS: 8.02	MAE: 13.15	RMSE: 25.08
Epoch 230	LOSS: 7.77	MAE: 13.13	RMSE: 25.08
Epoch 231	LOSS: 8.01	MAE: 13.13	RMSE: 25.07
Epoch 232	LOSS: 8.02	MAE: 13.12	RMSE: 25.09
Epoch 233	LOSS: 8.09	MAE: 13.10	RMSE: 25.09
Epoch 234	LOSS: 8.01	MAE: 13.12	RMSE: 25.08
Epoch 235	LOSS: 7.90	MAE: 13.14	RMSE: 25.07
Epoch 236	LOSS: 8.02	MAE: 13.14	RMSE: 25.07
Epoch 237	LOSS: 7.94	MAE: 13.11	RMSE: 25.06
Epoch 238	LOSS: 8.04	MAE: 13.11	RMSE: 25.07
Epoch 239	LOSS: 7.94	MAE: 13.09	RMSE: 25.07
Epoch 240	LOSS: 8.02	MAE: 13.08	RMSE: 25.06
Epoch 241	LOSS: 8.07	MAE: 13.07	RMSE: 25.06
Epoch 242	LOSS: 7.85	MAE: 13.08	RMSE: 25.05
Epoch 243	LOSS: 7.83	MAE: 13.10	RMSE: 25.07
Epoch 244	LOSS: 7.84	MAE: 13.11	RMSE: 25.07
Epoch 245	LOSS: 7.71	MAE: 13.10	RMSE: 25.05
Epoch 246	LOSS: 7.94	MAE: 13.11	RMSE: 25.06
Epoch 247	LOSS: 7.97	MAE: 13.10	RMSE: 25.07
Epoch 248	LOSS: 7.83	MAE: 13.06	RMSE: 25.08
Epoch 249	LOSS: 7.78	MAE: 13.08	RMSE: 25.09
Epoch 250	LOSS: 7.77	MAE: 13.12	RMSE: 25.06
Epoch 251	LOSS: 7.73	MAE: 13.14	RMSE: 25.10
Epoch 252	LOSS: 7.64	MAE: 13.11	RMSE: 25.12
Epoch 253	LOSS: 7.72	MAE: 13.08	RMSE: 25.14
Epoch 254	LOSS: 7.81	MAE: 13.09	RMSE: 25.13
Epoch 255	LOSS: 7.79	MAE: 13.09	RMSE: 25.13
Epoch 256	LOSS: 7.53	MAE: 13.11	RMSE: 25.13
Epoch 257	LOSS: 7.56	MAE: 13.13	RMSE: 25.12
Epoch 258	LOSS: 7.80	MAE: 13.09	RMSE: 25.12
Epoch 259	LOSS: 7.68	MAE: 13.06	RMSE: 25.15
