Epoch 000	LOSS: 124.40	MAE: 62.24	RMSE: 63.00
Epoch 001	LOSS: 123.23	MAE: 61.90	RMSE: 62.67
Epoch 002	LOSS: 120.23	MAE: 60.96	RMSE: 61.74
Epoch 003	LOSS: 115.15	MAE: 58.66	RMSE: 59.48
Epoch 004	LOSS: 104.71	MAE: 53.73	RMSE: 54.66
Epoch 005	LOSS: 84.37	MAE: 44.60	RMSE: 45.80
Epoch 006	LOSS: 50.80	MAE: 29.57	RMSE: 31.36
Epoch 007	LOSS: 17.23	MAE: 11.75	RMSE: 17.21
Epoch 008	LOSS: 31.67	MAE: 17.04	RMSE: 20.73
Epoch 009	LOSS: 15.14	MAE: 12.50	RMSE: 19.34
Epoch 010	LOSS: 14.92	MAE: 14.22	RMSE: 20.98
Epoch 011	LOSS: 11.14	MAE: 12.08	RMSE: 20.74
Epoch 012	LOSS: 11.44	MAE: 12.22	RMSE: 21.44
Epoch 013	LOSS: 10.89	MAE: 12.72	RMSE: 22.25
Epoch 014	LOSS: 10.13	MAE: 12.70	RMSE: 22.84
Epoch 015	LOSS: 10.00	MAE: 12.97	RMSE: 23.41
Epoch 016	LOSS: 9.65	MAE: 12.99	RMSE: 23.74
Epoch 017	LOSS: 9.72	MAE: 13.21	RMSE: 24.10
Epoch 018	LOSS: 9.48	MAE: 13.22	RMSE: 24.24
Epoch 019	LOSS: 9.80	MAE: 13.34	RMSE: 24.36
Epoch 020	LOSS: 9.54	MAE: 13.28	RMSE: 24.45
Epoch 021	LOSS: 9.42	MAE: 13.33	RMSE: 24.52
Epoch 022	LOSS: 9.25	MAE: 13.31	RMSE: 24.56
Epoch 023	LOSS: 9.47	MAE: 13.34	RMSE: 24.60
Epoch 024	LOSS: 9.51	MAE: 13.44	RMSE: 24.62
Epoch 025	LOSS: 9.73	MAE: 13.42	RMSE: 24.69
Epoch 026	LOSS: 9.69	MAE: 13.41	RMSE: 24.69
Epoch 027	LOSS: 9.70	MAE: 13.42	RMSE: 24.76
Epoch 028	LOSS: 9.61	MAE: 13.54	RMSE: 24.81
Epoch 029	LOSS: 9.45	MAE: 13.43	RMSE: 24.85
Epoch 030	LOSS: 9.46	MAE: 13.46	RMSE: 24.87
Epoch 031	LOSS: 9.60	MAE: 13.53	RMSE: 24.89
Epoch 032	LOSS: 9.53	MAE: 13.51	RMSE: 24.94
Epoch 033	LOSS: 9.42	MAE: 13.56	RMSE: 25.00
Epoch 034	LOSS: 9.71	MAE: 13.54	RMSE: 25.07
Epoch 035	LOSS: 9.33	MAE: 13.51	RMSE: 25.08
Epoch 036	LOSS: 9.41	MAE: 13.47	RMSE: 25.04
Epoch 037	LOSS: 9.58	MAE: 13.64	RMSE: 25.07
Epoch 038	LOSS: 9.29	MAE: 13.52	RMSE: 25.16
Epoch 039	LOSS: 9.32	MAE: 13.54	RMSE: 25.22
Epoch 040	LOSS: 9.47	MAE: 13.60	RMSE: 25.27
Epoch 041	LOSS: 9.47	MAE: 13.69	RMSE: 25.28
Epoch 042	LOSS: 9.35	MAE: 13.61	RMSE: 25.32
Epoch 043	LOSS: 9.42	MAE: 13.60	RMSE: 25.36
Epoch 044	LOSS: 9.37	MAE: 13.64	RMSE: 25.40
Epoch 045	LOSS: 9.30	MAE: 13.68	RMSE: 25.47
Epoch 046	LOSS: 9.19	MAE: 13.74	RMSE: 25.50
Epoch 047	LOSS: 9.50	MAE: 13.74	RMSE: 25.54
Epoch 048	LOSS: 9.45	MAE: 13.70	RMSE: 25.57
Epoch 049	LOSS: 9.31	MAE: 13.75	RMSE: 25.63
Epoch 050	LOSS: 9.58	MAE: 13.73	RMSE: 25.68
Epoch 051	LOSS: 9.41	MAE: 13.83	RMSE: 25.69
Epoch 052	LOSS: 9.41	MAE: 13.81	RMSE: 25.69
Epoch 053	LOSS: 9.30	MAE: 13.81	RMSE: 25.68
Epoch 054	LOSS: 9.16	MAE: 13.73	RMSE: 25.68
Epoch 055	LOSS: 9.23	MAE: 13.74	RMSE: 25.73
Epoch 056	LOSS: 9.05	MAE: 13.76	RMSE: 25.78
Epoch 057	LOSS: 9.12	MAE: 13.79	RMSE: 25.80
Epoch 058	LOSS: 9.23	MAE: 13.80	RMSE: 25.82
Epoch 059	LOSS: 9.05	MAE: 13.83	RMSE: 25.84
Epoch 060	LOSS: 9.36	MAE: 13.81	RMSE: 25.88
Epoch 061	LOSS: 8.98	MAE: 13.75	RMSE: 25.89
Epoch 062	LOSS: 9.11	MAE: 13.82	RMSE: 25.88
Epoch 063	LOSS: 8.92	MAE: 13.79	RMSE: 25.89
Epoch 064	LOSS: 9.10	MAE: 13.80	RMSE: 25.89
Epoch 065	LOSS: 8.82	MAE: 13.86	RMSE: 25.91
Epoch 066	LOSS: 9.24	MAE: 13.79	RMSE: 25.92
Epoch 067	LOSS: 9.04	MAE: 13.76	RMSE: 25.96
Epoch 068	LOSS: 9.17	MAE: 13.76	RMSE: 25.96
Epoch 069	LOSS: 9.06	MAE: 13.81	RMSE: 25.96
Epoch 070	LOSS: 8.90	MAE: 13.80	RMSE: 25.96
Epoch 071	LOSS: 9.18	MAE: 13.77	RMSE: 25.97
Epoch 072	LOSS: 9.05	MAE: 13.80	RMSE: 26.01
Epoch 073	LOSS: 8.85	MAE: 13.81	RMSE: 26.01
Epoch 074	LOSS: 8.98	MAE: 13.85	RMSE: 26.01
Epoch 075	LOSS: 8.85	MAE: 13.81	RMSE: 26.01
Epoch 076	LOSS: 9.15	MAE: 13.77	RMSE: 26.04
Epoch 077	LOSS: 8.82	MAE: 13.80	RMSE: 26.03
Epoch 078	LOSS: 8.82	MAE: 13.76	RMSE: 26.04
Epoch 079	LOSS: 8.87	MAE: 13.79	RMSE: 26.05
Epoch 080	LOSS: 8.97	MAE: 13.86	RMSE: 26.08
Epoch 081	LOSS: 9.06	MAE: 13.79	RMSE: 26.11
Epoch 082	LOSS: 8.96	MAE: 13.82	RMSE: 26.13
Epoch 083	LOSS: 9.00	MAE: 13.82	RMSE: 26.14
Epoch 084	LOSS: 9.03	MAE: 13.78	RMSE: 26.14
Epoch 085	LOSS: 8.92	MAE: 13.83	RMSE: 26.14
Epoch 086	LOSS: 9.04	MAE: 13.81	RMSE: 26.12
Epoch 087	LOSS: 9.10	MAE: 13.84	RMSE: 26.14
Epoch 088	LOSS: 8.98	MAE: 13.82	RMSE: 26.15
Epoch 089	LOSS: 8.79	MAE: 13.85	RMSE: 26.16
Epoch 090	LOSS: 9.05	MAE: 13.87	RMSE: 26.17
Epoch 091	LOSS: 9.13	MAE: 13.89	RMSE: 26.18
Epoch 092	LOSS: 9.04	MAE: 13.94	RMSE: 26.18
Epoch 093	LOSS: 8.98	MAE: 13.83	RMSE: 26.16
Epoch 094	LOSS: 9.00	MAE: 13.84	RMSE: 26.14
Epoch 095	LOSS: 8.99	MAE: 13.80	RMSE: 26.16
Epoch 096	LOSS: 8.88	MAE: 13.78	RMSE: 26.18
Epoch 097	LOSS: 8.95	MAE: 13.92	RMSE: 26.21
Epoch 098	LOSS: 8.90	MAE: 13.79	RMSE: 26.20
Epoch 099	LOSS: 8.90	MAE: 13.80	RMSE: 26.17
Epoch 100	LOSS: 9.01	MAE: 13.77	RMSE: 26.19
Epoch 101	LOSS: 8.86	MAE: 13.80	RMSE: 26.19
Epoch 102	LOSS: 9.10	MAE: 13.83	RMSE: 26.20
Epoch 103	LOSS: 8.81	MAE: 13.82	RMSE: 26.19
Epoch 104	LOSS: 8.87	MAE: 13.80	RMSE: 26.19
Epoch 105	LOSS: 9.07	MAE: 13.78	RMSE: 26.20
Epoch 106	LOSS: 8.90	MAE: 13.78	RMSE: 26.20
Epoch 107	LOSS: 8.73	MAE: 13.78	RMSE: 26.20
Epoch 108	LOSS: 8.91	MAE: 13.80	RMSE: 26.18
Epoch 109	LOSS: 8.78	MAE: 13.80	RMSE: 26.19
Epoch 110	LOSS: 8.99	MAE: 13.81	RMSE: 26.22
Epoch 111	LOSS: 8.87	MAE: 13.80	RMSE: 26.22
Epoch 112	LOSS: 8.89	MAE: 13.80	RMSE: 26.20
Epoch 113	LOSS: 8.98	MAE: 13.80	RMSE: 26.20
Epoch 114	LOSS: 8.86	MAE: 13.82	RMSE: 26.21
Epoch 115	LOSS: 8.81	MAE: 13.85	RMSE: 26.21
Epoch 116	LOSS: 9.11	MAE: 13.82	RMSE: 26.20
Epoch 117	LOSS: 9.09	MAE: 13.80	RMSE: 26.20
Epoch 118	LOSS: 8.91	MAE: 13.79	RMSE: 26.23
Epoch 119	LOSS: 8.91	MAE: 13.81	RMSE: 26.24
Epoch 120	LOSS: 8.91	MAE: 13.81	RMSE: 26.23
Epoch 121	LOSS: 9.03	MAE: 13.79	RMSE: 26.22
Epoch 122	LOSS: 8.93	MAE: 13.79	RMSE: 26.23
Epoch 123	LOSS: 9.03	MAE: 13.79	RMSE: 26.23
Epoch 124	LOSS: 8.85	MAE: 13.78	RMSE: 26.24
Epoch 125	LOSS: 9.14	MAE: 13.83	RMSE: 26.22
Epoch 126	LOSS: 8.89	MAE: 13.83	RMSE: 26.23
Epoch 127	LOSS: 8.72	MAE: 13.82	RMSE: 26.22
Epoch 128	LOSS: 8.91	MAE: 13.81	RMSE: 26.23
Epoch 129	LOSS: 8.92	MAE: 13.79	RMSE: 26.24
Epoch 130	LOSS: 9.09	MAE: 13.86	RMSE: 26.23
Epoch 131	LOSS: 8.86	MAE: 13.82	RMSE: 26.22
