Epoch 000	LOSS: 124.41	MAE: 62.24	RMSE: 63.00
Epoch 001	LOSS: 123.39	MAE: 61.87	RMSE: 62.64
Epoch 002	LOSS: 120.60	MAE: 60.81	RMSE: 61.59
Epoch 003	LOSS: 114.28	MAE: 58.21	RMSE: 59.04
Epoch 004	LOSS: 101.60	MAE: 52.90	RMSE: 53.88
Epoch 005	LOSS: 79.22	MAE: 43.15	RMSE: 44.54
Epoch 006	LOSS: 44.84	MAE: 27.55	RMSE: 30.25
Epoch 007	LOSS: 21.80	MAE: 13.58	RMSE: 20.45
Epoch 008	LOSS: 32.01	MAE: 19.12	RMSE: 23.72
Epoch 009	LOSS: 17.21	MAE: 13.60	RMSE: 22.05
Epoch 010	LOSS: 14.40	MAE: 15.19	RMSE: 23.15
Epoch 011	LOSS: 12.68	MAE: 12.99	RMSE: 22.75
Epoch 012	LOSS: 12.01	MAE: 12.73	RMSE: 22.85
Epoch 013	LOSS: 10.46	MAE: 13.08	RMSE: 23.15
Epoch 014	LOSS: 9.81	MAE: 12.83	RMSE: 23.27
Epoch 015	LOSS: 9.84	MAE: 12.96	RMSE: 23.40
Epoch 016	LOSS: 9.40	MAE: 12.96	RMSE: 23.53
Epoch 017	LOSS: 9.80	MAE: 12.95	RMSE: 23.66
Epoch 018	LOSS: 9.72	MAE: 12.97	RMSE: 23.72
Epoch 019	LOSS: 9.53	MAE: 12.99	RMSE: 23.79
Epoch 020	LOSS: 9.61	MAE: 12.98	RMSE: 23.82
Epoch 021	LOSS: 9.61	MAE: 13.01	RMSE: 23.82
Epoch 022	LOSS: 9.54	MAE: 12.99	RMSE: 23.87
Epoch 023	LOSS: 9.12	MAE: 12.97	RMSE: 23.84
Epoch 024	LOSS: 9.66	MAE: 12.98	RMSE: 23.87
Epoch 025	LOSS: 9.33	MAE: 13.01	RMSE: 23.89
Epoch 026	LOSS: 9.21	MAE: 12.99	RMSE: 23.89
Epoch 027	LOSS: 9.21	MAE: 13.00	RMSE: 23.92
Epoch 028	LOSS: 9.14	MAE: 13.06	RMSE: 23.93
Epoch 029	LOSS: 9.27	MAE: 12.99	RMSE: 23.94
Epoch 030	LOSS: 9.18	MAE: 12.96	RMSE: 23.88
Epoch 031	LOSS: 9.16	MAE: 12.95	RMSE: 23.87
Epoch 032	LOSS: 9.26	MAE: 13.02	RMSE: 23.98
Epoch 033	LOSS: 8.93	MAE: 13.02	RMSE: 24.06
Epoch 034	LOSS: 8.85	MAE: 13.02	RMSE: 24.12
Epoch 035	LOSS: 8.96	MAE: 13.05	RMSE: 24.15
Epoch 036	LOSS: 9.20	MAE: 13.03	RMSE: 24.18
Epoch 037	LOSS: 9.04	MAE: 13.04	RMSE: 24.22
Epoch 038	LOSS: 8.89	MAE: 13.05	RMSE: 24.27
