Epoch 000	LOSS: 124.03	MAE: 62.23	RMSE: 62.99
Epoch 001	LOSS: 122.73	MAE: 61.86	RMSE: 62.63
Epoch 002	LOSS: 120.38	MAE: 60.79	RMSE: 61.57
Epoch 003	LOSS: 114.61	MAE: 58.29	RMSE: 59.12
Epoch 004	LOSS: 102.75	MAE: 53.15	RMSE: 54.12
Epoch 005	LOSS: 81.44	MAE: 43.69	RMSE: 45.01
Epoch 006	LOSS: 48.19	MAE: 28.56	RMSE: 30.82
Epoch 007	LOSS: 20.70	MAE: 12.91	RMSE: 19.39
Epoch 008	LOSS: 32.11	MAE: 18.75	RMSE: 22.81
Epoch 009	LOSS: 19.55	MAE: 14.09	RMSE: 20.77
Epoch 010	LOSS: 14.09	MAE: 13.99	RMSE: 21.46
Epoch 011	LOSS: 13.07	MAE: 12.52	RMSE: 21.28
Epoch 012	LOSS: 11.27	MAE: 12.37	RMSE: 21.47
Epoch 013	LOSS: 10.10	MAE: 12.42	RMSE: 21.80
Epoch 014	LOSS: 9.87	MAE: 12.30	RMSE: 22.11
Epoch 015	LOSS: 9.77	MAE: 12.42	RMSE: 22.38
Epoch 016	LOSS: 9.54	MAE: 12.50	RMSE: 22.68
Epoch 017	LOSS: 9.40	MAE: 12.56	RMSE: 22.88
Epoch 018	LOSS: 9.40	MAE: 12.64	RMSE: 23.05
Epoch 019	LOSS: 9.86	MAE: 12.66	RMSE: 23.16
Epoch 020	LOSS: 9.74	MAE: 12.68	RMSE: 23.22
Epoch 021	LOSS: 9.68	MAE: 12.69	RMSE: 23.30
Epoch 022	LOSS: 9.59	MAE: 12.70	RMSE: 23.33
Epoch 023	LOSS: 9.41	MAE: 12.73	RMSE: 23.38
Epoch 024	LOSS: 9.26	MAE: 12.74	RMSE: 23.44
Epoch 025	LOSS: 9.25	MAE: 12.76	RMSE: 23.49
Epoch 026	LOSS: 9.18	MAE: 12.79	RMSE: 23.55
Epoch 027	LOSS: 9.16	MAE: 12.78	RMSE: 23.60
Epoch 028	LOSS: 9.19	MAE: 12.79	RMSE: 23.64
Epoch 029	LOSS: 9.13	MAE: 12.77	RMSE: 23.62
Epoch 030	LOSS: 9.39	MAE: 12.74	RMSE: 23.55
Epoch 031	LOSS: 9.06	MAE: 12.73	RMSE: 23.55
Epoch 032	LOSS: 8.98	MAE: 12.74	RMSE: 23.59
Epoch 033	LOSS: 9.08	MAE: 12.76	RMSE: 23.62
Epoch 034	LOSS: 9.14	MAE: 12.76	RMSE: 23.66
Epoch 035	LOSS: 9.06	MAE: 12.82	RMSE: 23.74
Epoch 036	LOSS: 9.07	MAE: 12.84	RMSE: 23.84
Epoch 037	LOSS: 9.12	MAE: 12.87	RMSE: 23.93
Epoch 038	LOSS: 8.87	MAE: 12.91	RMSE: 24.06
Epoch 039	LOSS: 9.01	MAE: 12.94	RMSE: 24.13
Epoch 040	LOSS: 8.94	MAE: 12.94	RMSE: 24.18
Epoch 041	LOSS: 8.91	MAE: 12.95	RMSE: 24.21
Epoch 042	LOSS: 8.75	MAE: 12.95	RMSE: 24.22
Epoch 043	LOSS: 9.06	MAE: 13.00	RMSE: 24.23
Epoch 044	LOSS: 8.85	MAE: 12.99	RMSE: 24.24
Epoch 045	LOSS: 9.05	MAE: 12.97	RMSE: 24.26
Epoch 046	LOSS: 8.88	MAE: 12.99	RMSE: 24.31
Epoch 047	LOSS: 8.94	MAE: 13.02	RMSE: 24.37
Epoch 048	LOSS: 8.81	MAE: 13.05	RMSE: 24.45
Epoch 049	LOSS: 8.66	MAE: 13.09	RMSE: 24.54
Epoch 050	LOSS: 8.99	MAE: 13.11	RMSE: 24.59
Epoch 051	LOSS: 8.93	MAE: 13.13	RMSE: 24.62
Epoch 052	LOSS: 8.68	MAE: 13.12	RMSE: 24.63
Epoch 053	LOSS: 8.57	MAE: 13.15	RMSE: 24.70
