Epoch 000	LOSS: 446.17	MAE: 255.19	RMSE: 298.07
Epoch 001	LOSS: 446.27	MAE: 255.17	RMSE: 298.05
Epoch 002	LOSS: 457.14	MAE: 255.14	RMSE: 298.02
Epoch 003	LOSS: 442.99	MAE: 255.09	RMSE: 297.98
Epoch 004	LOSS: 440.49	MAE: 255.01	RMSE: 297.91
Epoch 005	LOSS: 443.21	MAE: 254.90	RMSE: 297.81
Epoch 006	LOSS: 445.73	MAE: 254.73	RMSE: 297.67
Epoch 007	LOSS: 442.14	MAE: 254.50	RMSE: 297.47
Epoch 008	LOSS: 443.06	MAE: 254.17	RMSE: 297.19
Epoch 009	LOSS: 440.94	MAE: 253.70	RMSE: 296.79
Epoch 010	LOSS: 439.20	MAE: 253.01	RMSE: 296.20
Epoch 011	LOSS: 434.93	MAE: 252.00	RMSE: 295.33
Epoch 012	LOSS: 422.93	MAE: 250.28	RMSE: 293.85
Epoch 013	LOSS: 420.34	MAE: 247.78	RMSE: 291.70
Epoch 014	LOSS: 414.92	MAE: 244.33	RMSE: 288.72
Epoch 015	LOSS: 413.98	MAE: 240.00	RMSE: 284.96
Epoch 016	LOSS: 400.79	MAE: 234.31	RMSE: 279.98
Epoch 017	LOSS: 387.25	MAE: 227.55	RMSE: 274.02
Epoch 018	LOSS: 375.49	MAE: 219.69	RMSE: 267.02
Epoch 019	LOSS: 368.74	MAE: 210.99	RMSE: 259.12
Epoch 020	LOSS: 351.83	MAE: 201.34	RMSE: 250.16
Epoch 021	LOSS: 330.55	MAE: 191.18	RMSE: 240.46
Epoch 022	LOSS: 319.67	MAE: 180.51	RMSE: 229.87
Epoch 023	LOSS: 302.11	MAE: 169.68	RMSE: 218.63
Epoch 024	LOSS: 284.06	MAE: 159.19	RMSE: 207.08
Epoch 025	LOSS: 267.95	MAE: 148.99	RMSE: 195.15
Epoch 026	LOSS: 252.94	MAE: 139.31	RMSE: 183.13
Epoch 027	LOSS: 236.12	MAE: 130.59	RMSE: 171.63
Epoch 028	LOSS: 224.51	MAE: 123.31	RMSE: 161.30
Epoch 029	LOSS: 212.91	MAE: 118.07	RMSE: 152.91
Epoch 030	LOSS: 203.10	MAE: 115.16	RMSE: 147.27
Epoch 031	LOSS: 197.19	MAE: 114.34	RMSE: 144.74
Epoch 032	LOSS: 192.17	MAE: 114.08	RMSE: 143.82
Epoch 033	LOSS: 187.38	MAE: 113.42	RMSE: 143.14
Epoch 034	LOSS: 182.67	MAE: 111.77	RMSE: 141.87
Epoch 035	LOSS: 182.74	MAE: 109.26	RMSE: 139.85
Epoch 036	LOSS: 177.79	MAE: 107.06	RMSE: 138.16
Epoch 037	LOSS: 177.03	MAE: 104.87	RMSE: 136.38
Epoch 038	LOSS: 169.95	MAE: 102.62	RMSE: 134.47
Epoch 039	LOSS: 171.01	MAE: 100.29	RMSE: 132.34
Epoch 040	LOSS: 170.77	MAE: 97.83	RMSE: 129.98
Epoch 041	LOSS: 171.87	MAE: 95.43	RMSE: 127.52
Epoch 042	LOSS: 169.55	MAE: 93.55	RMSE: 125.50
Epoch 043	LOSS: 168.71	MAE: 92.03	RMSE: 123.75
Epoch 044	LOSS: 169.54	MAE: 90.80	RMSE: 122.22
Epoch 045	LOSS: 169.27	MAE: 89.90	RMSE: 120.98
Epoch 046	LOSS: 167.71	MAE: 89.32	RMSE: 120.01
Epoch 047	LOSS: 169.38	MAE: 89.20	RMSE: 119.40
Epoch 048	LOSS: 167.37	MAE: 89.22	RMSE: 119.01
Epoch 049	LOSS: 162.81	MAE: 89.31	RMSE: 118.71
Epoch 050	LOSS: 165.46	MAE: 89.30	RMSE: 118.48
Epoch 051	LOSS: 167.53	MAE: 89.49	RMSE: 118.43
Epoch 052	LOSS: 164.95	MAE: 89.52	RMSE: 118.29
Epoch 053	LOSS: 162.39	MAE: 89.31	RMSE: 118.05
Epoch 054	LOSS: 160.91	MAE: 88.97	RMSE: 117.75
Epoch 055	LOSS: 161.31	MAE: 88.56	RMSE: 117.47
Epoch 056	LOSS: 159.65	MAE: 88.10	RMSE: 117.18
Epoch 057	LOSS: 163.01	MAE: 87.66	RMSE: 116.92
Epoch 058	LOSS: 158.62	MAE: 87.23	RMSE: 116.57
Epoch 059	LOSS: 161.24	MAE: 86.86	RMSE: 116.36
Epoch 060	LOSS: 160.43	MAE: 86.49	RMSE: 116.13
Epoch 061	LOSS: 159.81	MAE: 86.31	RMSE: 116.03
Epoch 062	LOSS: 159.97	MAE: 86.00	RMSE: 115.83
Epoch 063	LOSS: 157.39	MAE: 85.68	RMSE: 115.59
Epoch 064	LOSS: 158.69	MAE: 85.48	RMSE: 115.42
Epoch 065	LOSS: 158.95	MAE: 85.21	RMSE: 115.25
Epoch 066	LOSS: 156.21	MAE: 84.95	RMSE: 115.11
Epoch 067	LOSS: 157.19	MAE: 84.71	RMSE: 115.02
Epoch 068	LOSS: 159.64	MAE: 84.61	RMSE: 115.03
Epoch 069	LOSS: 154.61	MAE: 84.29	RMSE: 114.81
Epoch 070	LOSS: 154.06	MAE: 84.22	RMSE: 114.69
Epoch 071	LOSS: 155.11	MAE: 84.34	RMSE: 114.64
Epoch 072	LOSS: 154.46	MAE: 84.22	RMSE: 114.49
Epoch 073	LOSS: 155.42	MAE: 84.11	RMSE: 114.32
Epoch 074	LOSS: 155.12	MAE: 83.97	RMSE: 114.19
Epoch 075	LOSS: 155.03	MAE: 84.04	RMSE: 114.23
Epoch 076	LOSS: 154.09	MAE: 83.96	RMSE: 114.15
Epoch 077	LOSS: 150.83	MAE: 83.79	RMSE: 114.06
Epoch 078	LOSS: 153.11	MAE: 84.08	RMSE: 114.38
Epoch 079	LOSS: 151.29	MAE: 83.95	RMSE: 114.25
Epoch 080	LOSS: 152.38	MAE: 83.56	RMSE: 113.90
Epoch 081	LOSS: 150.72	MAE: 83.77	RMSE: 113.82
Epoch 082	LOSS: 150.75	MAE: 83.89	RMSE: 113.69
Epoch 083	LOSS: 153.01	MAE: 83.94	RMSE: 113.61
Epoch 084	LOSS: 151.52	MAE: 83.86	RMSE: 113.61
Epoch 085	LOSS: 151.51	MAE: 83.52	RMSE: 113.47
Epoch 086	LOSS: 152.10	MAE: 83.34	RMSE: 113.40
Epoch 087	LOSS: 149.92	MAE: 83.08	RMSE: 113.31
Epoch 088	LOSS: 148.95	MAE: 82.89	RMSE: 113.22
Epoch 089	LOSS: 146.02	MAE: 82.65	RMSE: 113.10
Epoch 090	LOSS: 145.88	MAE: 82.47	RMSE: 112.76
Epoch 091	LOSS: 147.64	MAE: 82.55	RMSE: 112.54
Epoch 092	LOSS: 147.43	MAE: 82.88	RMSE: 112.52
Epoch 093	LOSS: 152.57	MAE: 83.12	RMSE: 112.51
Epoch 094	LOSS: 145.87	MAE: 83.18	RMSE: 112.46
Epoch 095	LOSS: 147.95	MAE: 83.06	RMSE: 112.27
Epoch 096	LOSS: 145.87	MAE: 82.83	RMSE: 112.02
Epoch 097	LOSS: 145.21	MAE: 82.79	RMSE: 112.03
Epoch 098	LOSS: 144.83	MAE: 82.40	RMSE: 111.69
Epoch 099	LOSS: 144.94	MAE: 81.97	RMSE: 111.47
Epoch 100	LOSS: 144.26	MAE: 81.40	RMSE: 111.22
Epoch 101	LOSS: 144.47	MAE: 80.99	RMSE: 111.10
Epoch 102	LOSS: 143.24	MAE: 80.81	RMSE: 110.95
Epoch 103	LOSS: 145.10	MAE: 80.53	RMSE: 110.59
Epoch 104	LOSS: 140.77	MAE: 80.48	RMSE: 110.49
Epoch 105	LOSS: 142.35	MAE: 80.45	RMSE: 110.39
Epoch 106	LOSS: 143.38	MAE: 80.41	RMSE: 110.11
Epoch 107	LOSS: 141.13	MAE: 80.63	RMSE: 109.96
Epoch 108	LOSS: 140.89	MAE: 80.87	RMSE: 109.89
