Epoch 000	LOSS: 451.21	MAE: 255.19	RMSE: 298.06
Epoch 001	LOSS: 450.73	MAE: 255.17	RMSE: 298.05
Epoch 002	LOSS: 444.80	MAE: 255.13	RMSE: 298.02
Epoch 003	LOSS: 440.19	MAE: 255.08	RMSE: 297.97
Epoch 004	LOSS: 446.84	MAE: 255.00	RMSE: 297.90
Epoch 005	LOSS: 448.89	MAE: 254.89	RMSE: 297.80
Epoch 006	LOSS: 447.88	MAE: 254.73	RMSE: 297.66
Epoch 007	LOSS: 446.10	MAE: 254.50	RMSE: 297.47
Epoch 008	LOSS: 439.16	MAE: 254.17	RMSE: 297.18
Epoch 009	LOSS: 445.38	MAE: 253.65	RMSE: 296.73
Epoch 010	LOSS: 436.51	MAE: 253.02	RMSE: 296.19
Epoch 011	LOSS: 436.05	MAE: 252.31	RMSE: 295.57
Epoch 012	LOSS: 435.97	MAE: 251.54	RMSE: 294.90
Epoch 013	LOSS: 416.93	MAE: 250.70	RMSE: 294.16
Epoch 014	LOSS: 423.72	MAE: 249.73	RMSE: 293.31
Epoch 015	LOSS: 409.11	MAE: 248.59	RMSE: 292.32
Epoch 016	LOSS: 412.37	MAE: 247.30	RMSE: 291.17
Epoch 017	LOSS: 394.22	MAE: 245.81	RMSE: 289.86
Epoch 018	LOSS: 384.63	MAE: 244.12	RMSE: 288.35
Epoch 019	LOSS: 371.22	MAE: 242.27	RMSE: 286.68
Epoch 020	LOSS: 350.84	MAE: 240.16	RMSE: 284.76
Epoch 021	LOSS: 344.55	MAE: 237.81	RMSE: 282.61
Epoch 022	LOSS: 319.22	MAE: 235.35	RMSE: 280.34
Epoch 023	LOSS: 310.14	MAE: 232.71	RMSE: 277.87
Epoch 024	LOSS: 289.82	MAE: 230.04	RMSE: 275.34
Epoch 025	LOSS: 269.04	MAE: 227.32	RMSE: 272.72
Epoch 026	LOSS: 258.02	MAE: 224.66	RMSE: 270.09
Epoch 027	LOSS: 246.09	MAE: 221.91	RMSE: 267.35
Epoch 028	LOSS: 231.69	MAE: 219.27	RMSE: 264.65
Epoch 029	LOSS: 216.08	MAE: 216.79	RMSE: 262.09
Epoch 030	LOSS: 210.36	MAE: 214.60	RMSE: 259.77
Epoch 031	LOSS: 202.21	MAE: 212.76	RMSE: 257.80
Epoch 032	LOSS: 198.44	MAE: 211.39	RMSE: 256.32
Epoch 033	LOSS: 191.48	MAE: 210.32	RMSE: 255.18
Epoch 034	LOSS: 187.41	MAE: 209.64	RMSE: 254.42
Epoch 035	LOSS: 184.26	MAE: 209.30	RMSE: 254.03
Epoch 036	LOSS: 185.12	MAE: 209.00	RMSE: 253.75
Epoch 037	LOSS: 180.98	MAE: 208.83	RMSE: 253.63
Epoch 038	LOSS: 177.64	MAE: 208.74	RMSE: 253.65
Epoch 039	LOSS: 174.16	MAE: 208.78	RMSE: 253.82
Epoch 040	LOSS: 170.99	MAE: 208.83	RMSE: 254.02
Epoch 041	LOSS: 172.55	MAE: 208.69	RMSE: 254.03
Epoch 042	LOSS: 167.13	MAE: 208.66	RMSE: 254.16
Epoch 043	LOSS: 162.59	MAE: 208.80	RMSE: 254.45
Epoch 044	LOSS: 163.37	MAE: 209.06	RMSE: 254.77
Epoch 045	LOSS: 163.05	MAE: 209.09	RMSE: 254.88
Epoch 046	LOSS: 160.78	MAE: 209.07	RMSE: 254.96
Epoch 047	LOSS: 159.84	MAE: 209.23	RMSE: 255.19
Epoch 048	LOSS: 159.60	MAE: 209.34	RMSE: 255.30
Epoch 049	LOSS: 158.79	MAE: 209.25	RMSE: 255.28
Epoch 050	LOSS: 157.77	MAE: 209.09	RMSE: 255.25
Epoch 051	LOSS: 155.87	MAE: 208.99	RMSE: 255.25
Epoch 052	LOSS: 157.07	MAE: 208.85	RMSE: 255.18
Epoch 053	LOSS: 152.88	MAE: 208.69	RMSE: 255.10
Epoch 054	LOSS: 150.19	MAE: 208.62	RMSE: 255.12
Epoch 055	LOSS: 152.71	MAE: 208.46	RMSE: 255.04
Epoch 056	LOSS: 150.29	MAE: 208.19	RMSE: 254.92
Epoch 057	LOSS: 150.57	MAE: 207.96	RMSE: 254.78
Epoch 058	LOSS: 147.03	MAE: 207.71	RMSE: 254.69
Epoch 059	LOSS: 143.97	MAE: 207.62	RMSE: 254.70
Epoch 060	LOSS: 146.76	MAE: 207.52	RMSE: 254.69
Epoch 061	LOSS: 145.76	MAE: 207.39	RMSE: 254.71
Epoch 062	LOSS: 146.94	MAE: 207.28	RMSE: 254.74
Epoch 063	LOSS: 141.62	MAE: 207.06	RMSE: 254.69
Epoch 064	LOSS: 142.12	MAE: 207.07	RMSE: 254.80
Epoch 065	LOSS: 141.15	MAE: 206.97	RMSE: 254.79
Epoch 066	LOSS: 141.36	MAE: 206.87	RMSE: 254.80
Epoch 067	LOSS: 141.75	MAE: 206.78	RMSE: 254.82
Epoch 068	LOSS: 138.59	MAE: 206.81	RMSE: 254.90
Epoch 069	LOSS: 136.98	MAE: 206.81	RMSE: 254.95
Epoch 070	LOSS: 136.39	MAE: 206.72	RMSE: 254.98
Epoch 071	LOSS: 136.72	MAE: 206.68	RMSE: 255.03
Epoch 072	LOSS: 134.66	MAE: 206.66	RMSE: 255.10
Epoch 073	LOSS: 132.91	MAE: 206.75	RMSE: 255.30
Epoch 074	LOSS: 132.91	MAE: 206.95	RMSE: 255.57
Epoch 075	LOSS: 134.43	MAE: 206.91	RMSE: 255.68
Epoch 076	LOSS: 131.86	MAE: 206.94	RMSE: 255.78
Epoch 077	LOSS: 130.79	MAE: 206.86	RMSE: 255.85
Epoch 078	LOSS: 129.24	MAE: 206.79	RMSE: 255.91
Epoch 079	LOSS: 130.19	MAE: 206.70	RMSE: 255.93
Epoch 080	LOSS: 129.16	MAE: 206.53	RMSE: 255.90
Epoch 081	LOSS: 129.97	MAE: 206.51	RMSE: 255.95
Epoch 082	LOSS: 124.91	MAE: 206.41	RMSE: 255.97
Epoch 083	LOSS: 124.97	MAE: 206.39	RMSE: 256.07
Epoch 084	LOSS: 125.63	MAE: 206.39	RMSE: 256.16
Epoch 085	LOSS: 124.43	MAE: 206.31	RMSE: 256.22
Epoch 086	LOSS: 123.25	MAE: 206.21	RMSE: 256.22
Epoch 087	LOSS: 120.18	MAE: 206.04	RMSE: 256.17
Epoch 088	LOSS: 120.63	MAE: 205.96	RMSE: 256.16
Epoch 089	LOSS: 120.85	MAE: 205.78	RMSE: 256.11
Epoch 090	LOSS: 118.42	MAE: 205.69	RMSE: 256.09
Epoch 091	LOSS: 118.19	MAE: 205.54	RMSE: 256.08
Epoch 092	LOSS: 118.98	MAE: 205.38	RMSE: 256.04
Epoch 093	LOSS: 117.60	MAE: 205.27	RMSE: 255.97
Epoch 094	LOSS: 114.64	MAE: 205.15	RMSE: 255.93
Epoch 095	LOSS: 115.06	MAE: 205.08	RMSE: 255.89
Epoch 096	LOSS: 113.27	MAE: 204.90	RMSE: 255.82
Epoch 097	LOSS: 110.23	MAE: 204.69	RMSE: 255.75
Epoch 098	LOSS: 111.69	MAE: 204.52	RMSE: 255.68
Epoch 099	LOSS: 109.56	MAE: 204.47	RMSE: 255.62
Epoch 100	LOSS: 110.19	MAE: 204.30	RMSE: 255.55
Epoch 101	LOSS: 110.69	MAE: 204.13	RMSE: 255.50
Epoch 102	LOSS: 107.20	MAE: 204.01	RMSE: 255.44
Epoch 103	LOSS: 108.04	MAE: 203.98	RMSE: 255.40
Epoch 104	LOSS: 105.74	MAE: 203.88	RMSE: 255.35
Epoch 105	LOSS: 105.76	MAE: 203.64	RMSE: 255.29
Epoch 106	LOSS: 104.73	MAE: 203.51	RMSE: 255.22
Epoch 107	LOSS: 104.93	MAE: 203.37	RMSE: 255.16
Epoch 108	LOSS: 103.61	MAE: 203.21	RMSE: 255.10
Epoch 109	LOSS: 101.79	MAE: 203.10	RMSE: 255.07
Epoch 110	LOSS: 101.46	MAE: 202.99	RMSE: 255.01
Epoch 111	LOSS: 99.78	MAE: 202.85	RMSE: 254.95
Epoch 112	LOSS: 99.57	MAE: 202.69	RMSE: 254.89
Epoch 113	LOSS: 99.31	MAE: 202.59	RMSE: 254.84
Epoch 114	LOSS: 99.42	MAE: 202.50	RMSE: 254.81
Epoch 115	LOSS: 98.85	MAE: 202.49	RMSE: 254.79
Epoch 116	LOSS: 97.51	MAE: 202.35	RMSE: 254.71
Epoch 117	LOSS: 96.96	MAE: 202.18	RMSE: 254.67
Epoch 118	LOSS: 96.97	MAE: 202.07	RMSE: 254.65
Epoch 119	LOSS: 96.83	MAE: 201.97	RMSE: 254.60
Epoch 120	LOSS: 96.51	MAE: 201.87	RMSE: 254.55
Epoch 121	LOSS: 95.48	MAE: 201.75	RMSE: 254.51
Epoch 122	LOSS: 95.10	MAE: 201.66	RMSE: 254.45
Epoch 123	LOSS: 95.57	MAE: 201.58	RMSE: 254.44
Epoch 124	LOSS: 94.52	MAE: 201.52	RMSE: 254.43
Epoch 125	LOSS: 94.56	MAE: 201.45	RMSE: 254.40
Epoch 126	LOSS: 92.59	MAE: 201.39	RMSE: 254.35
Epoch 127	LOSS: 92.06	MAE: 201.26	RMSE: 254.33
Epoch 128	LOSS: 91.26	MAE: 201.17	RMSE: 254.31
Epoch 129	LOSS: 90.81	MAE: 201.05	RMSE: 254.26
Epoch 130	LOSS: 91.39	MAE: 201.15	RMSE: 254.28
Epoch 131	LOSS: 89.29	MAE: 201.07	RMSE: 254.23
Epoch 132	LOSS: 88.43	MAE: 200.86	RMSE: 254.17
Epoch 133	LOSS: 89.81	MAE: 200.81	RMSE: 254.20
Epoch 134	LOSS: 88.27	MAE: 200.67	RMSE: 254.13
Epoch 135	LOSS: 89.26	MAE: 200.75	RMSE: 254.12
Epoch 136	LOSS: 88.38	MAE: 200.75	RMSE: 254.14
Epoch 137	LOSS: 86.78	MAE: 200.58	RMSE: 254.10
Epoch 138	LOSS: 86.26	MAE: 200.44	RMSE: 254.04
Epoch 139	LOSS: 86.55	MAE: 200.30	RMSE: 253.99
Epoch 140	LOSS: 86.49	MAE: 200.28	RMSE: 253.99
Epoch 141	LOSS: 84.96	MAE: 200.20	RMSE: 253.92
Epoch 142	LOSS: 84.67	MAE: 200.13	RMSE: 253.91
Epoch 143	LOSS: 84.39	MAE: 200.08	RMSE: 253.90
Epoch 144	LOSS: 84.82	MAE: 200.00	RMSE: 253.86
Epoch 145	LOSS: 83.15	MAE: 199.88	RMSE: 253.83
Epoch 146	LOSS: 82.55	MAE: 199.82	RMSE: 253.82
Epoch 147	LOSS: 83.51	MAE: 199.74	RMSE: 253.77
Epoch 148	LOSS: 82.02	MAE: 199.71	RMSE: 253.77
Epoch 149	LOSS: 82.84	MAE: 199.82	RMSE: 253.83
Epoch 150	LOSS: 82.73	MAE: 199.71	RMSE: 253.80
Epoch 151	LOSS: 82.03	MAE: 199.53	RMSE: 253.74
Epoch 152	LOSS: 81.93	MAE: 199.51	RMSE: 253.74
Epoch 153	LOSS: 81.86	MAE: 199.43	RMSE: 253.70
Epoch 154	LOSS: 81.65	MAE: 199.38	RMSE: 253.67
Epoch 155	LOSS: 81.05	MAE: 199.41	RMSE: 253.70
Epoch 156	LOSS: 79.77	MAE: 199.34	RMSE: 253.69
Epoch 157	LOSS: 79.77	MAE: 199.10	RMSE: 253.60
Epoch 158	LOSS: 80.57	MAE: 199.13	RMSE: 253.61
Epoch 159	LOSS: 80.19	MAE: 199.14	RMSE: 253.62
Epoch 160	LOSS: 78.82	MAE: 199.13	RMSE: 253.61
Epoch 161	LOSS: 79.47	MAE: 199.10	RMSE: 253.61
Epoch 162	LOSS: 79.36	MAE: 199.07	RMSE: 253.62
Epoch 163	LOSS: 78.16	MAE: 199.02	RMSE: 253.61
Epoch 164	LOSS: 77.99	MAE: 198.94	RMSE: 253.58
Epoch 165	LOSS: 77.35	MAE: 198.80	RMSE: 253.55
Epoch 166	LOSS: 77.35	MAE: 198.73	RMSE: 253.52
Epoch 167	LOSS: 78.48	MAE: 198.84	RMSE: 253.54
Epoch 168	LOSS: 77.42	MAE: 198.78	RMSE: 253.51
Epoch 169	LOSS: 76.88	MAE: 198.72	RMSE: 253.51
Epoch 170	LOSS: 77.16	MAE: 198.67	RMSE: 253.51
Epoch 171	LOSS: 76.58	MAE: 198.67	RMSE: 253.52
Epoch 172	LOSS: 76.68	MAE: 198.52	RMSE: 253.50
Epoch 173	LOSS: 77.99	MAE: 198.66	RMSE: 253.54
Epoch 174	LOSS: 76.38	MAE: 198.70	RMSE: 253.53
Epoch 175	LOSS: 77.18	MAE: 198.62	RMSE: 253.46
Epoch 176	LOSS: 77.44	MAE: 198.55	RMSE: 253.46
Epoch 177	LOSS: 75.52	MAE: 198.58	RMSE: 253.51
Epoch 178	LOSS: 75.63	MAE: 198.51	RMSE: 253.51
Epoch 179	LOSS: 75.31	MAE: 198.38	RMSE: 253.47
Epoch 180	LOSS: 75.88	MAE: 198.46	RMSE: 253.49
Epoch 181	LOSS: 75.22	MAE: 198.48	RMSE: 253.46
Epoch 182	LOSS: 75.60	MAE: 198.43	RMSE: 253.43
Epoch 183	LOSS: 74.58	MAE: 198.35	RMSE: 253.45
Epoch 184	LOSS: 75.60	MAE: 198.24	RMSE: 253.42
Epoch 185	LOSS: 75.34	MAE: 198.20	RMSE: 253.43
Epoch 186	LOSS: 75.18	MAE: 198.27	RMSE: 253.45
Epoch 187	LOSS: 74.92	MAE: 198.37	RMSE: 253.46
Epoch 188	LOSS: 74.18	MAE: 198.33	RMSE: 253.44
Epoch 189	LOSS: 74.92	MAE: 198.23	RMSE: 253.42
Epoch 190	LOSS: 75.09	MAE: 198.16	RMSE: 253.41
Epoch 191	LOSS: 75.61	MAE: 198.12	RMSE: 253.41
Epoch 192	LOSS: 74.21	MAE: 198.15	RMSE: 253.44
Epoch 193	LOSS: 75.40	MAE: 198.17	RMSE: 253.43
Epoch 194	LOSS: 74.38	MAE: 198.20	RMSE: 253.40
Epoch 195	LOSS: 74.42	MAE: 198.21	RMSE: 253.41
Epoch 196	LOSS: 75.52	MAE: 198.22	RMSE: 253.43
Epoch 197	LOSS: 74.27	MAE: 198.13	RMSE: 253.40
Epoch 198	LOSS: 75.27	MAE: 198.11	RMSE: 253.41
Epoch 199	LOSS: 73.77	MAE: 198.09	RMSE: 253.43
Epoch 200	LOSS: 73.85	MAE: 198.13	RMSE: 253.43
Epoch 201	LOSS: 74.40	MAE: 198.15	RMSE: 253.42
Epoch 202	LOSS: 74.86	MAE: 198.15	RMSE: 253.43
Epoch 203	LOSS: 74.69	MAE: 198.12	RMSE: 253.42
Epoch 204	LOSS: 73.76	MAE: 198.07	RMSE: 253.40
Epoch 205	LOSS: 73.68	MAE: 198.06	RMSE: 253.40
Epoch 206	LOSS: 73.66	MAE: 197.97	RMSE: 253.39
Epoch 207	LOSS: 74.06	MAE: 198.01	RMSE: 253.40
Epoch 208	LOSS: 74.99	MAE: 198.06	RMSE: 253.41
Epoch 209	LOSS: 74.80	MAE: 198.17	RMSE: 253.41
Epoch 210	LOSS: 73.33	MAE: 198.10	RMSE: 253.39
Epoch 211	LOSS: 73.25	MAE: 197.95	RMSE: 253.38
Epoch 212	LOSS: 73.21	MAE: 197.89	RMSE: 253.38
Epoch 213	LOSS: 74.31	MAE: 197.91	RMSE: 253.37
Epoch 214	LOSS: 73.27	MAE: 197.95	RMSE: 253.38
Epoch 215	LOSS: 73.20	MAE: 197.99	RMSE: 253.38
Epoch 216	LOSS: 74.11	MAE: 198.00	RMSE: 253.38
Epoch 217	LOSS: 72.78	MAE: 197.99	RMSE: 253.37
Epoch 218	LOSS: 72.58	MAE: 197.87	RMSE: 253.37
Epoch 219	LOSS: 73.84	MAE: 197.92	RMSE: 253.41
