Epoch 000	LOSS: 446.56	MAE: 255.18	RMSE: 298.06
Epoch 001	LOSS: 443.82	MAE: 255.16	RMSE: 298.04
Epoch 002	LOSS: 448.17	MAE: 255.11	RMSE: 298.00
Epoch 003	LOSS: 449.16	MAE: 255.04	RMSE: 297.94
Epoch 004	LOSS: 443.42	MAE: 254.93	RMSE: 297.85
Epoch 005	LOSS: 446.67	MAE: 254.77	RMSE: 297.71
Epoch 006	LOSS: 440.53	MAE: 254.53	RMSE: 297.51
Epoch 007	LOSS: 443.79	MAE: 254.19	RMSE: 297.22
Epoch 008	LOSS: 434.48	MAE: 253.72	RMSE: 296.81
Epoch 009	LOSS: 441.10	MAE: 253.05	RMSE: 296.24
Epoch 010	LOSS: 431.01	MAE: 252.11	RMSE: 295.43
Epoch 011	LOSS: 429.49	MAE: 251.01	RMSE: 294.49
Epoch 012	LOSS: 416.16	MAE: 249.62	RMSE: 293.29
Epoch 013	LOSS: 414.58	MAE: 248.03	RMSE: 291.93
Epoch 014	LOSS: 400.06	MAE: 246.14	RMSE: 290.29
Epoch 015	LOSS: 386.10	MAE: 243.89	RMSE: 288.34
Epoch 016	LOSS: 375.66	MAE: 241.37	RMSE: 286.14
Epoch 017	LOSS: 364.51	MAE: 238.62	RMSE: 283.70
Epoch 018	LOSS: 341.88	MAE: 235.59	RMSE: 280.98
Epoch 019	LOSS: 319.51	MAE: 232.49	RMSE: 278.15
Epoch 020	LOSS: 310.81	MAE: 229.19	RMSE: 275.10
Epoch 021	LOSS: 286.81	MAE: 225.70	RMSE: 271.80
Epoch 022	LOSS: 267.93	MAE: 222.33	RMSE: 268.55
Epoch 023	LOSS: 255.81	MAE: 219.03	RMSE: 265.29
Epoch 024	LOSS: 236.11	MAE: 215.50	RMSE: 261.71
Epoch 025	LOSS: 227.28	MAE: 211.98	RMSE: 258.06
Epoch 026	LOSS: 214.39	MAE: 208.94	RMSE: 254.81
Epoch 027	LOSS: 204.70	MAE: 206.89	RMSE: 252.52
Epoch 028	LOSS: 199.19	MAE: 205.32	RMSE: 250.71
Epoch 029	LOSS: 195.95	MAE: 204.54	RMSE: 249.67
Epoch 030	LOSS: 191.44	MAE: 204.22	RMSE: 249.16
Epoch 031	LOSS: 187.55	MAE: 204.41	RMSE: 249.34
Epoch 032	LOSS: 181.00	MAE: 204.72	RMSE: 249.74
Epoch 033	LOSS: 176.52	MAE: 205.35	RMSE: 250.48
Epoch 034	LOSS: 174.20	MAE: 206.17	RMSE: 251.36
Epoch 035	LOSS: 172.98	MAE: 206.78	RMSE: 251.95
Epoch 036	LOSS: 169.82	MAE: 207.34	RMSE: 252.47
Epoch 037	LOSS: 172.42	MAE: 207.58	RMSE: 252.67
Epoch 038	LOSS: 172.25	MAE: 207.56	RMSE: 252.70
Epoch 039	LOSS: 170.16	MAE: 207.34	RMSE: 252.59
Epoch 040	LOSS: 169.02	MAE: 206.75	RMSE: 252.13
Epoch 041	LOSS: 165.08	MAE: 206.20	RMSE: 251.74
Epoch 042	LOSS: 167.69	MAE: 205.62	RMSE: 251.33
Epoch 043	LOSS: 167.47	MAE: 204.75	RMSE: 250.63
Epoch 044	LOSS: 164.00	MAE: 204.31	RMSE: 250.31
Epoch 045	LOSS: 168.26	MAE: 204.08	RMSE: 250.14
Epoch 046	LOSS: 164.22	MAE: 203.73	RMSE: 249.80
Epoch 047	LOSS: 163.97	MAE: 203.73	RMSE: 249.83
Epoch 048	LOSS: 163.16	MAE: 203.93	RMSE: 250.04
Epoch 049	LOSS: 161.67	MAE: 204.05	RMSE: 250.15
Epoch 050	LOSS: 163.26	MAE: 204.13	RMSE: 250.23
Epoch 051	LOSS: 164.59	MAE: 204.41	RMSE: 250.56
Epoch 052	LOSS: 162.71	MAE: 204.71	RMSE: 250.89
Epoch 053	LOSS: 161.29	MAE: 204.70	RMSE: 250.96
Epoch 054	LOSS: 162.70	MAE: 204.79	RMSE: 251.17
Epoch 055	LOSS: 157.17	MAE: 205.07	RMSE: 251.59
Epoch 056	LOSS: 158.03	MAE: 205.25	RMSE: 251.90
Epoch 057	LOSS: 157.58	MAE: 205.34	RMSE: 252.10
Epoch 058	LOSS: 157.67	MAE: 205.48	RMSE: 252.29
Epoch 059	LOSS: 158.20	MAE: 205.39	RMSE: 252.30
Epoch 060	LOSS: 155.58	MAE: 205.44	RMSE: 252.40
Epoch 061	LOSS: 154.53	MAE: 205.70	RMSE: 252.61
Epoch 062	LOSS: 155.02	MAE: 205.75	RMSE: 252.76
Epoch 063	LOSS: 154.51	MAE: 205.54	RMSE: 252.75
Epoch 064	LOSS: 155.75	MAE: 205.69	RMSE: 253.00
Epoch 065	LOSS: 151.62	MAE: 205.81	RMSE: 253.12
Epoch 066	LOSS: 154.18	MAE: 205.78	RMSE: 253.11
Epoch 067	LOSS: 152.15	MAE: 205.82	RMSE: 253.17
Epoch 068	LOSS: 153.21	MAE: 206.05	RMSE: 253.37
Epoch 069	LOSS: 149.33	MAE: 206.13	RMSE: 253.50
Epoch 070	LOSS: 152.00	MAE: 206.31	RMSE: 253.72
Epoch 071	LOSS: 149.36	MAE: 206.44	RMSE: 253.92
Epoch 072	LOSS: 150.28	MAE: 206.39	RMSE: 253.92
Epoch 073	LOSS: 149.58	MAE: 206.36	RMSE: 253.97
Epoch 074	LOSS: 148.11	MAE: 206.43	RMSE: 254.06
Epoch 075	LOSS: 153.07	MAE: 206.60	RMSE: 254.20
Epoch 076	LOSS: 146.38	MAE: 206.43	RMSE: 254.17
Epoch 077	LOSS: 148.26	MAE: 206.44	RMSE: 254.22
Epoch 078	LOSS: 145.78	MAE: 206.43	RMSE: 254.30
Epoch 079	LOSS: 145.13	MAE: 206.42	RMSE: 254.33
Epoch 080	LOSS: 148.14	MAE: 206.34	RMSE: 254.31
Epoch 081	LOSS: 145.56	MAE: 206.34	RMSE: 254.31
Epoch 082	LOSS: 147.80	MAE: 206.38	RMSE: 254.33
Epoch 083	LOSS: 148.98	MAE: 206.40	RMSE: 254.34
Epoch 084	LOSS: 141.71	MAE: 206.28	RMSE: 254.27
Epoch 085	LOSS: 143.55	MAE: 206.16	RMSE: 254.19
Epoch 086	LOSS: 143.67	MAE: 206.04	RMSE: 254.13
Epoch 087	LOSS: 142.72	MAE: 205.93	RMSE: 254.08
Epoch 088	LOSS: 143.46	MAE: 205.95	RMSE: 254.07
