Epoch 000	LOSS: 452.38	MAE: 255.19	RMSE: 298.06
Epoch 001	LOSS: 444.87	MAE: 255.17	RMSE: 298.05
Epoch 002	LOSS: 439.37	MAE: 255.13	RMSE: 298.02
Epoch 003	LOSS: 443.97	MAE: 255.07	RMSE: 297.96
Epoch 004	LOSS: 440.86	MAE: 254.98	RMSE: 297.88
Epoch 005	LOSS: 443.09	MAE: 254.84	RMSE: 297.76
Epoch 006	LOSS: 440.55	MAE: 254.63	RMSE: 297.59
Epoch 007	LOSS: 443.44	MAE: 254.34	RMSE: 297.33
Epoch 008	LOSS: 439.40	MAE: 253.93	RMSE: 296.98
Epoch 009	LOSS: 441.14	MAE: 253.36	RMSE: 296.48
Epoch 010	LOSS: 427.63	MAE: 252.56	RMSE: 295.80
Epoch 011	LOSS: 430.00	MAE: 251.47	RMSE: 294.85
Epoch 012	LOSS: 412.64	MAE: 250.10	RMSE: 293.66
Epoch 013	LOSS: 410.92	MAE: 248.53	RMSE: 292.30
Epoch 014	LOSS: 407.57	MAE: 246.83	RMSE: 290.83
Epoch 015	LOSS: 392.05	MAE: 244.81	RMSE: 289.08
Epoch 016	LOSS: 386.58	MAE: 242.44	RMSE: 287.00
Epoch 017	LOSS: 371.12	MAE: 239.74	RMSE: 284.61
Epoch 018	LOSS: 345.14	MAE: 236.89	RMSE: 282.06
Epoch 019	LOSS: 332.88	MAE: 233.77	RMSE: 279.23
Epoch 020	LOSS: 318.33	MAE: 230.27	RMSE: 276.01
Epoch 021	LOSS: 299.03	MAE: 226.62	RMSE: 272.60
Epoch 022	LOSS: 281.11	MAE: 222.89	RMSE: 269.05
Epoch 023	LOSS: 259.56	MAE: 219.35	RMSE: 265.59
Epoch 024	LOSS: 249.22	MAE: 215.88	RMSE: 262.08
Epoch 025	LOSS: 233.18	MAE: 212.94	RMSE: 258.99
Epoch 026	LOSS: 221.99	MAE: 210.64	RMSE: 256.45
Epoch 027	LOSS: 208.82	MAE: 208.58	RMSE: 254.14
Epoch 028	LOSS: 201.02	MAE: 206.94	RMSE: 252.26
Epoch 029	LOSS: 194.16	MAE: 205.94	RMSE: 251.01
Epoch 030	LOSS: 192.69	MAE: 205.81	RMSE: 250.70
Epoch 031	LOSS: 190.32	MAE: 206.02	RMSE: 250.88
Epoch 032	LOSS: 183.82	MAE: 206.46	RMSE: 251.41
Epoch 033	LOSS: 178.93	MAE: 206.93	RMSE: 252.05
Epoch 034	LOSS: 175.57	MAE: 207.55	RMSE: 252.83
Epoch 035	LOSS: 173.43	MAE: 208.26	RMSE: 253.63
Epoch 036	LOSS: 171.14	MAE: 208.77	RMSE: 254.16
