Epoch 000	LOSS: 453.16	MAE: 255.19	RMSE: 298.07
Epoch 001	LOSS: 442.95	MAE: 255.16	RMSE: 298.05
Epoch 002	LOSS: 444.91	MAE: 255.12	RMSE: 298.01
Epoch 003	LOSS: 445.79	MAE: 255.06	RMSE: 297.96
Epoch 004	LOSS: 442.40	MAE: 254.96	RMSE: 297.88
Epoch 005	LOSS: 444.66	MAE: 254.82	RMSE: 297.76
Epoch 006	LOSS: 444.29	MAE: 254.62	RMSE: 297.58
Epoch 007	LOSS: 440.93	MAE: 254.32	RMSE: 297.32
Epoch 008	LOSS: 439.83	MAE: 253.88	RMSE: 296.95
Epoch 009	LOSS: 439.73	MAE: 253.26	RMSE: 296.42
Epoch 010	LOSS: 420.96	MAE: 252.45	RMSE: 295.73
Epoch 011	LOSS: 431.83	MAE: 251.52	RMSE: 294.93
Epoch 012	LOSS: 430.46	MAE: 250.35	RMSE: 293.92
Epoch 013	LOSS: 414.73	MAE: 249.03	RMSE: 292.78
Epoch 014	LOSS: 407.77	MAE: 247.45	RMSE: 291.43
Epoch 015	LOSS: 388.38	MAE: 245.55	RMSE: 289.79
Epoch 016	LOSS: 386.31	MAE: 243.28	RMSE: 287.81
Epoch 017	LOSS: 374.78	MAE: 240.74	RMSE: 285.58
Epoch 018	LOSS: 366.89	MAE: 237.96	RMSE: 283.10
Epoch 019	LOSS: 347.03	MAE: 234.81	RMSE: 280.25
Epoch 020	LOSS: 327.61	MAE: 231.39	RMSE: 277.12
Epoch 021	LOSS: 308.30	MAE: 228.05	RMSE: 274.02
Epoch 022	LOSS: 295.39	MAE: 224.71	RMSE: 270.88
Epoch 023	LOSS: 271.54	MAE: 221.54	RMSE: 267.83
Epoch 024	LOSS: 262.23	MAE: 218.71	RMSE: 265.00
Epoch 025	LOSS: 245.02	MAE: 216.08	RMSE: 262.26
Epoch 026	LOSS: 234.26	MAE: 214.15	RMSE: 260.10
Epoch 027	LOSS: 219.71	MAE: 212.45	RMSE: 258.16
Epoch 028	LOSS: 209.05	MAE: 210.98	RMSE: 256.43
Epoch 029	LOSS: 201.36	MAE: 209.68	RMSE: 254.91
Epoch 030	LOSS: 196.50	MAE: 208.28	RMSE: 253.27
Epoch 031	LOSS: 190.72	MAE: 207.60	RMSE: 252.42
Epoch 032	LOSS: 188.23	MAE: 207.20	RMSE: 251.96
Epoch 033	LOSS: 185.43	MAE: 206.97	RMSE: 251.77
Epoch 034	LOSS: 181.87	MAE: 207.20	RMSE: 252.14
Epoch 035	LOSS: 175.51	MAE: 207.43	RMSE: 252.51
Epoch 036	LOSS: 174.91	MAE: 207.65	RMSE: 252.76
Epoch 037	LOSS: 171.90	MAE: 207.93	RMSE: 253.03
Epoch 038	LOSS: 173.81	MAE: 208.03	RMSE: 253.10
Epoch 039	LOSS: 171.63	MAE: 208.09	RMSE: 253.20
