Epoch 000	LOSS: 451.93	MAE: 255.19	RMSE: 298.07
Epoch 001	LOSS: 443.32	MAE: 255.16	RMSE: 298.05
Epoch 002	LOSS: 447.88	MAE: 255.12	RMSE: 298.01
Epoch 003	LOSS: 444.82	MAE: 255.05	RMSE: 297.95
Epoch 004	LOSS: 451.26	MAE: 254.95	RMSE: 297.86
Epoch 005	LOSS: 444.43	MAE: 254.79	RMSE: 297.72
Epoch 006	LOSS: 446.18	MAE: 254.56	RMSE: 297.52
Epoch 007	LOSS: 444.62	MAE: 254.23	RMSE: 297.24
Epoch 008	LOSS: 436.07	MAE: 253.79	RMSE: 296.86
Epoch 009	LOSS: 436.98	MAE: 253.17	RMSE: 296.32
Epoch 010	LOSS: 432.99	MAE: 252.34	RMSE: 295.60
Epoch 011	LOSS: 425.72	MAE: 251.27	RMSE: 294.67
Epoch 012	LOSS: 415.17	MAE: 250.02	RMSE: 293.58
Epoch 013	LOSS: 408.99	MAE: 248.60	RMSE: 292.34
Epoch 014	LOSS: 406.44	MAE: 246.89	RMSE: 290.87
Epoch 015	LOSS: 395.99	MAE: 244.87	RMSE: 289.11
Epoch 016	LOSS: 378.34	MAE: 242.49	RMSE: 287.03
Epoch 017	LOSS: 366.43	MAE: 239.80	RMSE: 284.66
Epoch 018	LOSS: 345.13	MAE: 236.76	RMSE: 281.94
Epoch 019	LOSS: 323.42	MAE: 233.35	RMSE: 278.84
Epoch 020	LOSS: 309.29	MAE: 229.65	RMSE: 275.40
Epoch 021	LOSS: 292.30	MAE: 225.92	RMSE: 271.89
Epoch 022	LOSS: 276.21	MAE: 222.38	RMSE: 268.49
Epoch 023	LOSS: 253.74	MAE: 218.81	RMSE: 264.99
Epoch 024	LOSS: 239.74	MAE: 215.13	RMSE: 261.27
Epoch 025	LOSS: 225.84	MAE: 211.66	RMSE: 257.67
Epoch 026	LOSS: 214.63	MAE: 208.64	RMSE: 254.45
Epoch 027	LOSS: 206.45	MAE: 205.72	RMSE: 251.29
Epoch 028	LOSS: 197.17	MAE: 203.49	RMSE: 248.83
Epoch 029	LOSS: 197.79	MAE: 202.25	RMSE: 247.35
Epoch 030	LOSS: 190.02	MAE: 201.57	RMSE: 246.42
Epoch 031	LOSS: 188.80	MAE: 201.26	RMSE: 245.98
Epoch 032	LOSS: 185.09	MAE: 201.14	RMSE: 245.86
Epoch 033	LOSS: 183.07	MAE: 201.47	RMSE: 246.28
Epoch 034	LOSS: 179.67	MAE: 202.08	RMSE: 247.02
Epoch 035	LOSS: 173.68	MAE: 202.66	RMSE: 247.69
Epoch 036	LOSS: 170.70	MAE: 203.31	RMSE: 248.35
Epoch 037	LOSS: 170.69	MAE: 203.86	RMSE: 248.89
Epoch 038	LOSS: 169.39	MAE: 204.38	RMSE: 249.38
Epoch 039	LOSS: 170.42	MAE: 204.82	RMSE: 249.76
Epoch 040	LOSS: 166.24	MAE: 204.99	RMSE: 249.98
Epoch 041	LOSS: 170.02	MAE: 205.08	RMSE: 250.10
Epoch 042	LOSS: 166.91	MAE: 205.02	RMSE: 250.06
Epoch 043	LOSS: 167.31	MAE: 204.77	RMSE: 249.84
Epoch 044	LOSS: 164.92	MAE: 204.61	RMSE: 249.71
Epoch 045	LOSS: 166.51	MAE: 204.35	RMSE: 249.58
Epoch 046	LOSS: 165.03	MAE: 204.21	RMSE: 249.53
Epoch 047	LOSS: 162.14	MAE: 204.00	RMSE: 249.42
Epoch 048	LOSS: 159.65	MAE: 203.68	RMSE: 249.22
Epoch 049	LOSS: 160.31	MAE: 203.45	RMSE: 249.06
Epoch 050	LOSS: 160.31	MAE: 203.02	RMSE: 248.73
Epoch 051	LOSS: 156.88	MAE: 202.53	RMSE: 248.37
Epoch 052	LOSS: 157.85	MAE: 202.26	RMSE: 248.20
Epoch 053	LOSS: 156.72	MAE: 202.23	RMSE: 248.23
Epoch 054	LOSS: 154.71	MAE: 202.07	RMSE: 248.16
Epoch 055	LOSS: 151.28	MAE: 201.78	RMSE: 247.91
Epoch 056	LOSS: 159.24	MAE: 201.38	RMSE: 247.58
Epoch 057	LOSS: 154.00	MAE: 201.32	RMSE: 247.58
Epoch 058	LOSS: 152.44	MAE: 201.38	RMSE: 247.71
Epoch 059	LOSS: 151.87	MAE: 201.26	RMSE: 247.62
Epoch 060	LOSS: 153.07	MAE: 201.36	RMSE: 247.68
