Epoch 000	LOSS: 463.54	MAE: 220.03	RMSE: 266.09
Epoch 001	LOSS: 464.53	MAE: 220.00	RMSE: 266.06
Epoch 002	LOSS: 456.82	MAE: 219.93	RMSE: 266.00
Epoch 003	LOSS: 462.12	MAE: 219.81	RMSE: 265.90
Epoch 004	LOSS: 462.99	MAE: 219.61	RMSE: 265.73
Epoch 005	LOSS: 461.99	MAE: 219.28	RMSE: 265.46
Epoch 006	LOSS: 462.38	MAE: 218.80	RMSE: 265.06
Epoch 007	LOSS: 454.68	MAE: 218.10	RMSE: 264.47
Epoch 008	LOSS: 458.47	MAE: 217.11	RMSE: 263.65
Epoch 009	LOSS: 456.34	MAE: 215.78	RMSE: 262.53
Epoch 010	LOSS: 451.88	MAE: 214.01	RMSE: 261.03
Epoch 011	LOSS: 449.44	MAE: 211.70	RMSE: 259.07
Epoch 012	LOSS: 440.16	MAE: 208.77	RMSE: 256.57
Epoch 013	LOSS: 435.12	MAE: 205.11	RMSE: 253.43
Epoch 014	LOSS: 425.30	MAE: 200.52	RMSE: 249.46
Epoch 015	LOSS: 414.83	MAE: 194.93	RMSE: 244.54
Epoch 016	LOSS: 398.95	MAE: 188.38	RMSE: 238.72
Epoch 017	LOSS: 381.43	MAE: 180.93	RMSE: 231.95
Epoch 018	LOSS: 360.78	MAE: 172.60	RMSE: 224.16
Epoch 019	LOSS: 351.76	MAE: 163.60	RMSE: 215.34
Epoch 020	LOSS: 329.96	MAE: 154.22	RMSE: 205.55
Epoch 021	LOSS: 303.95	MAE: 144.81	RMSE: 194.97
Epoch 022	LOSS: 284.03	MAE: 135.82	RMSE: 183.89
Epoch 023	LOSS: 266.75	MAE: 127.43	RMSE: 172.39
Epoch 024	LOSS: 247.90	MAE: 120.01	RMSE: 160.90
Epoch 025	LOSS: 231.78	MAE: 113.90	RMSE: 150.14
Epoch 026	LOSS: 219.86	MAE: 109.15	RMSE: 140.96
Epoch 027	LOSS: 209.50	MAE: 105.78	RMSE: 134.02
Epoch 028	LOSS: 204.50	MAE: 103.76	RMSE: 129.71
Epoch 029	LOSS: 201.20	MAE: 102.50	RMSE: 127.52
Epoch 030	LOSS: 196.81	MAE: 100.95	RMSE: 126.05
Epoch 031	LOSS: 190.85	MAE: 98.74	RMSE: 124.44
Epoch 032	LOSS: 181.42	MAE: 95.95	RMSE: 122.23
Epoch 033	LOSS: 180.55	MAE: 93.52	RMSE: 120.15
Epoch 034	LOSS: 175.58	MAE: 91.59	RMSE: 118.18
Epoch 035	LOSS: 173.82	MAE: 90.40	RMSE: 116.69
Epoch 036	LOSS: 175.44	MAE: 89.66	RMSE: 115.52
Epoch 037	LOSS: 171.04	MAE: 89.07	RMSE: 114.67
Epoch 038	LOSS: 170.99	MAE: 88.46	RMSE: 113.94
Epoch 039	LOSS: 171.43	MAE: 87.95	RMSE: 113.49
Epoch 040	LOSS: 171.25	MAE: 87.39	RMSE: 112.95
Epoch 041	LOSS: 169.31	MAE: 86.93	RMSE: 112.57
Epoch 042	LOSS: 166.03	MAE: 86.39	RMSE: 112.25
Epoch 043	LOSS: 165.41	MAE: 85.88	RMSE: 111.89
Epoch 044	LOSS: 162.13	MAE: 85.28	RMSE: 111.41
Epoch 045	LOSS: 161.77	MAE: 84.84	RMSE: 111.16
Epoch 046	LOSS: 162.88	MAE: 84.18	RMSE: 110.72
Epoch 047	LOSS: 160.14	MAE: 83.54	RMSE: 110.26
Epoch 048	LOSS: 160.29	MAE: 82.84	RMSE: 109.50
Epoch 049	LOSS: 157.80	MAE: 82.33	RMSE: 108.86
Epoch 050	LOSS: 157.45	MAE: 81.91	RMSE: 108.41
Epoch 051	LOSS: 157.37	MAE: 81.07	RMSE: 107.47
