Epoch 000	LOSS: 460.88	MAE: 220.02	RMSE: 266.08
Epoch 001	LOSS: 467.27	MAE: 219.97	RMSE: 266.04
Epoch 002	LOSS: 464.96	MAE: 219.88	RMSE: 265.96
Epoch 003	LOSS: 466.32	MAE: 219.72	RMSE: 265.83
Epoch 004	LOSS: 462.46	MAE: 219.45	RMSE: 265.61
Epoch 005	LOSS: 457.80	MAE: 219.04	RMSE: 265.27
Epoch 006	LOSS: 459.87	MAE: 218.42	RMSE: 264.76
Epoch 007	LOSS: 457.85	MAE: 217.54	RMSE: 264.03
Epoch 008	LOSS: 455.76	MAE: 216.34	RMSE: 263.03
Epoch 009	LOSS: 454.65	MAE: 214.71	RMSE: 261.67
Epoch 010	LOSS: 447.29	MAE: 212.54	RMSE: 259.83
Epoch 011	LOSS: 449.81	MAE: 209.74	RMSE: 257.45
Epoch 012	LOSS: 436.46	MAE: 206.22	RMSE: 254.45
Epoch 013	LOSS: 426.08	MAE: 201.87	RMSE: 250.70
Epoch 014	LOSS: 410.81	MAE: 196.57	RMSE: 246.09
Epoch 015	LOSS: 405.32	MAE: 190.37	RMSE: 240.61
Epoch 016	LOSS: 386.13	MAE: 183.23	RMSE: 234.16
Epoch 017	LOSS: 369.20	MAE: 175.19	RMSE: 226.70
Epoch 018	LOSS: 352.68	MAE: 166.45	RMSE: 218.25
Epoch 019	LOSS: 329.75	MAE: 157.31	RMSE: 208.92
Epoch 020	LOSS: 308.47	MAE: 148.06	RMSE: 198.78
Epoch 021	LOSS: 289.91	MAE: 139.16	RMSE: 188.09
Epoch 022	LOSS: 266.30	MAE: 130.97	RMSE: 177.06
Epoch 023	LOSS: 253.45	MAE: 123.76	RMSE: 166.20
Epoch 024	LOSS: 233.41	MAE: 117.59	RMSE: 155.91
Epoch 025	LOSS: 221.88	MAE: 112.59	RMSE: 146.82
Epoch 026	LOSS: 212.06	MAE: 109.02	RMSE: 139.77
Epoch 027	LOSS: 204.43	MAE: 106.76	RMSE: 135.19
Epoch 028	LOSS: 199.04	MAE: 105.43	RMSE: 132.89
Epoch 029	LOSS: 197.28	MAE: 104.28	RMSE: 131.89
Epoch 030	LOSS: 190.19	MAE: 102.78	RMSE: 131.22
Epoch 031	LOSS: 186.27	MAE: 100.75	RMSE: 130.17
Epoch 032	LOSS: 183.75	MAE: 98.43	RMSE: 128.61
Epoch 033	LOSS: 178.21	MAE: 96.58	RMSE: 127.12
Epoch 034	LOSS: 180.04	MAE: 95.33	RMSE: 125.85
Epoch 035	LOSS: 172.95	MAE: 94.52	RMSE: 124.86
Epoch 036	LOSS: 171.79	MAE: 93.97	RMSE: 124.34
Epoch 037	LOSS: 168.49	MAE: 93.89	RMSE: 124.40
Epoch 038	LOSS: 172.36	MAE: 93.66	RMSE: 124.45
Epoch 039	LOSS: 170.23	MAE: 93.39	RMSE: 124.58
Epoch 040	LOSS: 171.19	MAE: 93.27	RMSE: 124.93
Epoch 041	LOSS: 169.03	MAE: 93.08	RMSE: 125.28
Epoch 042	LOSS: 173.65	MAE: 92.71	RMSE: 125.52
Epoch 043	LOSS: 168.57	MAE: 92.71	RMSE: 126.13
Epoch 044	LOSS: 165.44	MAE: 92.41	RMSE: 126.40
Epoch 045	LOSS: 165.02	MAE: 92.29	RMSE: 126.64
Epoch 046	LOSS: 165.43	MAE: 91.96	RMSE: 126.65
Epoch 047	LOSS: 166.84	MAE: 91.63	RMSE: 126.42
Epoch 048	LOSS: 163.20	MAE: 91.32	RMSE: 126.12
Epoch 049	LOSS: 163.62	MAE: 90.97	RMSE: 125.63
Epoch 050	LOSS: 162.02	MAE: 90.61	RMSE: 125.09
Epoch 051	LOSS: 164.23	MAE: 90.37	RMSE: 124.56
Epoch 052	LOSS: 163.09	MAE: 90.13	RMSE: 124.16
Epoch 053	LOSS: 161.93	MAE: 89.80	RMSE: 123.86
Epoch 054	LOSS: 162.38	MAE: 89.46	RMSE: 123.53
Epoch 055	LOSS: 160.17	MAE: 89.05	RMSE: 123.00
Epoch 056	LOSS: 159.37	MAE: 88.82	RMSE: 122.53
Epoch 057	LOSS: 156.51	MAE: 88.26	RMSE: 121.74
Epoch 058	LOSS: 159.26	MAE: 87.88	RMSE: 121.31
Epoch 059	LOSS: 156.44	MAE: 87.43	RMSE: 120.96
Epoch 060	LOSS: 155.93	MAE: 86.96	RMSE: 120.51
Epoch 061	LOSS: 154.55	MAE: 86.54	RMSE: 120.10
Epoch 062	LOSS: 155.82	MAE: 86.19	RMSE: 119.77
Epoch 063	LOSS: 154.02	MAE: 85.97	RMSE: 119.58
Epoch 064	LOSS: 152.03	MAE: 85.55	RMSE: 119.20
Epoch 065	LOSS: 150.58	MAE: 85.22	RMSE: 118.81
Epoch 066	LOSS: 149.35	MAE: 84.79	RMSE: 118.43
Epoch 067	LOSS: 146.99	MAE: 84.39	RMSE: 118.04
Epoch 068	LOSS: 147.37	MAE: 83.92	RMSE: 117.53
Epoch 069	LOSS: 147.38	MAE: 83.69	RMSE: 117.27
Epoch 070	LOSS: 146.18	MAE: 83.29	RMSE: 116.89
Epoch 071	LOSS: 145.18	MAE: 82.92	RMSE: 116.49
Epoch 072	LOSS: 143.70	MAE: 82.61	RMSE: 116.18
Epoch 073	LOSS: 145.92	MAE: 82.27	RMSE: 115.84
Epoch 074	LOSS: 141.39	MAE: 81.90	RMSE: 115.43
Epoch 075	LOSS: 140.53	MAE: 81.49	RMSE: 114.98
Epoch 076	LOSS: 141.18	MAE: 81.14	RMSE: 114.57
Epoch 077	LOSS: 141.62	MAE: 80.74	RMSE: 114.10
Epoch 078	LOSS: 141.13	MAE: 80.21	RMSE: 113.40
Epoch 079	LOSS: 138.47	MAE: 79.54	RMSE: 112.54
Epoch 080	LOSS: 141.58	MAE: 79.01	RMSE: 111.95
Epoch 081	LOSS: 138.37	MAE: 78.48	RMSE: 111.35
Epoch 082	LOSS: 138.00	MAE: 77.95	RMSE: 110.74
Epoch 083	LOSS: 137.96	MAE: 77.37	RMSE: 110.07
Epoch 084	LOSS: 134.18	MAE: 76.85	RMSE: 109.50
Epoch 085	LOSS: 133.92	MAE: 76.61	RMSE: 109.19
Epoch 086	LOSS: 130.91	MAE: 76.17	RMSE: 108.73
Epoch 087	LOSS: 130.40	MAE: 75.61	RMSE: 108.25
Epoch 088	LOSS: 133.56	MAE: 75.20	RMSE: 107.81
Epoch 089	LOSS: 129.92	MAE: 74.90	RMSE: 107.49
Epoch 090	LOSS: 131.37	MAE: 74.41	RMSE: 106.78
Epoch 091	LOSS: 130.61	MAE: 73.76	RMSE: 105.99
Epoch 092	LOSS: 129.56	MAE: 73.14	RMSE: 105.32
Epoch 093	LOSS: 128.12	MAE: 72.60	RMSE: 104.70
Epoch 094	LOSS: 127.17	MAE: 72.28	RMSE: 104.22
Epoch 095	LOSS: 125.14	MAE: 71.92	RMSE: 103.73
Epoch 096	LOSS: 125.42	MAE: 71.20	RMSE: 102.89
Epoch 097	LOSS: 126.37	MAE: 70.75	RMSE: 102.21
Epoch 098	LOSS: 123.61	MAE: 70.43	RMSE: 101.77
Epoch 099	LOSS: 121.09	MAE: 69.82	RMSE: 101.13
Epoch 100	LOSS: 120.57	MAE: 69.25	RMSE: 100.65
Epoch 101	LOSS: 118.02	MAE: 68.82	RMSE: 100.20
Epoch 102	LOSS: 118.87	MAE: 68.44	RMSE: 99.92
Epoch 103	LOSS: 117.15	MAE: 67.82	RMSE: 99.23
Epoch 104	LOSS: 117.53	MAE: 67.29	RMSE: 98.72
Epoch 105	LOSS: 115.48	MAE: 67.20	RMSE: 98.87
Epoch 106	LOSS: 113.14	MAE: 66.85	RMSE: 98.63
Epoch 107	LOSS: 113.39	MAE: 66.19	RMSE: 97.96
Epoch 108	LOSS: 111.69	MAE: 65.73	RMSE: 97.53
Epoch 109	LOSS: 110.20	MAE: 65.19	RMSE: 97.15
Epoch 110	LOSS: 109.30	MAE: 64.63	RMSE: 96.62
Epoch 111	LOSS: 108.78	MAE: 64.15	RMSE: 96.21
Epoch 112	LOSS: 105.94	MAE: 63.52	RMSE: 95.69
Epoch 113	LOSS: 107.03	MAE: 62.92	RMSE: 95.13
Epoch 114	LOSS: 104.42	MAE: 62.08	RMSE: 94.23
Epoch 115	LOSS: 103.82	MAE: 61.83	RMSE: 93.90
Epoch 116	LOSS: 100.97	MAE: 61.12	RMSE: 93.42
Epoch 117	LOSS: 100.39	MAE: 60.42	RMSE: 93.05
Epoch 118	LOSS: 99.84	MAE: 59.85	RMSE: 92.63
Epoch 119	LOSS: 97.46	MAE: 59.25	RMSE: 92.08
Epoch 120	LOSS: 96.53	MAE: 58.75	RMSE: 91.73
Epoch 121	LOSS: 95.35	MAE: 58.10	RMSE: 91.40
Epoch 122	LOSS: 93.63	MAE: 57.56	RMSE: 91.06
Epoch 123	LOSS: 93.32	MAE: 57.08	RMSE: 90.74
Epoch 124	LOSS: 92.39	MAE: 56.74	RMSE: 90.66
Epoch 125	LOSS: 90.79	MAE: 56.04	RMSE: 90.22
Epoch 126	LOSS: 90.62	MAE: 55.64	RMSE: 89.89
Epoch 127	LOSS: 89.38	MAE: 55.08	RMSE: 89.66
Epoch 128	LOSS: 87.75	MAE: 54.28	RMSE: 89.43
Epoch 129	LOSS: 86.28	MAE: 54.10	RMSE: 89.46
Epoch 130	LOSS: 85.30	MAE: 53.67	RMSE: 89.09
Epoch 131	LOSS: 84.37	MAE: 52.84	RMSE: 88.31
Epoch 132	LOSS: 83.57	MAE: 52.58	RMSE: 88.29
Epoch 133	LOSS: 82.84	MAE: 52.32	RMSE: 88.30
Epoch 134	LOSS: 82.74	MAE: 51.99	RMSE: 88.22
Epoch 135	LOSS: 81.73	MAE: 51.70	RMSE: 88.08
Epoch 136	LOSS: 81.23	MAE: 51.37	RMSE: 87.92
Epoch 137	LOSS: 80.95	MAE: 51.12	RMSE: 87.87
Epoch 138	LOSS: 80.92	MAE: 50.89	RMSE: 87.72
Epoch 139	LOSS: 79.57	MAE: 50.65	RMSE: 87.58
Epoch 140	LOSS: 80.01	MAE: 50.47	RMSE: 87.45
Epoch 141	LOSS: 79.85	MAE: 50.20	RMSE: 87.32
Epoch 142	LOSS: 79.29	MAE: 49.87	RMSE: 87.15
Epoch 143	LOSS: 79.04	MAE: 49.77	RMSE: 87.13
Epoch 144	LOSS: 78.51	MAE: 49.70	RMSE: 87.10
Epoch 145	LOSS: 79.08	MAE: 49.55	RMSE: 87.08
Epoch 146	LOSS: 78.32	MAE: 49.30	RMSE: 86.97
Epoch 147	LOSS: 78.36	MAE: 49.23	RMSE: 86.93
Epoch 148	LOSS: 77.13	MAE: 49.08	RMSE: 86.88
Epoch 149	LOSS: 78.45	MAE: 49.08	RMSE: 86.93
Epoch 150	LOSS: 78.02	MAE: 48.93	RMSE: 86.78
Epoch 151	LOSS: 77.85	MAE: 49.03	RMSE: 86.82
Epoch 152	LOSS: 77.74	MAE: 49.19	RMSE: 86.95
Epoch 153	LOSS: 78.39	MAE: 49.09	RMSE: 86.90
Epoch 154	LOSS: 78.05	MAE: 48.95	RMSE: 86.78
Epoch 155	LOSS: 77.74	MAE: 49.08	RMSE: 86.94
Epoch 156	LOSS: 77.95	MAE: 49.09	RMSE: 86.99
Epoch 157	LOSS: 77.19	MAE: 48.70	RMSE: 86.68
Epoch 158	LOSS: 76.85	MAE: 48.47	RMSE: 86.57
Epoch 159	LOSS: 76.31	MAE: 48.29	RMSE: 86.54
Epoch 160	LOSS: 76.27	MAE: 48.35	RMSE: 86.58
Epoch 161	LOSS: 77.56	MAE: 48.34	RMSE: 86.53
Epoch 162	LOSS: 76.26	MAE: 48.27	RMSE: 86.49
Epoch 163	LOSS: 76.02	MAE: 48.35	RMSE: 86.58
Epoch 164	LOSS: 75.80	MAE: 48.36	RMSE: 86.59
Epoch 165	LOSS: 76.20	MAE: 48.11	RMSE: 86.44
Epoch 166	LOSS: 75.73	MAE: 47.98	RMSE: 86.40
Epoch 167	LOSS: 76.64	MAE: 48.15	RMSE: 86.59
Epoch 168	LOSS: 76.01	MAE: 48.31	RMSE: 86.68
Epoch 169	LOSS: 75.12	MAE: 48.21	RMSE: 86.51
Epoch 170	LOSS: 76.59	MAE: 48.07	RMSE: 86.43
Epoch 171	LOSS: 74.94	MAE: 47.89	RMSE: 86.43
Epoch 172	LOSS: 75.20	MAE: 47.80	RMSE: 86.35
Epoch 173	LOSS: 74.80	MAE: 47.74	RMSE: 86.28
Epoch 174	LOSS: 74.83	MAE: 47.48	RMSE: 86.20
Epoch 175	LOSS: 74.82	MAE: 47.47	RMSE: 86.25
Epoch 176	LOSS: 74.75	MAE: 47.41	RMSE: 86.24
Epoch 177	LOSS: 74.07	MAE: 47.43	RMSE: 86.28
Epoch 178	LOSS: 73.19	MAE: 47.21	RMSE: 86.12
Epoch 179	LOSS: 73.08	MAE: 47.14	RMSE: 86.06
Epoch 180	LOSS: 74.24	MAE: 46.98	RMSE: 86.00
Epoch 181	LOSS: 73.63	MAE: 46.95	RMSE: 85.97
Epoch 182	LOSS: 73.31	MAE: 47.02	RMSE: 85.95
Epoch 183	LOSS: 73.43	MAE: 46.93	RMSE: 85.93
Epoch 184	LOSS: 72.97	MAE: 46.81	RMSE: 85.96
Epoch 185	LOSS: 73.30	MAE: 46.61	RMSE: 85.93
Epoch 186	LOSS: 71.62	MAE: 46.38	RMSE: 85.75
Epoch 187	LOSS: 73.41	MAE: 46.46	RMSE: 85.79
Epoch 188	LOSS: 71.84	MAE: 46.55	RMSE: 85.86
Epoch 189	LOSS: 71.90	MAE: 46.53	RMSE: 85.84
Epoch 190	LOSS: 71.85	MAE: 46.28	RMSE: 85.70
Epoch 191	LOSS: 72.13	MAE: 46.30	RMSE: 85.78
Epoch 192	LOSS: 70.73	MAE: 46.07	RMSE: 85.62
Epoch 193	LOSS: 70.81	MAE: 45.87	RMSE: 85.53
Epoch 194	LOSS: 70.91	MAE: 45.79	RMSE: 85.51
Epoch 195	LOSS: 70.47	MAE: 45.81	RMSE: 85.48
Epoch 196	LOSS: 71.31	MAE: 45.74	RMSE: 85.45
Epoch 197	LOSS: 69.84	MAE: 45.63	RMSE: 85.39
Epoch 198	LOSS: 68.78	MAE: 45.66	RMSE: 85.45
Epoch 199	LOSS: 69.87	MAE: 45.48	RMSE: 85.34
Epoch 200	LOSS: 68.68	MAE: 45.41	RMSE: 85.29
Epoch 201	LOSS: 68.61	MAE: 45.39	RMSE: 85.30
Epoch 202	LOSS: 69.39	MAE: 45.44	RMSE: 85.34
Epoch 203	LOSS: 69.27	MAE: 45.49	RMSE: 85.38
Epoch 204	LOSS: 69.38	MAE: 45.30	RMSE: 85.28
Epoch 205	LOSS: 69.15	MAE: 45.30	RMSE: 85.28
Epoch 206	LOSS: 68.69	MAE: 45.31	RMSE: 85.28
Epoch 207	LOSS: 68.05	MAE: 45.33	RMSE: 85.33
Epoch 208	LOSS: 70.11	MAE: 45.47	RMSE: 85.44
Epoch 209	LOSS: 67.99	MAE: 45.37	RMSE: 85.33
Epoch 210	LOSS: 68.84	MAE: 45.21	RMSE: 85.22
Epoch 211	LOSS: 68.46	MAE: 45.18	RMSE: 85.24
Epoch 212	LOSS: 67.55	MAE: 45.11	RMSE: 85.17
Epoch 213	LOSS: 69.15	MAE: 45.13	RMSE: 85.20
Epoch 214	LOSS: 68.18	MAE: 45.13	RMSE: 85.21
Epoch 215	LOSS: 68.01	MAE: 45.11	RMSE: 85.19
Epoch 216	LOSS: 68.69	MAE: 45.08	RMSE: 85.15
Epoch 217	LOSS: 68.10	MAE: 45.24	RMSE: 85.29
Epoch 218	LOSS: 68.12	MAE: 45.21	RMSE: 85.29
Epoch 219	LOSS: 68.49	MAE: 45.07	RMSE: 85.19
Epoch 220	LOSS: 67.09	MAE: 45.00	RMSE: 85.14
Epoch 221	LOSS: 67.61	MAE: 45.12	RMSE: 85.23
Epoch 222	LOSS: 68.67	MAE: 45.26	RMSE: 85.29
Epoch 223	LOSS: 68.91	MAE: 45.33	RMSE: 85.36
Epoch 224	LOSS: 68.46	MAE: 45.45	RMSE: 85.46
Epoch 225	LOSS: 68.66	MAE: 45.27	RMSE: 85.34
