Epoch 000	LOSS: 470.86	MAE: 220.02	RMSE: 266.08
Epoch 001	LOSS: 458.72	MAE: 219.96	RMSE: 266.03
Epoch 002	LOSS: 465.31	MAE: 219.87	RMSE: 265.95
Epoch 003	LOSS: 459.67	MAE: 219.70	RMSE: 265.82
Epoch 004	LOSS: 461.02	MAE: 219.43	RMSE: 265.59
Epoch 005	LOSS: 458.07	MAE: 219.00	RMSE: 265.23
Epoch 006	LOSS: 458.33	MAE: 218.35	RMSE: 264.69
Epoch 007	LOSS: 455.66	MAE: 217.43	RMSE: 263.93
Epoch 008	LOSS: 465.97	MAE: 216.18	RMSE: 262.88
Epoch 009	LOSS: 452.03	MAE: 214.50	RMSE: 261.47
Epoch 010	LOSS: 444.83	MAE: 212.31	RMSE: 259.63
Epoch 011	LOSS: 440.29	MAE: 209.51	RMSE: 257.25
Epoch 012	LOSS: 431.58	MAE: 205.98	RMSE: 254.24
Epoch 013	LOSS: 422.02	MAE: 201.65	RMSE: 250.50
Epoch 014	LOSS: 413.14	MAE: 196.43	RMSE: 245.96
Epoch 015	LOSS: 395.85	MAE: 190.30	RMSE: 240.55
Epoch 016	LOSS: 383.62	MAE: 183.30	RMSE: 234.24
Epoch 017	LOSS: 365.89	MAE: 175.51	RMSE: 227.02
Epoch 018	LOSS: 348.30	MAE: 167.00	RMSE: 218.80
Epoch 019	LOSS: 323.53	MAE: 158.05	RMSE: 209.66
Epoch 020	LOSS: 310.41	MAE: 148.96	RMSE: 199.74
Epoch 021	LOSS: 288.82	MAE: 140.06	RMSE: 189.15
Epoch 022	LOSS: 268.37	MAE: 131.79	RMSE: 178.17
Epoch 023	LOSS: 252.94	MAE: 124.41	RMSE: 167.18
Epoch 024	LOSS: 232.77	MAE: 117.98	RMSE: 156.67
Epoch 025	LOSS: 219.75	MAE: 112.79	RMSE: 147.44
Epoch 026	LOSS: 211.72	MAE: 108.93	RMSE: 140.14
Epoch 027	LOSS: 204.05	MAE: 106.53	RMSE: 135.33
Epoch 028	LOSS: 199.42	MAE: 105.01	RMSE: 132.73
Epoch 029	LOSS: 196.08	MAE: 103.36	RMSE: 131.06
Epoch 030	LOSS: 191.50	MAE: 101.46	RMSE: 129.82
Epoch 031	LOSS: 188.38	MAE: 99.25	RMSE: 128.35
Epoch 032	LOSS: 183.26	MAE: 97.06	RMSE: 126.61
Epoch 033	LOSS: 173.58	MAE: 95.42	RMSE: 124.95
Epoch 034	LOSS: 173.75	MAE: 94.57	RMSE: 123.83
Epoch 035	LOSS: 172.83	MAE: 94.11	RMSE: 123.13
Epoch 036	LOSS: 171.38	MAE: 93.75	RMSE: 122.66
Epoch 037	LOSS: 171.47	MAE: 93.42	RMSE: 122.29
Epoch 038	LOSS: 170.79	MAE: 93.14	RMSE: 122.13
Epoch 039	LOSS: 169.94	MAE: 92.70	RMSE: 121.94
Epoch 040	LOSS: 168.62	MAE: 92.36	RMSE: 122.00
Epoch 041	LOSS: 169.27	MAE: 92.10	RMSE: 122.15
Epoch 042	LOSS: 167.46	MAE: 91.59	RMSE: 122.04
Epoch 043	LOSS: 163.11	MAE: 91.03	RMSE: 121.82
Epoch 044	LOSS: 161.85	MAE: 90.54	RMSE: 121.70
Epoch 045	LOSS: 162.83	MAE: 90.05	RMSE: 121.66
Epoch 046	LOSS: 159.95	MAE: 89.48	RMSE: 121.19
Epoch 047	LOSS: 162.27	MAE: 88.70	RMSE: 120.19
Epoch 048	LOSS: 159.05	MAE: 87.91	RMSE: 119.00
Epoch 049	LOSS: 155.39	MAE: 86.92	RMSE: 117.57
Epoch 050	LOSS: 154.82	MAE: 86.67	RMSE: 116.97
Epoch 051	LOSS: 152.55	MAE: 86.07	RMSE: 116.17
Epoch 052	LOSS: 150.13	MAE: 85.34	RMSE: 115.32
Epoch 053	LOSS: 146.58	MAE: 84.51	RMSE: 114.36
Epoch 054	LOSS: 148.54	MAE: 84.02	RMSE: 113.72
Epoch 055	LOSS: 146.25	MAE: 83.45	RMSE: 113.18
Epoch 056	LOSS: 144.68	MAE: 82.50	RMSE: 112.20
Epoch 057	LOSS: 143.17	MAE: 81.80	RMSE: 111.31
Epoch 058	LOSS: 144.38	MAE: 80.96	RMSE: 110.22
Epoch 059	LOSS: 140.21	MAE: 80.64	RMSE: 109.65
Epoch 060	LOSS: 140.32	MAE: 79.96	RMSE: 108.89
