Epoch 000	LOSS: 464.40	MAE: 220.03	RMSE: 266.09
Epoch 001	LOSS: 462.54	MAE: 219.98	RMSE: 266.05
Epoch 002	LOSS: 468.20	MAE: 219.89	RMSE: 265.96
Epoch 003	LOSS: 466.88	MAE: 219.71	RMSE: 265.82
Epoch 004	LOSS: 463.32	MAE: 219.42	RMSE: 265.58
Epoch 005	LOSS: 453.08	MAE: 218.96	RMSE: 265.20
Epoch 006	LOSS: 461.24	MAE: 218.27	RMSE: 264.63
Epoch 007	LOSS: 452.85	MAE: 217.27	RMSE: 263.80
Epoch 008	LOSS: 455.55	MAE: 215.92	RMSE: 262.67
Epoch 009	LOSS: 451.43	MAE: 214.12	RMSE: 261.16
Epoch 010	LOSS: 442.89	MAE: 211.75	RMSE: 259.17
Epoch 011	LOSS: 438.89	MAE: 208.68	RMSE: 256.55
Epoch 012	LOSS: 427.34	MAE: 204.80	RMSE: 253.23
Epoch 013	LOSS: 417.67	MAE: 200.04	RMSE: 249.13
Epoch 014	LOSS: 408.24	MAE: 194.29	RMSE: 244.12
Epoch 015	LOSS: 392.65	MAE: 187.54	RMSE: 238.11
Epoch 016	LOSS: 382.60	MAE: 179.83	RMSE: 231.10
Epoch 017	LOSS: 357.86	MAE: 171.30	RMSE: 223.09
Epoch 018	LOSS: 344.74	MAE: 162.18	RMSE: 214.10
Epoch 019	LOSS: 324.37	MAE: 152.80	RMSE: 204.19
Epoch 020	LOSS: 300.21	MAE: 143.46	RMSE: 193.51
Epoch 021	LOSS: 277.04	MAE: 134.55	RMSE: 182.26
Epoch 022	LOSS: 263.44	MAE: 126.37	RMSE: 170.74
Epoch 023	LOSS: 240.72	MAE: 119.35	RMSE: 159.60
Epoch 024	LOSS: 225.21	MAE: 113.57	RMSE: 149.52
Epoch 025	LOSS: 216.99	MAE: 109.10	RMSE: 141.23
Epoch 026	LOSS: 206.65	MAE: 106.01	RMSE: 135.29
Epoch 027	LOSS: 200.65	MAE: 104.08	RMSE: 131.74
Epoch 028	LOSS: 199.12	MAE: 102.81	RMSE: 130.01
Epoch 029	LOSS: 193.24	MAE: 101.34	RMSE: 128.98
Epoch 030	LOSS: 189.09	MAE: 99.46	RMSE: 127.89
Epoch 031	LOSS: 186.16	MAE: 97.42	RMSE: 126.53
Epoch 032	LOSS: 180.26	MAE: 95.64	RMSE: 125.01
Epoch 033	LOSS: 178.28	MAE: 94.43	RMSE: 123.75
Epoch 034	LOSS: 174.24	MAE: 93.92	RMSE: 123.06
Epoch 035	LOSS: 174.03	MAE: 93.53	RMSE: 122.51
Epoch 036	LOSS: 172.77	MAE: 92.99	RMSE: 121.97
Epoch 037	LOSS: 173.26	MAE: 92.85	RMSE: 121.95
Epoch 038	LOSS: 171.81	MAE: 92.63	RMSE: 121.95
Epoch 039	LOSS: 171.27	MAE: 92.40	RMSE: 122.03
Epoch 040	LOSS: 170.56	MAE: 92.15	RMSE: 122.14
Epoch 041	LOSS: 167.98	MAE: 91.76	RMSE: 122.09
Epoch 042	LOSS: 168.50	MAE: 91.12	RMSE: 121.82
Epoch 043	LOSS: 164.29	MAE: 90.60	RMSE: 121.60
Epoch 044	LOSS: 165.13	MAE: 89.92	RMSE: 121.23
Epoch 045	LOSS: 161.19	MAE: 89.53	RMSE: 120.67
Epoch 046	LOSS: 162.71	MAE: 89.20	RMSE: 120.08
Epoch 047	LOSS: 158.51	MAE: 88.57	RMSE: 119.39
Epoch 048	LOSS: 160.48	MAE: 87.81	RMSE: 118.54
Epoch 049	LOSS: 158.52	MAE: 87.36	RMSE: 117.86
Epoch 050	LOSS: 157.57	MAE: 86.93	RMSE: 117.27
Epoch 051	LOSS: 153.77	MAE: 86.23	RMSE: 116.49
Epoch 052	LOSS: 155.72	MAE: 85.99	RMSE: 116.01
Epoch 053	LOSS: 153.05	MAE: 85.86	RMSE: 115.61
Epoch 054	LOSS: 151.07	MAE: 85.08	RMSE: 114.68
Epoch 055	LOSS: 150.96	MAE: 84.49	RMSE: 114.05
Epoch 056	LOSS: 149.59	MAE: 83.92	RMSE: 113.42
Epoch 057	LOSS: 149.21	MAE: 83.11	RMSE: 112.48
Epoch 058	LOSS: 149.55	MAE: 82.70	RMSE: 112.01
Epoch 059	LOSS: 146.21	MAE: 82.17	RMSE: 111.36
Epoch 060	LOSS: 147.56	MAE: 81.35	RMSE: 110.39
Epoch 061	LOSS: 142.38	MAE: 80.49	RMSE: 109.37
Epoch 062	LOSS: 139.63	MAE: 79.90	RMSE: 108.49
Epoch 063	LOSS: 140.30	MAE: 79.52	RMSE: 107.96
Epoch 064	LOSS: 138.15	MAE: 78.68	RMSE: 107.07
Epoch 065	LOSS: 136.09	MAE: 77.87	RMSE: 106.14
Epoch 066	LOSS: 131.99	MAE: 76.86	RMSE: 105.11
Epoch 067	LOSS: 132.10	MAE: 75.80	RMSE: 104.06
Epoch 068	LOSS: 127.36	MAE: 73.88	RMSE: 102.21
Epoch 069	LOSS: 126.06	MAE: 73.08	RMSE: 101.39
Epoch 070	LOSS: 125.02	MAE: 72.49	RMSE: 100.85
Epoch 071	LOSS: 121.82	MAE: 71.69	RMSE: 100.10
Epoch 072	LOSS: 120.39	MAE: 70.51	RMSE: 99.02
Epoch 073	LOSS: 118.41	MAE: 69.59	RMSE: 98.18
Epoch 074	LOSS: 117.26	MAE: 68.69	RMSE: 97.24
Epoch 075	LOSS: 113.51	MAE: 68.03	RMSE: 96.45
Epoch 076	LOSS: 111.73	MAE: 67.56	RMSE: 95.99
Epoch 077	LOSS: 107.89	MAE: 66.20	RMSE: 94.60
Epoch 078	LOSS: 107.96	MAE: 65.27	RMSE: 93.87
Epoch 079	LOSS: 105.84	MAE: 64.42	RMSE: 93.02
Epoch 080	LOSS: 103.38	MAE: 63.23	RMSE: 91.74
Epoch 081	LOSS: 102.49	MAE: 62.43	RMSE: 90.94
Epoch 082	LOSS: 102.08	MAE: 61.37	RMSE: 90.01
Epoch 083	LOSS: 99.60	MAE: 60.34	RMSE: 89.20
Epoch 084	LOSS: 97.50	MAE: 59.62	RMSE: 88.79
Epoch 085	LOSS: 96.15	MAE: 58.72	RMSE: 88.12
Epoch 086	LOSS: 94.49	MAE: 57.95	RMSE: 87.53
