Epoch 000	LOSS: 466.66	MAE: 220.03	RMSE: 266.09
Epoch 001	LOSS: 465.14	MAE: 219.98	RMSE: 266.05
Epoch 002	LOSS: 463.06	MAE: 219.89	RMSE: 265.98
Epoch 003	LOSS: 461.00	MAE: 219.74	RMSE: 265.85
Epoch 004	LOSS: 459.75	MAE: 219.48	RMSE: 265.64
Epoch 005	LOSS: 471.37	MAE: 219.05	RMSE: 265.29
Epoch 006	LOSS: 464.60	MAE: 218.42	RMSE: 264.77
Epoch 007	LOSS: 460.28	MAE: 217.50	RMSE: 264.02
Epoch 008	LOSS: 457.85	MAE: 216.24	RMSE: 262.98
Epoch 009	LOSS: 454.60	MAE: 214.56	RMSE: 261.58
Epoch 010	LOSS: 449.22	MAE: 212.38	RMSE: 259.74
Epoch 011	LOSS: 440.29	MAE: 209.56	RMSE: 257.37
Epoch 012	LOSS: 435.22	MAE: 205.99	RMSE: 254.34
Epoch 013	LOSS: 424.68	MAE: 201.54	RMSE: 250.52
Epoch 014	LOSS: 417.30	MAE: 196.13	RMSE: 245.82
Epoch 015	LOSS: 408.03	MAE: 189.73	RMSE: 240.18
Epoch 016	LOSS: 387.83	MAE: 182.38	RMSE: 233.54
Epoch 017	LOSS: 371.21	MAE: 174.12	RMSE: 225.87
Epoch 018	LOSS: 343.08	MAE: 165.21	RMSE: 217.23
Epoch 019	LOSS: 329.52	MAE: 155.86	RMSE: 207.63
Epoch 020	LOSS: 306.26	MAE: 146.42	RMSE: 197.17
Epoch 021	LOSS: 285.39	MAE: 137.42	RMSE: 186.15
Epoch 022	LOSS: 265.88	MAE: 129.14	RMSE: 174.83
Epoch 023	LOSS: 247.46	MAE: 121.76	RMSE: 163.60
Epoch 024	LOSS: 232.27	MAE: 115.58	RMSE: 153.15
Epoch 025	LOSS: 219.52	MAE: 110.63	RMSE: 144.12
Epoch 026	LOSS: 210.92	MAE: 107.19	RMSE: 137.37
Epoch 027	LOSS: 204.51	MAE: 105.05	RMSE: 133.15
Epoch 028	LOSS: 199.60	MAE: 103.34	RMSE: 130.61
Epoch 029	LOSS: 196.43	MAE: 101.59	RMSE: 128.91
Epoch 030	LOSS: 191.47	MAE: 99.74	RMSE: 127.66
Epoch 031	LOSS: 187.92	MAE: 97.69	RMSE: 126.22
Epoch 032	LOSS: 178.26	MAE: 95.85	RMSE: 124.70
Epoch 033	LOSS: 180.07	MAE: 94.72	RMSE: 123.55
Epoch 034	LOSS: 180.69	MAE: 93.94	RMSE: 122.59
Epoch 035	LOSS: 175.27	MAE: 93.36	RMSE: 121.81
Epoch 036	LOSS: 175.68	MAE: 92.90	RMSE: 121.37
Epoch 037	LOSS: 173.56	MAE: 92.55	RMSE: 121.28
Epoch 038	LOSS: 173.19	MAE: 92.09	RMSE: 121.13
Epoch 039	LOSS: 169.89	MAE: 91.57	RMSE: 121.01
Epoch 040	LOSS: 168.63	MAE: 91.20	RMSE: 121.18
Epoch 041	LOSS: 167.66	MAE: 90.95	RMSE: 121.47
Epoch 042	LOSS: 170.84	MAE: 90.45	RMSE: 121.34
Epoch 043	LOSS: 165.71	MAE: 90.01	RMSE: 121.10
Epoch 044	LOSS: 165.52	MAE: 89.52	RMSE: 120.66
Epoch 045	LOSS: 164.08	MAE: 88.84	RMSE: 119.79
Epoch 046	LOSS: 163.60	MAE: 88.33	RMSE: 119.05
Epoch 047	LOSS: 162.25	MAE: 87.58	RMSE: 118.15
Epoch 048	LOSS: 157.15	MAE: 86.89	RMSE: 117.13
Epoch 049	LOSS: 160.59	MAE: 86.51	RMSE: 116.49
Epoch 050	LOSS: 156.99	MAE: 86.17	RMSE: 115.87
Epoch 051	LOSS: 159.02	MAE: 85.57	RMSE: 115.08
Epoch 052	LOSS: 153.77	MAE: 84.82	RMSE: 114.10
Epoch 053	LOSS: 154.80	MAE: 84.21	RMSE: 113.29
Epoch 054	LOSS: 152.96	MAE: 83.64	RMSE: 112.53
Epoch 055	LOSS: 148.99	MAE: 83.00	RMSE: 111.65
Epoch 056	LOSS: 147.89	MAE: 82.05	RMSE: 110.63
Epoch 057	LOSS: 145.25	MAE: 81.44	RMSE: 110.00
Epoch 058	LOSS: 143.97	MAE: 80.78	RMSE: 109.23
Epoch 059	LOSS: 145.60	MAE: 79.99	RMSE: 108.37
Epoch 060	LOSS: 142.15	MAE: 79.03	RMSE: 107.27
Epoch 061	LOSS: 139.29	MAE: 78.34	RMSE: 106.46
Epoch 062	LOSS: 138.36	MAE: 77.54	RMSE: 105.60
Epoch 063	LOSS: 137.83	MAE: 76.67	RMSE: 104.62
Epoch 064	LOSS: 134.41	MAE: 76.07	RMSE: 103.83
Epoch 065	LOSS: 135.33	MAE: 75.51	RMSE: 103.05
Epoch 066	LOSS: 132.54	MAE: 74.36	RMSE: 101.68
Epoch 067	LOSS: 130.00	MAE: 73.03	RMSE: 100.17
Epoch 068	LOSS: 129.59	MAE: 72.17	RMSE: 99.18
Epoch 069	LOSS: 126.14	MAE: 70.99	RMSE: 97.76
Epoch 070	LOSS: 125.64	MAE: 69.94	RMSE: 96.55
Epoch 071	LOSS: 124.42	MAE: 68.83	RMSE: 95.29
Epoch 072	LOSS: 122.40	MAE: 67.87	RMSE: 94.11
Epoch 073	LOSS: 119.94	MAE: 67.31	RMSE: 93.43
Epoch 074	LOSS: 117.57	MAE: 66.57	RMSE: 92.59
Epoch 075	LOSS: 115.50	MAE: 65.93	RMSE: 91.80
Epoch 076	LOSS: 114.21	MAE: 65.12	RMSE: 90.91
Epoch 077	LOSS: 112.41	MAE: 64.16	RMSE: 89.83
Epoch 078	LOSS: 111.09	MAE: 63.17	RMSE: 88.83
Epoch 079	LOSS: 109.16	MAE: 61.76	RMSE: 87.39
Epoch 080	LOSS: 105.90	MAE: 60.48	RMSE: 86.25
Epoch 081	LOSS: 104.25	MAE: 59.65	RMSE: 85.43
Epoch 082	LOSS: 103.57	MAE: 59.07	RMSE: 84.75
Epoch 083	LOSS: 101.69	MAE: 58.49	RMSE: 84.28
Epoch 084	LOSS: 99.72	MAE: 57.60	RMSE: 83.50
Epoch 085	LOSS: 99.37	MAE: 57.16	RMSE: 83.29
Epoch 086	LOSS: 97.34	MAE: 56.71	RMSE: 82.89
Epoch 087	LOSS: 95.30	MAE: 55.86	RMSE: 81.99
Epoch 088	LOSS: 94.02	MAE: 55.15	RMSE: 81.34
Epoch 089	LOSS: 92.91	MAE: 54.52	RMSE: 80.92
Epoch 090	LOSS: 91.65	MAE: 53.82	RMSE: 80.37
Epoch 091	LOSS: 91.15	MAE: 53.26	RMSE: 80.00
Epoch 092	LOSS: 90.37	MAE: 52.92	RMSE: 79.90
Epoch 093	LOSS: 88.65	MAE: 52.46	RMSE: 79.80
Epoch 094	LOSS: 88.31	MAE: 51.89	RMSE: 79.62
Epoch 095	LOSS: 87.91	MAE: 51.54	RMSE: 79.38
Epoch 096	LOSS: 86.26	MAE: 51.21	RMSE: 79.09
Epoch 097	LOSS: 85.32	MAE: 50.65	RMSE: 78.78
Epoch 098	LOSS: 84.33	MAE: 50.38	RMSE: 78.67
Epoch 099	LOSS: 85.56	MAE: 50.12	RMSE: 78.28
Epoch 100	LOSS: 84.23	MAE: 50.11	RMSE: 78.34
Epoch 101	LOSS: 81.83	MAE: 49.99	RMSE: 78.85
Epoch 102	LOSS: 82.60	MAE: 49.81	RMSE: 78.95
Epoch 103	LOSS: 82.76	MAE: 49.59	RMSE: 78.83
Epoch 104	LOSS: 82.32	MAE: 49.75	RMSE: 79.22
Epoch 105	LOSS: 81.00	MAE: 49.65	RMSE: 79.52
Epoch 106	LOSS: 81.89	MAE: 49.20	RMSE: 78.85
Epoch 107	LOSS: 81.19	MAE: 49.10	RMSE: 78.70
Epoch 108	LOSS: 80.52	MAE: 48.92	RMSE: 78.66
Epoch 109	LOSS: 79.54	MAE: 48.55	RMSE: 78.46
Epoch 110	LOSS: 79.69	MAE: 48.11	RMSE: 78.01
Epoch 111	LOSS: 79.58	MAE: 47.80	RMSE: 77.88
Epoch 112	LOSS: 79.83	MAE: 47.86	RMSE: 78.12
Epoch 113	LOSS: 78.12	MAE: 47.64	RMSE: 78.02
Epoch 114	LOSS: 78.93	MAE: 47.60	RMSE: 78.01
Epoch 115	LOSS: 77.93	MAE: 47.66	RMSE: 78.24
Epoch 116	LOSS: 78.41	MAE: 47.44	RMSE: 78.29
Epoch 117	LOSS: 79.04	MAE: 47.37	RMSE: 78.34
Epoch 118	LOSS: 79.26	MAE: 47.18	RMSE: 78.27
Epoch 119	LOSS: 78.30	MAE: 47.05	RMSE: 78.32
Epoch 120	LOSS: 78.41	MAE: 47.19	RMSE: 78.50
Epoch 121	LOSS: 78.66	MAE: 47.40	RMSE: 78.64
Epoch 122	LOSS: 77.90	MAE: 47.40	RMSE: 78.79
Epoch 123	LOSS: 78.22	MAE: 47.30	RMSE: 78.97
Epoch 124	LOSS: 78.43	MAE: 47.47	RMSE: 79.45
Epoch 125	LOSS: 78.37	MAE: 47.68	RMSE: 79.83
Epoch 126	LOSS: 77.37	MAE: 47.57	RMSE: 79.89
Epoch 127	LOSS: 77.45	MAE: 47.53	RMSE: 79.93
Epoch 128	LOSS: 78.40	MAE: 47.64	RMSE: 79.88
Epoch 129	LOSS: 77.94	MAE: 47.68	RMSE: 80.01
Epoch 130	LOSS: 77.75	MAE: 47.60	RMSE: 80.19
Epoch 131	LOSS: 77.61	MAE: 47.51	RMSE: 80.46
Epoch 132	LOSS: 76.27	MAE: 47.55	RMSE: 80.61
Epoch 133	LOSS: 76.69	MAE: 47.73	RMSE: 80.70
Epoch 134	LOSS: 77.40	MAE: 47.64	RMSE: 80.68
Epoch 135	LOSS: 77.52	MAE: 47.54	RMSE: 80.74
Epoch 136	LOSS: 77.00	MAE: 47.49	RMSE: 80.87
Epoch 137	LOSS: 77.65	MAE: 47.48	RMSE: 81.00
Epoch 138	LOSS: 77.62	MAE: 47.23	RMSE: 80.72
Epoch 139	LOSS: 76.55	MAE: 46.99	RMSE: 80.40
Epoch 140	LOSS: 76.86	MAE: 46.95	RMSE: 80.21
Epoch 141	LOSS: 77.29	MAE: 46.85	RMSE: 80.04
Epoch 142	LOSS: 75.75	MAE: 47.06	RMSE: 79.88
Epoch 143	LOSS: 76.76	MAE: 47.38	RMSE: 79.85
Epoch 144	LOSS: 75.34	MAE: 47.39	RMSE: 79.98
Epoch 145	LOSS: 76.12	MAE: 47.64	RMSE: 80.23
Epoch 146	LOSS: 78.09	MAE: 48.03	RMSE: 80.60
Epoch 147	LOSS: 77.01	MAE: 47.64	RMSE: 80.61
Epoch 148	LOSS: 76.52	MAE: 46.91	RMSE: 80.37
Epoch 149	LOSS: 75.25	MAE: 46.65	RMSE: 80.40
Epoch 150	LOSS: 76.05	MAE: 46.63	RMSE: 80.44
Epoch 151	LOSS: 76.68	MAE: 46.78	RMSE: 80.66
Epoch 152	LOSS: 75.41	MAE: 46.69	RMSE: 80.81
Epoch 153	LOSS: 75.27	MAE: 46.68	RMSE: 80.91
Epoch 154	LOSS: 76.81	MAE: 46.93	RMSE: 80.99
Epoch 155	LOSS: 77.90	MAE: 47.11	RMSE: 81.08
Epoch 156	LOSS: 75.88	MAE: 46.80	RMSE: 80.87
Epoch 157	LOSS: 75.62	MAE: 46.68	RMSE: 80.71
Epoch 158	LOSS: 77.16	MAE: 46.91	RMSE: 80.73
Epoch 159	LOSS: 76.47	MAE: 47.02	RMSE: 80.98
Epoch 160	LOSS: 74.80	MAE: 46.85	RMSE: 81.29
Epoch 161	LOSS: 76.12	MAE: 46.93	RMSE: 81.62
Epoch 162	LOSS: 76.56	MAE: 47.31	RMSE: 82.06
Epoch 163	LOSS: 76.24	MAE: 47.22	RMSE: 82.20
Epoch 164	LOSS: 75.03	MAE: 46.76	RMSE: 82.10
Epoch 165	LOSS: 74.69	MAE: 46.74	RMSE: 82.22
Epoch 166	LOSS: 75.66	MAE: 46.77	RMSE: 82.38
Epoch 167	LOSS: 74.89	MAE: 46.64	RMSE: 82.50
Epoch 168	LOSS: 75.39	MAE: 46.71	RMSE: 82.67
Epoch 169	LOSS: 75.85	MAE: 46.89	RMSE: 82.87
Epoch 170	LOSS: 74.10	MAE: 46.73	RMSE: 82.96
Epoch 171	LOSS: 73.86	MAE: 46.66	RMSE: 82.99
Epoch 172	LOSS: 75.51	MAE: 47.00	RMSE: 83.22
Epoch 173	LOSS: 74.20	MAE: 46.88	RMSE: 83.28
Epoch 174	LOSS: 72.73	MAE: 46.72	RMSE: 83.37
Epoch 175	LOSS: 73.70	MAE: 46.88	RMSE: 83.49
Epoch 176	LOSS: 74.92	MAE: 47.09	RMSE: 83.56
Epoch 177	LOSS: 73.85	MAE: 46.53	RMSE: 83.23
Epoch 178	LOSS: 72.70	MAE: 46.19	RMSE: 83.02
Epoch 179	LOSS: 73.26	MAE: 46.32	RMSE: 83.07
Epoch 180	LOSS: 75.12	MAE: 46.74	RMSE: 83.23
Epoch 181	LOSS: 74.62	MAE: 46.43	RMSE: 82.87
Epoch 182	LOSS: 72.75	MAE: 45.98	RMSE: 82.50
Epoch 183	LOSS: 73.20	MAE: 45.97	RMSE: 82.40
Epoch 184	LOSS: 72.87	MAE: 46.04	RMSE: 82.38
Epoch 185	LOSS: 72.52	MAE: 45.77	RMSE: 82.16
Epoch 186	LOSS: 72.04	MAE: 45.44	RMSE: 81.99
Epoch 187	LOSS: 72.74	MAE: 45.81	RMSE: 82.20
Epoch 188	LOSS: 71.77	MAE: 46.14	RMSE: 82.38
Epoch 189	LOSS: 71.16	MAE: 45.73	RMSE: 82.28
Epoch 190	LOSS: 71.89	MAE: 45.51	RMSE: 82.19
Epoch 191	LOSS: 72.13	MAE: 45.85	RMSE: 82.40
Epoch 192	LOSS: 71.89	MAE: 45.64	RMSE: 82.25
Epoch 193	LOSS: 70.86	MAE: 45.46	RMSE: 82.11
Epoch 194	LOSS: 71.64	MAE: 45.59	RMSE: 82.23
Epoch 195	LOSS: 71.71	MAE: 45.43	RMSE: 82.22
Epoch 196	LOSS: 70.61	MAE: 44.85	RMSE: 81.97
Epoch 197	LOSS: 70.32	MAE: 44.98	RMSE: 82.12
Epoch 198	LOSS: 71.82	MAE: 45.57	RMSE: 82.53
Epoch 199	LOSS: 70.70	MAE: 45.25	RMSE: 82.41
Epoch 200	LOSS: 69.61	MAE: 44.58	RMSE: 82.03
Epoch 201	LOSS: 69.92	MAE: 44.77	RMSE: 82.15
Epoch 202	LOSS: 70.56	MAE: 45.18	RMSE: 82.41
Epoch 203	LOSS: 71.20	MAE: 45.03	RMSE: 82.38
Epoch 204	LOSS: 70.60	MAE: 44.80	RMSE: 82.31
Epoch 205	LOSS: 69.16	MAE: 44.61	RMSE: 82.25
Epoch 206	LOSS: 69.88	MAE: 44.80	RMSE: 82.32
Epoch 207	LOSS: 69.17	MAE: 44.53	RMSE: 82.14
Epoch 208	LOSS: 68.42	MAE: 44.31	RMSE: 82.05
Epoch 209	LOSS: 69.10	MAE: 44.31	RMSE: 82.09
Epoch 210	LOSS: 69.19	MAE: 44.47	RMSE: 82.21
Epoch 211	LOSS: 68.94	MAE: 44.28	RMSE: 82.12
Epoch 212	LOSS: 69.20	MAE: 44.41	RMSE: 82.13
Epoch 213	LOSS: 69.06	MAE: 44.50	RMSE: 82.18
Epoch 214	LOSS: 68.75	MAE: 44.19	RMSE: 81.97
Epoch 215	LOSS: 68.18	MAE: 43.96	RMSE: 81.80
Epoch 216	LOSS: 68.48	MAE: 43.93	RMSE: 81.76
Epoch 217	LOSS: 67.32	MAE: 43.87	RMSE: 81.69
Epoch 218	LOSS: 67.92	MAE: 44.26	RMSE: 81.87
Epoch 219	LOSS: 68.74	MAE: 44.32	RMSE: 81.97
Epoch 220	LOSS: 67.56	MAE: 44.10	RMSE: 81.92
Epoch 221	LOSS: 67.53	MAE: 44.17	RMSE: 81.95
Epoch 222	LOSS: 68.77	MAE: 44.38	RMSE: 82.08
Epoch 223	LOSS: 68.42	MAE: 44.01	RMSE: 81.94
Epoch 224	LOSS: 69.39	MAE: 44.10	RMSE: 81.98
Epoch 225	LOSS: 68.19	MAE: 44.34	RMSE: 82.07
Epoch 226	LOSS: 68.26	MAE: 44.22	RMSE: 81.91
Epoch 227	LOSS: 67.87	MAE: 44.18	RMSE: 81.80
Epoch 228	LOSS: 68.19	MAE: 44.08	RMSE: 81.71
Epoch 229	LOSS: 68.36	MAE: 43.83	RMSE: 81.60
Epoch 230	LOSS: 67.44	MAE: 43.74	RMSE: 81.62
Epoch 231	LOSS: 68.92	MAE: 43.92	RMSE: 81.75
Epoch 232	LOSS: 68.65	MAE: 43.95	RMSE: 81.85
Epoch 233	LOSS: 68.46	MAE: 43.93	RMSE: 81.89
Epoch 234	LOSS: 69.38	MAE: 44.01	RMSE: 82.08
Epoch 235	LOSS: 68.63	MAE: 44.17	RMSE: 82.24
Epoch 236	LOSS: 69.77	MAE: 44.35	RMSE: 82.47
Epoch 237	LOSS: 66.92	MAE: 44.12	RMSE: 82.40
Epoch 238	LOSS: 67.47	MAE: 44.12	RMSE: 82.43
Epoch 239	LOSS: 67.20	MAE: 43.95	RMSE: 82.40
Epoch 240	LOSS: 67.12	MAE: 43.84	RMSE: 82.38
Epoch 241	LOSS: 67.15	MAE: 43.93	RMSE: 82.39
Epoch 242	LOSS: 67.20	MAE: 44.01	RMSE: 82.43
Epoch 243	LOSS: 66.71	MAE: 43.78	RMSE: 82.36
